name,link,ingredients,steps,nutrition,image_url
Quick and Easy Refried Beans,https://www.allrecipes.com/recipe/220642/quick-and-easy-refried-beans/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '2', 'unit': '', 'name': 'garlic cloves, peeled'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'pinto beans'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '½', 'unit': '', 'name': 'lime, juiced'}",,"calories: 132, fat: 6g, carbs: 16g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/H6Wsk5pr/poster.jpg?width=720
Instant Pot Pinto Beans (No Soaking),https://www.allrecipes.com/recipe/275053/instant-pot-pinto-beans-no-soaking/,"{'quantity': '3', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'pound', 'name': 'dried pinto beans, rinsed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onions, or to taste (Optional)'}, {'quantity': '2', 'unit': '', 'name': 'green chile peppers'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'garlic powder'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}","Gather the ingredients.. Turn on a multi-functional pressure cooker (such as Instant Pot) and select Sauté function. Add bacon and cook, turning once, 4 to 6 minutes.. Add chicken broth, pinto beans, water, onions, chile peppers, garlic powder, salt, chili powder, cumin, and paprika. Close and lock the lid.. Select high pressure according to manufacturer's instructions; set timer for 45 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid.. Remove bacon and chile peppers; chop to desired consistency and return to the pot. Mash beans with a potato masher until they reach desired consistency.","calories: 236, fat: 3g, carbs: 39g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/-rMpUUjkbFniZk5TAHyQmGim7Rs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/275053instant-pot-pinto-beans-no-soakingJeannaValenzuela-Johnson4x3-ed8c69b9dd7648b195c1a1e053a23802.jpg
Refried Beans Without the Refry,https://www.allrecipes.com/recipe/70312/refried-beans-without-the-refry/,"{'quantity': '3', 'unit': 'cups', 'name': 'dry pinto beans, rinsed'}, {'quantity': '1', 'unit': '', 'name': 'onion, peeled and halved'}, {'quantity': '½', 'unit': '', 'name': 'fresh jalapeno pepper, seeded and chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ¾', 'unit': 'teaspoons', 'name': 'fresh ground black pepper'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cumin, optional'}, {'quantity': '9', 'unit': 'cups', 'name': 'water'}","Gather all ingredients.. Place beans, onion, jalapeño, garlic, salt, pepper, and cumin into a slow cooker. Pour in water; stir to combine.. Cook on High until beans are very tender, about 8 hours; add more water as needed.. Strain beans and reserve cooking liquid.. Transfer beans to a large, shallow bowl. Use a potato masher to mash beans, adding reserved cooking liquid as needed to reach desired consistency.. Enjoy!","calories: 139, fat: 1g, carbs: 25g, protein: 9g, servings: 15",https://cdn.jwplayer.com/v2/media/Urijiwmh/poster.jpg?width=720
Instant Pot Refried Beans,https://www.allrecipes.com/recipe/268230/instant-pot-refried-beans/,"{'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'medium', 'name': 'white onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Mexican oregano'}, {'quantity': '1', 'unit': 'pound', 'name': 'dried pinto beans'}, {'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}","Turn on a multi-functional pressure cooker (such as Instant Pot) and select the Sauté function. Add oil, onion, garlic, and oregano; cook for 5 minutes. Stir in beans and water. Close and lock the lid. Choose high pressure and set the timer for 35 minutes. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to the manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Check a bean; if not yet tender, close and lock the lid and cook for 5 more minutes at high pressure.. Drain beans, reserving 2 cups of liquid. Return beans to the pot. Add salt and 1/2 of the reserved liquid; purée using a stick blender, adding more cooking liquid as needed. Use the Keep Warm or Slow Cooker function to keep warm until ready to serve.","calories: 212, fat: 6g, carbs: 30g, protein: 10g, servings: 10",https://www.allrecipes.com/thmb/89w9nDhCNUezs8T2L1Fch6_FmbY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6252480-5415bc6cda964d3ab0ae31cb02f3dca9.jpg
Frijoles Refritos (Refried Beans),https://www.allrecipes.com/recipe/254251/frijoles-refritos-refried-beans/,"{'quantity': '5', 'unit': 'quarts', 'name': 'water, or as more needed'}, {'quantity': '1', 'unit': 'pound', 'name': 'pinto beans, washed'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, peeled and smashed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'canola oil'}","Combine water, pinto beans, and garlic in a large pot and cover. Cook over low heat for 5 1/2 hours. Stir in salt and continue cooking until beans are very soft, about 30 minutes more, adding more water if needed during the cook time to ensure the beans remain covered.. Heat canola oil in a skillet over high heat. Spoon the beans into the skillet without draining excess water; mash beans using a potato masher until they begin to lose their shape, about 3 minutes.","calories: 215, fat: 10g, carbs: 24g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/sPq0YUHwJYPkqMGu7RaniVVd5ys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4289533-ea324c1efd794d16bfd61b7c4c68febb.jpg
Chef John's Refried Beans,https://www.allrecipes.com/recipe/257150/chef-johns-refried-beans/,"{'quantity': '1', 'unit': 'pound', 'name': 'dry pinto beans, soaked overnight'}, {'quantity': '4', 'unit': '', 'name': 'whole garlic cloves, peeled'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried epazote'}, {'quantity': '9', 'unit': 'cups', 'name': 'cold water'}, {'quantity': '½', 'unit': 'cup', 'name': 'lard'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'diced onions'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced serrano chili pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground dried chipotle pepper'}","Drain soaked beans and transfer them to a stock pot. Add garlic, epazote, and cold water. Place pot over high heat and bring to a boil. Stir. Reduce heat to low. Simmer uncovered until beans are soft, 1 1/2 to 2 hours. Drain the beans and reserve all the liquid.. Melt lard in a large skillet over medium-high heat. Add onions and salt; cook until onions start to brown, 10 to 12 minutes. Stir in serrano pepper and chipotle powder; cook 1 minute. Transfer drained beans into skillet. Mash about half the beans with a potato masher or back of a spoon. Ladle some bean cooking liquid to skillet. Continue to mash and stir beans as you gradually add more liquid. Mash until the beans have reached your preferred consistency and texture. Taste and add more salt, if desired.","calories: 317, fat: 14g, carbs: 38g, protein: 12g, servings: 8",https://cdn.jwplayer.com/v2/media/nkbnS7bk/poster.jpg?width=720
Instant Pot® Charro (Refried Beans),https://www.allrecipes.com/recipe/256347/instant-pot-charro-refried-beans/,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'dry pinto beans, rinsed'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'salsa (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'roughly chopped cilantro, or to taste'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, minced'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'tomato-flavored bouillon'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable bouillon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Combine water, pinto beans, onion, salsa, cilantro, jalapeno pepper, garlic, tomato bouillon, vegetable bouillon, chili powder, paprika, cumin, and black pepper in an electric pressure cooker (such as Instant Pot®). Close and lock the lid. Select Bean/Chili function; set timer for 45 minutes. Cooker will reach high pressure in 10 to 15 minutes.. Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove lid.","calories: 184, fat: 1g, carbs: 34g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/0fJzusJP_ybIZb8Z-ii5Qi7MDfA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4283237-c53edf32e753418b8c5f7b2e6089f5e0.jpg
Vegetarian Refried Beans,https://www.allrecipes.com/recipe/95736/vegetarian-refried-beans/,"{'quantity': '1', 'unit': 'pound', 'name': 'dry pinto beans, rinsed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced garlic, divided'}, {'quantity': '1', 'unit': 'medium', 'name': 'tomato, diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Place beans in a large saucepan and cover with water by 1 inch. Place over high heat and bring to a boil. When beans come to a boil, drain and return them to the same pot.. Cover beans with water by 2 inches; stir in 1 tablespoon garlic, tomato, cumin, and chili powder. Bring to a boil over high heat, then reduce heat to low, and simmer until beans are very soft, about 3 hours and 45 minutes, adding water as needed.. Once beans have cooked, mash them with remaining garlic, oil, and salt; add water as needed to achieve desired consistency. Place over low heat for 30 minutes, stirring occasionally.","calories: 161, fat: 3g, carbs: 25g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/CtrACMBNxX7NOj-KeZwXCVYuedE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5370505-vegetarian-refried-beans-Buckwheat-Queen-4x3-1-f3c3daa653de4ccdb2210d166c6fa989.jpg
Refried Black Beans,https://www.allrecipes.com/recipe/241714/refried-black-beans/,"{'quantity': '4', 'unit': 'cups', 'name': 'dry black beans'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cooking oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped green chiles'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'tomato paste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cider vinegar'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Place black beans into a large container and cover with several inches of cool water; let stand 8 hours to overnight. Drain.. Place beans in a pot and add enough water to cover; bring to a boil. Reduce heat to medium-low and simmer beans until very tender, about 1 hour.. Heat oil in a skillet over medium; cook and stir onion and garlic until onion is soft and translucent, about 10 minutes. Add black beans, green chiles, chili powder, and cumin; cook and stir until flavors blend, about 5 minutes.. Blend black bean mixture in a food processor until smooth. Add tomato paste, chicken broth, vinegar, and salt; blend until desired consistency is reached. Return beans to pot and cook until heated through, about 5 minutes more.","calories: 255, fat: 2g, carbs: 46g, protein: 15g, servings: 12",https://www.allrecipes.com/thmb/I4FdrjB0TA0beMPz0nIYUATkLKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4055323-e7643edba7b24f858207fbe6aa362f09.jpg
Best Refried Beans,https://www.allrecipes.com/recipe/281065/best-refried-beans/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'dry pinto beans'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced yellow onion'}, {'quantity': '2', 'unit': 'large cloves', 'name': 'garlic, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'celery seed'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'fire-roasted diced tomatoes'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'hot pepper sauce (such as Tapatio)'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried Mexican oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","Put pinto beans into a bowl and cover with 2 inches of water. Soak for 8 hours to overnight.. Drain beans. Transfer to a medium saucepan and cover with water by about 1 inch. Add onion, garlic, chili powder, cumin, celery seed, salt, and black pepper. Bring to a boil, then reduce the heat to low, cover, and cook for 1 1/2 hours.. Use a colander to separate the liquid from the solids. Transfer the solids to a food processor. Add diced tomatoes, hot sauce, oregano, and cayenne; blend to desired consistency.","calories: 169, fat: 1g, carbs: 31g, protein: 10g, servings: 8",https://www.allrecipes.com/thmb/WFoRi_6DX0w-Qh18Xq0ZT9X82RI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8479330-573dac337646494d818385fdf266b02b.jpg
