name,link,ingredients,steps,nutrition,image_url
Old Fashioned Rhubarb Pie,https://www.allrecipes.com/old-fashioned-rhubarb-pie-recipe-7372869,"{'quantity': '3/4', 'unit': 'cup', 'name': 'Vanilla Almondmilk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lmond Flour'}, {'quantity': '1', 'unit': '9-inch', 'name': 'refrigerated pie crust'}, {'quantity': '5 1/2', 'unit': 'cups', 'name': 'rhubarb'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/4', 'unit': None, 'name': 'salt'}","Preheat the oven to 375 degrees F (190 degrees C). Roll pie crust into a 9 inch pie plate and crimp the edges.. In a large bowl, mix rhubarb and sugar together, then pour into pie crust.. Whisk eggs, Almond Breeze Vanilla Almondmilk, Blue Diamond Almond Flour, and salt together in a bowl. Pour over the rhubarb.. Bake in the preheated oven until filling is set, 50 to 55 minutes.. Allow to cool completely, then slice to serve.","calories: 400, fat: 14g, carbs: 64g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/G4Ao_D77XXdu8T_aGThFv52O6Wo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7372869-Large-2._Old_Fashioned_Rhubarb_Pie-BTY_04-4x3-be9b84a4889449f295fc72d4296bc022.jpg
Fresh Rhubarb Pie,https://www.allrecipes.com/recipe/12316/fresh-rhubarb-pie/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'double-crust pie pastry, thawed'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped rhubarb'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}",,"calories: 290, fat: 9g, carbs: 51g, protein: 3g, servings: 8",https://cdn.jwplayer.com/v2/media/GX7zoYtM/poster.jpg?width=720
Strawberry Rhubarb Pie,https://www.allrecipes.com/recipe/12612/rhubarb-and-strawberry-pie/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pound', 'name': 'rhubarb, cut into 1/4 inch slices'}, {'quantity': '2', 'unit': 'pints', 'name': 'strawberries, hulled and quartered'}, {'quantity': '1', 'unit': 'recipe', 'name': 'pastry for a 9 inch double crust pie'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar for sprinkling'}",,"calories: 437, fat: 19g, carbs: 64g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/OtHJgy9S/poster.jpg?width=720
Strawberry Rhubarb Cream Pie,https://www.allrecipes.com/recipe/19453/strawberry-rhubarb-cream-pie/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '3', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped rhubarb'}, {'quantity': '3', 'unit': 'cups', 'name': 'halved fresh strawberries'}, {'quantity': '1', 'unit': 'recipe', 'name': 'pastry for a 9 inch double crust pie'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}","Preheat oven to 400 degrees F (200 degrees C).. In a large bowl, mix together sugar, flour, and nutmeg. Stir in eggs. Fold in rhubarb making sure to coat well, then do the same with the strawberries. Pour mixture into pie crust. Place second crust on top being sure to cut slits into it to vent steam. Brush egg white on top crust.. Bake for 50 to 60 minutes in the preheated oven, until rhubarb is tender, and crust is golden.","calories: 314, fat: 8g, carbs: 60g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/Og9cYXUbxJFg23iS_RLagfhvmPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/19453StrawberryRhubarbCreamPieKim4x3-dd9650deb85246dc9f43e444c713f0b9.jpg
Strawberry Rhubarb Custard Pie,https://www.allrecipes.com/recipe/223069/strawberry-rhubarb-custard-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '3', 'unit': 'cups', 'name': 'rhubarb, sliced 1/4-inch thick'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh strawberries, quartered'}, {'quantity': '3', 'unit': '', 'name': 'large eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly grated nutmeg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'strawberry jam'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'water'}","Preheat the oven to 350 degrees F (175 degrees C). Place rolled-out pie crust in a 9-inch pie plate and set on a baking sheet lined with parchment paper or a silicone baking mat.. Combine rhubarb and strawberries in a bowl; transfer to the pie crust, distributing evenly.. Whisk eggs, sugar, milk, flour, and nutmeg together in a medium bowl. Slowly pour filling over rhubarb mixture until it just reaches the top edge of the crust. Scatter diced butter evenly over the top of the filling. Lightly tap and shake the baking sheet to remove any air bubbles.. Transfer pie to the preheated oven and bake, turning halfway through, until rhubarb is tender and custard is set, about 1 hour.. Mix strawberry jam and water in a small bowl; heat in the microwave until warm, about 15 seconds. Glaze the top of the pie with the jam mixture and let cool. Refrigerate until ready to serve.","calories: 342, fat: 11g, carbs: 57g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/qEEH1vcd/poster.jpg?width=720
Old-Fashioned Rhubarb Pie,https://www.allrecipes.com/recipe/72776/rhubarb-sour-cream-pie/,"{'quantity': '1', 'unit': '(9-inch)', 'name': 'unbaked pie crust'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped fresh rhubarb'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}","Preheat the oven to 450 degrees F (220 degrees C).. Arrange pie crust in a 9-inch pie pan. Spread rhubarb in an even layer in the bottom of the crust.. Whisk egg, white sugar, sour cream, and 1/3 cup of flour together in a medium bowl until smooth. Pour over rhubarb.. Mix 1/2 cup of flour and brown sugar together in a small bowl; stir in melted butter until mixture is crumbly. Sprinkle over top of the pie.. Bake for 15 minutes in the preheated oven, then reduce the heat to 350 degrees F (175 degrees C). Continue to bake until the edges have puffed, and the topping is golden, about 40 minutes. The center may still be slightly jiggly. Cool completely before slicing and serving.","calories: 493, fat: 20g, carbs: 75g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/-vS0Yi1ROFkuuOuNE1HW4F5TEYo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9206906-rhubarb-sour-cream-pie-paddler-4x3-1-4522fddd608f46c3958adb41e3aa4903.jpg
Bumbleberry Pie II,https://www.allrecipes.com/recipe/38398/bumbleberry-pie-ii/,"{'quantity': '5 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'shortening'}, {'quantity': '¾', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vinegar'}, {'quantity': '4', 'unit': 'cups', 'name': 'peeled, chopped apples'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped fresh rhubarb'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh blueberries'}, {'quantity': '2', 'unit': 'cups', 'name': 'raspberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'all purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tapioca'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}","Preheat the oven to 350 degrees F (175 degrees C).. For the dough: Combine flour and salt in a large bowl. Cut in shortening until mixture resembles coarse crumbs. Whisk water, egg, and vinegar together in a medium bowl. Stir into flour until mixture forms a ball.. Divide dough into 4 equal balls. Wrap in plastic and refrigerate for 4 hours or overnight. Roll out dough to fit two 9-inch pie pans. Place bottom crusts in 2 pie pans. Roll out and set aside top crusts.. For the filling: Combine apples, rhubarb, strawberries, blueberries, raspberries, and lemon juice in a large bowl. Combine sugar, flour, and tapioca in a medium bowl. Gently toss with fruit mixture.. Divide fruit mixture into 2 prepared pastry-lined pie pans. Cover with top crusts. Trim and crimp edges. Whisk together egg yolk and water in a small bowl. Brush tops of pies with egg wash. Cut a few slits in pie tops to allow steam to vent.. Bake in the preheated oven for 50 to 60 minutes, or until filling is bubbly in center and top is golden brown.","calories: 554, fat: 27g, carbs: 74g, protein: 6g, servings: 16",https://www.allrecipes.com/thmb/5BFdJ5B5RZbqdBuQXWG2e5FHkiE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/849467-aa4fb38e54b04438bb396e84f9a351ae.jpg
Crumb-Topped Strawberry Rhubarb Pie,https://www.allrecipes.com/recipe/216987/crumb-topped-strawberry-rhubarb-pie/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chilled butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water, or more as needed'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'cups', 'name': 'rhubarb, sliced ½-inch thick'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chilled butter'}","Preheat the oven to 400 degrees F (200 degrees C). Whisk 1 cup of flour and salt in a bowl.. Cut 1/3 cup of butter into the flour mixture with a pastry cutter until the mixture resembles coarse crumbs. Moisten with water, 1 tablespoon at a time, just until the mixture holds together. Shape the dough into a ball, and roll out into a 12-inch circle on a floured work surface. Crust will be thin. Fold the dough gently into quarters, and lay into a 9-inch pie dish; unfold the dough and center the crust in the pie dish. Trim the crust to 1/2 inch of overhang, and crimp or flute the edge of the crust. Refrigerate crust while making filling.. Mix 1 ¼ cups of sugar, 1/3 cup of flour, cinnamon, and nutmeg in a bowl until thoroughly combined. Mix in rhubarb and strawberries, and pour into the crust-lined pie dish. Sprinkle with pecans. Mix 1 cup of flour with 2/3 cup of sugar in a bowl, and cut 1/3 cup of butter into the mixture with a pastry cutter until the mixture resembles coarse crumbs; sprinkle the crumb topping evenly over the pie filling. Cover the edge of the pie with strips of aluminum foil.. Bake in the preheated oven until the crumb topping is golden brown and the filling bubbles around the edges, 50 to 60 minutes. Remove foil for the last 10 minutes of baking to brown the pie edge.","calories: 506, fat: 19g, carbs: 81g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/zCTBvTnoYP1trGC0OPbTjIpw-68=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2290262-d98898bf41694aa5af9ff6c5a940241b.jpg
Cherry Rhubarb Pie,https://www.allrecipes.com/recipe/12128/rhubarb-cherry-pie/,"{'quantity': '2', 'unit': 'cups', 'name': 'chopped rhubarb'}, {'quantity': '1', 'unit': '(21 ounce) can', 'name': 'cherry pie filling'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'quick-cooking tapioca'}, {'quantity': '1', 'unit': '(14.1 ounce) package', 'name': 'double-crust pie pastry, thawed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}","Combine rhubarb, cherry pie filling, sugar, and tapioca in a large bowl. Let stand for 15 minutes. Preheat the oven to 400 degrees F (200 degrees C).. Pour filling into unbaked pie shell, and cover with pie crust. Brush top with milk, and sprinkle on sugar.. Bake in the preheated oven until pastry is golden and filling is bubbling, about 40 to 45 minutes.","calories: 287, fat: 8g, carbs: 54g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/AQKAGSIz/poster.jpg?width=720
Fast Apple Rhubarb Pie,https://www.allrecipes.com/recipe/15069/fast-apple-rhubarb-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'pie shell'}, {'quantity': '6', 'unit': '', 'name': 'apple - peeled, cored, and chopped'}, {'quantity': '3', 'unit': '', 'name': 'rhubarb, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Preheat oven to 440 degrees F (220 degrees C).. Combine apples and rhubarb in a large bowl. Mix together sugar and cinnamon in a small bowl, then sprinkle over fruit. Toss until fruit is thoroughly coated. Spoon mixture into pastry shell.. Bake in preheated oven for 40 minutes.","calories: 237, fat: 5g, carbs: 48g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/8CeBgIfsV4qBGhX4tbIyGrXegx4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Fast-Apple-Rhubarb-Pie-2000-2d8cb90e973040348192ccb85b8c52fc.jpg
