name,link,ingredients,steps,nutrition,image_url
How to Make Arroz con Leche,https://www.allrecipes.com/how-to-make-arroz-con-leche-recipe-7507398,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': '(3-inch long)', 'name': 'cinnamon sticks'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1 (12-ounce can)', 'unit': None, 'name': 'milk'}, {'quantity': '14', 'unit': 'ounces', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': None, 'name': 'cinnamon for garnish'}",,"calories: 515, fat: 14g, carbs: 84g, protein: 15g, servings: 6",https://www.allrecipes.com/thmb/nSF9hxJzGnH9CZCaYwLhw7-kGT4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7507398-how-to-make-arroz-con-leche-ddmfs_4x3_1583-f3450312a283478fae02d04f4d58384e.jpg
Creamy Rice Pudding,https://www.allrecipes.com/recipe/24059/creamy-rice-pudding/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'cold water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'golden raisins'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 366, fat: 7g, carbs: 68g, protein: 9g, servings: 4",https://cdn.jwplayer.com/v2/media/Rs4Q9I0i/thumbnails/4QysJyJU.jpg
Best Old-Fashioned Creamy Rice Pudding,https://www.allrecipes.com/recipe/228914/old-fashioned-creamy-rice-pudding/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'cooked rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk, divided'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'golden raisins (Optional)'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 331, fat: 7g, carbs: 61g, protein: 8g, servings: 4",https://cdn.jwplayer.com/v2/media/OE2f6BSa/thumbnails/Y9xuxNE0.jpg
Baked Rice Pudding,https://www.allrecipes.com/recipe/9405/baked-rice-pudding/,"{'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}","Gather all ingredients.. Place rice in a 3-quart saucepan and add water; bring to a boil. Reduce heat and simmer for 25 to 30 minutes.. Preheat the oven to 325 degrees F (165 degrees C).. Mix eggs, milk, sugar, vanilla extract, and salt together in a large bowl until combined.. Stir in cooked rice and raisins. Transfer into a 10x6x2 inch baking dish.. Bake uncovered in the preheated oven for 30 minutes; stir pudding and sprinkle with nutmeg. Continue to bake until a knife inserted into the center comes out clean, about 30 minutes more.","calories: 155, fat: 2g, carbs: 29g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/VY2jIS_C-HltmIcMo4ma8lgyXnU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-9405-baked-rice-pudding-DDMFS-4x3-eeeb036d73ec4048925c8289928a8632.jpg
Slow Cooker Rice Pudding,https://www.allrecipes.com/recipe/235333/slow-cooker-rice-pudding/,"{'quantity': '4', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'long-grain white rice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'margarine'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}","Stir 4 cups milk, sugar, and rice together in a slow cooker until sugar dissolves. Add margarine, cover, and cook on High for 2 1/2 hours.. Whisk egg, 2 tablespoons milk, vanilla, almond extract, and salt together in a bowl.. Pour a small amount hot rice mixture into egg mixture, whisking quickly so egg doesn't cook. Pour mixture back into the slow cooker and whisk until combined. Continue to cook on High until creamy, about 15 more minutes.. Transfer pudding to a glass baking dish. Cover with plastic wrap leaving two corners uncovered to vent, and refrigerate until chilled completely, at least 1 hour.","calories: 176, fat: 5g, carbs: 28g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/pDi41vRhNZC3UxTN5pxawcBkE0M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8089104-e4e6676c76e947db9e78e283d118b931.jpg
Sweet Rice,https://www.allrecipes.com/recipe/214083/sweet-rice/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked long-grain white rice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'whole milk, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Bring water, rice, and butter to a boil in a large saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid is absorbed, 20 to 25 minutes.. Whisk together 2 cups milk, sugar, egg, flour, and vanilla in a bowl; pour over cooked rice in the saucepan and stir to combine. Bring to a simmer over low heat and cook, stirring occasionally, for 15 minutes.. Stir in remaining 1 cup milk, cream, raisins, and cinnamon until thoroughly mixed. Let cool for a few minutes. Serve warm or cold.","calories: 418, fat: 19g, carbs: 54g, protein: 9g, servings: 6",https://www.allrecipes.com/thmb/hu8xxMCtuGpSgRwW9AsC-zxrfDg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4479695-68f66778f85e4e609171e372c489b517.jpg
Brown Sugar and Cinnamon Rice Pudding,https://www.allrecipes.com/recipe/233304/brown-sugar-and-cinnamon-rice-pudding/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'instant white rice (such as Minute)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'butter (Optional)'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cornstarch'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon, or more to taste'}","Bring water to a boil in a saucepan. Add rice, butter, and salt; cook and stir until butter melts, then cover the saucepan and remove from the heat. Set aside until water is absorbed, about 5 minutes.. Stir milk, brown sugar, cornstarch, and vanilla into rice; bring to a simmer over medium heat while stirring. Cook until rice has the consistency of loose oatmeal, about 5 minutes. Ladle pudding into bowls and dust with cinnamon.","calories: 246, fat: 2g, carbs: 50g, protein: 6g, servings: 4",https://www.allrecipes.com/thmb/O0lV4FmUfoOKEHqBPxK1DcVnUos=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1061316-brown-sugar-and-cinnamon-rice-pudding-Tammy-Lynn-4x3-1-e2990dacdd7746a3a58087c9d019cfa4.jpg
Rice Cooker Rice Pudding,https://www.allrecipes.com/recipe/228474/rice-cooker-rice-pudding/,"{'quantity': '8', 'unit': 'cups', 'name': 'skim milk, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'short-grain white rice'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Stir 5 1/2 cups milk, rice, sugar, and cinnamon together in a rice cooker. Cover and cook for one cycle until tender and creamy, about 20 minutes. Stir in remaining 2 1/2 cups milk.. Transfer to a bowl and let cool to room temperature, about 30 minutes. Cover and refrigerate for 1 to 2 hours before serving.","calories: 310, fat: 0g, carbs: 66g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/7IjUy0bol7d9ajYjM9d56-0GRBg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/969229-rice-cooker-rice-pudding-Sugarplum-4x3-1-378e2396e8344dd18d63e5684f0cf613.jpg
Healthier Creamy Rice Pudding,https://www.allrecipes.com/recipe/219442/healthier-creamy-rice-pudding/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked brown rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'low-fat milk, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Combine water and rice over high heat in a saucepan and bring to a boil. Reduce heat to medium-low, cover, and simmer until tender, about 45 minutes.. Combine cooked rice, 1 1/2 cups milk, sugar, and salt in a clean saucepan.. Cook over medium heat until thick and creamy, 15 to 20 minutes.. Stir in remaining 1/2 cup milk, beaten egg, and raisins. Cook 2 minutes more, stirring constantly.. Remove from heat and stir in butter and vanilla. Serve warm.","calories: 363, fat: 6g, carbs: 69g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/shEAyxxz-oxSM4HA5gVxx9Sbaik=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-219442-healthier-creamy-rice-pudding-DDMFS-4x3-8c67b45459f14034b8849ebc531f0787.jpg
Kheer (Rice Pudding),https://www.allrecipes.com/recipe/74203/kheer-rice-pudding/,"{'quantity': '2', 'unit': 'cups', 'name': 'coconut milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'basmati rice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cardamom'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'rose water (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced almonds, toasted'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped pistachio nuts'}","Bring coconut milk, milk, and sugar to a boil in a large saucepan over medium heat. Add rice, reduce the heat to low, and simmer until mixture thickens and rice is tender, about 20 minutes.. Stir in raisins, cardamom, and rose water; cook for a few more minutes. Ladle into serving bowls and garnish with almonds and pistachios.","calories: 513, fat: 33g, carbs: 48g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/qf1aHJcHi9iC1psLs7dS0w9T-Mo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2237989-74a75a7e04f441fb8180e02811041929.jpg
