name,link,ingredients,steps,nutrition,image_url
Lemon Chicken And Rice Casserole,https://www.allrecipes.com/lemon-chicken-and-rice-casserole-recipe-8635802,"{'quantity': '4', 'unit': '(6-ounce) bone-in, skin-on', 'name': 'chicken thighs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, finely chopped'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white rice, rinsed'}, {'quantity': '1 (10 1/2-ounce)', 'unit': None, 'name': 'cream of chicken soup'}, {'quantity': '1', 'unit': 'tablespoon freshly squeezed lemon', 'name': 'freshly squeezed lemon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated lemon zest'}, {'quantity': '1', 'unit': 'teaspoon chopped', 'name': 'fresh tarragon, plus more for garnish'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper, plus more for garnish'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': None, 'name': 'lemon, sliced into 1/8-inch thick slices'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'parsley'}",,"calories: 652, fat: 36g, carbs: 45g, protein: 46g, servings: 4",https://www.allrecipes.com/thmb/-CgYeDhVqONC0papo6pWg-0rUjk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8635802-lemon-chicken-rice-casserole-ddmfs-4x3-ee82ae7b7cea49bd9992e069ab8f7d91.jpg
Stuffed Pepper Casserole,https://www.allrecipes.com/stuffed-pepper-casserole-recipe-7372944,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1/2', 'unit': None, 'name': 'onion, chopped'}, {'quantity': '1', 'unit': None, 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper, chopped'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1 (10-', 'unit': 'ounce) can', 'name': 'diced tomatoes with green chiles (such as'}, {'quantity': '1 (15', 'unit': 'ounce) can', 'name': 'tomato sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'taco seasoning'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'long grain rice'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cheese, shredded'}, {'quantity': '4', 'unit': 'ounces', 'name': 'pepper Jack cheese, shredded'}","Preheat the oven to 375 degrees F (190 degrees C). Spray a 13x9x2-inch baking dish with nonstick cooking spray.. Heat a large nonstick skillet over medium-high heat, and cook and stir ground beef, onion, green bell pepper, red bell pepper, and garlic until meat is browned and crumbly, 7 to 10 minutes. Drain excess fat; season with salt and pepper. Stir in RO-TEL tomatoes, tomato sauce, and taco seasoning.. Spread rice in the bottom of the baking dish; pour in beef broth. Fold pepper mixture into rice with a spatula, and spread evenly into the dish. Sprinkle with Colby cheese and pepper Jack cheese.. Bake in the preheated oven, covered with foil, until rice is tender, about 50 minutes. Remove foil and cook until cheese is golden, about 5 minutes more.","calories: 349, fat: 19g, carbs: 18g, protein: 25g, servings: 8",https://www.allrecipes.com/thmb/pvoPTF8qr3BceCDfbUYqMJiUsr0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7372944DeconstructedstuffedpeppercasseroleTheDailyGourmet4X3NEW-877124abcf584af6b785270d5d66163f.jpg
Cheesy Hamburger Rice Casserole,https://www.allrecipes.com/recipe/83196/hamburger-jazz/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'cream of mushroom soup'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes with juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'long grain white rice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Crumble the ground beef into a skillet over medium-high heat. Cook and stir until evenly browned. Drain off grease, and stir in the cream of mushroom soup, tomatoes, and uncooked rice. Cover, and simmer over low heat, stirring occasionally, until rice is cooked, about 15 minutes.. Preheat the oven's broiler. When the rice is done cooking, transfer the contents of the skillet to a casserole dish. Cover with a layer of cheese.. Broil until the cheese is melted and toasty. Season with salt and pepper to taste, and enjoy!","calories: 425, fat: 21g, carbs: 28g, protein: 28g, servings: 4",https://cdn.jwplayer.com/v2/media/sB5BJwzr/poster.jpg?width=720
Chicken Fajita Rice Casserole,https://www.allrecipes.com/recipe/8515531/chicken-fajita-rice-casserole/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'long-grain white rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro leaves'}, {'quantity': '2', 'unit': '', 'name': 'limes, zested and juiced'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'boneless, skinless chicken breasts, cut into 1/2 inch slices'}, {'quantity': '2', 'unit': 'small', 'name': 'bell peppers, thinly sliced'}, {'quantity': '1', 'unit': 'large', 'name': 'red onion, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fajita seasoning'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into wedges'}","Preheat the oven to 350 degrees F (175 degrees C).. Add uncooked rice to a dry saucepan over medium; cook, stirring constantly, until rice is fragrant and no longer translucent, 3 to 4 minutes.. Transfer to an ungreased 13- x 9-inch baking dish and stir in cilantro, lime zest, and lime juice; mix until combined.. Place chicken, bell peppers, onion, fajita seasoning, olive oil, salt, and pepper in a large bowl and toss until chicken and vegetables are evenly coated.. Transfer to baking dish and place in an even layer over rice mixture. Pour in chicken broth and cover with aluminum foil.. Bake in preheated oven until chicken is cooked through and rice is tender, about 45 to 50 minutes.. Remove from oven, uncover, and top with desired toppings. Serve with lime wedges.","calories: 256, fat: 5g, carbs: 30g, protein: 23g, servings: 8",https://www.allrecipes.com/thmb/Tbxq_oP6ei85ntTm9prASDPJ3U8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/chicken-fajita-rice-casserole-mfs-4x3-45-6b1e32bf6b544b98a2f1aa8803bc8586.jpg
Mamaw's Chicken and Rice Casserole,https://www.allrecipes.com/recipe/233983/mamaws-chicken-and-rice-casserole/,"{'quantity': '3', 'unit': '', 'name': 'chicken breasts, cut into cubes'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'instant white rice'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of chicken soup'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of celery soup'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of mushroom soup'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, sliced into pats'}",,"calories: 411, fat: 24g, carbs: 24g, protein: 24g, servings: 6",https://cdn.jwplayer.com/v2/media/9rZ8vuTH/thumbnails/pvd5Od2B.jpg
"Broccoli, Rice, Cheese, and Chicken Casserole",https://www.allrecipes.com/recipe/25490/broccoli-rice-cheese-and-chicken-casserole/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked instant rice'}, {'quantity': '2', 'unit': '(10 ounce) cans', 'name': 'chunk chicken, drained'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen chopped broccoli'}, {'quantity': '1', 'unit': 'pound', 'name': 'processed cheese food, cubed'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, cubed'}, {'quantity': '1', 'unit': 'small', 'name': 'white onion, chopped'}",,"calories: 756, fat: 31g, carbs: 83g, protein: 36g, servings: 8",https://cdn.jwplayer.com/v2/media/MpePiTai/poster.jpg?width=720
Cabbage Roll Casserole,https://www.allrecipes.com/recipe/14690/cabbage-roll-casserole/,"{'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '3 ½', 'unit': 'pounds', 'name': 'chopped cabbage'}, {'quantity': '1', 'unit': '(29 ounce) can', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'beef broth'}",,"calories: 352, fat: 21g, carbs: 26g, protein: 17g, servings: 12",https://cdn.jwplayer.com/v2/media/7KcAv4se/poster.jpg?width=720
Campbell's Cheesy Chicken and Rice Casserole,https://www.allrecipes.com/recipe/151689/campbells-cheesy-chicken-and-rice-casserole/,"{'quantity': '2', 'unit': 'cups', 'name': 'fresh or frozen vegetables'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': ""Campbell's® Condensed Cream of Chicken Soup (regular or 98% Fat Free)""}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'uncooked regular long-grain white rice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken breasts'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Preheat the oven to 375 degrees F (190 degrees C).. Mix vegetables, condensed soup, water, rice, and onion powder together in a 12x8-inch shallow baking dish. Arrange chicken breasts on top; cover.. Bake in the preheated oven until chicken is no longer pink and cooked through, about 45 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Top with shredded cheese and serve.",,https://www.allrecipes.com/thmb/FiSjC9R-RqfDhiO-kkgE6yZec3c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/892142-0d12e0c0d7d248f5a03fc7a4592f2284.jpg
Chicken and Rice Casserole I,https://www.allrecipes.com/recipe/8662/chicken-and-rice-casserole-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '2', 'unit': '(10.75 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(4.5 ounce) can', 'name': 'sliced mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}","Preheat oven to 350 degrees F (175 degrees C).. In a large bowl mix the rice, dry onion soup mix, cream of mushroom soup, mushroom pieces and milk.. Place the chicken pieces in a 9x13 inch baking dish and pour the mushroom mixture over the chicken. Cover and bake in the preheated oven for 1 hour. Uncover and bake for 15 more minutes.","calories: 367, fat: 9g, carbs: 37g, protein: 33g, servings: 6",https://www.allrecipes.com/thmb/RnyFj3Qh1hKGu7kC0FUq689JwWo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5231910-chicken-and-rice-casserole-i-tcasa-4x3-1-2000-5c70451bb8c74e20911e92aa124af45c.jpg
Easy and Delicious Mexican Pork Chops,https://www.allrecipes.com/recipe/218030/easy-and-delicious-mexican-pork-chops/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '6', 'unit': None, 'name': 'boneless pork chops'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked long-grain white rice'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'picante sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': None, 'name': 'green bell pepper, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Coat a 9x13-inch baking dish with cooking spray.. Season pork chops with salt and black pepper. Heat vegetable oil in a large skillet over medium heat. Add chops; brown on both sides, about 5 minutes per side. Set aside.. Combine water, rice, tomato sauce, picante sauce, and taco seasoning in the prepared baking dish. Lay chops in rice mixture; top with bell pepper slices. Cover the dish.. Bake in the preheated oven until chops no longer pink inside and rice tender, about 1 hour. An instant-read thermometer inserted into the thickest part of a chop should read 145 degrees F (63 degrees C). Uncover the dish; sprinkle with Cheddar cheese.. Continue to bake, uncovered, until cheese bubbly and melted, 5 to 10 minutes more.","calories: 499, fat: 18g, carbs: 47g, protein: 33g, servings: 6",https://cdn.jwplayer.com/v2/media/6T2F2BXC/poster.jpg?width=720
