name,link,ingredients,steps,nutrition,image_url
Zucchini and Asparagus Orzo Risotto,https://www.allrecipes.com/zucchini-and-asparagus-orzo-risotto-recipe-8642462,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'vegetarian chicken-flavored broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'low-sodium vegetable broth'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': 'medium', 'name': 'yellow onion, diced'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': None, 'unit': None, 'name': 'sea salt and freshly cracked black pepper to taste'}, {'quantity': '1', 'unit': None, 'name': 'zucchini, halved lengthwise and sliced'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked orzo pasta'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '', 'unit': '', 'name': '1 hard cheese rind'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh asparagus, trimmed and cut into 2-inch pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely grated Grana Padano cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': None, 'name': 'lemon, zested and juiced'}",,"calories: 641, fat: 21g, carbs: 89g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/vsYCXWj87A1aJ1xp8WSK-rcWut4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9238674_Spring-Orzo-Risotto-4x3-9c367285028f4ea89e84106f96c135d0.jpg
Creamy Wild Mushroom Risotto,https://www.allrecipes.com/recipe/150033/gorgonzola-and-wild-mushroom-risotto/,"{'quantity': '2', 'unit': 'ounces', 'name': 'dried chanterelle mushrooms'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'truffle oil (Optional)'}, {'quantity': '1', 'unit': '', 'name': 'chopped onion'}, {'quantity': '2', 'unit': '', 'name': 'shallots, minced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'ounces', 'name': 'sliced fresh button mushrooms'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'Arborio rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '1', 'unit': 'quart', 'name': 'hot chicken stock'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled Gorgonzola cheese, or to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Cover chanterelle mushrooms with hot water, cover, and set aside to soften for 30 minutes. Once soft, remove mushrooms from water and chop; discard water.. Melt butter along with truffle oil in a large saucepan over medium-high heat. Add onion, shallot, and garlic; cook and stir two minutes until the onion begins to soften. Add fresh mushrooms; continue cooking until mushroom softens and begin to release their liquid. Stir in chopped chanterelle mushrooms, and cook 3 minutes more.. Add Arborio rice; cook and stir for a few minutes until rice looks glossy and is well coated with onion mixture. Stir in white wine and cook until nearly evaporated.. Reduce heat to medium; add 1/3 of the hot chicken stock. Cook and stir until chicken stock has been mostly absorbed, about 5 minutes. The risotto should be simmering gently while you stir in chicken stock. Add 1/2 of the remaining stock, and stir for 5 minutes more. Finally add remaining stock, and continue cooking until risotto is creamy and rice is tender, about 5 minutes more. The rice should not be completely soft, but still have a little firmness when you bite into it. You can add a little water if needed to cook the rice to this state.. Remove risotto from the heat, and stir in heavy cream and Gorgonzola cheese. Season to taste with salt and pepper, and serve.","calories: 321, fat: 9g, carbs: 44g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/E-6Cbsa6Uy90WRWMiHWXd-JLjxk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9416606-74723cfc8c8b4e378d804b292b598649.jpg
Parmesan Risotto,https://www.allrecipes.com/recipe/8495586/parmesan-risotto/,"{'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'shallot, minced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'Arborio rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '3', 'unit': 'cups', 'name': 'hot vegetable stock'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced fresh parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'freshly ground white pepper to taste'}","Heat olive oil and butter in a large sauté pan over medium-high heat until butter is melted. Reduce heat to medium-low and add shallot and garlic. cook and stir until shallots are translucent but not brown, about 5 minutes.. Pour in rice and stir until the rice is coated in oil and has started to toast, about 5 minutes. Pour in wine and let it simmer until it has mostly evaporated, then stir in one-third of the boiling vegetable broth ; continue stirring until the rice has absorbed the liquid and turned creamy. Repeat this process twice more, stirring constantly. Stirring in the broth should take 15 to 20 minutes in all. When finished, the rice should be tender yet firm to the bite. You may not need all the vegetable stock.. Remove from heat. Stir in Parmesan cheese, parsley, salt, and white pepper until well combined. Serve immediately.","calories: 249, fat: 8g, carbs: 35g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/nUULc0zkXUpV6yyceKsx__n1KRs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8495586parmesan-risottofabeveryday2x3-b2ce8d254e194c58bcde4c5a436eb600.jpg
Gourmet Mushroom Risotto,https://www.allrecipes.com/recipe/85389/gourmet-mushroom-risotto/,"{'quantity': '6', 'unit': 'cups', 'name': 'chicken broth, or as needed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'portobello mushrooms, thinly sliced'}, {'quantity': '1', 'unit': 'pound', 'name': 'white mushrooms, thinly sliced'}, {'quantity': '2', 'unit': 'medium', 'name': 'shallots, diced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'Arborio rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'finely chopped chives'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'sea salt and freshly ground black pepper to taste'}",,"calories: 431, fat: 17g, carbs: 57g, protein: 11g, servings: 6",https://cdn.jwplayer.com/v2/media/49emAtrw/thumbnails/2yYpPiJ0.jpg
Instant Pot Mushroom Risotto,https://www.allrecipes.com/recipe/259455/instant-pot-mushroom-risotto/,"{'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'cups', 'name': 'diced mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'sprig', 'name': 'rosemary'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'Arborio rice'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1', 'unit': 'quart', 'name': 'chicken or vegetable stock'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}",,"calories: 545, fat: 32g, carbs: 43g, protein: 15g, servings: 4",https://cdn.jwplayer.com/v2/media/5YIGa9eW/thumbnails/imEdwpz2.jpg
Lemon Asparagus Risotto,https://www.allrecipes.com/recipe/228824/lemon-asparagus-risotto/,"{'quantity': '20', 'unit': '', 'name': 'fresh asparagus spears, trimmed'}, {'quantity': '4', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, diced'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'Arborio rice'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'freshly grated Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lemon zest'}",,"calories: 357, fat: 9g, carbs: 53g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/tr5wFzkcoLvEyhIw3k2Qvf29_zU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9342335-6b161e4324ae4f6a8f6d603d2d78c924.jpg
Risotto with Truffle and Parmesan,https://www.allrecipes.com/recipe/231374/risotto-with-truffle-and-parmesan/,"{'quantity': '1', 'unit': 'quart', 'name': 'chicken broth'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, minced'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'Arborio rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'hot water, or as needed (Optional)'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white truffle oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'milk, or as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Heat chicken broth in a stockpot over medium-low heat until warmed, 3 to 5 minutes.. Heat 1 tablespoon butter and olive oil in a large, heavy-bottomed pan until butter melts. Add onion and sauté until translucent, about 2 minutes. Stir in rice until coated, then cook, stirring constantly, until fragrant, about 1 minute.. Pour wine into rice mixture; cook and stir until liquid is absorbed, about 5 minutes. Add one ladle hot broth and cook, stirring constantly, until broth is absorbed. Continue adding and stirring in one ladle broth at a time until rice is tender but firm to the bite, 20 to 30 minutes. If you run out of broth before rice is cooked, finish cooking with hot water.. Stir in Parmesan, remaining 2 tablespoons butter, truffle oil, and milk until fully incorporated, then season with parsley, salt, and pepper. Serve immediately.","calories: 498, fat: 21g, carbs: 61g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/qzEGYADUe4vZHQS851RlPgRvyZ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1036388-risotto-with-truffle-and-parmesan-naples34102-4x3-1-9162f31e5ce6457a8ba9dea9e11fadfc.jpg
Butternut Squash Risotto,https://www.allrecipes.com/recipe/144760/butternut-squash-risotto/,"{'quantity': '2', 'unit': 'cups', 'name': 'cubed butternut squash'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '½', 'unit': '', 'name': 'onion, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'Arborio rice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '5', 'unit': 'cups', 'name': 'hot chicken stock'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Place squash into a steamer basket in a saucepan; fill with water to just below the bottom of the basket. Cover, bring to a boil, and steam squash until tender, 10 to 15 minutes. Drain; use a fork to mash squash in a bowl.. Melt butter in a saucepan over medium-high heat. Add onion; cook and stir for 2 minutes until onion begins to soften, then stir in rice. Continue cooking and stirring until rice is glossy and the onion begins to brown on the edges, about 5 minutes more.. Pour in white wine; cook, stirring constantly, until it has evaporated. Stir in mashed squash and 1/3 of the hot chicken stock; reduce heat to medium.. Cook and stir until chicken stock has been absorbed into rice, 5 to 7 minutes. Add 1/2 of the remaining chicken stock, and continue stirring until it has been absorbed. Finally, pour in remaining stock, and continue stirring until the risotto is creamy.. Stir in Parmesan cheese and season with salt and pepper.","calories: 343, fat: 8g, carbs: 57g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/HssrNYWa/poster.jpg?width=720
Slow Cooker Risotto,https://www.allrecipes.com/recipe/228033/slow-cooker-risotto/,"{'quantity': '3 ¾', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'Arborio rice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried onion flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}","Stir together broth, rice, olive oil, wine, garlic, onion flakes, salt, and black pepper in a slow cooker until well combined.. Cover and cook on High until rice is tender and creamy, 2 to 2 1/2 hours.. Stir in Parmesan cheese. Cook, uncovered, until cheese is melted, about 15 minutes.","calories: 316, fat: 12g, carbs: 42g, protein: 7g, servings: 6",https://www.allrecipes.com/thmb/_tx5W8glMQZ-qJRN_-W_bx-wGVw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2562760-66bcee81a8e64418b1198844e6a80a16.jpg
Mushroom Risotto,https://www.allrecipes.com/recipe/17323/mushroom-risotto/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'small', 'name': 'onions, finely chopped'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced fresh parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced celery'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'rice'}, {'quantity': '5', 'unit': 'cups', 'name': 'vegetable stock'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Heat olive oil in a large skillet over medium-high heat. Saute the onion and garlic in the olive oil until onion is tender and garlic is lightly browned. Remove garlic, and stir in the parsley, celery, salt, and pepper. Cook until celery is tender, then add the mushrooms. Reduce heat to low, and continue cooking until the mushrooms are soft.. Pour the milk and cream into the skillet, and stir in the rice. Heat to a simmer. Stir the vegetable stock into the rice one cup at a time, until it is absorbed.. When the rice has finished cooking, stir in the butter and Parmesan cheese, and remove from heat. Serve hot.","calories: 439, fat: 20g, carbs: 49g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/s1OOEIG8zigFnr3xFdvSLlfnCTU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1397542-aa179008e07c46aea54962ce35a0e2f6.jpg
