name,link,ingredients,steps,nutrition,image_url
Challah in a Hurry,https://www.allrecipes.com/recipe/7236/challah-in-a-hurry/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': 'cup', 'name': 'margarine, melted'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '4 ½', 'unit': 'teaspoons', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '7 ½', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'poppy seeds (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame seeds (Optional)'}","In a medium bowl, blend together warm water, melted margarine, sugar, and 3 beaten eggs.. In a large bowl, mix together yeast, salt, and 7 cups of flour. Gradually stir in liquid ingredients, and mix until dough holds together.. Knead dough on a floured surface with remaining flour until smooth.. Split dough into 2 large pieces. Split 2 large pieces into 3 pieces each. Roll each third into a rope 3/4 inch thick and braid 3 strands together. Repeat. Place shaped dough onto greased cookie sheets. Brush dough with remaining beaten egg. Add poppy or sesame seeds, if desired. Let rise in a warm place until doubled in size.. Bake in a preheated 325-degree F (165-degrees C) oven for 20 to 30 minutes.","calories: 91, fat: 7g, carbs: 6g, protein: 1g, servings: 30",https://www.allrecipes.com/thmb/oAL0N2ML-uAZg_uLhl465iyA1bA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/889470-23db838c8b7e45008bec1bb9b6985d75.jpg
These Are the Foods You Need for Your Rosh Hashanah Feast,https://www.allrecipes.com/article/a-feast-for-rosh-hashanah/,,,,https://www.allrecipes.com/thmb/_b73hTnmBO0ZKBLge9XuwAfhEGo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6466315_Chocolate-GlazedHoneyCake4x3-02b0468b7d6d449c9c4e83afbf6faf7e.jpg
Moist Holiday Honeycake,https://www.allrecipes.com/recipe/219008/moist-holiday-honeycake/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'unbleached all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'strong brewed coffee (decaf is fine)'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'whiskey'}","Place an oven rack in an upper position in the oven. Preheat the oven to 350 degrees F (175 degrees C). Spray a 10-inch fluted tube pan (such as Bundt) with cooking spray.. In a bowl, whisk together flour, baking powder, baking soda, salt, cinnamon, cloves, and nutmeg until thoroughly combined. In a separate large bowl, whisk together canola oil, honey, white and brown sugars, eggs, vanilla, coffee, orange juice, and whiskey. With an electric mixer, beat the flour mixture into the honey mixture just until thoroughly incorporated. Pour the batter into the prepared pan.. Bake on the upper shelf of the preheated oven until golden brown and a toothpick inserted into the center comes out with moist crumbs, about 1 hour. Cool for 20 minutes in the pan before turning out onto a serving platter.","calories: 555, fat: 20g, carbs: 87g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/i0C2cFYlupU1zLfKhKMUssUeFFg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4560512-88c7a1c60ca34ec1996f00c36978b114.jpg
Apple and Honey Sorbet,https://www.allrecipes.com/recipe/76202/apple-and-honey-sorbet/,"{'quantity': '1 ¼', 'unit': 'pounds', 'name': 'Granny Smith apples, cored and thinly sliced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sugar'}, {'quantity': '1 ½', 'unit': '', 'name': 'lemons, juiced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}","In a large, resealable plastic bag or plastic container with a lid, mix apples with the juice of 1/2 lemon. Freeze for several hours or overnight.. In a small saucepan, bring water and sugar to a boil. Reduce heat, and simmer for 5 minutes. Remove from heat, and stir in honey. Cool completely.. Place apple in a blender, and liquidize them with juice of 1 lemon and the cooled sugar syrup until as smooth as possible. The peel will add texture, and prevent the mixture from being completely smooth.. Transfer the mixture to an ice cream machine and freeze according to directions. Leave the sorbet out to soften 10 minutes prior to serving.","calories: 188, fat: 0g, carbs: 51g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/_6fIMkJ08mOXcjilwH60dg9fNqA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/253258-79c6e42a4bd949129d08cca3e7a7f31a.jpg
Baked Honey Mustard Chicken,https://www.allrecipes.com/recipe/8847/baked-honey-mustard-chicken/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'honey'}, {'quantity': '½', 'unit': 'cup', 'name': 'prepared mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried parsley'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish with cooking spray.. Season chicken breasts with salt and pepper. Place in the prepared baking dish.. Combine honey, mustard, basil, paprika, and parsley in a small bowl; mix well. Pour 1/2 of the honey mustard mixture over chicken and brush to cover.. Bake in the preheated oven for 15 minutes. Turn chicken pieces over and brush with remaining honey mustard mixture. Continue baking until chicken is no longer pink and juices run clear, 10 to 15 minutes more. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).. Let cool 10 minutes before serving. Enjoy!","calories: 232, fat: 4g, carbs: 25g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/kWhj9mJf/thumbnails/e808eMXO.jpg
Carrot Soufflé,https://www.allrecipes.com/recipe/21463/carrot-souffle/,"{'quantity': '1', 'unit': 'pound', 'name': 'carrots, coarsely chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 2-quart casserole dish.. Bring a large pot of salted water to a boil. Add carrots and cook until tender, 15 to 20 minutes. Drain and mash. Stir in butter, vanilla extract, and eggs; mix well.. Sift flour, baking powder, salt, and sugar together. Stir into carrot mixture and blend until smooth. Transfer to the prepared casserole dish.. Bake in the preheated oven for 45 minutes.","calories: 311, fat: 18g, carbs: 35g, protein: 4g, servings: 6",https://www.allrecipes.com/thmb/gQyMVb3HX0XHpOWzzSnAQCL59ZU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21463-carrot-souffle-Dennis-4x3.jpg-7f4112a43f024d5bad85afd3a5a27a34.png
Baked Apricot Chicken,https://www.allrecipes.com/recipe/8840/baked-apricot-chicken/,"{'quantity': '1', 'unit': 'cup', 'name': 'apricot preserves'}, {'quantity': '1', 'unit': 'cup', 'name': 'French dressing'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '12', 'unit': '', 'name': 'chicken thighs'}","Preheat the oven to 350 degrees F (175 degrees C).. Stir apricot preserves, dressing, and soup mix together in a medium bowl until combined.. Place chicken thighs in a 9x13-inch baking dish. Pour apricot mixture over chicken and bake, uncovered, in the preheated oven until an instant-read thermometer inserted near the bone reads 165 degrees F (74 degrees C), 50 to 60 minutes.","calories: 342, fat: 20g, carbs: 23g, protein: 16g, servings: 12",https://cdn.jwplayer.com/v2/media/ztNhzhH3/poster.jpg?width=720
Challah Bread,https://www.allrecipes.com/recipe/6760/challah-i/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'active dry yeast'}, {'quantity': '½', 'unit': 'cup', 'name': 'honey'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '8', 'unit': 'cups', 'name': 'unbleached all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'poppy seeds (Optional)'}",,"calories: 165, fat: 3g, carbs: 30g, protein: 4g, servings: 30",https://cdn.jwplayer.com/v2/media/NOfidGnM/poster.jpg?width=720
Jewish Apple Cake,https://www.allrecipes.com/recipe/7969/jewish-apple-cake-i/,"{'quantity': '5', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'medium', 'name': 'apples - peeled, cored and sliced'}",,"calories: 394, fat: 18g, carbs: 56g, protein: 5g, servings: 14",https://cdn.jwplayer.com/v2/media/5zit5rbT/thumbnails/scCT8hd7.jpg
Slow Cooker Applesauce,https://www.allrecipes.com/recipe/149218/spiced-slow-cooker-applesauce/,"{'quantity': '8', 'unit': '', 'name': 'apples - peeled, cored, and thinly sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pumpkin pie spice'}",Gather all ingredients.. Combine apples and water in a slow cooker.. Cook on Low for 6 to 8 hours.. Stir in brown sugar and pumpkin pie spice.. Continue cooking another 30 minutes.,"calories: 151, fat: 0g, carbs: 39g, protein: 0g, servings: 8",https://www.allrecipes.com/thmb/L-F1Uw2VN8iW7HHH9Lc9AWd8ybw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-149218-Spiced-Slow-Cooker-Applesauce-gw-ddmfs-beauty-4x3-c84e627647ed4b3ea094b66aa19e18f9.jpg
