name,link,ingredients,steps,nutrition,image_url
Spicy Creamy Cucumber Salad,https://www.allrecipes.com/spicy-creamy-cucumber-salad-recipe-8737021,"{'quantity': '2', 'unit': 'English', 'name': 'cucumbers'}, {'quantity': '1', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ketchup'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce (such as Tabasco'}","Place sliced cucumbers into a large bowl.. Whisk Greek yogurt, lime juice, Thai chili sauce, ketchup, and hot sauce together in a small bowl until smooth; stir into sliced cucumbers. Refrigerate for 30 minutes before serving.","calories: 61, fat: 0g, carbs: 9g, protein: 7g, servings: 4",https://www.allrecipes.com/thmb/fKMkxH79TgWwrM6L0-b1wvjCD1E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8737021_Spicy-Creamy-Cucumber-Salad_Maura-Rawlette_4x3-4c19a84edeae46fda68bebeb041f6b3b.jpg
Apple Pecan Salad,https://www.allrecipes.com/apple-pecan-salad-recipe-8720990,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': None, 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt,'}, {'quantity': None, 'unit': None, 'name': 'ground black pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'cups', 'name': 'mixed greens'}, {'quantity': '1', 'unit': None, 'name': 'apple'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pecan halves'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '2', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'feta cheese'}","Combine vinegar, Dijon, shallots, salt, and pepper in a small bowl. Whisk in olive oil until dressing starts to emulsify.. Combine mixed greens, apple, pecans, cranberries, and bacon in a large bowl and toss. Drizzle as much dressing over the salad as you like, and toss again. Sprinkle with feta, and serve.","calories: 401, fat: 32g, carbs: 26g, protein: 6g, servings: 4",https://www.allrecipes.com/thmb/1J_QZ__xwsuK925duZKQHQHR2jw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8720990_Apple-Pecan-Salad_Pat-Bernitt_4x3-69d7c77333954860b03fa13cc9ec5328.jpg
Buttermilk Ranch,https://www.allrecipes.com/buttermilk-ranch-recipe-8690068,"{'quantity': '1/2', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh dill'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Dijon mustard'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}","Whisk together buttermilk, sour cream, mayonnaise, chives, dill, garlic, mustard, salt, and pepper in a medium bowl. Chill, covered, up to 5 days.","calories: 34, fat: 3g, carbs: 1g, protein: 0g, servings: 20",https://www.allrecipes.com/thmb/IPswUDc_XMfBknCr58gZqUsiCR4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8690068-ButtermilkRanch-Allrecipes-Magazine-KH_052324_AR0508-4x3-4e592a02c4dc43c0a686477229795efa.jpg
This Copycat Chipotle Honey Vinaigrette Tastes Just Like the Real Thing,https://www.allrecipes.com/copycat-chipotle-honey-vinaigrette-recipe-8658747,"{'quantity': '2', 'unit': None, 'name': 'chipotles in adobo'}, {'quantity': '1', 'unit': None, 'name': 'large garlic clove'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'oil'}, {'quantity': None, 'unit': None, 'name': 'Salt and pepper to taste'}, {'quantity': None, 'unit': None, 'name': 'Sour cream'}",,"calories: 1518, fat: 152g, carbs: 41g, protein: 1g",https://cdn.jwplayer.com/v2/media/IWYj3f4L/thumbnails/m2ZI1lMx.jpg
Lacinato Kale Salad with Warm Bacon Vinaigrette,https://www.allrecipes.com/lacinato-kale-salad-with-warm-bacon-vinaigrette-recipe-8664970,"{'quantity': '2', 'unit': 'bunches', 'name': 'lacinato kale'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'red onion (see Note)'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried apricots'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'slivered almonds'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '3', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil (see Note)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'red pepper flakes'}","Wash kale in cold water and pat dry with paper towels. Using a sharp knife, remove stems and coarse veins, and chop kale into bite-sized pieces. Place chopped kale and red onion slices in a large salad bowl, and set aside.. For dressing, cook bacon in a skillet over medium heat until browned and crispy, 5 to 7 minutes. Remove bacon from the skillet, chop, and reserve.. To the bacon drippings in the same skillet, add only enough olive oil to equal 1/4 cup. Heat the combined drippings and the olive over medium heat until hot. Stir in the minced garlic and cook about 30 seconds.. Remove the skillet from the heat and stir in balsamic vinegar, Dijon mustard, salt and pepper to taste, and red pepper flakes, to taste.. Pour mixture over torn kale and onion slices, and stir until well coated with the hot dressing. Add chopped apricots, blanched slivered almonds, and red bell pepper strips.. Give the salad a final toss, and garnish with reserved chopped bacon.","calories: 183, fat: 11g, carbs: 17g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/ex-J71Z_CH-vgmChFYlApF_CS_Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8664970_Lacinato-Kale-Salad-with-Warm-Bacon-Vinaigrette_Brenda-Venable_4x3-8240b81140af4cd7a5604c25a0016b84.jpeg
Green Goddess Pasta Salad Is the Only Thing We’re Bringing to Potlucks,https://www.allrecipes.com/green-goddess-pasta-salad-recipe-8660952,"{'quantity': '16', 'unit': 'ounces', 'name': 'pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '12', 'unit': 'spears', 'name': 'asparagus'}, {'quantity': '2', 'unit': None, 'name': 'green onions'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta'}, {'quantity': None, 'unit': None, 'name': 'fresh herbs'}, {'quantity': '1', 'unit': 'cup', 'name': 'baby spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh basil'}, {'quantity': '1', 'unit': None, 'name': 'chives'}, {'quantity': '1', 'unit': 'small', 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'granulated garlic'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'raw cashews'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'nutritional yeast'}, {'quantity': '2', 'unit': None, 'name': 'lemons'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}",,"calories: 324, fat: 19g, carbs: 30g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/rc-SqM19YFLuxXAo9NpzqAJQE00=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-green-goddess-pasta-salad-4x3-becc0a397c5a45ed9489b44f2114ec9d.jpg
"Cucumber Salad with Labneh, Za’atar, and Mint",https://www.allrecipes.com/cucumber-salad-with-labneh-za-atar-and-mint-recipe-8662239,"{'quantity': '1/4', 'unit': 'cup', 'name': 'labneh'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'fresh mint,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': ""za'atar spice""}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': None, 'name': 'English cucumbers'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon zest'}","In a bowl, stir together labneh, mint, za’atar, lemon juice, oil, salt, and pepper. Stir in cucumbers; toss to coat. Garnish with lemon zest and additional fresh mint leaves.","calories: 57, fat: 5g, carbs: 4g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/cPWybvlWHHeqgzFWJcZ-EOluze0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8662239-Cucumber-Salad-with-Labneh-Zaatar-and-Mint-KH-011724_AR0402-4x3-ee2b2eab51b54000ad8cf40340bded2e.jpg
Homemade Caesar Dressing,https://www.allrecipes.com/homemade-caesar-dressing-recipe-8652386,"{'quantity': '3/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '5', 'unit': 'filets', 'name': 'anchovy'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced (about 1 1/2 teaspoons if using garlic from a jar)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}","Put mayonnaise, anchovies, Parmesan cheese, Worcestershire sauce, Dijon mustard, lemon juice, salt, and pepper in a food processor. Blend until smooth, about 1 minute. Season with additional salt and pepper to taste, and add a pinch of cayenne if you want a little kick. Blend another 20 seconds to mix well.","calories: 156, fat: 16g, carbs: 1g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/_AiaoehJjgoaImBbYWgARwHBGDI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3386306_Fast-and-Flavorful-Caesar-Dressing-4x3-ab2f10420ab74b158ae601c0c8a640f6.jpg
Crispy Tater Caesar Salad,https://www.allrecipes.com/crispy-tater-caesar-salad-recipe-8628372,"{'quantity': '8', 'unit': 'ounces', 'name': 'chicken cutlets'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'Tater Tots'}, {'quantity': '2', 'unit': 'ounces', 'name': 'Parmesan cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'Caesar dressing'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh lemon zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'anchovy paste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'omaine lettuce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white balsamic vinegar'}","Preheat the oven to 425 degrees F (220 degrees C). Set 2 shelves near the center of the oven. Spray a baking pan with cooking spray; place frozen chicken filets on the pan.. Bake in the preheated oven on the lower-center shelf until hot and crisp, about 20 minutes, turning filets over halfway through heating time. When cool enough to handle, cut filets into bite-sized pieces.. Meanwhile, line a large rimmed baking sheet with parchment paper, and add tater tots in an even layer.. Bake on upper-center shelf in the preheated oven until tots are soft and slightly baked, 8 to 10 minutes. Remove from oven. Spray cooking spray on the bottom of a cup. Smash each tater tot into a flat disk with cup.. Return to the oven; bake until golden brown and crispy, 15 to 20 minutes. Remove from oven again, and sprinkle with 1/2 cup Parmesan cheese.. Bake again until cheese is melted, about 1 minute. Set aside to cool, about 5 minutes.. Meanwhile, whisk Caesar dressing, lemon juice, anchovy paste, garlic, 1/4 teaspoon black pepper, and salt together in a bowl until smooth.. Toss together lettuce, chicken, remaining 1/2 cup Parmesan cheese and remaining 1/4 teaspoon black pepper until well combined. Pour half the dressing into salad mix and toss until evenly coated. Add cooled tater tots and toss until well combined.. Transfer to a serving platter, drizzle with white balsamic vinegar, and garnish with more Parmesan cheese. Serve immediately.","calories: 669, fat: 49g, carbs: 36g, protein: 22g, servings: 4",https://cdn.jwplayer.com/v2/media/Z4NSjKSg/thumbnails/nw4Y7AO9.jpg
Potato Salad with Beans and Yogurt Dressing,https://www.allrecipes.com/potato-salad-with-beans-and-yogurt-dressing-recipe-8425567,"{'quantity': '1', 'unit': 'pound', 'name': 'red potatoes, cut into 1/2-inch cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'baby lima beans'}, {'quantity': '1 (5.3', 'unit': 'ounce) container', 'name': 'plain Greek yogurt,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Dijon mustard'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 (15 1/2', 'unit': 'ounce)', 'name': 'can cannellini beans, rinsed and drained'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'fresh dill'}, {'quantity': '1/2', 'unit': 'small', 'name': 'red onion, thinly sliced and halved'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'kalamata olives'}, {'quantity': '1', 'unit': 'rib', 'name': 'celery'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '6', 'unit': 'cups', 'name': 'omaine lettuce'}","Place potatoes and lima beans in a large pot, and cover with salted water by about 1 inch. Bring water to a boil, then reduce heat, and simmer until potatoes are tender, 9 to 12 minutes. Drain and cool for 5 minutes.. Meanwhile, whisk yogurt, vinegar, Dijon, salt, and pepper together in a bowl until well combined.. Add cannellini beans, dill, red onion, Kalamata olives, celery, potatoes, and lima beans. Toss gently until everything is well coated, and season to taste with salt and pepper.. This may be served at room temperature or chilled. To serve, evenly divide lettuce among serving plates, and top with potato salad.","calories: 251, fat: 4g, carbs: 41g, protein: 14g, servings: 6",https://www.allrecipes.com/thmb/UZh6m3-hnSfkctYVRkidV1v9q80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8425567_Potato-Salad-with-Beans-and-Yogurt-Dressing_Pat-Bernitt_4x3-1747411aac4e4f2aac49db8c82cbfb52.jpg
