name,link,ingredients,steps,nutrition,image_url
20 Salads So Hearty You Won't Miss the Lettuce,https://www.allrecipes.com/gallery/lettuce-free-salads/,,,,https://www.allrecipes.com/thmb/TyAIfhfS-EboTtOgQye8Aqmm5mc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1131617-aca0df77873a46a8bfd41d0f4048079a.jpg
12 Warm Potato Salad Recipes for Your Next Potluck,https://www.allrecipes.com/gallery/warm-potato-salad-recipes/,,,,https://www.allrecipes.com/thmb/cpW4lH3EauAHhgguM6RO_9Mapnw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/246717920Authentic20German20Potato20Salad20Photo20by20Allrecipes20Magazine20650x465-af21cb7867aa4408ac7802371daaed7b.jpg
14 Recipes To Give You a Taste of the Legendary Wisconsin Supper Club Salad Bar,https://www.allrecipes.com/wisconsin-supper-club-recipes-8701948,,,,https://www.allrecipes.com/thmb/XbpMKliJwcpbro3DQoDW83jrKTo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/221132-magnificent-macaroni-salad-DDMFS-4x3-134-24b5fa990c0949df85260b4d21989ee9.jpg
17 Warm Salads to Round Out Your Fall Meals,https://www.allrecipes.com/gallery/warm-fall-salads/,,,,https://www.allrecipes.com/thmb/F_fipXBYetaKi2Qgd9BumV5aLm0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Maple-Cannellini-Bean-Salad-with-Baby-Broccoli-and-Butternut-Squash-1-d0a545575dd64fd3957b73558ff6a110.jpg
Roasted Butternut Squash Salad,https://www.allrecipes.com/recipe/276540/roasted-butternut-squash-salad-with-bacon-and-onions/,"{'quantity': '1', 'unit': 'medium', 'name': 'butternut squash, halved lengthwise and seeded'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil, or as needed'}, {'quantity': '6', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced onion'}, {'quantity': '8', 'unit': 'cups', 'name': 'chopped romaine lettuce'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'pecans, toasted and chopped'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup, or to taste'}","Preheat the oven to 450 degrees F (230 degrees C).. Brush cut sides of butternut squash with olive oil. Wrap each squash half tightly in aluminum foil.. Roast squash halves in the preheated oven until they begin to soften, about 20 minutes. Remove squash from the oven and let sit until cool enough to handle. Remove foil and slice into 3/4-inch thick slices. Remove skin from each slice and cut into 3/4-inch cubes. Set aside 8 cups of the cubed squash, reserving any remaining squash for another use.. Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until crispy, 10 to 12 minutes. Remove bacon and drain on paper towels. Add onions to the skillet and cook in the bacon grease for 2 to 3 minutes. Add 8 cups squash and cook, tossing occasionally, until onions are soft and beginning to caramelize, and squash cubes are tender, 10 to 15 minutes.. Place romaine lettuce in a large serving bowl; crumble bacon on top and add pecans and raisins. Add butternut squash-onion mixture; toss to combine. Drizzle with maple syrup and serve warm.","calories: 197, fat: 11g, carbs: 22g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/TMcyZXFBd7X-8kVowKKmRdlwyuU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/276540roasted-butternut-squash-salad-with-bacon-and-onionsChristina4x3-b74e23a4a473438f89c5b61fa359c712.jpg
Cornbread Salad,https://www.allrecipes.com/recipe/14487/cornbread-salad-i/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'corn bread mix'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '10', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sour cream'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'ranch dressing mix'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'pinto beans, drained'}, {'quantity': '3', 'unit': '', 'name': 'tomatoes, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '2', 'unit': '(11 ounce) cans', 'name': 'whole kernel corn, drained'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}","Make the cornbread: Preheat the oven to 375 degrees F (190 degrees C). Spray the bottom and sides of an 8x8-inch pan with cooking spray.. Combine cornbread mix and water in a large mixing bowl until smooth; pour into prepared pan.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, 30 to 35 minutes. Let cool; crumble and set aside.. Meanwhile, make the salad: Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels.. Whisk sour cream, mayonnaise, and dressing mix together in a medium bowl.. Crumble 1/2 of the cornbread in the bottom of a large serving dish. Evenly layer with 1 can of pinto beans, 1/2 of the tomatoes, 1/2 cup green bell pepper, 1/2 cup green onions, 1 can of corn, 1 cup of cheese, 1/2 of the bacon, and 1/2 of the sour cream mixture. Repeat the layers. Cover and chill for at least 2 hours before serving.","calories: 623, fat: 42g, carbs: 48g, protein: 16g, servings: 12",https://cdn.jwplayer.com/v2/media/bVfvcVwF/thumbnails/xoZ16c0R.jpg
Greek Couscous Salad,https://www.allrecipes.com/recipe/218225/greek-couscous/,"{'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'cup', 'name': 'pearl (Israeli) couscous'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned chickpeas (garbanzo beans), rinsed and drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped sun-dried tomatoes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced Kalamata olives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled feta cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white wine vinegar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Pour water and chicken broth into a saucepan; stir in the garlic and bring to a boil. Stir in pearl couscous, cover the pan, and remove from heat. Allow couscous to stand until water has been absorbed, about 5 minutes; fluff with a fork. Allow couscous to cool to warm temperature.. Lightly toss couscous, chickpeas, sun-dried tomatoes, olives, and feta cheese in a large serving bowl.. To make the dressing: Mix white wine vinegar, lemon juice, oregano, and black pepper in a small bowl until well combined. Pour over couscous mixture; toss again to serve.","calories: 254, fat: 6g, carbs: 42g, protein: 9g, servings: 3",https://www.allrecipes.com/thmb/XmxBj2pFEG9XdGL2tXYrjZHFt6w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1389405-19d4e5ab57bb43c6a023b8a3b9b267b3.jpg
Pecan Chicken Salad,https://www.allrecipes.com/recipe/280690/pecan-chicken-salad/,"{'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '½', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white wine vinegar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': None, 'unit': None, 'name': '1/2 teaspoon Park Hill maple pepper (such as Savory Spice Shop)'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped cooked chicken'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, sliced'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped toasted pecans'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'minced red onion'}","Mix mayonnaise, Greek yogurt, vinegar, garlic powder, thyme, and maple pepper together in a bowl until well combined. Add chicken, celery, pecans, and red onion; stir well to incorporate.. Serve immediately or refrigerate for up to 3 days.","calories: 421, fat: 36g, carbs: 4g, protein: 20g, servings: 4",https://cdn.jwplayer.com/v2/media/neX0av73/poster.jpg?width=720
Copycat KFC Coleslaw,https://www.allrecipes.com/recipe/8536918/copycat-kfc-coleslaw/,"{'quantity': '1', 'unit': '(14 ounce) package', 'name': 'coleslaw mix'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely chopped yellow onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white wine vinegar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'black pepper'}","Stir together coleslaw mix and onion in a large bowl.. Whisk together mayonnaise, sugar, milk, buttermilk, vinegar, salt, and pepper in a second bowl until smooth. Pour dressing over slaw; stir well and chill at least 2 hours or up to overnight.","calories: 167, fat: 12g, carbs: 14g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/y8BABzWWkrdP3obStNlSZc-fM_U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8536918-Copycat-KFC-Coleslaw-4x3-1-b55263f8b2514c4a9c5c6cf16637964c.jpg
Hearts of Palm and Avocado Salad,https://www.allrecipes.com/recipe/8533611/hearts-of-palm-and-avocado-salad/,"{'quantity': '2', 'unit': '(14 ounce) cans', 'name': 'whole hearts of palm, drained'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'red wine vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'thinly sliced sweet onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'matchstick-cut radishes'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'matchstick-cut carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped tomato'}, {'quantity': '1', 'unit': '', 'name': 'serrano chile pepper, seeded and minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': '', 'name': 'avocado, diced'}",,"calories: 282, fat: 22g, carbs: 20g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/kfnGCF39/poster.jpg?width=720
