name,link,ingredients,steps,nutrition,image_url
Salisbury Steak,https://www.allrecipes.com/recipe/14595/salisbury-steak/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed French onion soup'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'mustard powder'}",,"calories: 440, fat: 32g, carbs: 14g, protein: 23g, servings: 6",https://cdn.jwplayer.com/v2/media/rMvERu5P/thumbnails/waZbC0eB.jpg
Hamburger Steak with Onions and Gravy,https://www.allrecipes.com/recipe/78370/hamburger-steak-with-onions-and-gravy/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '¼', 'unit': 'cup', 'name': 'bread crumbs'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'seasoned salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'thinly sliced onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cooking sherry'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'seasoned salt'}","Gather all ingredients.. Mix ground beef, bread crumbs, egg, Worcestershire sauce, salt, onion powder, garlic powder, and pepper together in a large bowl until combined. Form into 8 balls and flatten into patties.. Heat oil in a large skillet over medium heat. Add patties and onion; fry until patties are nicely browned, about 4 minutes per side. Transfer beef patties to a plate, and keep warm.. Sprinkle flour over onions and drippings in the skillet. Stir in flour with a fork, scraping bits of beef off of the bottom of the skillet as you stir. Gradually mix in beef broth and sherry. Season with seasoned salt. Simmer and stir over medium-low heat until gravy thickens, about 5 minutes.. Reduce heat to low, return patties to the gravy, cover, and simmer until cooked through, about 15 minutes.. Serve and enjoy!","calories: 319, fat: 19g, carbs: 14g, protein: 23g, servings: 4",https://cdn.jwplayer.com/v2/media/hkB7WdNl/poster.jpg?width=720
Slow Cooker Salisbury Steak,https://www.allrecipes.com/recipe/73124/slow-cooker-salisbury-steak/,"{'quantity': '2', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '½', 'unit': 'cup', 'name': 'Italian seasoned bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '(1 ounce) envelope', 'name': 'dry onion soup mix'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of chicken soup'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(1 ounce) packet', 'name': 'dry au jus mix'}","Combine ground beef, bread crumbs, milk, and onion soup mix together in a large bowl until well combined; shape into 8 patties.. Heat oil in a large skillet over medium-high heat. Dredge patties in flour just to coat, and quickly brown on both sides in the hot skillet.. Place browned patties into the slow cooker stacking alternately like a pyramid.. Mix condensed soup, water, and au jus mix together in a medium bowl; pour over the beef patties.. Cook on Low until ground beef is well done, about 4 to 5 hours.","calories: 388, fat: 24g, carbs: 18g, protein: 24g, servings: 8",https://cdn.jwplayer.com/v2/media/A4Sh6pRt/poster.jpg?width=720
Salisbury Steak with Mushrooms,https://www.allrecipes.com/recipe/229566/salisbury-steak-with-mushrooms/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onions'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, thinly sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced mushrooms'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'water'}","Combine ground beef, bread crumbs, chopped onion, egg, salt, and black pepper in a large bowl until evenly mixed. Shape beef mixture into 4 patties, about 3/4-inch thick.. Fry patties in a large skillet over medium heat until browned on both sides, about 10 minutes. Add beef broth, onion, and mushrooms; bring to a boil. Reduce heat to low, cover, and simmer until patties are no longer pink in the center, about 10 minutes more. Transfer patties to a platter and keep warm.. Bring onion mixture to a boil. Mix cornstarch and water in a small bowl; stir into onion mixture. Cook and stir until onion gravy is thickened, about 1 minute. Pour over patties to serve.","calories: 323, fat: 16g, carbs: 17g, protein: 27g, servings: 4",https://cdn.jwplayer.com/v2/media/rDNzZMOe/poster.jpg?width=720
Chef John's Salisbury Steak,https://www.allrecipes.com/recipe/280901/chef-johns-salisbury-steak/,"{'quantity': '1', 'unit': 'pound', 'name': '85% lean ground beef'}, {'quantity': '½', 'unit': 'cup', 'name': 'plain bread crumbs'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'soy sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salted butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salted butter'}, {'quantity': '12', 'unit': 'large', 'name': 'white button mushrooms, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'cups', 'name': 'high-quality, low-sodium beef broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}","Prepare the steaks: Mix ground beef, bread crumbs, egg, ketchup, Worcestershire sauce, mustard, soy sauce, pepper, and cayenne together in a mixing bowl with a fork or your hands until well combined. Cover with plastic wrap and refrigerate for at least 2 hours or overnight.. When almost ready to cook the steaks, make the gravy: Melt butter in a large nonstick skillet over high heat. Add mushrooms, onion, and salt; sauté until nicely browned, 5 to 8 minutes. Reduce the heat to medium and add flour; cook and stir for 3 minutes.. Stir in broth, ketchup, and Worcestershire sauce. Increase the heat to high and bring to a simmer. Reduce the heat to medium and cook, stirring occasionally, until gravy thickens slightly and reduces, about 10 minutes. Taste and adjust salt as needed.. Transfer gravy to a liquid measure. Scrape the pan clean with a spatula.. Finish the steaks: Remove meat from the refrigerator and divide into four equal portions. Moisten hands and form each portion into a 1/2-inch-thick oval patty. Lightly season both sides of patties with salt.. Melt butter in the clean skillet over medium-high heat. Add patties and cook until browned, 2 to 3 minutes per side. Pour in gravy and bring to a simmer. Reduce the heat to medium and continue to cook until gravy is piping hot and steaks are no longer pink in the center, about 5 more minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).","calories: 494, fat: 29g, carbs: 26g, protein: 33g, servings: 4",https://cdn.jwplayer.com/v2/media/Qsb3N4vr/poster.jpg?width=720
Midwest Salisbury Steak,https://www.allrecipes.com/recipe/239534/midwest-salisbury-steak/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground sirloin'}, {'quantity': '½', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '½', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh mushrooms, sliced'}, {'quantity': '1', 'unit': '', 'name': 'sweet onion, sliced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'beef stock'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}","Gather the ingredients.. Make the patties: Mix ground sirloin, panko bread crumbs, egg, milk, 1/2 packet onion soup mix, Worcestershire sauce, and black pepper together in a large bowl; shape into 5 patties.. Heat a skillet over medium heat. Cook patties in the hot skillet until browned, 3 to 5 minutes per side.. Make the gravy: Melt butter in a separate skillet over medium-high heat. Sauté mushrooms and onion in melted butter until tender, about 5 minutes. Stir flour and remaining 1/2 packet onion soup mix into mushroom mixture until combined.. Gradually add beef stock and water, stirring continually, until simmering. Reduce heat to medium; cook, stirring frequently, until gravy has thickened, about 4 to 5 minutes. Season with salt and pepper.. Place browned patties into gravy; simmer until very tender, about 30 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).","calories: 421, fat: 20g, carbs: 27g, protein: 33g, servings: 5",https://www.allrecipes.com/thmb/z-H16a07AqRZjAmTM5Ko4zrAmKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2067307-3814bac5191a42caad0e604d01f78ffa.jpg
Hamburger Steaks with Creamy Mushroom Gravy,https://www.allrecipes.com/recipe/77927/poor-mans-hamburger-steaks/,"{'quantity': '3', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '25', 'unit': '', 'name': 'saltine crackers, crushed'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '3', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'mushrooms, drained (Optional)'}","Preheat the oven to 350 degrees F (175 degrees C).. Mix ground beef, crackers, milk, pepper, salt, garlic powder, and Italian seasoning together in a large bowl until well combined. Form into eight large patties and place into a 9x13 inch baking dish. Pour condensed soup evenly over patties, then sprinkle canned mushrooms over top. Cover the pan with a lid or aluminum foil.. Bake in the preheated oven until patties are no longer pink in the center, about 45 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).","calories: 639, fat: 52g, carbs: 9g, protein: 31g, servings: 8",https://www.allrecipes.com/thmb/cSb1GcUFqqu_5Rlbqz7gtCp9WZw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/232653-47087d20661a4188b6cb5968dfd41ede.jpg
Basic Salisbury Steaks,https://www.allrecipes.com/recipe/239533/basic-salisbury-steaks/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'dry bread crumbs'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed golden mushroom soup'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'water'}","Mix ground beef, bread crumbs, egg, and onion soup mix together in a bowl; shape into 6 oblong patties.. Heat oil in a large skillet over medium-high heat. Cook patties until browned, about 5 minutes per side.. Stir golden mushroom soup and water together in a bowl; pour over the patties in the skillet. Turn patties to coat in the liquid. Bring liquid to a simmer, reduce heat to medium-low, place a cover on the skillet, and cook until steaks are very firm, hot, and grey in the center, 10 to 15 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).","calories: 238, fat: 14g, carbs: 11g, protein: 16g, servings: 6",https://www.allrecipes.com/thmb/-_XsZp5_vIE9JfgcRbB2AXf53Rg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1515852-9daa831c26f94891a6fff87aa56de403.jpg
Low-Carb Salisbury Steak,https://www.allrecipes.com/recipe/261774/low-carb-salisbury-steak/,"{'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley flakes'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'sliced button mushrooms, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Mix ground beef, onion, eggs, 1 tablespoon Worcestershire sauce, parsley, 2 teaspoons salt, garlic powder, onion powder, and 1/2 teaspoon pepper together in a bowl. Split steak mixture into 6 portions and form into patties.. Heat a large skillet over medium-high heat. Cook patties, 3 at a time, until slightly browned on one side, about 5 minutes. Flip and cook until other side is browned, about 5 minutes more. Repeat with remaining patties, pouring off any excess liquid. Place Salisbury steaks on a plate and cover with aluminum foil to maintain heat, or keep them warm in the oven.. Melt butter in the same skillet over medium heat. Add mushrooms and cook until golden brown, about 5 minutes. Transfer mushrooms to a bowl, reserving butter in the skillet.. Stir flour into the butter until dissolved. Pour in beef broth slowly, stirring until thickened, about 7 minutes. Add 1 teaspoon Worcestershire sauce; cook, stirring frequently, until gravy starts to thicken slightly, about 5 minutes. Add sour cream and season with salt and pepper. Cook, stirring until all sour cream is melted and gravy is light brown, about 2 minutes.. Stir mushrooms back into the gravy. Remove from heat and let cool until thickened, about 2 minutes. Ladle gravy and mushrooms over steak patties.","calories: 536, fat: 43g, carbs: 8g, protein: 30g, servings: 6",https://www.allrecipes.com/thmb/xq-BEsS-aqPrvMOIOn395RoJYQw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7581453-ee5778d194d9419b93896ee8bee2722a.jpg
Simple and Flavorful Salisbury Steak,https://www.allrecipes.com/recipe/239163/simple-and-flavorful-salisbury-steak/,"{'quantity': '2', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'Italian seasoned bread crumbs'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'dry onion soup mix'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'beef broth, divided'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of mushroom soup'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dry mustard'}","Preheat the oven to 350 degrees F (175 degrees C).. Mix together ground beef, bread crumbs, beaten eggs, onion soup mix, salt, and pepper in a large bowl until well combined. Pour in about 1/2 of the beef broth; continue mixing until mixture is thoroughly moistened. Divide into six equal portions and shape into patties.. Heat a Dutch oven over medium heat. Cook patties in the hot pot until browned, 3 to 5 minutes per side. Discard excess grease, leaving patties in the pot.. Stir together condensed soup, remaining beef broth, and dry mustard in a medium bowl until smooth; pour over browned patties in the pot.. Bake in the preheated oven until patties are no longer pink in the center, about 45 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).","calories: 502, fat: 23g, carbs: 20g, protein: 50g, servings: 6",https://www.allrecipes.com/thmb/dMVEnshU_vd8X-4M5nuC2MZ6XGw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1399307-simple-and-flavorful-salisbury-steak-Erin-Bates-4x3-1-c1c280ccfc244bdfb6853ce38b290845.jpg
