name,link,ingredients,steps,nutrition,image_url
7 Sheet Pan Salmon Recipes for Busy Weeknights,https://www.allrecipes.com/gallery/sheet-pan-salmon-recipes/,,,,https://www.allrecipes.com/thmb/_qIMMXGLkjclqAX2_0P8PAOGh3s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/fm21-sheet-pan-lemon-zaatar-salmon-photo-by-kim-cornelison-cropped-2000-153c4e876c5943c28b4e85ccbd6a694b.jpg
21 Top-Rated Salmon Recipes Ready in 30 Minutes or Less,https://www.allrecipes.com/gallery/quick-salmon-recipes/,,,,https://www.allrecipes.com/thmb/xxNW4efhJSy94FBrb5_6b-fz1hY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6046435-2000-475e2ad0d6e0470696f2585948d8fa2e.jpg
10 Top-Rated Salmon Recipes Inspired by the Mediterranean Diet,https://www.allrecipes.com/gallery/mediterranean-salmon-recipes/,,,,
How Long to Cook Salmon,https://www.allrecipes.com/article/how-long-to-cook-salmon/,,,,https://www.allrecipes.com/thmb/tEJCEFgHf9Q1_-Yr9Ii1G9bNy7g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/102294130_Karla-Conrad-2000-129dff53a35047f3bbae3199c11f4178.jpg
Best Smoked Salmon Dip,https://www.allrecipes.com/best-smoked-salmon-dip-recipe-8741722,"{'quantity': '1', 'unit': 'pound', 'name': 'smoked salmon'}, {'quantity': '1', 'unit': '(8-ounce)', 'name': 'cream cheese, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1', 'unit': None, 'name': 'green onion, finely chopped, plus more for garnish'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers, drained'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh dill, plus more for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt-free Creole seasoning'}, {'quantity': None, 'unit': None, 'name': 'crackers and crostini, for serving'}","Flake smoked salmon with a fork.. Beat together cream cheese and mayonnaise in a large bowl with an electric mixer at medium speed until smooth. Add red onion, green onion, capers, lemon juice, dill, and Creole seasoning; mix well. Gently fold in smoked salmon.. Chill in an airtight container at least 2 hours (and up to 3 days). Garnish with additional dill and green onions. Serve with crackers and crostini.","calories: 75, fat: 6g, carbs: 2g, protein: 3g, servings: 32",https://www.allrecipes.com/thmb/o0m1ZlEJlLagznss8rxXsI7ZgUA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741722-Smoked-Salmon-Dip-Allrecipes-Magazine-4x3-263a31c0a0d14906b68a1c88beb05bc2.jpg
Harvest Salmon Bowls,https://www.allrecipes.com/harvest-salmon-bowls-recipe-8724265,"{'quantity': '4', 'unit': '(6 ounce)', 'name': 'salmon filets'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'spicy brown mustard'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '1/2', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider vinegar'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'head', 'name': 'broccoli'}, {'quantity': '16', 'unit': 'ounces', 'name': 'Brussels sprouts'}, {'quantity': '4', 'unit': 'cups', 'name': 'cooked quinoa'}, {'quantity': '4', 'unit': 'ounces', 'name': 'feta cheese, crumbled'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped pistachios'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. In a small bowl combine mustard, honey, and lemon juice; set aside.. Combine olive oil, maple syrup, apple cider vinegar, garlic, salt, and pepper in a large bowl. Add in broccoli and Brussels sprouts; toss until coated. Spread evenly onto the prepared sheet pan.. Roast in the preheated oven for 20 minutes. Remove pan from oven, toss vegetables, and spread out again. Place salmon filets onto sheet pan with vegetables, skin side down. Brush salmon with mustard mixture. Return to the oven; roast until fish flakes easily with a fork, 12 to 15 minutes.. Place 1 cup quinoa and a salmon filet in each serving bowl. Evenly divide vegetables into bowls and top with feta cheese, cranberries, and pistachios.","calories: 1175, fat: 64g, carbs: 97g, protein: 58g, servings: 4",https://www.allrecipes.com/thmb/4wXP3i1KEkFy8ODw7EcMEurOQVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8724265_Harvest-Salmon-Bowls_Maura-Rawlette_4x3-2f5687cda3cc4ca19d2bfd32710f1321.jpg
Coconut Curry Salmon with Broccoli,https://www.allrecipes.com/coconut-curry-salmon-with-broccoli-recipe-8715339,"{'quantity': '4', 'unit': '(6 ounce)', 'name': 'salmon filets'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'curry powder,'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shallots'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ginger'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes,'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Thai red curry paste, or to taste'}, {'quantity': '1', 'unit': 'can', 'name': 'coconut milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fish sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '1/2', 'unit': None, 'name': 'lime'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'green onions'}","Line a baking sheet with aluminum foil, and brush with 1 tablespoon cooking oil. Preheat the oven’s broiler.. Pat salmon filets dry with paper towels and place on the prepared pan, skin side down. Brush filets with remaining 1 tablespoon oil.. Season filets with curry powder, and season lightly with salt and pepper. Drizzle honey over the filets, and place under the broiler. Broil until just crisp on top, 3 to 5 minutes. Watch carefully; honey may burn easily. Remove from oven and keep warm.. For coconut curry sauce, melt butter in a large nonstick skillet over medium heat. Add shallots and cook about 1 minute, then add garlic and ginger, and cook until fragrant, about 30 seconds more,. Stir in red pepper flakes and Thai red curry paste and cook about 3 minutes. Stir in coconut milk, soy sauce, and fish sauce; bring to a simmer. Add broccoli florets and cook until crisp-tender, about 3 minutes.. Add salmon filets to the skillet and simmer until fish flakes easily with a fork, 3 to 5 minutes.. Squeeze 1/2 lime over the skillet. Garnish with chopped chives or green onions, and serve.","calories: 522, fat: 39g, carbs: 17g, protein: 29g, servings: 6",https://www.allrecipes.com/thmb/IZ2BOJx5z1hkdGv1QID7PbXdQ2g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8715339_Coconut-Curry-Salmon-with-Broccoli_Brenda-Venable_4x3-b1315c80edfc406390c26e9cae3186fe.jpg
Spicy Salmon Roll Shaken Cucumber Salad,https://www.allrecipes.com/spicy-salmon-roll-shaken-cucumber-salad-recipe-8701691,"{'quantity': '1', 'unit': None, 'name': 'nglish cucumber, thinly sliced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'teaspoons S', 'name': 'S'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper, seeded and finely chopped'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'everything bagel seasoning'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'monosodium glutamate, such as Accent'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'ounces', 'name': 'smoked salmon, chopped'}, {'quantity': '1/4', 'unit': 'avocado, peeled and diced', 'name': ''}","Combine cucumber, cream cheese, mayonnaise, Sriracha, jalapeno, red onion, bagel seasoning, MSG, rice vinegar, smoked salmon, and avocado in a plastic container fitted with a lid or a large jar.  Shake vigorously until everything is evenly coated.  Serve immediately.","calories: 331, fat: 26g, carbs: 21g, protein: 10g, servings: 2",https://cdn.jwplayer.com/v2/media/OM1a0UlA/thumbnails/PJC95jV7.jpg
Grilled Salmon with Chimichurri,https://www.allrecipes.com/grilled-salmon-with-chimichurri-recipe-8699671,"{'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': None, 'name': 'shallot'}, {'quantity': '1', 'unit': 'bunch', 'name': 'curly parsley'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh cilantro'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh dill'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vinegar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/2', 'unit': None, 'name': 'lime, zested'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '8', 'unit': '(3 ounce)', 'name': 'salmon filets'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'granulated garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","For chimichurri, add garlic and shallot to the bowl of a food processor and pulse 2 or 3 times. Add herbs, lime juice, and vinegar. Blend until finely chopped.. With the food processor still running, slowly drizzle in olive oil to emulsify. Add lime zest, salt, and pepper to taste and blend until smooth. Stir in red pepper flakes. Refrigerate until ready to use.. Prepare an outdoor grill for direct cooking over high heat, 450 to 550 degrees F (230 to 290 degrees C).. Generously coat the flesh side of the salmon fillets with oil and season evenly with granulated garlic, Italian seasoning, salt, and pepper. Grill the salmon, skin side down, over direct high heat for 6 to 8 minutes.. Turn the salmon over, close the lid, and cook until fish flakes easily with a fork, 4 to 6 minutes longer. Transfer to a platter to rest for 1 to 2 minutes. Slide the salmon skin from the fillets and serve with chimichurri.","calories: 309, fat: 24g, carbs: 3g, protein: 19g, servings: 8",https://www.allrecipes.com/thmb/cFXorovv3BqPeP5KEKhlomX5AUI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8699671_Grilled-Salmon-with-Chimichurri_TheDailyGourmet_4x3-fdc8ffa5cf1d49699ef5f02e8c62fc3e.jpg
Smoked Salmon Breakfast Casserole,https://www.allrecipes.com/smoked-salmon-breakfast-casserole-recipe-8690566,"{'quantity': '6', 'unit': None, 'name': 'rye bagels'}, {'quantity': '2', 'unit': 'cups', 'name': 'Swiss or provolone cheese'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'smoked salmon'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'fresh dill'}, {'quantity': None, 'unit': None, 'name': 'capers and lemon wedges, for serving'}","Preheat the oven to 325 degrees F (165 degrees C). Coat a 9x13-inch baking dish with cooking spray.. Spread half of the toasted bagel pieces in prepared dish. Top with 1 1/2 cups Swiss cheese, the cream cheese, and smoked salmon. Top with remaining bagel pieces.. Whisk together eggs, milk, sour cream, and dill in a bowl. Pour over mixture in baking dish. Press bagel pieces with the back of a spoon to coat in egg mixture.. Bake in the preheated oven for 45 minutes. Sprinkle with remaining 1/2 cup cheese. Bake 5 to 10 minutes more, until set and an instant-read thermometer inserted into center of casserole registers 160 degrees F (71 degrees C). Let stand about 10 minutes before serving. Garnish with additional dill and serve with capers, lemon wedges, and/or additional sour cream.","calories: 437, fat: 20g, carbs: 43g, protein: 23g, servings: 12",https://www.allrecipes.com/thmb/c6GPvRIjF_D6rKGechYxpDsotrw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8690566-SmokedSalmonBreakfastCasserole-Allrecipes-Magazine-KH_040924_MPP3553-4x3-27c172951f354081b8549025091e8440.jpg
