name,link,ingredients,steps,nutrition,image_url
Ritz Cracker Cookies,https://www.allrecipes.com/ritz-cracker-cookies-recipe-6590239,"{'quantity': '1', 'unit': '(16 ounce) jar', 'name': 'peanut butter'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'buttery round crackers'}, {'quantity': '1', 'unit': 'pound', 'name': 'semisweet chocolate, chopped'}",Spread 1 teaspoon peanut butter on a cracker and top with another cracker.. Place chocolate in top of double boiler; stir frequently over medium heat until melted.. Place cracker sandwiches onto a fork and dip into the chocolate. Drain excess chocolate and cool on waxed paper. Store in refrigerator or cover and freeze until ready to serve.,"calories: 602, fat: 42g, carbs: 51g, protein: 14g, servings: 12",https://www.allrecipes.com/thmb/863tyqkydb06WAwirqNm5w9TF2E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6590239-ritz-cracker-cookies-Deb-C-4x3-fea7e112085f4b02b39371392a150f24.jpg
Cookie Ice Cream Sandwiches,https://www.allrecipes.com/recipe/90365/easy-ice-cream-sandwiches/,"{'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'chocolate cake mix'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'butterscotch chips'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'gallon', 'name': 'vanilla ice cream, softened'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease baking sheets.. Mix cake mix, butter, eggs, chocolate chips, butterscotch chips, and vanilla in a large bowl. Roll dough into 2-inch balls and place them 2 inches apart on the prepared baking sheets. Bake for 10 minutes in the preheated oven. Do not overbake; the cookies should be set, but still soft. Let cool on the baking sheet for a few minutes before removing to finish cooling on wire racks.. Using an ice cream scoop, mold ice cream into a ball about the size of the cookies. Place scoop of ice cream between two cookies and gently press together. If you like a smooth edge, run the back of a spoon around the edge of the ice cream sandwich. Working quickly, fill all of the cookies, lay out on a baking sheet, and place in the freezer to harden. Serve when the ice cream has frozen solid. Sandwich cookies can be stored in a freezer bag for up to two weeks.","calories: 515, fat: 29g, carbs: 61g, protein: 7g, servings: 12",https://cdn.jwplayer.com/v2/media/NzZiwIBo/poster.jpg?width=720
Linzer Cookies,https://www.allrecipes.com/recipe/229769/raspberry-linzer-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter at room temperature'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond or vanilla extract'}, {'quantity': '¼', 'unit': 'cup', 'name': 'seedless raspberry jam'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ""confectioners' sugar, or as needed""}","Mix flour, baking soda, salt, and cinnamon together in a bowl using a whisk.. Beat white sugar and butter together with an electric mixer on high in a bowl until light and fluffy; add egg and almond extract. Beat until well blended.. Gradually beat flour mixture into sugar-butter mixture until dough is soft. Divide dough into 2 equal balls and wrap each portion in plastic wrap. Chill dough in refrigerator for at least 1 hour.. Preheat the oven to 375 degrees F (190 degrees C). Line two baking sheets with parchment paper.. Roll 1 dough ball into a 1/8-inch thick rectangle on a lightly floured surface; cut into 32 cookies using a square, star, or circular cookie cutter. Repeat with the second dough ball. Cut out the center of 32 cookies using a 1-inch square cookie cutter. Arrange all 64 cookies on the prepared baking sheets about 1 inch apart.. Bake cookies in the preheated oven until edges are lightly browned, about 10 minutes. Cool on pans for 5 minutes before transferring cookies to wire racks to cool completely.. Spread about 1/2 teaspoon raspberry jam into the center of each whole cookie. Sprinkle the cut-out cookies with confectioners' sugar; place 1 cut-out cookie atop each raspberry jam-topped cookie.","calories: 82, fat: 3g, carbs: 13g, protein: 1g, servings: 32",https://www.allrecipes.com/thmb/XKVzG5DqASP9-0al38s4OMN4zok=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229769-linzercookies-Joan-4x3-73b0507b0f9d4d66a17c4866b9ed480a.jpg
Linzer Tart Cookies,https://www.allrecipes.com/recipe/10573/linzer-tarts/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'unsalted butter, softened'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'sifted all purpose flour'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'ground almonds'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'raspberry jam, or as needed'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar for decoration, or as needed""}","Beat butter and sugar in a mixing bowl with an electric mixer until light and fluffy, 2 to 3 minutes. Mix in 1/2 cup flour, then ground almonds and cinnamon. Mix in remaining flour, 1/2 cup at a time, until well combined and dough stiffens a bit.. Divide dough in half and form each half into a disk. Wrap each disk tightly in plastic wrap and refrigerate for 1 hour.. Preheat the oven to 325 degrees F (165 degrees C). Line two baking sheets with parchment paper.. Working with one dough disk at a time, roll dough on a lightly floured surface to a thickness of 1/8 inch. Use a 2½-inch round cookie cutter to cut as many circles from the dough as you can; you should have about 12. Arrange dough circles 1 inch apart onto a prepared baking sheet. Place the baking sheet into the refrigerator.. Knead any leftover scraps into a ball and roll out again into a 1/8-inch-thick sheet. Cut out more circles; you should have about 12 more circles.. Place the second batch of circles onto the second baking sheet. Use a 1/2-inch round cookie cutter to cut out the center from 1/2 of all the cookies.. Bake cookies in the preheated oven until light brown, 10 to 15 minutes. Remove from the oven and transfer to a wire rack to cool for 20 minutes.. Spread a thin coating of jam onto the bottom sides of the fully round cookies. Place a cut-out cookie on top of each one, pressing together to form a sandwich. Return to the wire rack and repeat to form 11 more cookies.. Sift confectioners' sugar over the cookies, then spoon a dab of jam into the cut-out part of each cookie.","calories: 442, fat: 30g, carbs: 40g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/bvLkRJleoEbcKcRYI1vQ4sUBDQM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10573-linzer-tarts-LYNNINMA-4x3-9e547c1d86b043a1bd8b822e29121d32.jpg
Cranberry Linzer Cookies,https://www.allrecipes.com/recipe/235652/cranberry-cornmeal-linzer-cookies/,"{'quantity': '¾', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '⅜', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'finely chopped cranberries'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'lemon juice'}","Gather all ingredients.. Beat 3/4 cup butter and and white sugar together in a bowl with an electric mixer until creamy. Beat egg into butter mixture.. Whisk flour, cornmeal, baking powder, and salt together in a bowl.. Gradually add flour mixture to butter mixture; stir. Beat vanilla into butter mixture.. Form dough into a ball, wrap tightly in plastic wrap, and refrigerate until firm, at least 1 hour.. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease baking sheets. Roll dough out onto a lightly floured surface to 1/8-inch thick. Cut dough with a round or Linzer cookie cutter. Use a smaller cutter to cut the center from the tops.. Place cookie bottoms and tops 1-inch apart on prepared baking sheets.. Bake in the preheated oven until edges are lightly golden, 10 to 12 minutes. Transfer to wire racks to cool.. To make the jam filling: Stir cranberries, brown sugar, and water together in a saucepan over medium-high heat; cook until cranberries are soft, about 10 minutes. Stir butter and lemon juice into cranberry mixture; remove from heat and cool.. Spread a small amount of the cranberry jam mixture onto one side of the bottom half of a cookie.. Place the top half of the cookie on top of the cranberry jam mixture. Repeat assembly process with remaining cookies and cranberry jam filling.","calories: 79, fat: 4g, carbs: 10g, protein: 1g, servings: 42",https://www.allrecipes.com/thmb/-V5Uk-nzwv_Z5fQP8qG3EX7-r14=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-235652-cranberry-cornmeal-linzer-cookies-VAT-4x3-4b9fcdc8fd62492e874d9ec9432dd781.jpg
Empire Biscuits,https://www.allrecipes.com/recipe/19263/empire-biscuits/,"{'quantity': '2', 'unit': 'cups', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'raspberry preserves'}, {'quantity': '24', 'unit': '', 'name': 'maraschino cherries'}, {'quantity': '8', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}","Preheat oven to 350 degrees F (175 degrees C).. In a large bowl, cream together the butter and sugar until smooth. Gradually stir in the flour until well blended. On a lightly floured surface, roll the dough out to 1/4 inch thickness. Cut into rounds using a cookie cutter.. Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. Sandwich one teaspoon of jam between two cookies. Repeat with remaining cookies. In a medium bowl, gradually stir the milk into the confectioners' sugar until the icing is of a spreadable consistency. Spread on top of the sandwiched cookies. Top each cookie with half of a cherry while the icing is still wet.","calories: 223, fat: 8g, carbs: 38g, protein: 1g, servings: 48",https://www.allrecipes.com/thmb/i_7vAkeHf4aoh9ZMGcDPzaR4wo0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4784663-38f4e7ae756b46429d7835a46ca1d9e7.jpg
Brown Butter Oatmeal Sandwich Cookies,https://www.allrecipes.com/brown-butter-oatmeal-sandwich-cookies-recipe-8549980,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dark corn syrup'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'quick oats'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1 (8', 'unit': 'ounce) package', 'name': 'cream cheese, at room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'powdered sugar, or as needed'}","Place butter in a light colored saucepan over medium heat. Cook, stirring often, until butter has browned and begins to smell nutty, 7 to 10 minutes. Measure out 1/2 cup browned butter and pour into a large mixing bowl to cool to room temperature, 15 to 20 minutes. Reserve remaining browned butter (1/4 to 1/3 cup) for the filling.. Stir brown sugar and corn syrup into the bowl with cooled brown butter until thoroughly combined; stir in egg and 2 teaspoons vanilla. Add in oats, flour, cinnamon, 3/4 teaspoon salt, nutmeg, baking soda, baking powder, cloves, and allspice and stir until combined.. Scoop out 2 tablespoons of dough and carefully roll into a ball. Repeat with remaining dough. Place dough balls into the fridge to chill for about 30 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Line two baking sheets with silicone baking mats or parchment paper.. Place chilled balls of dough about 3 inches apart on the prepared baking sheets (about 6 dough balls per pan). Bake one pan at a time until cookies begin to turn golden brown on the edges, 10 to 11 minutes. Allow cookies to cool on baking sheet for 10 minutes before removing to a wire rack to cool completely.. To make filling, place cream cheese into a large bowl and beat with a mixer until soft and smooth. Beat in reserved 1/4 to 1/3 cup brown butter. Beat in 1/4 teaspoon salt and 1 teaspoon vanilla, then beat in 1 cup powdered sugar. Beat in remaining 1 1/2 cups powdered sugar as needed to make a smooth, spreadable filling. Place filling into a piping bag and snip off the end. Keep filling refrigerated until ready to use.. When ready to fill cookies, match up two cookies of somewhat even shape and size. Lay one cookie top-side down and pipe about 1/4 cup filling onto the cookie. Top with matching cookie and press down until filling almost reaches the edges of the cookies. Repeat with remaining ingredients. Store finished cookies in the refrigerator.","calories: 641, fat: 34g, carbs: 79g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/5Ui4ICpNfE2Y98NAfZpZ8YPD588=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8549980_Brown-Butter-Oatmeal-Sandwich-Cookies_Kim-Shupe_4x3-62b22bf78fbf43be8d2ac65a4c5a432b.jpg
Our Copycat Little Debbie Oatmeal Creme Pies Have No Business Being So Tasty,https://www.allrecipes.com/copycat-little-debbie-oatmeal-creme-pies-recipe-8373904,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '1', 'unit': 'cup packed', 'name': 'dark brown sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'table salt'}, {'quantity': '3', 'unit': 'cups', 'name': 'quick-cooking oats'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'vegetable shortening'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'jar', 'name': 'marshmallow crème'}",,"calories: 422, fat: 20g, carbs: 59g, protein: 4g, servings: 18",https://www.allrecipes.com/thmb/mozWLg5dAoBB1YwglDntCO8v0Rs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/oatmealcreampie-2000-13da84cd83bf4bd8864d9c320d78c3e1.jpg
Neapolitan Funfetti Sandwich Cookies,https://www.allrecipes.com/funfetti-sandwich-cookies-recipe-7495893,"{'quantity': '1', 'unit': 'cup', 'name': 'frozen whole strawberries'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons firmly packed', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'multicolored candy sprinkles'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': None, 'unit': None, 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'espresso powder (optional)'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'strawberry reduction'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'salt'}","To make strawberry reduction, place frozen strawberries and 1 tablespoon water into a saucepan over medium-low heat. Cook, stirring frequently, until strawberries are softened, 7 to 10 minutes. Use a potato masher to thoroughly mash the strawberries. Continue cooking, stirring constantly, until mixture has thickened substantially, and reduced to 1/4 cup, 5 to 7 minutes more. Remove from heat and stir in lemon juice. Set aside to cool to room temperature.. To make cookie dough, beat butter, white sugar, brown sugar, egg yolk, vanilla, and almond extract together with an electric mixer until completely combined. Add in salt and 1 cup flour, and mix until just incorporated. Add in remaining 1 cup flour, and mix until just combined. Mix in sprinkles.. Divide cookie dough in half evenly between two bowls. To one half of the dough, add 3 tablespoons of all-purpose flour, and mix until just combined (kneading with your hands, if necessary). To the other half of the dough, add cocoa powder, milk, and espresso powder; and mix until incorporated (kneading with your hands, if necessary).. On a lightly floured surface, roll out vanilla dough to 1/4 inch thickness. Use a 2-inch round cookie cutter to cut out shapes. Press scraps together, re-roll, and re-cut with cookie cutter until dough is used up. Place cookies on a platter or cutting board, and place into the fridge for 30 minutes. Repeat this process with chocolate cookie dough, rolling out on a lightly floured surface to 1/4 inch thickness, cutting out shapes with a 2-inch round cutter, re-rolling scraps and re-cutting, and then place the chocolate cookies into the fridge for 30 minutes.. When ready to bake the cookies, preheat the oven to 325 degrees F (165 degrees C). Line two baking sheets with parchment paper or silicone baking mats. Place the cookies 1/2 inch apart on prepared baking sheets.. Bake in the preheated oven until cookies just look set, 10 to 13 minutes. Do not allow cookies to brown or they will be overbaked. Allow cookies to cool on the baking sheet for a few minutes before removing to a wire rack to cool completely.. To make frosting, beat 1/2 cup butter in a bowl with an electric mixer until smooth. Add in cream cheese, and beat until smooth, about 2 minutes. Add in the 1/4 cup strawberry reduction, vanilla extract, and salt, and mix until combined. Add in powdered sugar, 1 cup at a time, beating well after each addition. Take care to not overmix, or the frosting may separate. Place frosting into a piping bag or ziploc bag with the corner cut out. (If frosting seems too thin, additional powdered sugar may be added, or you can place the frosting into the fridge for several minutes to help it set up.). To make sandwich cookies, flip the vanilla cookies upside down and pipe frosting onto each cookie. Top each frosted vanilla cookie with a chocolate cookie, and press down lightly to adhere. Keep sandwich cookies stored in an airtight container in the fridge.","calories: 165, fat: 12g, carbs: 14g, protein: 2g, servings: 30",https://www.allrecipes.com/thmb/FPIj3IcKuJU1IATJUeHwdzFi6zE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7495893_Funfetti-Sandwich-Cookies_Kim_4x3-41fd0d264c2e46e0a38d99fb91d5fe99.jpg
Southern Moon Pies,https://www.allrecipes.com/recipe/16609/southern-moon-pies/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'marshmallow creme'}","Preheat oven to 400 degrees F (200 degrees C). Lightly grease a cookie sheet.. To Make Cookie Crusts: In a large mixing bowl, cream together 1/2 cup butter or margarine and white sugar. Add egg, evaporated milk, and vanilla. Mix well. In a separate bowl, mix together flour, salt, cocoa powder, baking soda, and baking powder. Add flour mixture slowly to sugar mixture while stirring. Mix just until all ingredients are combined.. Drop the dough onto greased cookie sheet by rounded tablespoonfuls. Leave at least 3 inches in between each one; dough will spread as it bakes.. Bake in preheated oven for 6 to 8 minutes, until firm when pressed with finger. Allow to cool at least one hour before filling.. To Make Marshmallow Filling: In a medium mixing bowl, blend together 1/2 cup butter or margarine, confectioners' sugar, flavored extract, and marshmallow creme. Mix until smooth. Assemble pies by spreading 1 to 2 tablespoonfuls of filling on flat side of a cookie crust, then covering filling with flat side of another cookie crust.","calories: 193, fat: 9g, carbs: 27g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/mg7WeWlGPuiFkfA0dQ9Nw9ArWmk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/351226-acb2bd0fa0c74e4a884b844fe6a3ffb9.jpg
