name,link,ingredients,steps,nutrition,image_url
Sparkling Peach Sangria,https://www.allrecipes.com/sparkling-peach-sangria-recipe-7559189,"{'quantity': '1 (750', 'unit': 'ml) bottle', 'name': 'rosecco, well chilled'}, {'quantity': '2', 'unit': None, 'name': 'peaches, thinly sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'ointreau liqueur'}, {'quantity': '2', 'unit': 'limes, thinly sliced, divided', 'name': 'limes, thinly sliced, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mint leaves'}, {'quantity': '1', 'unit': '(1-inch) piece fresh', 'name': 'ginger, finely grated'}, {'quantity': '12', 'unit': 'ounces', 'name': 'sparkling water, or to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mint leaves for garnish (optional)'}","Early in the day, refrigerate prosecco. Combine peach slices, Cointreau, half of lime slices, mint leaves, and grated ginger in a container with a lid. Refrigerate at least 6 hours, making sure peaches are submerged in liquid.. When ready to serve, pour peach mixture into a large serving pitcher and add prosecco. Stir briefly to combine.. Place some of the fruit in each glass, add sangria, and top with 2 ounces sparkling water, or to taste. Garnish with reserved lime slices and additional mint leaves, if desired.","calories: 258, fat: 0g, carbs: 26g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/uCCR_7BRVqGpaIlHLhpHUh2rc8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7559189_Sparkling-Peach-Sangria_Bibi_4x3-3d110afa6a3042c98a94ea8997aaa64e.jpg
Sparkling Mango Pineapple Sangria,https://www.allrecipes.com/sparkling-mango-pineapple-sangria-recipe-7560880,"{'quantity': '1/2', 'unit': 'cup', 'name': 'pineapple juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mango juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rum'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'rum'}, {'quantity': '1/2', 'unit': None, 'name': 'fresh pineapple - peeled, cored, and cut into chunks'}, {'quantity': '2', 'unit': None, 'name': 'mangos - peeled, seeded, and sliced'}, {'quantity': '750mL', 'unit': None, 'name': 'Prosecco'}","Stir pineapple juice, mango juice, pineapple rum, mango rum, chunked pineapple, and mango slices together in a large pitcher. Chill for 2 to 4 hours.. Add Prosecco before serving. Stir and serve cold.","calories: 289, fat: 0g, carbs: 29g, protein: 1g, servings: 6",https://www.allrecipes.com/thmb/ocxqtbdponuhPnoajOjjRfW7MKs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7560880_Sparkling-Mango-Pineapple-Sangria_Chef-Mo_4x3-003cb883544a47cfbf2cee1e2a552935.jpg
Sangria! Sangria!,https://www.allrecipes.com/recipe/72612/sangria-sangria/,"{'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'dry red wine'}, {'quantity': '½', 'unit': 'cup', 'name': 'brandy'}, {'quantity': '½', 'unit': 'cup', 'name': 'triple sec'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'frozen lemonade concentrate'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar (Optional)'}, {'quantity': '1', 'unit': 'medium', 'name': 'orange, sliced into rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, sliced into rounds'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, sliced into rounds'}, {'quantity': '8', 'unit': '', 'name': 'maraschino cherries'}, {'quantity': '2', 'unit': 'cups', 'name': 'carbonated water (Optional)'}",,,https://cdn.jwplayer.com/v2/media/TBisLRcY/poster.jpg?width=720
Classic Spanish Sangria,https://www.allrecipes.com/recipe/21425/classic-spanish-sangria/,"{'quantity': '1', 'unit': None, 'name': 'orange'}, {'quantity': '1', 'unit': None, 'name': 'lemon'}, {'quantity': '1', 'unit': None, 'name': 'lime'}, {'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'dry red wine'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'rum'}, {'quantity': '1', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar, or to taste'}","Refrigerate orange, lemon, lime, wine, rum, and orange juice until cold.. Slice orange, lemon, and lime into thin rounds. Place in a large glass pitcher. Add rum and sugar. Refrigerate to allow flavors to blend, about 2 hours.. Crush fruit lightly with a wooden spoon. Stir in wine and orange juice. Adjust sweetness as desired.",,https://cdn.jwplayer.com/v2/media/sg1CYK3M/poster.jpg?width=720
What Is Sangria?,https://www.allrecipes.com/article/what-is-sangria/,,,,https://www.allrecipes.com/thmb/cVoagltM_V1kntw2ajyPfXD0r7U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1165358-4924a6188cc04864853a0cbd6b1d2c3f.jpg
White Peach Sangria,https://www.allrecipes.com/recipe/23734/white-peach-sangria/,"{'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'dry white wine'}, {'quantity': '¾', 'unit': 'cup', 'name': 'peach flavored vodka'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'frozen lemonade concentrate, thawed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'pound', 'name': 'white peaches, pitted and sliced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'seedless red grapes, halved'}, {'quantity': '¾', 'unit': 'cup', 'name': 'seedless green grapes, halved'}","Combine white wine, peach vodka, lemonade concentrate, and sugar in a large pitcher; stir until sugar is dissolved. Add sliced peaches, red grapes, and green grapes.. Refrigerate sangria until well chilled and flavors have blended, at least 2 hours to overnight.. Serve over ice, and use a slotted spoon to include sliced peaches and grapes with each serving.",,https://www.allrecipes.com/thmb/rLa70MCZJkaIY9xizycxmVjgKKg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/417474_White-Peach-Sangria-4x3-6883beb51b734bf28c142e0220418d1f.jpg
Sangria Cocktail,https://www.allrecipes.com/recipe/222520/sangria-cocktail/,"{'quantity': '¾', 'unit': 'cup', 'name': 'superfine sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'tap water'}, {'quantity': '1', 'unit': '', 'name': 'orange, sliced'}, {'quantity': '1', 'unit': '', 'name': 'lime, sliced'}, {'quantity': '5', 'unit': '(750 milliliter) bottles', 'name': 'red wine'}, {'quantity': '12', 'unit': 'cubes', 'name': 'ice cubes'}, {'quantity': '6', 'unit': 'fluid ounces', 'name': 'sparkling water'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh raspberries, blackberries, blueberries, or halved strawberries'}","Dissolve sugar in tap water in a large pitcher. Add orange slices, lime slices, and wine. Stir in ice cubes until cold. Top with sparkling water. Serve in red-wine glasses, with fresh berries in each glass.","calories: 128, carbs: 9g, protein: 0g, servings: 30",https://cdn.jwplayer.com/v2/media/PbfAZqG3/thumbnails/8YNovZ7j.jpg
White Peachy Sangria,https://www.allrecipes.com/recipe/223329/white-peachy-sangria/,"{'quantity': '4', 'unit': '(750 milliliter) bottles', 'name': 'Moscato wine'}, {'quantity': '4', 'unit': '(12 fluid ounce) cans or bottles', 'name': 'lemon-lime soda (such as Sprite)'}, {'quantity': '1', 'unit': 'cup', 'name': 'brandy'}, {'quantity': '1', 'unit': 'cup', 'name': 'peach schnapps'}, {'quantity': '2', 'unit': '', 'name': 'fresh peaches, pitted and sliced'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'fresh strawberries, sliced'}, {'quantity': '2', 'unit': '', 'name': 'mangos - peeled, seeded, and sliced'}, {'quantity': '½', 'unit': '', 'name': 'fresh pineapple - peeled, cored, and cut into chunks'}, {'quantity': '1', 'unit': '(6 ounce) container', 'name': 'fresh raspberries'}","Stir Moscato wine, lemon-lime soda, brandy, peach schnapps, peaches, strawberries, mangos, pineapple chunks, and raspberries together in a large container. Chill the sangria for 8 hours or overnight.","calories: 376, fat: 0g, carbs: 41g, protein: 1g, servings: 20",https://www.allrecipes.com/thmb/uz0pOWl7xju8N7kpWz_2HCIbhZE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/223329-White-Peachy-Sangria-Caelynne_5455009_original-4x3-1-8a93bc5db2404e3b84c49b8d671d9cbf.jpg
12 Best Sangria Recipes for Summer Sipping,https://www.allrecipes.com/gallery/best-sangria-recipes/,,,,https://www.allrecipes.com/thmb/C9Lu4eLEmOnhOcAWbIdjKRvtk4I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/102685460-Sangria-Photo-by-Meredith-650x465-3fe3597557ae46398ab0f82d57e32729.jpg
Watermelon Sangria,https://www.allrecipes.com/recipe/202438/watermelon-sangria/,"{'quantity': '12', 'unit': 'cups', 'name': 'cubed watermelon, divided'}, {'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'dry white wine'}, {'quantity': '1', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '½', 'unit': 'cup', 'name': 'triple sec'}, {'quantity': '½', 'unit': 'cup', 'name': 'simple syrup'}, {'quantity': '1', 'unit': '', 'name': 'orange, cut into wedges'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, quartered'}","Place 9 cups of watermelon cubes in a blender; blend on high until very smooth. Strain juice through a mesh strainer into a large pitcher.. Pour wine, vodka, triple sec, and simple syrup into the pitcher; stir to combine. Add remaining 3 cups of watermelon cubes, orange sections, blueberries, and lime quarters; chill sangria for 4 hours before serving.",,https://cdn.jwplayer.com/v2/media/XqZtA6Yv/poster.jpg?width=720
