name,link,ingredients,steps,nutrition,image_url
Pigs In A Blanket Wreath,https://www.allrecipes.com/pigs-in-a-blanket-wreath-recipe-8736042,"{'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'refrigerated crescent roll dough'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '2', 'unit': 'ounces', 'name': 'Cheddar cheese'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': ""mini sausages, such as Lil'\xa0Smokies®""}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'everything bagel seasoning'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'apple cider vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': None, 'unit': None, 'name': 'rosemary sprigs for garnish (optional)'}","Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment.. Unroll and separate crescent dough into 16 triangles.  Spread each triangle evenly with Dijon mustard. Use a pizza cutter or knife to make 2 cuts into each triangle to make 3 smaller triangles.. Place 1 piece of cheese and 1 sausage at the bottom of each smaller triangle and roll all the way up. Place about 20 wrapped sausages on the baking sheet in a large circular shape with the sausages radiating from the center, and sides of each roll touching each other. Arrange remaining rolled sausages inside the larger ring, slightly overlapping, to form a double layer ring.. Brush rolls lightly with egg and sprinkle evenly with bagel seasoning.. Bake in the preheated oven until golden brown, 22 to 24 minutes.. Meanwhile, for dipping sauce, combine mayonnaise, honey, stone ground mustard, vinegar, salt, and pepper in a small bowl and and whisk until well incorporated. Pour sauce into a bowl small enough to fit into the center of the crescent ring.. Transfer ring to a serving platter and place sauce bowl inside the ring. Garnish with rosemary stems to resemble a holiday wreath. Serve warm or room temperature.","calories: 164, fat: 13g, carbs: 8g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/9KrByanc7F7IactjZdzcHYnbgtg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8736042_Mini-Pigs-in-a-Blanket-Ring_Dotdash-Meredith-Food-Studios_4x3-35fb0af989af4c98bc1d6d557af24d35.jpg
Sausage Stuffed Mini Peppers,https://www.allrecipes.com/sausage-stuffed-mini-peppers-recipe-8733406,"{'quantity': '1/2', 'unit': 'pound', 'name': 'hot Italian sausage'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'mushrooms'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes'}, {'quantity': '3', 'unit': None, 'name': 'green onions'}, {'quantity': '1', 'unit': '5.3-ounce) package', 'name': 'herb flavored Gournay cheese (Such as Boursin'}, {'quantity': '9', 'unit': None, 'name': 'mini bell peppers'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley sprigs or fresh basil for garnish'}","Crumble sausage into a nonstick skillet over medium heat; cook and stir for 2 to 3 minutes.. Add mushrooms, red pepper flakes, and green onions, reserving about 3 tablespoons of green onion tops. Stir until sausage is browned, 3 to 4 more minutes. Drain any excess fat.. Remove skillet from heat and stir in Boursin until melted and well blended with the other ingredients.. Fill each pepper half with about 1 1/2 tablespoons sausage mixture; place filled peppers on a baking sheet.. Preheat the oven’s broiler.. Broil until filling is lightly browned, about 3 minutes. Place on a serving tray and sprinkle with reserved green onion tops. Garnish with sprigs of fresh parsley or fresh basil. Serve warm or at room temperature.","calories: 69, fat: 4g, carbs: 5g, protein: 4g, servings: 18",https://www.allrecipes.com/thmb/db4sq7fDWVkm9Q6V_LkwXs8_TPs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733406_Sausage-Stuffed-Mini-Peppers_Brenda-Venable_4x3-77a4c9daa330437a86e2632102c98291.jpg
Chicken and Sausage Jambalaya,https://www.allrecipes.com/chicken-and-sausage-jambalaya-recipe-8726289,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '3', 'unit': 'skin-on, bone-in', 'name': 'chicken thighs'}, {'quantity': '1', 'unit': '(14.5 ounce can)', 'name': 'tomatoes'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock, or as needed'}, {'quantity': '2', 'unit': None, 'name': 'ribs celery,'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, diced'}, {'quantity': '1', 'unit': None, 'name': 'bell pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': None, 'name': 'bay leaves'}, {'quantity': '4', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '2', 'unit': 'cups', 'name': 'tasso or ham steak'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage'}, {'quantity': '2', 'unit': 'cups', 'name': 'long grain rice'}, {'quantity': '1', 'unit': 'bunch', 'name': 'scallions'}","Preheat the oven to 325 degrees F (165 degrees C).. Add canola oil to a large Dutch oven set over medium heat. Salt and pepper chicken liberally and sear on both sides until golden brown, about 5 minutes per side. Remove from Dutch oven.. Open canned tomatoes and strain liquid into a 4-cup measuring cup. Pour in enough chicken stock to total 4 cups; set aside. Roughly chop tomatoes.. Add celery, onion, bell pepper (the trinity), chopped tomatoes, cayenne, bay leaves, and garlic to the Dutch oven and stir until combined on medium heat. Mix in stock with tomato juice, seared chicken, tasso, andouille, and rice. Bring this to a nice simmer. Cover the pot.. Bake in the preheated oven for 30 minutes. Remove the pot from the oven and continue to let jambalaya steam for an additional 5 minutes.. Garnish with scallions and a few dashes of hot sauce when ready to serve.","calories: 623, fat: 40g, carbs: 29g, protein: 37g, servings: 6",https://cdn.jwplayer.com/v2/media/Ug0PzrYB/thumbnails/RflzUhLv.jpg
Turkey Roulade,https://www.allrecipes.com/turkey-roulade-recipe-8724002,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '8', 'unit': 'ounces', 'name': 'pork sausage'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh bread crumbs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried cranberrie'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh parsley'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sage'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1', 'unit': None, 'name': 'large egg,'}, {'quantity': '1', 'unit': '(24 ounce) package', 'name': 'turkey breast tenderloins'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'chicken stock or broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}","Preheat the oven to 350 degrees F (180 degrees C).. For stuffing, melt butter in a skillet over medium heat. Add onions and garlic and sauté until softened, 3 to 4 minutes. Add sausage to the skillet, and stir until crumbled and lightly browned, 4 to 5 minutes. Drain sausage, stir in bread crumbs, cranberries, parsley, thyme, sage, egg, salt, and pepper; mix well.. Place turkey tenderloins on a cutting board. Butterfly each by cutting lengthwise almost all the way through, but not quite, so they can be opened up like a book to increase the surface area. Cover each tenderloin with 2 sheets of plastic wrap. Using a meat mallet or pounder, flatten to a thickness of about 1/3-inch, and season with salt and pepper.. Lay the 2 tenderloins side by side, slightly overlapping the edges, to form 1 large tenderloin, and give it a tap with the meat pounder to seal the tenderloins together. Spread evenly with stuffing, leaving about a 1/3-inch border around the edges. Carefully roll up tightly, jelly roll style, and tie the tenderloin with 4 to 5 pieces of kitchen string to secure and hold together. The roulade can be covered and moved to the fridge at this point to be cooked later if you prefer.. Heat butter and oil in an ovenproof roasting pan over medium heat, add tenderloin, and brown on all sides, 8 to 10 minutes. Pour wine and 1 cup chicken stock over the meat; cover the pan.. Bake in the preheated oven, basting occasionally, until a meat thermometer, inserted into the center, reads 160 degrees F (71 degrees C), 35 to 45 minutes. Remove turkey from pan, and loosely tent with a piece of aluminum foil for about 10 to 15 minutes.. Whisk remaining chicken stock with cornstarch and Dijon, and stir into the pan. Simmer over medium heat, stirring constantly, until thickened, 3 to 4 minutes.. Remove strings from turkey tenderloin, and slice into 1/2-inch thick slices. Arrange on a serving platter, drizzle with the gravy, and serve.","calories: 404, fat: 25g, carbs: 19g, protein: 22g, servings: 4",https://www.allrecipes.com/thmb/IhRv6-IEQjn1P1VpvwpQc7Hc9d0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8724002_Turkey-Roulade_Pat-Bernitt_4x3-5190461c2ac24f21a7cc7f90dbfc5028.jpg
Sausage Green Bean Potato Casserole,https://www.allrecipes.com/sausage-green-bean-potato-casserole-recipe-8725809,"{'quantity': '1', 'unit': 'pound', 'name': 'chicken apple sausage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': None, 'name': 'onion,'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'fresh green beans'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'potatoes'}, {'quantity': '1', 'unit': 'pound', 'name': 'carrots'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'fried onions'}","Preheat the oven to 350 degrees F (175 degrees C) and grease a 3-quart baking dish.. Brown sausage pieces in a nonstick skillet over medium heat, 3 to 5 minutes; remove from the pan to a large bowl.. In the same skillet, melt butter over medium heat. Add onions, and cook, stirring, until soft, about 3 minutes. Stir in garlic and cook another 30 seconds. Stir in thyme; season with salt and pepper.. Sprinkle flour over onions and garlic, and stir until flour has been absorbed, about 1 to 2 minutes. Stir in chicken broth and half-and-half. Bring to a boil, while stirring, then reduce to a simmer and cook, stirring, until sauce thickens and coats the back of a spoon, 3 to 5 minutes. Remove skillet from the heat.. Add green beans, potatoes, and carrots to the bowl with sausage; add sauce and stir to coat all ingredients with the sauce. Transfer mixture to the prepared baking dish. Cover with foil.. Bake in the preheated oven for 45 minutes. Remove foil, stir, and sprinkle fried onions on top.. Continue to bake until casserole is hot and bubbly and onions have crisped slightly, about 20 minutes more. Serve warm.","calories: 365, fat: 13g, carbs: 43g, protein: 21g, servings: 8",https://www.allrecipes.com/thmb/_iWeEAv5cuGLc9-klXISZCBySHw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8725809_Sausage-Green-Bean-Potato-Casserole_Brenda-Venable_4x3-8bb62d0a70cc450b828021520b04a2e9.jpg
Creamy Sausage Tortellini Soup,https://www.allrecipes.com/creamy-sausage-tortellini-soup-recipe-8722710,"{'quantity': '1/2', 'unit': 'pound', 'name': 'hot Italian sausage'}, {'quantity': '3/4', 'unit': 'cups', 'name': 'celery'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'carrots'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, pressed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flour'}, {'quantity': '14 1/2', 'unit': 'ounces', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1', 'unit': '(8.8 ounce) package', 'name': 'cheese tortellini'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mozzarella cheese'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","Place sausage, celery, carrots and onions in a Dutch oven over medium heat. Cook and stir until sausage is browned and veggies are tender, 7 to 9 minutes. Add garlic and cook until fragrant, about 1 minute.. Stir in flour and until well incorporated. Pour in chicken broth, scraping bottom of pot to release all browned bits. Cook for 1 minute. Add diced tomatoes and Italian seasoning; bring to a boil.. Reduce heat, add tortellini, and simmer for 5 minutes. Add cream; cook and stir for 5 more minutes. Add mozzarella cheese and stir until melted; stir in spinach. Season with salt and pepper.","calories: 783, fat: 47g, carbs: 66g, protein: 32g, servings: 4",https://www.allrecipes.com/thmb/zmVOXzBdrC2XGg7oDsmreIpMJcg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8722710_Creamy-Sausage-Tortellini-Soup_Yolanda-Gutierrez_4x3-e38da23df0eb4d3c91acd13eae43eb56.jpg
Apple Sausage Gravy Dumplings,https://www.allrecipes.com/apple-sausage-gravy-dumplings-recipe-8714162,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'pork sausage'}, {'quantity': '1/2', 'unit': 'large', 'name': 'yellow onion,'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'large', 'name': 'apple'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': None, 'unit': None, 'name': 'ground black pepper'}, {'quantity': None, 'unit': None, 'name': 'cayenne pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'apple cider vinegar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'apple cider'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'creme fraiche'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fresh thyme leaves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'green onions'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}",,"calories: 498, fat: 33g, carbs: 31g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/ScjssFrx/thumbnails/jgkLafUg.jpg
Doritos Sausage Balls,https://www.allrecipes.com/doritos-sausage-balls-recipe-8710712,"{'quantity': '1/2', 'unit': 'pound', 'name': 'chorizo, casings removed'}, {'quantity': '1/2', 'unit': 'pound', 'name': 'breakfast sausage, casings removed'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'baking mix (such as Bisquick'}, {'quantity': '¾', 'unit': 'cup', 'name': 'finely ground nacho cheese-flavored chips'}, {'quantity': '1', 'unit': '(8-ounce) package', 'name': 'Mexican cheese blend'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pickled jalapeno'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh cilantro'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'salsa'}","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil or parchment paper sprayed with nonstick cooking spray.. Using a stand mixer with a paddle attachment, beat together sausages, Bisquick, Doritos, cheese, jalapeño, and cilantro with until well blended.. Using a small ice cream scoop, scoop and roll 1-inch balls, and place 1-inch apart on prepared baking sheet. Bake in preheated oven until cooked through, about 20 minutes.. While sausage balls bake, stir together sour cream and salsa. Serve sausage balls with sour cream-salsa dip.","calories: 327, fat: 24g, carbs: 12g, protein: 14g, servings: 12",https://cdn.jwplayer.com/v2/media/2v5wragr/thumbnails/imM3rGif.jpg
Mussels with Chorizo,https://www.allrecipes.com/mussels-with-chorizo-recipe-8709293,"{'quantity': '1', 'unit': 'pound', 'name': 'mussels'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': None, 'name': 'shallot, finely chopped'}, {'quantity': '1', 'unit': None, 'name': 'poblano pepper, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1//2', 'unit': 'pound', 'name': 'fresh ground chorizo'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pepper paste'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'tomatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'seafood stock'}","Soak, clean, and debeard mussels (see Note).. Heat oil in a Dutch oven or cast iron skillet. Add shallots, poblano peppers, and garlic. Stir until fragrant, 2 to 3 minutes.. Add chorizo; cook and stir until browned and crumbly. 5 to 7 minutes. Stir in panca pepper paste. Add roasted tomatoes and stock. Bring to a boil.. Reduce heat and bring broth to a simmer. Add mussels; cover and cook until shells open, about 5 minutes.","calories: 532, fat: 31g, carbs: 20g, protein: 43g, servings: 4",https://www.allrecipes.com/thmb/s4aM6z-1xJSBQNPUtZV9Ko7G5Xg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8709293_Mussels-with-Chorizo_Shelia-Johnson_4x3-b8b4b4d6a60c4fd69365a5bdddaadeb0.jpg
Zucchini Boats,https://www.allrecipes.com/zucchini-boats-recipe-8654815,"{'quantity': '4', 'unit': '(8 ounce)', 'name': 'zucchini'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt, divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'Italian pork sausage'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'marinara sauce'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded low-moisture whole-milk mozzarella cheese'}, {'quantity': '1', 'unit': 'ounce', 'name': 'grated Parmesan cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh tender herbs,'}","Gather the ingredients.. Preheat the oven to 400 degrees F (175 degrees C). Spray a 13-x9-inch baking dish with cooking spray.. Cut zucchini in half lengthwise; cut off and discard stem ends. Using a spoon, scoop and scrape out pulp from center of each zucchini half, creating a 1/2-inch-thick shell. Measure out 3/4 cup zucchini pulp, and discard or reserve remaining pulp for another use. Arrange zucchini halves, cut side up, in prepared baking dish. Sprinkle evenly with Italian seasoning, black pepper, and 1/2 teaspoon of the salt.. Heat a large skillet over medium-high heat. Add Italian sausage; cook, stirring and breaking up with a spatula, until browned and crumbly, about 5 minutes. Stir in onion, garlic, crushed red pepper, the 3/4 cup zucchini pulp, and remaining 1/2 teaspoon salt; cook, stirring occasionally, until vegetables are softened and liquid is absorbed, about 5 minutes. Stir in marinara, and bring to a simmer over medium-high heat. Simmer, undisturbed, until slightly thickened, 3 to 5 minutes. Remove from heat.. Spoon about 1/2 cup pork mixture into each zucchini half; sprinkle evenly with mozzarella and Parmesan.. Bake in the preheated oven until zucchini is tender and cheese is melted and golden brown, 20 to 25 minutes. Sprinkle evenly with herbs; serve immediately.","calories: 649, fat: 44g, carbs: 26g, protein: 38g, servings: 4",https://www.allrecipes.com/thmb/EwfeyDNDUlM2yUYCqw_l9uCVrX8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8654815-zucchini-boats-ddmfs-5556-hero-3x4-f7b06229e513477e94f1749e08535ca3.jpg
