name,link,ingredients,steps,nutrition,image_url
Ham and Gruyère Scones,https://www.allrecipes.com/ham-and-gruyere-scones-recipe-8747672,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'cooked ham'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'Gruyère cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'water'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine flour, sugar, baking powder, and salt in a large mixing bowl. Use a pastry cutter to cut butter into flour mixture until it resembles rice or coarse meal. Stir in ham and Gruyère until evenly mixed.. Moisten flour mixture with cream, until dough begins to come together. Add a bit more cream, milk, or water if dough seems dry.. Turn out on a floured work surface and fold dough onto itself. Gently stretch dough, turning and folding 3 or 4 times. Lightly flour a rolling pin and roll dough out 1/2- to 3/4-inch thick, turning dough a quarter turn occasionally.. Cut scones with a lightly floured 3-inch biscuit cutter; press cutter straight down, without twisting. Pat dough scraps together and cut as needed. Line a baking sheet with parchment; place cut scones on the sheet.. Whisk egg, water, and pinch salt together in a small bowl. Brush tops of scones with egg wash, and refrigerate for about 20 minutes.. Preheat the oven to 450 degrees F (235 degrees C). Brush the top of the scones with the egg mixture again.. Bake scones in the center of the preheated oven until tops are crispy and lightly browned, 15 to 20 minutes. Serve warm or at room temperature.","calories: 315, fat: 22g, carbs: 21g, protein: 8g, servings: 10",https://www.allrecipes.com/thmb/CAJsPmQ0CwCjg29vLtRJfj11kFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747672_Ham-and-Gruyere-Scones_Brenda-Venable_4x3-0079f287311d415eaf0bec0e53aa9cb5.jpg
Irish Soda Bread Scones,https://www.allrecipes.com/irish-soda-bread-scones-recipe-8550478,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'granulated sugar, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, cut into ½-inch pieces'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins or dried currants'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'orange zest'}, {'quantity': '¾', 'unit': 'cup', 'name': 'whole buttermilk, divided'}","Gather all ingredients.. Whisk together flour, oats, baking powder, salt, baking soda, and 1/4 cup sugar in a large bowl until combined.. Cut butter into flour mixture with your fingers or a pastry cutter until dough resembles coarse meal.. Add raisins, orange zest, and 3/4 cup plus 1 tablespoon buttermilk; stir until just combined.. Transfer dough to a lightly floured work surface; pat dough into a 7-inch circle, about 3/4-inch thick. Line a baking sheet with parchment.. Using a floured bench scraper or knife, cut dough circle into 8 wedges; place wedges on the prepared baking sheet, spacing about 1 inch apart. Alternatively, scoop 8 (1/3-cup) mounds of dough onto a parchment-lined baking sheet, about 2 inches apart. Brush each scone evenly with remaining 2 tablespoons buttermilk, and sprinkle with remaining 1 tablespoon sugar. Place baking sheet in freezer, and freeze until chilled, about 30 minutes.. Preheat the oven to 425 degrees F (220 degrees C).. Bake scones in the preheated oven until bottoms and tops are golden, about 20 minutes. Remove from the oven, and let cool completely on the baking sheet, about 30 minutes. Serve warm or at room temperature with butter and jam, if desired.","calories: 318, fat: 13g, carbs: 45g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/Q26atu_22qc-cVRwUViduOjAtVk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8550478-irish-soda-bread-scones-beauty-4x3-0134-a2dfedc81a0e49c483550ef445f03f08.jpg
Scones,https://www.allrecipes.com/recipe/20175/scones/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour, plus more for kneading'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}",,"calories: 397, fat: 19g, carbs: 51g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/pOfTcAwg/thumbnails/G4gN4yqc.jpg
Rhubarb Scones,https://www.allrecipes.com/recipe/8450316/rhubarb-scones/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold unsalted butter, cut into 1/2-inch cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen chopped rhubarb'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'grated orange zest, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy whipping cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'turbinado sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh orange juice'}, {'quantity': '1', 'unit': 'pinch', 'name': 'kosher salt'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. Whisk flour, white sugar, baking powder, salt, cinnamon, and nutmeg together in a large bowl. Cut butter into flour mixture with a pastry blender until crumbly and mixture resembles small peas. Freeze for 10 minutes.. Fold frozen rhubarb into flour mixture. Whisk together 1 cup heavy cream, vanilla, and 1 teaspoon orange zest in a glass measuring cup. Make a well in center of flour mixture and pour cream mixture into well; stir just until dry ingredients are moistened (do not overwork the dough).. Turn the dough out onto a lightly floured surface. Gently press dough into an 8-inch round circle.. Cut the round into 8 wedges using a sharp knife. Place the scones 2 inches apart on the prepared baking sheet.. Brush scones with remaining 2 tablespoons heavy cream and sprinkle with turbinado sugar.. Bake in the preheated oven until golden brown, 15 to 20 minutes. Cool on a wire rack for 10 minutes.. Whisk together powdered sugar, remaining 1/2 teaspoon orange zest, 1 tablespoon orange juice, and a pinch of kosher salt. Add up to 1/2 tablespoon more orange juice 1/2 teaspoon at a time, if needed, to reach desired consistency. Drizzle glaze over warm scones and serve immediately.","calories: 429, fat: 24g, carbs: 50g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/5bW3sxD5GcKFQqjbcXBVXHJbCoQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4Rhubarb-Scones-2000-6d8f178298c04fd5ac60b5db0ff64ca8.jpg
Simple Scones,https://www.allrecipes.com/recipe/79470/simple-scones/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'unsalted butter, frozen'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins (or dried currants)'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}",,"calories: 319, fat: 16g, carbs: 41g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/WD11NgfV/thumbnails/LXibR9BK.jpg
Amazing Lemon Scones,https://www.allrecipes.com/recipe/229571/amazing-lemon-scones/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '⅓', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'cold butter, cut into pieces'}, {'quantity': '9', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'lemon zest'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water, or as needed'}","Preheat the oven to 350 degrees F (175 degrees C).. Make the scones: Whisk flour, sugar, baking powder, baking soda, and salt together in a large bowl. Cut in cold butter with 2 knives or a pastry blender until mixture resembles coarse crumbs. Whisk milk, lemon juice, lemon zest, and vinegar in a small bowl; stir into flour mixture until dough is moistened.. Turn dough out onto a lightly floured surface and knead briefly, 5 or 6 turns. Pat or roll dough out into a 1-inch-thick round. Cut into 10 wedge-shaped pieces; arrange 1 inch apart on a baking sheet.. Bake in the preheated oven until bottom edges are golden brown, 12 to 15 minutes. Cool scones on a wire rack for 15 minutes.. Meanwhile, make the glaze: Stir confectioners' sugar, melted butter, lemon juice, and vanilla together in a bowl until smooth. Stir water into sugar mixture, 1 tablespoon at a time, to make a glaze; drizzle glaze over warm scones.","calories: 446, fat: 21g, carbs: 62g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/fCQmZrtUArCmm2cUHmnhQT-h9sU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1445936-cade8c7f68e94ac1adcab3e0f639b4f4.jpg
World's Best Scones! From Scotland to the Savoy to the U.S.,https://www.allrecipes.com/recipe/85629/worlds-best-scones-from-scotland-to-the-savoy-to-the-us/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'dried currants'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}","Gather the ingredients. Preheat the oven to 400 degrees F (200 degrees C). Grease a baking sheet.. Make the scones: Sift flour, baking powder, sugar, and salt into a large bowl. Cut in butter with a pastry blender or by rubbing between fingers until lumps are the size of peas. Stir in currants.. Whisk milk and sour cream together in a measuring cup; gently stir into flour mixture until dough is moistened, being careful not to overwork the dough.. With floured hands, pat dough into 2- to 3-inch diameter balls. Place onto the prepared baking sheet and flatten lightly. Scones should slightly touch each other.. Make the egg wash: Whisk egg and milk together. Brush the tops of scones with egg wash and let them rest for about 10 minutes.. Bake in the preheated oven until the tops are golden brown, 10 to 15 minutes.","calories: 247, fat: 10g, carbs: 35g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/VRK4gqJW/poster.jpg?width=720
Blueberry Scones,https://www.allrecipes.com/recipe/6946/blueberry-scones/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chilled unsalted butter, cut into pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '¾', 'unit': 'cup', 'name': 'half-and-half cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}","Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C).. Combine flour, brown sugar, baking powder, and salt in a bowl. Cut in cold butter with two knives or a pastry blender until the mixture resembles coarse crumbs. Add blueberries and toss to combine.. Whisk cream and egg together in a separate bowl until well combined; slowly pour into dry ingredients and stir with a rubber spatula until a dough starts to form.. Transfer mixture to a lightly floured surface and knead just until it comes together, 3 or 4 times; don't overwork the dough. Divide dough in half, then form each half into a 6-inch round.. Transfer to an ungreased baking sheet and cut each round into 6 wedges.. Bake in the preheated oven until light golden brown, about 20 minutes. Serve warm.","calories: 160, fat: 6g, carbs: 23g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/qIPejYzvqWC-0eti5ggUiTbJS90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6946-Blueberry-scones-DDMFS-4x3-047-51a5a43c79b645a1a03ae0a2364ffddc.jpg
Scottish Oat Scones,https://www.allrecipes.com/recipe/6906/scottish-oat-scones/,"{'quantity': '2', 'unit': 'cups', 'name': 'rolled oats'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'dried currants'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'milk'}","Preheat the oven to 425 degrees F (220 degrees C). Lightly grease a baking sheet.. Mix together oats, flour, currants, sugar, baking powder, and salt in a large bowl; make a well in the center. Beat egg in a medium bowl until frothy; stir in melted butter and milk. Pour into the well and mix until a soft dough forms.. Transfer dough to a clean work surface. Divide dough into 2 equal pieces, then pat each piece into a 1/2-inch-thick circle. Place dough circles onto the prepared baking sheet; score each into 8 wedges.. Bake in the preheated oven until risen and browned, about 15 minutes. Split wedges and serve warm.","calories: 164, fat: 7g, carbs: 23g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/gT57HwUToTgsBSUNyUm5fD10gAA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/32094-eb339e4e73164966bd60fdc4eb66b1e0.jpg
Lemon Blueberry Scones,https://www.allrecipes.com/recipe/274329/lemon-blueberry-scones/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': '', 'name': 'lemon, zested'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold butter, cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh blueberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'fresh lemon juice'}","Preheat the oven to 400 degrees F (200 degrees C). Line 2 baking sheets with parchment paper and set aside.. Combine flour, sugar, baking powder, lemon zest, salt, and baking soda in the bowl of a food processor; pulse 3 or 4 times to mix. Add butter and pulse until mixture resembles coarse crumbs, 20 to 25 times. Pour mixture into a large bowl. Fold in blueberries, making sure they are well coated with the dry ingredients.. Whisk 1/2 cup heavy cream, egg, and lemon juice together in a small bowl using a fork until smooth; stir into flour mixture and mix just until slightly moistened.. Turn dough out onto a well floured surface. Gather dough in a circle using floured hands, kneading only slightly to incorporate any remaining dry ingredients. Flatten dough into a 9-inch round disc; cut disc into 8 triangles. Transfer scones using a bench scraper to the prepared baking sheets (4 scones per baking sheet). Brush scones with 2 tablespoons heavy cream.. Bake in the preheated oven until light brown, 20 to 23 minutes. Remove from the oven and let cool completely, about 30 minutes.. To make the glaze: Mix powdered sugar and lemon juice together in a small bowl. Transfer to a small resealable plastic bag; snip the corner off of the bag using scissors, and drizzle cooled scones with glaze.","calories: 345, fat: 19g, carbs: 39g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/j7B62qCyndsqbjsqwc-Ij54Ly_c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6788005-23f23b5d20e641609f4c3d15bdbae625.jpg
