name,link,ingredients,steps,nutrition,image_url
Our 8 Best Matzo Dessert Recipes to Give Your Seder a Sweet Finish,https://www.allrecipes.com/best-matzo-dessert-recipes-8623831,,,,https://www.allrecipes.com/thmb/Q67tAQRc2r-P5Vhhc3JkNdME8HQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Passover-Apple-Cake-4x3-recipeID-19734-whole-cake-00e03920bec146c7b551a9ee9b99d8e9.jpg
Pan-Fried Asparagus,https://www.allrecipes.com/recipe/18318/pan-fried-asparagus/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'coarse salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh asparagus spears, trimmed'}",,"calories: 188, fat: 18g, carbs: 5g, protein: 3g, servings: 4",https://cdn.jwplayer.com/v2/media/IkU8PGsT/poster.jpg?width=720
Hot Spinach Artichoke Dip,https://www.allrecipes.com/recipe/26819/hot-artichoke-and-spinach-dip-ii/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Romano cheese'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled and minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'artichoke hearts, drained and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'frozen chopped spinach, thawed and drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}",,"calories: 134, fat: 12g, carbs: 3g, protein: 4g, servings: 12",https://cdn.jwplayer.com/v2/media/b32ZsKBP/thumbnails/R91pqFc7.jpg
Cornish Game Hens with Garlic and Rosemary,https://www.allrecipes.com/recipe/8938/cornish-game-hens-with-garlic-and-rosemary/,"{'quantity': '4', 'unit': None, 'name': 'Cornish hens'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': None, 'name': 'lemon, cut into quarters'}, {'quantity': '8', 'unit': 'sprigs', 'name': 'fresh rosemary, divided'}, {'quantity': '24', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'low-sodium chicken broth'}",,"calories: 814, fat: 58g, carbs: 10g, protein: 59g, servings: 4",https://cdn.jwplayer.com/v2/media/OoPZKn8X/thumbnails/JtVh3ir9.jpg
Charoset,https://www.allrecipes.com/recipe/242217/charoset/,"{'quantity': '2', 'unit': '', 'name': 'Granny Smith apples, peeled and coarsely grated'}, {'quantity': '1', 'unit': 'cup', 'name': 'walnuts, finely ground'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grape juice'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}",,"calories: 98, fat: 8g, carbs: 7g, protein: 2g, servings: 10",https://cdn.jwplayer.com/v2/media/POSsoQAt/thumbnails/4mllIGYO.jpg
Potato Kugel,https://www.allrecipes.com/recipe/204133/old-fashioned-potato-kugel/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '10', 'unit': 'medium', 'name': 'potatoes, peeled and grated'}, {'quantity': '2', 'unit': 'medium', 'name': 'onions, peeled and grated'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'black pepper'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish with 1 tablespoon vegetable oil.. Combine grated potatoes and onions in a large bowl. Mix in eggs, 1/3 cup of vegetable oil, salt, and pepper until well combined; pour mixture into the prepared dish.. Bake in the preheated oven until golden brown and crisp on top, 1 ½ to 2 hours.","calories: 119, fat: 5g, carbs: 17g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/LsWpqfx_vtPiQj-Gr2ksq9YqUxU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/204133-old-fashioned-potato-kugel-ddmfs-4x3_10923-28c45e31d98948d0a08c8ced7ae74a4d.jpg
Simply Steamed Asparagus,https://www.allrecipes.com/recipe/55196/simply-steamed-asparagus/,"{'quantity': '1', 'unit': 'bunch', 'name': 'asparagus spears'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'butter'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Gather all ingredients.. Place 3 cups water in the bottom half of a steamer pan set. Add butter and salt and bring to a boil.. Trim dry ends off of asparagus. If spears are thick, peel them lightly with a vegetable peeler.. Place asparagus spears in the top half of the steamer pan set. Steam until asparagus is tender, 5 to 10 minutes depending on thickness.. Serve and enjoy!","calories: 32, fat: 1g, carbs: 4g, protein: 3g, servings: 4",https://cdn.jwplayer.com/v2/media/forF3pvE/thumbnails/CeLFN2tu.jpg
Roast Potatoes,https://www.allrecipes.com/recipe/18324/roast-potatoes/,"{'quantity': '2', 'unit': 'pounds', 'name': 'red potatoes, cut into quarters'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried rosemary, crushed'}","Preheat the oven to 450 degrees F (250 degrees C) and gather all ingredients.. Place potatoes in a large roasting pan and toss with oil, salt, pepper, and rosemary until evenly coated.. Spread out potatoes in a single layer.. Bake, stirring occasionally, in the preheated oven until tender, about 20 minutes. Serve warm.. Serve hot and enjoy!","calories: 227, fat: 7g, carbs: 36g, protein: 4g, servings: 4",https://cdn.jwplayer.com/v2/media/ExjTUwkO/poster.jpg?width=720
Roast Leg of Lamb,https://www.allrecipes.com/recipe/9380/roast-leg-of-lamb/,"{'quantity': '5', 'unit': 'pounds', 'name': 'leg of lamb'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh rosemary'}",,"calories: 382, fat: 25g, carbs: 0g, protein: 36g, servings: 12",https://cdn.jwplayer.com/v2/media/5XIWWYHb/thumbnails/xiUeY18L.jpg
Smoked Fish Dip,https://www.allrecipes.com/recipe/45291/smoked-fish-dip/,"{'quantity': '2', 'unit': 'cups', 'name': 'flaked smoked whitefish'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'fat-free sour cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fat-free mayonnaise'}, {'quantity': '4', 'unit': 'drops', 'name': 'hot pepper sauce, or to taste'}, {'quantity': '3', 'unit': 'drops', 'name': 'Worcestershire sauce, or to taste'}, {'quantity': '3', 'unit': 'drops', 'name': 'liquid smoke flavoring (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'seafood seasoning, such as Old Bay'}, {'quantity': '', 'unit': '', 'name': 'cracked black pepper to taste'}","Gather the ingredients.. Place whitefish, sour cream, and mayonnaise in the bowl of a food processor; season with hot pepper sauce, Worcestershire sauce, liquid smoke, seafood seasoning, and cracked black pepper.. Blend until combined with a spread-like consistency.","calories: 25, fat: 0g, carbs: 1g, protein: 4g, servings: 16",https://www.allrecipes.com/thmb/E5IXi9lodIHmnIfJz7cswXZ4XYo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/45291smoked-fish-dipCookingwithShelia4x3-718424610ea2486687f1828b815e4f32.jpg
