name,link,ingredients,steps,nutrition,image_url
Easy English Cottage Pie,https://www.allrecipes.com/recipe/15509/proper-english-cottage-pie/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '3', 'unit': '', 'name': 'carrots, diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Italian seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '4', 'unit': '', 'name': 'potatoes, peeled and diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '¼', 'unit': 'pound', 'name': 'shredded Cheddar cheese'}",,"calories: 513, fat: 31g, carbs: 35g, protein: 24g, servings: 6",https://cdn.jwplayer.com/v2/media/FZUoZSz7/thumbnails/sLDHuruI.jpg
Sloppy Joe Shepherd’s Pie,https://www.allrecipes.com/sloppy-joe-shepherd-s-pie-recipe-8711666,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'large', 'name': 'garlic cloves, finely chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chuck'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped yellow onion'}, {'quantity': '1 (3/8 ounce)', 'unit': None, 'name': 'beef bouillon cube'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry mustard'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': '(14-ounce)', 'name': 'can crushed tomatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon W', 'name': 'orcestershire Sauce'}, {'quantity': None, 'unit': '(32-ounce) package', 'name': 'mashed potatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heddar cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onterey Jack cheese'}, {'quantity': None, 'unit': 'chopped', 'name': 'chives for garnish'}","Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C).. Heat oil in a 12-inch cast-iron skillet over medium-high. Add garlic; cook, stirring constantly, until fragrant, about 1 minute. Add ground chuck; cook, stirring to crumble beef into small pieces, until browned, about 6 minutes. Remove from heat, spoon drippings into a small bowl. Let drippings cool, then discard.. Add onion to skillet; cook over medium, stirring often, until onions have softened, about 3 minutes. Stir in bouillon, sugar, mustard, and pepper until well combined. Stir in crushed tomatoes, ketchup, broth, tomato paste, and Worcestershire sauce until well combined. Bring to a simmer over medium-high; cook, stirring occasionally, until sauce is slightly thickened and glossy, 2 to 3 minutes. Remove from heat.. Spoon mashed potatoes over beef mixture in skillet and gently spread into an even layer to cover beef completely.. Sprinkle evenly with cheeses.. Bake in the preheated oven until potatoes are heated through and cheese is melted, about 10 minutes. Increase oven temperature to broil; do not remove skillet. Broil until cheese is lightly browned, 4 to 5 minutes. Let stand 5 minutes; garnish with chives, and serve.","calories: 735, fat: 36g, carbs: 57g, protein: 48g, servings: 6",https://www.allrecipes.com/thmb/73kMkuOqkN91cfo5YlFFHkv17jY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8711666-Sloppy-Joe-Shepherds-Pie-ddmfs-0497-4x3-beauty-adc68457a4c04784a2f396d0ef324e78.jpg
Copycat Cracker Barrel Hash Brown Casserole Shepherd's Pie,https://www.allrecipes.com/copycat-cracker-barrel-hash-brown-casserole-shepherds-pie-recipe-8706205,"{'quantity': '1/2', 'unit': 'recipe', 'name': 'Easy Pot Roast'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen peas'}, {'quantity': '1', 'unit': '(24 ounce) container', 'name': 'mashed potatoes'}, {'quantity': '1/2', 'unit': 'recipe', 'name': 'ash Brown Casserole'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'green onion'}","Preheat the oven to 375 degrees F (190 degrees C). Place pot roast and gravy in a saucepan over medium heat. Stir in peas and cook until peas are heated through, 3 to 4 minutes, stirring occasionally.. Add mashed potatoes to a casserole dish and press into the pan in an even layer.. Place pot roast and peas on top of potatoes. Add hash brown casserole on top of pot roast and spread into a thin even layer. Top with Cheddar cheese.. Bake, uncovered, in the preheated oven until golden brown around the edges and bubbly, about 35 minutes. Sprinkle with green onions and serve.","calories: 916, fat: 55g, carbs: 51g, protein: 52g, servings: 6",https://cdn.jwplayer.com/v2/media/wwsIUDkf/thumbnails/TNpmdfKb.jpg
Sophie's Shepherd's Pie,https://www.allrecipes.com/recipe/158440/sophies-shepherds-pie/,"{'quantity': '4', 'unit': 'large', 'name': 'baking potatoes, peeled and cubed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'pounds', 'name': 'ground lamb'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'cube', 'name': 'beef bouillon'}, {'quantity': '12', 'unit': '', 'name': 'button mushrooms, sliced'}, {'quantity': '1', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'baked beans'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'canned diced tomatoes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'brown gravy mix (Optional)'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'carrots, drained (Optional)'}","Preheat the oven to 400 degrees F (200 degrees C).. Place the potatoes into a saucepan and fill with enough water to cover. Bring to a boil, then cook over medium heat until tender enough to pierce with a fork, about 10 minutes. Drain and mash with butter and milk to your desired texture.. Meanwhile, crumble the ground lamb into a large skillet. Cook and stir until no longer pink. Season with Worcestershire sauce and beef bouillon. Add the mushrooms and onion; continue to cook and stir until tender. Transfer the contents of the skillet to a large casserole dish.. Mix the baked beans, diced tomatoes, gravy mix and carrots in with the lamb. Dollop big blobs of mashed potatoes over the top and carefully spread evenly to cover the entire top. Rake over it with a fork to create a crispy texture on top when it browns.. Bake for 10 minutes in the preheated oven, until the top is browned and crisp.","calories: 1144, fat: 58g, carbs: 104g, protein: 55g, servings: 4",https://www.allrecipes.com/thmb/VaDRlRQ2kf73e1OWMiTCeWWlNys=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2354454-c2f294eefab04bfe889e89892eadf5c3.jpg
Shepherd's Pie,https://www.allrecipes.com/recipe/24202/shepherds-pie-vi/,"{'quantity': '4', 'unit': 'large', 'name': 'potatoes, peeled and cubed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}, {'quantity': '5', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '¾', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}",,"calories: 452, fat: 17g, carbs: 53g, protein: 23g, servings: 6",https://cdn.jwplayer.com/v2/media/pUmlJuy5/poster.jpg?width=720
Turkey Shepherd's Pie,https://www.allrecipes.com/recipe/12522/turkey-shepherds-pie/,"{'quantity': '3', 'unit': 'large', 'name': 'potatoes, peeled'}, {'quantity': '¼', 'unit': 'cup', 'name': 'warm milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, room temperature'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground turkey'}, {'quantity': '1', 'unit': '(4.5 ounce) can', 'name': 'sliced mushrooms'}, {'quantity': '1', 'unit': 'large', 'name': 'carrot, shredded'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chicken bouillon powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}","Start the topping: Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, 15 to 20 minutes.. While the potatoes are cooking, preheat the oven to 375 degrees F (190 degrees C).. At the same time, make the filling: Heat olive oil in a skillet over medium heat; stir in onion. Sauté onion until soft and translucent, about 5 minutes. Stir in ground turkey, mushrooms, carrot, parsley, garlic, bouillon powder, and thyme. Cook and stir until meat is broken up and cooked through, 5 to 7 minutes. Season with salt and pepper. Stir in flour and cook for 1 minute more. Remove from the heat and set aside.. Finish the topping: Drain potatoes and transfer to a bowl. Add milk and butter and mash to desired consistency. Season with salt and pepper.. Transfer filling to a deep-dish pie pan or casserole dish. Spread topping over filling and swirl with a fork.. Bake in the preheated oven until the topping is lightly browned, about 30 minutes.","calories: 339, fat: 13g, carbs: 38g, protein: 18g, servings: 6",https://www.allrecipes.com/thmb/TDvHec9k-D9gWFtwcr881lp_CJc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1375293-4006c122542242d6ac4676f722c619c9.jpg
Easy Shepherd's Pie,https://www.allrecipes.com/recipe/181137/easy-shepherds-pie/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '2', 'unit': 'cups', 'name': 'hot mashed potatoes'}, {'quantity': '4', 'unit': 'ounces', 'name': 'Philadelphia Cream Cheese, cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'Kraft Shredded Cheddar Cheese, divided'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'cups', 'name': 'frozen mixed vegetables, thawed'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef gravy'}","Preheat the oven to 375 degrees F (190 degrees C).. Brown meat in a large skillet. While the meat is browning, mix potatoes, cream cheese, 1/2 cup shredded cheese, and garlic until well blended.. Drain meat. Return to skillet; stir in vegetables and gravy. Spoon into a 9-inch square baking dish. Cover with potato mixture and remaining 1/2 cup shredded cheese.. Bake in the preheated oven until heated through, about 20 minutes.","calories: 435, fat: 25g, carbs: 32g, protein: 24g, servings: 6",https://www.allrecipes.com/thmb/MTSFLrjB1zD0u6Z86XPjYHfcHiE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1092032-2de467e465d846328e442283d13bf272.jpg
Traditional Shepherd's Pie,https://www.allrecipes.com/recipe/283435/traditional-shepherds-pie/,"{'quantity': '3', 'unit': 'pounds', 'name': 'Yukon Gold potatoes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'salted butter, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded white Cheddar cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced carrot'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground lamb'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef sirloin'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'finely chopped fresh rosemary'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'finely chopped fresh thyme'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef stock'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen green peas'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley, or to taste'}","Place potatoes in large saucepan and add enough water to cover by 2 inches. Stir in 1 tablespoon salt and place pot over medium-high heat; bring to a boil. Cook until potatoes are fork tender, about 10 minutes. Turn off the heat and drain.. Return potatoes to the hot pan and set over the same burner. Add milk and 2 tablespoons butter; allow butter to melt from the residual heat. Mash potatoes with a potato masher until smooth. Stir in Cheddar cheese, sour cream, egg yolk, 1/2 teaspoon salt, and 1/4 teaspoon pepper. Set aside while you prepare the filling.. Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x13-inch casserole dish.. Heat olive oil and remaining 1 tablespoon butter in a large skillet over medium-high heat. Add onion and carrot and cook, stirring constantly, until onion begins to turn translucent, about 5 minutes.. Add lamb and beef and cook, crumbling with a spoon and stirring often until browned, about 5 minutes. Sprinkle meat mixture with flour, remaining salt and pepper, rosemary, and thyme. Cook, stirring constantly, for 2 minutes.. Add beef stock, tomato paste, and Worcestershire; cook, scraping any flavorful bits from the bottom of the skillet. Bring mixture to a simmer. Cook until thickened and vegetables are tender, about 8 minutes. Stir in peas. Transfer mixture to the prepared casserole dish and top with the prepared mashed potatoes.. Bake in the preheated oven until golden and bubbly around the edges, 25 to 30 minutes. Sprinkle with parsley and serve.","calories: 502, fat: 24g, carbs: 41g, protein: 30g, servings: 8",https://www.allrecipes.com/thmb/r_Z77mib9PK7jJZX0AzGiwde7OM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9053358-a40a2912c5c840acaa2661d2c79d19c5.jpg
Ground Beef Shepherd's Pie,https://www.allrecipes.com/recipe/16156/ground-beef-shepherds-pie/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': 'cup', 'name': 'green beans'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomatoes, diced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': '', 'name': 'potatoes, cooked and mashed'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Cheddar cheese (Optional)'}",,"calories: 404, fat: 21g, carbs: 25g, protein: 28g, servings: 4",https://cdn.jwplayer.com/v2/media/GF8wL8Cr/thumbnails/gGVyuhBe.jpg
Instant Pot Shepherd's Pie,https://www.allrecipes.com/recipe/270606/instant-pot-shepherds-pie/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'thyme'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen peas and carrots'}, {'quantity': '3', 'unit': 'medium', 'name': 'potatoes, peeled'}, {'quantity': '½', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic salt'}","Turn on a multi-functional pressure cooker (such as Instant Pot) and select Sauté function. Heat oil in the pot. Cook and stir ground beef, onion, garlic, salt, and pepper in hot oil until beef is browned and crumbly and onion is soft and translucent, about 5 minutes. Stir in tomato paste, Worcestershire sauce, and thyme. Pour in broth. Stir in frozen peas and carrots until well blended. Turn off Sauté function.. Place the collapsible metal trivet in the pot so it rests just above meat-vegetable mixture. Place potatoes on the trivet. Close and lock the lid. Select high pressure according to manufacturer's instructions. Set the timer for 15 minutes if potatoes are on the smaller side or 20 minutes if they are medium or large. Allow 10 to 15 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions for 10 minutes. Release remaining pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Open the lid and transfer potatoes to a bowl. Turn off the Instant Pot and carefully remove the hot trivet.. Add half-and-half, butter, and garlic salt to potatoes in the bowl; mash until well blended.. Set an oven rack about 6 inches from the heat source and preheat the oven's broiler.. Pour meat-vegetable mixture from the Instant Pot into an 8-inch square baking dish. Spoon mashed potatoes on top and spread out evenly.. Broil in the preheated oven until the top starts to turn golden and brown, about 3 minutes.","calories: 347, fat: 18g, carbs: 29g, protein: 18g, servings: 6",https://www.allrecipes.com/thmb/ROEWoE7PJMzZKTsDNvZiDI4RMWQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6355170-instant-pot-shepherds-pie-fabeveryday-4x3-1-da79cc7f72ee43dbb3f5a820663c4013.jpg
