name,link,ingredients,steps,nutrition,image_url
Rose Petal Cookies,https://www.allrecipes.com/recipe/262718/rose-petal-cookies/,"{'quantity': '14', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '12', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'rose water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'dried rose petals'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}","Combine sugar and butter in a large bowl. Beat with an electric mixer until light and fluffy, about 5 minutes. Beat in eggs and rose water. Fold in rose petals.. Combine flour, baking powder, and salt in a separate bowl. Mix into dough. Cover and chill dough for at least 1 hour, or overnight.. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.. Roll out dough on lightly floured surface to about 1/3-inch thickness. Cut into shapes with a shaped cutter, or simply cut into rectangles or squares. Place cookies 1-inch apart on the prepared baking sheet.. Bake in the preheated oven until light and crisp, 6 to 8 minutes. Cool completely before serving.","calories: 53, fat: 3g, carbs: 7g, protein: 1g, servings: 60",https://www.allrecipes.com/thmb/hCSJF1o82E72IpwTfaDTvQIVado=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6275638-77b9893282334019962c84ca2803bd61.jpg
Caramel Shortbread Squares,https://www.allrecipes.com/recipe/15347/caramel-shortbread-squares/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'light corn syrup'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'milk chocolate chips'}",,"calories: 148, fat: 9g, carbs: 16g, protein: 1g, servings: 32",https://cdn.jwplayer.com/v2/media/bMnC496W/poster.jpg?width=720
Shortbread Christmas Cookies,https://www.allrecipes.com/recipe/218138/shortbread-christmas-cookies/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'cold butter'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'rum extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold water'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'drop', 'name': 'food coloring, or to desired shade (Optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'colored edible glitter, or as desired'}","Whisk together flour, white sugar, and salt in a large bowl; cut in butter with a pastry cutter until the mixture resembles coarse crumbs.. Stir rum extract, almond extract, and water together in a small bowl. Stir into flour mixture, a little bit at a time, until mixture holds together in a ball when you squeeze it.. Place dough on a floured work surface and sprinkle with flour; roll out into a sheet 1/4 inch thick. Cut into shapes with floured cookie cutters, and place 1 inch apart on ungreased baking sheets. Cover with a layer of plastic wrap, and refrigerate for 30 minutes.. Preheat the oven to 325 degrees F (165 degrees C).. Bake cookies in the preheated oven just until the edges are lightly browned, 15 to 18 minutes. Allow to cool on sheets for 2 minutes before removing to wire racks to finish cooling. Cool completely before decorating.. To make the frosting: Whisk confectioners' sugar, 2 tablespoons milk and 2 teaspoons milk together in a bowl until smooth. If desired, divide frosting into small bowls and tint each to desired shade with food coloring.. Frost cooled cookies. Sprinkle with edible glitter before frosting sets.","calories: 149, fat: 8g, carbs: 19g, protein: 1g, servings: 36",https://www.allrecipes.com/thmb/D96Z6Zqr1HGEsN-YezlZcgveTFM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1701546479733DSC_1562-Shortbread-Christmas-Cookies-4x3-recipeID-218138-a6d806294aa94908818f4a2343e205f6.jpg
Pecan Shortbread Cookies,https://www.allrecipes.com/pecan-shortbread-cookies-recipe-8415352,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened to room temperature'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup finely', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'demerara sugar or finely chopped pecans'}","Gather all ingredients.. Beat butter, white sugar, and vanilla together in a large bowl with an electric mixer until combined.. Add flour, pecans, and salt. Beat on low with the electric mixer until dough comes together.. Line a work surface with a piece of plastic wrap about 12 inches long. Divide dough in 2 equal portions. Place a portion of dough on the plastic wrap. Using the plastic wrap to assist you, shape and roll dough into a round log about 1 ½ inches wide and 10 inches long. If dough is a little crumbly, press it together firmly. Repeat with the remaining dough.. Wrap dough tightly in plastic wrap and chill for at least 1 hour or up to overnight.. Preheat the oven to 350 degrees F (175 degrees C). Line 2 large baking sheets with parchment paper.. Whisk egg yolk and 1 teaspoon water together in a small bowl with a fork. Pour demerara sugar on a rimmed baking sheet or 13x9-inch baking pan.. Unwrap dough and brush with egg yolk mixture. Using the ends of the plastic wrap to hold the log, press all sides into demerara sugar.. Slice dough logs into 1/2-inch thick rounds with a sharp knife. Place on the prepared baking sheets about 2 inches apart. Wrap dough in plastic wrap and refrigerate between batches.. Bake in the preheated oven until lightly browned on the bottom, about 15 to 16 minutes.. Cool on the baking sheet briefly, then transfer to a wire rack to cool completely.","calories: 115, fat: 7g, carbs: 13g, protein: 1g, servings: 40",https://www.allrecipes.com/thmb/w4QM2uLqCiSVXW85XaPjvDxeoxE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8415352-pecan-shortbread-cookies-ddmfs-3x4-1210-36c85a07dd054b3e8410b024ac58bef4.jpg
Almond Shortbread Cookies,https://www.allrecipes.com/recipe/10539/almond-shortbread-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar, plus more as needed'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'almond extract'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'granulated sugar for decoration'}","Beat butter, 1/2 cup sugar, and almond extract together in a large bowl with an electric mixer until light and fluffy. Stir in flour with a wooden spoon until smooth and well combined. Divide dough into 2 parts. Wrap in plastic and refrigerate for 2 hours.. Preheat the oven to 300 degrees F (150 degrees C).. Lightly sprinkle some white sugar on work surface; roll out dough, one part at a time, about 1/2-inch thick. Cut out cookies with a 1 ½-inch round cookie cutter. Place on ungreased cookie sheet 1 inch apart. Make an indentation in the center of each cookie with the end of a wooden spoon.. Bake in preheated oven until cookies are light golden brown around the edges, 25 to 30 minutes. Sprinkle or roll cookies in granulated sugar while still warm, then cool completely on a wire rack. Store in an air-tight container.","calories: 191, fat: 10g, carbs: 23g, protein: 2g, servings: 18",https://www.allrecipes.com/thmb/R8ZELKMDyuztF1ewc1k9RUAZVec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/227387-f72ad9109fc64a5a914452342323ee8a.jpg
The Best Scottish Shortbread,https://www.allrecipes.com/recipe/232956/scotch-shortbread/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, at room temperature'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar, or as needed'}","Preheat the oven to 300 degrees F (150 degrees C).. Mix together flour, butter, and 1/2 cup sugar in a bowl with your hands until well combined. Press dough into an ungreased 11 ½ x 7 ½-inch sheet tray or jelly roll pan. Sprinkle with 1 tablespoon sugar.. Bake in the preheated oven until edges are light brown, 20 to 30 minutes.. Cut shortbread into squares in the pan while still warm. Cool completely before removing squares from the pan.","calories: 267, fat: 16g, carbs: 29g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/EQ9MGpWMBugzsvIyqmUqngtkGhE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4514094-da6c1ca11bdf403ea47a6097d523a31b.jpg
Scottish Shortbread,https://www.allrecipes.com/recipe/11341/scottish-shortbread-iv/,"{'quantity': '2', 'unit': 'cups', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'all-purpose flour'}","Gather all ingredients.. Preheat the oven to 325 degrees F (165 degrees C).. Beat butter and brown sugar together until smooth and creamy.. Add 3 to 3 3/4 cups flour; mix well.. Sprinkle board with remaining flour. Knead for 5 minutes, adding enough flour to make a soft dough.. Roll out dough to 1/2-inch thickness. Cut into 3x1-inch strips.. Prick shortbread cookies with a fork and place on ungreased baking sheets.. Bake in the preheated oven until edges are golden brown, 20 to 25 minutes. Cool on the baking sheet briefly before removing to a wire rack to cool completely.","calories: 256, fat: 16g, carbs: 27g, protein: 3g, servings: 24",https://cdn.jwplayer.com/v2/media/7jGGkJKv/poster.jpg?width=720
Lemon Shortbread Cookies,https://www.allrecipes.com/lemon-shortbread-cookies-recipe-7484388,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'confectioners sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoons', 'name': 'heavy cream, or as needed'}","Beat butter and sugar together in a large bowl with an electric mixer until light and fluffy. Add in 1 tablespoon lemon juice, 1 tablespoon zest, and 1/2 teaspoon salt, and mix until incorporated. Add in 1 cup of flour, and mix just until combined. Add in remaining flour, and mix until dough comes together.. Turn dough out onto a lightly-floured surface and roll 1/4-inch thick with a rolling pin. Cut out shapes using a 2-inch cookie cutter. Re-roll and cut dough scraps as needed. Refrigerate cut cookies for 20 minutes before baking.. Preheat the oven to 325 degrees F (165 degrees C). Line two baking sheets with parchment paper or silicone baking mats. Place cookies 1 inch apart on prepared baking sheets.. Bake in the preheated oven until cookies begin to turn golden brown on the bottom, 12 to 17 minutes. Cool a few minutes on the baking sheets before removing to a wire rack to cool completely.. Whisk powdered sugar, 1 tablespoon lemon juice, 1/2 teaspoon lemon zest, and 1 pinch salt together in a bowl until completely smooth. Add heavy cream to thin icing if needed--or more powdered sugar if icing is too thin. Drizzle over cooled cookies. Allow icing to set before serving.","calories: 84, fat: 5g, carbs: 10g, protein: 1g, servings: 42",https://www.allrecipes.com/thmb/wrd80i2y4pjA8EcknWRYT8x7Eds=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7484388_Lemon-Shortbread-Cookies_Kim_4x3-03ef539d76e24fccb29d054d840ed4f9.jpg
Lemon Shortbread Cookies,https://www.allrecipes.com/recipe/273880/lemon-butter-shortbread-cookies/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'cups', 'name': 'unsalted butter at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh lemon juice'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'lemon juice, or more to taste'}, {'quantity': '3', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '', 'unit': '', 'name': 'lemons, zested'}","Preheat the oven to 350 degrees F (175 degrees C).. Sift or whisk flour, salt, and baking powder together in a bowl.. Place butter in a large mixing bowl; beat with a wooden spoon until very creamy. Add confectioners' sugar, lemon juice, and flour mixture; mix until well combined.. Roll dough out on a lightly floured surface to 1/4-inch thickness. Cut into rounds using a round cookie cutter. Transfer cookies to ungreased baking sheets.. Bake in the preheated oven until cookies are light brown on the bottom but still very light on top, about 10 minutes. Allow cookies to cool on the baking sheets for about 2 minutes before transferring to wire racks to cool completely.. Whisk melted butter and lemon juice together in a small bowl. Add lemon zest and whisk again. Whisk in confectioners' sugar 1 cup at a time. Add more lemon juice if necessary for a thin consistency.. Dip the top of each cookie in glaze and transfer to a wire rack placed over waxed paper or parchment paper. Allow cookies to sit until glaze has set, about 2 hours.. Store cookies in an airtight container between layers of waxed paper.","calories: 317, fat: 18g, carbs: 37g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/ntBbifPV/poster.jpg?width=720
Chocolate Shortbread Cookies,https://www.allrecipes.com/chocolate-shortbread-cookies-7152889,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'instant espresso powder (Optional)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Sift together 2 cups plus 1 tablespoon flour, cocoa powder, espresso powder, and salt; set aside.. Beat sugar and butter with an electric mixer in a large bowl until light and fluffy; beat in vanilla. Add dry ingredients in 3 separate additions, mixing until just combined after each addition, until a thick dough forms. Flatten dough into a large disc and wrap in plastic wrap. Chill dough in refrigerator for 30 minutes.. Line 2 large cookie sheets with parchment paper.. Remove dough from fridge and roll out on a lightly floured surface to 1/4- to 1/2-inch thickness. Cut out shapes using cookie cutters. Knead any dough scraps back together, re-roll, and cut out more cookies as needed. Place cutouts 1 inch apart on the lined baking sheets, and refrigerate for about 20 minutes.. Preheat oven to 350 degrees F.. Bake cookies in the preheated oven, 1 baking sheet at a time, until cookies are just set, about 10 minutes. Allow cookies to cool on baking sheet a few minutes before removing to a wire rack to cool completely.",,https://www.allrecipes.com/thmb/bwwf5KoJfKT4ThxyONbnETRune0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8543939_Chocolate-Shortbread-Cookies_Kim_4x3-9abb72c5e095481fb6952248957df7ae.jpg
