name,link,ingredients,steps,nutrition,image_url
Old Charleston-Style Shrimp and Grits,https://www.allrecipes.com/recipe/220895/old-charleston-style-shrimp-and-grits/,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'coarsely ground grits'}, {'quantity': '2', 'unit': 'cups', 'name': 'half-and-half'}, {'quantity': '2', 'unit': 'pounds', 'name': 'uncooked shrimp, peeled and deveined'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, juiced'}, {'quantity': '1', 'unit': 'pound', 'name': 'andouille sausage, cut into 1/4-inch slices'}, {'quantity': '5', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': 'medium', 'name': 'green bell pepper, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'red bell pepper, chopped'}, {'quantity': '1', 'unit': 'medium', 'name': 'yellow bell pepper, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded sharp Cheddar cheese'}",,"calories: 618, fat: 44g, carbs: 16g, protein: 39g, servings: 8",https://cdn.jwplayer.com/v2/media/KAJR9zYm/poster.jpg?width=720
Ultimate Lowcountry Shrimp and Grits,https://www.allrecipes.com/ultimate-lowcountry-shrimp-and-grits-recipe-8660975,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'grits'}, {'quantity': '2', 'unit': 'ears', 'name': 'white sweet corn'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '4', 'unit': None, 'name': 'green onions, divided'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper, diced'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper, diced'}, {'quantity': '4', 'unit': 'ounces', 'name': 'okra, thinly sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': None, 'name': 'tomatoes'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes with green chiles'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'hot sauce, or to taste (optional)'}, {'quantity': '2', 'unit': 'cups', 'name': 'peanut oil or other vegetable oil for frying'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'shrimp,'}, {'quantity': '2', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '3', 'unit': None, 'name': 'green onions, thinly sliced'}, {'quantity': None, 'unit': None, 'name': 'chopped parsley for garnish (optional)'}","Combine water, milk, butter, and salt in a large saucepan and bring just to a boil. Whisk in grits until incorporated. Reduce heat to simmer, cover, and cook until thick, 25 to 30 minutes, stirring often. If mixture gets too thick, add a little more milk or water.. Cut kernels off corn cobs, and using the back of the knife, carefully scrape the cob to release the creamy corn milk. Stir corn kernels and corn milk into grits and continue cooking until grits are creamy and tender, 15 to 20 minutes longer, stirring often. Stir in pepper and adjust seasonings if necessary.. Meanwhile, heat a large deep skillet or Dutch oven over medium heat. Add olive oil and bacon slices in a single layer, and cook until bacon is crisp, stirring occasionally, about 7 minutes.  Remove bacon from the skillet, drain on paper towels, and set aside. Crumble bacon once cool enough to handle. Reserve drippings in the skillet and return skillet to medium-high heat.. Finely slice green onions and reserve green ends for garnish. Add white parts of green onion, onion, green and red bell peppers, and okra to the skillet and cook until softened and lightly browned, stirring often, about 5 minutes. Add in salt, pepper, garlic powder, and cayenne and cook for 1 minute. Add fresh tomatoes and garlic, and cook for 2 minutes.. Add butter to mixture and allow it to melt. Sprinkle flour over skillet and cook, stirring constantly, about 1 minute. Add in tomatoes, with juices, and stock while stirring constantly until smooth. Stir in sugar, Worcestershire, and hot sauce, and return mixture to a simmer. Cook gravy for 10 minutes, stirring occasionally.. Heat peanut oil to 350 degrees F (175 degrees C) in a large, deep skillet over medium-high heat. Whisk eggs in a bowl; add shrimp and stir to coat. In a shallow dish, whisk flour, salt, paprika, black pepper, and cayenne pepper.. Working a few at a time, remove shrimp from egg, allowing excess to drip off, and lightly coat in flour mixture. Transfer shrimp to a wire rack set inside a rimmed baking sheet. Repeat with remaining shrimp.. Working in batches, add shrimp to hot oil and cook, turning occasionally, until lightly browned and crisp, 1 to 2 minutes. Drain on a wire rack set over a paper towel-lined baking sheet.. To serve, place grits in the bottom of a shallow bowl. Top with about 1/2 cup of gravy and 6 to 8 shrimp. Top with crumbled bacon, and sprinkle with green onions and parsley if desired.","calories: 695, fat: 28g, carbs: 66g, protein: 45g, servings: 6",https://cdn.jwplayer.com/v2/media/v0327QmL/thumbnails/pi6545cj.jpg
Cheesy Shrimp and Grits,https://www.allrecipes.com/recipe/277151/cheesy-shrimp-and-grits/,"{'quantity': '1', 'unit': 'cup', 'name': 'stone-ground grits'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded sharp Cheddar cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'shrimp, peeled and deveined'}, {'quantity': '6', 'unit': 'slices', 'name': 'bacon, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'thinly sliced scallions'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'large clove', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'lemon juice'}","Cook grits according to package directions until tender. Remove from heat. Stir in Cheddar cheese, butter, and salt and pepper. Cover and set aside.. Rinse shrimp and pat dry.. Cook bacon in a large skillet over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain on paper towels, leaving bacon grease in the skillet.. Cook shrimp in bacon grease over medium heat until they begin to turn opaque, about 2 minutes. Add bacon, scallions, parsley, garlic, and lemon juice. Continue to cook until shrimp are bright pink, about 3 minutes more.. Spoon grits into a serving bowl. Add shrimp mixture and mix well. Serve immediately.","calories: 449, fat: 26g, carbs: 23g, protein: 30g, servings: 6",https://www.allrecipes.com/thmb/v34ypfR0hPIluhTQQYXC3Nvl904=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7541914-94ac36e8d50b4074af0ef02d55d4ebec.jpg
Spicy Shrimp and Grits,https://www.allrecipes.com/recipe/160194/spicy-shrimp-and-grits/,"{'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'quick-cooking grits'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'margarine'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pound', 'name': 'peeled and deveined small shrimp'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes and green chilies'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Monterey Jack cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded sharp Cheddar cheese, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x12-inch baking dish.. Bring chicken broth and salt to a boil in a large saucepan over high heat. Stir in grits, return to a simmer, then reduce heat to medium-low; continue cooking for 20 minutes, stirring frequently.. Meanwhile, melt margarine in a skillet over medium heat. Stir in green onions, bell pepper, and garlic; cook until peppers have softened, about 5 minutes. Stir in shrimp; cook until they begin to firm.. Stir shrimp mixture, tomatoes, Monterey Jack cheese, 3/4 cup Cheddar cheese, and black pepper into grits; pour into the prepared baking dish. Sprinkle with remaining 1/4 cup Cheddar cheese.. Bake in the preheated oven until cheese is bubbly and beginning to brown, 30 to 45 minutes.","calories: 281, fat: 14g, carbs: 20g, protein: 20g, servings: 8",https://www.allrecipes.com/thmb/g3IpZVsdvEH31gBSe1tNdFkPaMY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/70928-ced49d20d2ae436c905641ddc7c542fa.jpg
Shrimp and Cheesy Grits with Bacon,https://www.allrecipes.com/recipe/220903/shrimp-and-cheesy-grits-with-bacon/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'evaporated milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'quick-cooking grits'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped raw bacon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'bacon drippings'}, {'quantity': '1', 'unit': 'pound', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced green bell pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'shredded Cheddar cheese, or as desired'}","Pour chicken broth and evaporated milk into a large saucepan and bring to a boil. Stir in grits and salt; return to a boil. Reduce heat to low, cover, and simmer grits, stirring often, until thick, about 5 minutes. Stir in 1 cup Cheddar cheese until melted. Set grits aside and keep warm.. Heat a large skillet over medium heat. Cook and stir bacon in the hot skillet until crisp, 8 to 10 minutes. Use a slotted spoon to transfer bacon to a paper towel-lined plate. Drain all but 2 tablespoons bacon drippings from the skillet.. Return the skillet to medium heat. Cook and stir shrimp, bell pepper, and onion in hot bacon drippings until shrimp are bright pink and no longer translucent inside and bell pepper is tender, 5 to 8 minutes. Stir cooked bacon into shrimp mixture.. Spread grits into a serving dish, top with shrimp mixture, and garnish with 1 tablespoon Cheddar cheese.","calories: 446, fat: 24g, carbs: 17g, protein: 39g, servings: 4",https://www.allrecipes.com/thmb/SkSg8VbHVzjg6W_cNy9DQMA3Rs8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2468310-798875221ec24f1e9c79d76dfe4fc130.jpg
Grits a Ya Ya,https://www.allrecipes.com/recipe/220018/grits-a-ya-ya/,"{'quantity': '3 ½', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '¾', 'unit': 'cup', 'name': 'old fashioned grits'}, {'quantity': '¼', 'unit': 'cup', 'name': 'heavy cream, plus more as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded smoked Gouda cheese, or more to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '8', 'unit': 'slices', 'name': 'bacon, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced shallot'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'splash', 'name': 'white wine'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'pound', 'name': 'jumbo shrimp, peeled and deveined'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped spinach'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped portobello mushrooms'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced green onions'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'dash', 'name': 'hot pepper sauce, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Prepare the grits: Bring chicken stock to a boil in a saucepan over high heat.. Slowly pour grits into stock while stirring constantly. Reduce heat to low; simmer until grits are tender and thick, 15 to 20 minutes, stirring occasionally.. Stir in heavy cream to thin out the grits. Stir in Gouda cheese and butter until melted and smooth.. While grits are cooking, make the shrimp sauce: Place bacon in a large, deep skillet over medium heat; cook until bacon fat is rendered, about 3 minutes.. Stir in shallot and garlic; cooking and stirring until shallots are tender, about 5 minutes.. Pour in white wine and stir in butter, cooking and stirring until butter has melted.. Drop shrimp in the skillet; cook and stir until they are bright pink on the outside and the meat is no longer transparent in the center, about 3 minutes.. Stir in spinach, mushrooms, and green onions; cook and stir until the spinach wilts, about 2 minutes more.. Remove shrimp with a slotted spoon.. Stir in heavy cream to the sauce. Simmer until the cream is reduced by about a third, about 10 minutes. Season with hot sauce, salt, and pepper. Return shrimp to the skillet to heat through.. Serve shrimp with sauce over the prepared grits.","calories: 839, fat: 71g, carbs: 22g, protein: 30g, servings: 6",https://www.allrecipes.com/thmb/QPaeGXmAXJeigIFkA3wMDIjUqn4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8139064-7dc876a5820d4928890f58d7fcd9ace0.jpg
How to Make Southern Shrimp and Grits,https://www.allrecipes.com/article/how-to-make-shrimp-and-grits/,,,,https://cdn.jwplayer.com/v2/media/pXaneQKZ/poster.jpg?width=720
Garlic Cheese Grits with Shrimp,https://www.allrecipes.com/recipe/25235/garlic-cheese-grits-with-shrimp/,"{'quantity': '¾', 'unit': 'cup', 'name': 'uncooked grits'}, {'quantity': '6', 'unit': 'ounces', 'name': 'garlic-flavored processed cheese, cubed'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'tomato, diced'}, {'quantity': '2', 'unit': 'pounds', 'name': 'fresh shrimp, peeled and deveined'}, {'quantity': '½', 'unit': '', 'name': 'lemon, juiced'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}",Cook grits according to package directions. Stir in cubed cheese and cayenne pepper. Keep warm over low heat.. Heat butter and olive oil in a large skillet over medium-high heat. Sauté garlic and tomato in hot butter-oil mixture until tomato begins to soften. Stir in shrimp and lemon juice. Sauté until shrimp are bright pink on the outside and the meat is opaque. Season with salt.. Spread warm grits on a serving platter and cover with shrimp mixture.,"calories: 634, fat: 33g, carbs: 34g, protein: 50g, servings: 4",https://www.allrecipes.com/thmb/hnymjmsT2kM8PJsCdrYWT5NI3CA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/904498-f048de86c246447f91779ab95791c750.jpg
Creamy Southern Shrimp and Cheese Grits,https://www.allrecipes.com/recipe/220904/creamy-southern-shrimp-and-cheese-grits/,"{'quantity': '3 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'quick-cooking grits'}, {'quantity': '3', 'unit': 'ounces', 'name': 'farmers cheese'}, {'quantity': '2', 'unit': 'ounces', 'name': 'goat cheese'}, {'quantity': '1', 'unit': 'slice', 'name': 'American cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'large', 'name': 'tomato, diced'}, {'quantity': '2', 'unit': '', 'name': 'green onions, sliced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'bacon drippings, or to taste (Optional)'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh shrimp - peeled, deveined, and tails removed'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'half-and-half, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dry sherry'}, {'quantity': '1', 'unit': '', 'name': 'green onion (green tops only), sliced'}","Bring water to a boil in a large saucepan and slowly whisk in grits; reduce heat to medium-low and simmer until thickened and tender, 5 to 7 minutes, stirring occasionally. Stir farmers cheese, goat cheese, and American cheese into grits until cheese has melted. Set grits aside and keep warm.. Melt butter with vegetable oil in a large skillet over medium heat. Cook and stir tomato, 2 green onions, and garlic in the hot skillet until the vegetables are tender, 5 to 7 minutes. Stir in bacon drippings until combined. Cook and stir shrimp with vegetables until bright pink, about 5 minutes; season to taste with salt and black pepper.. Mix grits into shrimp mixture and stir in half-and-half until smooth. Simmer the mixture to blend flavors, about 5 minutes, and add sherry. Simmer 3 more minutes before adjusting salt and black pepper. Garnish with sliced green tops of 1 green onion before serving.","calories: 255, fat: 16g, carbs: 7g, protein: 20g, servings: 6",https://www.allrecipes.com/thmb/zM_9qfFkPw7oaj5gBEH1nwBIrPs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1054351-1325ef3bb78c4a0287fbdf0f12d6edb5.jpg
South of the Border Shrimp and Grits,https://www.allrecipes.com/recipe/279534/south-of-the-border-shrimp-and-grits/,"{'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'yellow grits'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salted butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'grated sharp Cheddar cheese'}, {'quantity': '3', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '¾', 'unit': 'cup', 'name': 'frozen bell peppers'}, {'quantity': '⅓', 'unit': 'pound', 'name': 'frozen medium shrimp - thawed, shelled, and deveined'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'taco seasoning mix'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce, or to taste (Optional)'}","Combine evaporated milk, grits, chicken broth, and butter in a saucepan over medium-high heat; bring to a boil. Cook, stirring constantly, until thickened, 5 to 7 minutes. Add Cheddar cheese and stir until incorporated. Remove from the heat and set aside.. Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until crisp and browned, about 3 minutes per side. Drain bacon slices on paper towels and chop when cool enough to handle.. Add bell peppers to the bacon grease. Add shrimp and taco seasoning. Cook and stir until peppers are heated through and shrimp are bright pink on the outside and the meat is opaque, 3 to 5 minutes. Stir in chopped bacon.. Place a dollop of grits in each bowl and top with shrimp mixture and hot sauce.","calories: 469, fat: 22g, carbs: 40g, protein: 27g, servings: 3",https://www.allrecipes.com/thmb/OX5jc-zKnpcynw3Om6LCcfMst-8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7852278-e8a43a5b7bd14d31aa6366caa237c39e.jpg
