name,link,ingredients,steps,nutrition,image_url
12 Side Dishes to Round Out Taco Night,https://www.allrecipes.com/gallery/side-dish-recipes-for-tacos/,,,,
Chef John's 21 Best Potato Side Dishes,https://www.allrecipes.com/chef-john-potato-side-dish-recipes-8714065,,,,https://www.allrecipes.com/thmb/Td0J8c2J7UnMlAy2TjJDaGxOaOY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7157217_Steakhouse-Potatoes-Romanoff-4x3-9f2f0dc3a3014e08a638356bbf56d043.jpg
How to Cook Rice,https://www.allrecipes.com/article/how-to-cook-rice/,,,,https://cdn.jwplayer.com/v2/media/DJOyxYKY/poster.jpg?width=720
16 Side Dishes for Two,https://www.allrecipes.com/gallery/side-dishes-for-two/,,,,https://www.allrecipes.com/thmb/hkb5b4NEDToEWTysZWECioKbLxA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4535996-497c882193cb49109e712a47be320a60.jpg
Cacio e Pepe Potato Gratin,https://www.allrecipes.com/cacio-e-pepe-potato-gratin-recipe-8736811,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow onion'}, {'quantity': '4', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'evaporated milk'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'pounds', 'name': 'Yukon Gold potatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'pecorino Romano cheese'}, {'quantity': None, 'unit': None, 'name': 'fresh thyme leaves, for garnish'}",,"calories: 620, fat: 35g, carbs: 58g, protein: 21g, servings: 8",https://cdn.jwplayer.com/v2/media/UffQcbeS/thumbnails/G4B8WTc7.jpg
Philly Cheesesteak Smothered Tater Tots,https://www.allrecipes.com/philly-cheesesteak-smothered-tater-tots-recipe-8747185,"{'quantity': '1', 'unit': '(2 pound)-package', 'name': 'tater tots'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1', 'unit': '(12 ounce) box', 'name': 'frozen sandwich beef'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Montreal steak seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a large baking sheet with foil; arrange tater tots on the sheet in a single layer.. Bake in the preheated oven until golden, about 20 minutes.. Meanwhile, cook and stir onion, green pepper, and red  pepper in a large skillet over medium-high heat for 5 minutes. Add beef, Worcestershire sauce, and steak seasoning. Cook until most of liquid has evaporated, about 6 minutes.. Divide beef mixture over baked tater tots with a slotted spoon. Sprinkle shredded cheese over the top.. Bake until cheese is melted and beginning to brown, about 5 minutes more.","calories: 542, fat: 29g, carbs: 48g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/5-pVPK0-SZYmG5bfo003ipHouHs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747185_Philly-Cheesesteak-Smothred-Tater-Tots_Nicole-Russell_4x3-bb148a6f261244dfb41a2b5405a660eb.jpg
Caper Pesto,https://www.allrecipes.com/caper-pesto-recipe-8741129,"{'quantity': '2', 'unit': 'cups packed fresh', 'name': 'basil leaves'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated parmesan cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'pine nuts'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'green onions'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'fresh dill'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'lemon zest'}, {'quantity': '2', 'unit': 'cloves', 'name': 'smashed garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}","Gather the ingredients.. Process basil, Parmesan, oil, pine nuts, green onions, dill, capers, juice, zest, garlic, salt, and pepper in a food processor until nearly smooth.. Chill in an airtight container up to 1 week; freeze up to 3 months.","calories: 126, fat: 13g, carbs: 2g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/GauxHy8XLYEqPg2SlYksKyBzVHY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8741129-caper-pesto-recipe-VAT-4x3-bowl-1-96fceac30ac64af682bd48bacd80f9b9.jpg
Date and Dried Cherry Mostarda,https://www.allrecipes.com/date-and-dried-cherry-mostarda-recipe-8741651,"{'quantity': '1/2', 'unit': 'cup', 'name': 'medjool dates'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'tart cherries, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'shallot'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'orange juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crystallized ginger'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mustard powder'}","Combine dates, cherries, shallot, wine, vinegar, orange zest, orange juice, sugar, crystallized ginger, salt, cinnamon, and crushed red pepper in a small saucepan. Bring to a boil; reduce heat to low and simmer, covered, until liquid is absorbed and fruit is softened, about 10 minutes.. Stir in butter, mustard, and mustard powder. Simmer, uncovered, until mixture is thickened and jam-like, 2 to 3 minutes. Serve warm or at room temperature.","calories: 82, fat: 1g, carbs: 16g, protein: 1g, servings: 10",https://www.allrecipes.com/thmb/CZXJTKXrCAZnB8oU7f_7IzDNQc0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741651-Date-and-Dried-Cherry-Mostarda-Allrecipes-Magazine-4x3-b33c86059d4342d2a861d4af692649fe.jpg
Loaded Broccoli Casserole,https://www.allrecipes.com/loaded-broccoli-casserole-recipe-8726770,"{'quantity': '8', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '8', 'unit': 'slices', 'name': 'bacon, coarsely chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': '(10-ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '30', 'unit': None, 'name': 'crackers, coarsely crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, melted'}","Gather all ingredients.. Preheat oven to 350 degrees F (175 degrees C). Lightly coat a 2-quart baking dish with nonstick cooking spray.. Cook broccoli in a large pot of boiling, lightly salted water for 1 minute; drain. Rinse with cold water; drain again and set aside.. Cook bacon in a large skillet over medium until crisp. Using a slotted spoon, remove bacon to a paper towel lined plate. Crumble bacon when cool.. Add onion to the skillet with bacon drippings; cook over medium about 5 minutes or until tender.. Meanwhile, combine soup , sour cream, garlic powder, salt, and pepper in a large bowl.. Add broccoli, bacon, and cooked onions to the soup mixture and stir to combine. Add cheese, stir.. Transfer broccoli mixture to prepared baking dish.. Combine crushed crackers and melted butter in a small bowl. Sprinkle crumb mixture over casserole.. Bake 45 minutes or until bubbly and golden.. Serve hot and enjoy!","calories: 859, fat: 58g, carbs: 57g, protein: 34g, servings: 4",https://www.allrecipes.com/thmb/_t1BAX33C0exDO9y5ePJow-JB7A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8726770-Loaded-Broccoli-Casserole-ddmfs-5606-4x3-beauty-f0f7c731309646a5a287a4d2ed9a6f64.jpg
Holiday Potatoes,https://www.allrecipes.com/holiday-potatoes-recipe-8740105,"{'quantity': '5', 'unit': 'pounds', 'name': 'russet potatoes - washed, peeled, and quartered'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic paste'}, {'quantity': '8', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh parsley'}, {'quantity': None, 'unit': None, 'name': 'freshly ground black pepper'}",,"calories: 318, fat: 14g, carbs: 43g, protein: 7g, servings: 10 to 12",https://www.allrecipes.com/thmb/r4N6KSqfgSl92pkJA0gg0-9H_Kw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8740105-Holiday-Potatoes-4x3-21218-cedc421b01e340389e80c9e4d0034f1c.jpg
