name,link,ingredients,steps,nutrition,image_url
Croatian Apple Pie Squares,https://www.allrecipes.com/croatian-apple-pie-squares-recipe-7508367,"{'quantity': '2 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'unsalted butter, cut into cubes'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'plum brandy'}, {'quantity': '2 1/4', 'unit': '2 1/4 pounds', 'name': 'apples - peeled, cored, and sliced'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'Demerara sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'apricot jam'}, {'quantity': None, 'unit': None, 'name': '2 tablespoons confectioners sugar for dusting, or as needed'}","Add flour and butter to a large bowl, and use your fingertips to rub butter into flour until mixture resembles coarse breadcrumbs with no large lumps of butter remaining.. Add the 1/4 cup Demerara sugar, egg yolks, sour cream, and brandy to flour mixture and combine with a spatula just until the dough comes together. Wrap dough in plastic wrap and chill for at least 2 hours or overnight.. Meanwhile, place apples, raisins, the 1/3 cup Demerara sugar, vanilla sugar, cinnamon, and lemon juice in a saucepan. Bring to a simmer over medium-low heat and simmer until apples are tender, and mixture is slightly thickened, about 10 minutes. Set aside to cool.. Preheat the oven to 400 degrees F (200 degrees C). Line a 9x16-inch baking pan with parchment.. Divide the chilled dough into two equal pieces. Roll the dough out on a lightly floured surface into 2 9x16-inch rectangles. Place one of the rectangles into the prepared baking pan.. Bake in the preheated oven until a pale crust develops on top, 10 to 15 minutes. Remove from the oven.. Carefully brush the semi-baked crust with apricot jam. Evenly distribute filling over the crust. Place the second rectangle of dough on top and prick it all over with a fork.. Bake until crust is lightly browned and filling is hot and bubbly, about 30 minutes.. Remove to a wire rack, and allow to cool slightly, about 10 minutes. Dust the still-warm pie with confectioner’s sugar, cut into squares, and serve warm or at room temperature.","calories: 628, fat: 32g, carbs: 82g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/gj6dp4OuOxNIHRtPni7CCFz4kjk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7508367_Croatian-Apple-Pie-Squares_LakaKuharika_4x3-bd9f5db5a62b4873b876585564c52eec.jpg
Blueberry Cream Cheese Pie,https://www.allrecipes.com/recipe/232160/sweet-blueberry-cream-cheese-pie/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '4', 'unit': 'cups', 'name': 'blueberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'lemon juice'}","Preheat the oven to 300 degrees F (150 degrees C).. Mix flour, pecans, and butter in a bowl. Press dough into a 9x13-inch baking dish to form a crust.. Bake in preheated oven until golden brown, about 30 minutes. Allow crust to cool completely.. Meanwhile, heat blueberries, sugar, cornstarch, and 1 teaspoon lemon juice in a saucepan over medium heat until berries burst and juice thickens, about 10 minutes. Allow blueberry sauce to cool completely.. Beat cream cheese until fluffy. Add sweetened condensed milk and blend well. Stir in 1/3 cup lemon juice. Pour cream cheese filling into cooled crust and spread blueberry sauce over cream cheese. Chill in refrigerator for at least 2 hours before serving.","calories: 631, fat: 33g, carbs: 79g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/dWS9Q5JoLDNDWVXeWzknfnyPnvA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8312445-de7361a29c414eff8b6bd670d144a032.jpg
Mississippi Mud Pie I,https://www.allrecipes.com/recipe/12546/mississippi-mud-pie-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': '(12 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': '(3.9 ounce) package', 'name': 'instant chocolate pudding mix'}, {'quantity': '1', 'unit': '(3.4 ounce) package', 'name': 'instant butterscotch pudding mix'}, {'quantity': '3', 'unit': 'cups', 'name': 'milk'}","Thoroughly blend graham cracker crumbs, 1/4 cup sugar, and butter. Press firmly in bottom of 9x13 inch pan.. Blend together half the whipped topping, 3/4 cup sugar, and softened cream cheese. Spread mixture on top of crust.. Whip together the puddings and milk and spread on top of cream cheese mixture. Top with remaining whipped topping.","calories: 440, fat: 24g, carbs: 53g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/bcSVmIp8w0cAginuOzknQ-9V0SY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8349919-491367c6ab1f4d108f2dc5f580d2f0d9.jpg
Next-Best-Thing-To-Robert-Redford Pie,https://www.allrecipes.com/recipe/12413/next-best-thing-to-robert-redford-pie/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '(8 ounce) containers', 'name': 'frozen whipped topping, thawed'}, {'quantity': '1', 'unit': '(5.9 ounce) package', 'name': 'instant chocolate pudding mix'}, {'quantity': '1', 'unit': '(5.1 ounce) package', 'name': 'instant vanilla pudding mix'}, {'quantity': '3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '⅛', 'unit': 'cup', 'name': 'grated semisweet chocolate'}","Combine flour, butter, and chopped nuts. Press into the bottom of a 9 x 13 x 2 inch pan. Bake at 350 degrees F (175 degrees C) for 25 minutes, or until golden brown.. Combine cream cheese, sugar, and 1 container of whipped topping until well mixed. Spread evenly over the cooled crust.. Mix pudding mixes and milk well until thick. Spread evenly over the cream cheese filling. Spread remaining container of whipped topping over the pudding layer. Sprinkle grated chocolate over the top.. Refrigerate for 6 to 8 hours before serving.","calories: 863, fat: 52g, carbs: 93g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/cWBOPaoQZ0zfXcbIbHYLeZO1pvM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/913558-43e0c23e874b4eca9293d7b470283642.jpg
Apple Slab Pie,https://www.allrecipes.com/recipe/19460/apple-slab-pie/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks, beaten'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '8', 'unit': '', 'name': 'apples - peeled, cored and cut into thin wedges'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'butter'}","Preheat the oven to 350 degrees F (175 degrees C.) Combine 1 ½ cups flour, 1 ½ tablespoons sugar, baking powder, and salt in a large bowl. Cut in ½ cup butter until mixture resembles coarse crumbs. Mix egg yolk and water together until blended; add to flour and mix to form a dough. Roll out dough to fit the bottom of a 10x15-inch pan.. Combine apples and lemon juice in a large bowl; add 1 ¾ cups white sugar, 2 tablespoons flour, and ½ teaspoon cinnamon. Pour filling into pie crust and dot with 2 tablespoons butter.. Combine 1 cup flour, ⅔ cup brown sugar, and 1 teaspoon cinnamon in a medium bowl; cut in ⅔ cup butter until crumbly, then sprinkle over apples.. Bake in the preheated oven until topping is golden brown, about 1 hour.","calories: 405, fat: 18g, carbs: 62g, protein: 3g, servings: 15",https://cdn.jwplayer.com/v2/media/dK1ioDfh/poster.jpg?width=720
Graham Cracker Pudding Pie,https://www.allrecipes.com/recipe/15794/graham-cracker-pudding-pie/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'graham crackers, divided'}, {'quantity': '6', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': '(5 ounce) packages', 'name': 'non-instant chocolate pudding mix'}","Cover the bottom of a 9x13-inch dish with a layer of graham crackers. Set aside.. Combine milk and pudding mix in a large saucepan. Prepare according to package directions.. Pour hot pudding over graham crackers into the dish. Cover pudding with another layer of graham crackers. Chill in the refrigerator until pudding is set, at least 4 hours.","calories: 303, fat: 7g, carbs: 55g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/ZNc-gkcX51yZpQTWlv2kasP0-9o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/925985-ad9763c2b58b45fe9a64c37d68c4d0c6.jpg
Cherry Pretzel Dessert,https://www.allrecipes.com/recipe/240949/cherry-pretzel-dessert/,"{'quantity': '2', 'unit': 'cups', 'name': 'crushed pretzels'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': '(12 ounce) container', 'name': 'frozen whipped topping (such as Cool Whip®), thawed'}, {'quantity': '1', 'unit': '(21 ounce) can', 'name': 'cherry pie filling'}","Preheat the oven to 350 degrees F (175 degrees C).. Mix together pretzels, melted butter, and sugar in a medium bowl; press into the bottom of a 13x9-inch baking dish.. Bake crust in the preheated oven until lightly browned, about 10 minutes. Remove to cool completely.. Stir together cream cheese and confectioners' sugar in a large bowl. Fold in whipped topping until smooth. Spread over cooled crust. Cover evenly with cherry pie filling.","calories: 234, fat: 11g, carbs: 34g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/CYn6RvLAJELen4Q8cZltQzBt84s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2373245-6c0f6871dc5a4128a6a41de5424d3b73.jpg
Mississippi Mud Pie II,https://www.allrecipes.com/recipe/15879/mississippi-mud-pie-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': '(3.9 ounce) packages', 'name': 'instant chocolate pudding mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'cold milk'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}","Preheat oven to 350 degrees F (175 degrees C).. In a medium bowl, combine walnuts and flour. Mix well, then stir in softened butter or margarine. Stir until ingredients are combined and mixture forms a ball. Press into bottom of a 9x13 inch pan. Bake in preheated oven for 20 minutes, until golden brown. Remove and cool.. Place pudding mix in a medium bowl and whisk in milk. Mix until smooth. Allow to set up for 5 minutes then spread on top of cooled crust.. In a large bowl whip cream cheese until fluffy. Beat in confectioner's sugar until mixture is smooth. In a separate bowl, whip cream until soft peaks form, then fold into cream cheese mixture. Spread over pudding layer. Chill before serving.","calories: 378, fat: 25g, carbs: 34g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/qjtF1U6gUjrk5AEAZFjPK4tYdGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4622399-608c0481e83f48e597962f4be3c3de54.jpg
Finnish Blueberry Pie,https://www.allrecipes.com/recipe/203567/finnish-blueberry-pie/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'pints', 'name': 'fresh blueberries'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar, or more to taste'}","Preheat oven to 400 degrees F (200 degrees C), and line a 9x13 inch baking pan with parchment paper.. Beat 3/4 cup sugar with the butter until the mixture is smooth and creamy, and beat in the egg. Add the baking powder, and stir in the flour, 1/2 cup at a time, alternating with a few tablespoons of the milk, until all the flour and milk have been incorporated. The dough will be sticky, like sugar cookie dough. Spread the dough into the prepared baking dish, creating a raised edge of dough around the dish.. Place the blueberries in a bowl with 1/2 cup of sugar, and mash the berries with a potato masher. Spread the blueberry mixture on top of the crust in an even layer.. Bake in the preheated oven until the crust has browned slightly and the filling is thickened and bubbling, 15 to 25 minutes.","calories: 310, fat: 13g, carbs: 47g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/d1Hn7qSyRhWvlwtgL4NwzHclJJQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/448425-19b1d587765a44ce93aa5b03691af98a.jpg
Zucchini Pie Bars,https://www.allrecipes.com/recipe/255009/zucchini-pie-bars/,"{'quantity': '5', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'butter, at room temperature'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '7', 'unit': 'cups', 'name': 'peeled, seeded, and sliced zucchini'}","Preheat oven to 350 degrees F (175 degrees C). Grease sides of a 10x15-inch jelly roll pan.. Mix flour, 1 3/4 cup sugar, and 1/2 teaspoon cinnamon together in a large bowl. Cut in butter with a fork to make a crumbly dough. Measure out 1/2 cup of the dough and reserve.. Press 1/2 dough firmly into the bottom of the jelly roll pan to form a crust.. Bake in the preheated oven until golden, about 10 minutes.. Combine 3/4 cup sugar, lemon juice, 1/2 teaspoon cinnamon, and nutmeg in a large saucepan. Add sliced zucchini. Bring to a boil, stirring constantly, until zucchini begins to soften. Stir in reserved 1/2 cup dough. Cook and stir until mixture thickens, 3 to 5 minutes.. Spread zucchini mixture over the crust. Press remaining dough lightly on top.. Return to the preheated oven and bake until top is lightly browned, 35 to 45 minutes. Let cool before slicing into 24 bars, about 20 minutes.","calories: 285, fat: 12g, carbs: 43g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/PJI1iCp8vlGEOAruWcc7BrOQL38=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5537477-a4ae1a912526414184810c2d9e9b5417.jpg
