name,link,ingredients,steps,nutrition,image_url
Million Dollar Holiday Party Sliders,https://www.allrecipes.com/million-dollar-holiday-party-sliders-recipe-8734072,"{'quantity': '12', 'unit': 'ounces', 'name': 'sweet potato fries'}, {'quantity': '12', 'unit': 'small', 'name': 'soft rolls'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'whole grain mustard'}, {'quantity': '1', 'unit': 'pound', 'name': 'turkey meat'}, {'quantity': '7', 'unit': 'ounces', 'name': 'Brie cheese, cut into 1/2-inch slices'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cranberry sauce'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}",,"calories: 392, fat: 25g, carbs: 23g, protein: 19g, servings: 12",https://www.allrecipes.com/thmb/ImDDnvWP_ZwXLC9ddNNb6qFeBno=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-8734072-million-dollar-holiday-party-sliders-01-4x3-6c1ace247f0b434d8cd84f6003d5c435.jpg
Hawaiian Ham and Cheese Sliders,https://www.allrecipes.com/recipe/237358/hawaiian-ham-and-cheese-sliders/,"{'quantity': '', 'unit': '', 'name': 'cooking spray (such as Crisco®)'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'onion, minced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'poppy seeds'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce, or more to taste'}, {'quantity': '1', 'unit': '(12 count) package', 'name': 'Hawaiian sweet rolls, split, or more as needed'}, {'quantity': '1', 'unit': 'pound', 'name': 'sliced deli ham, or more as needed'}, {'quantity': '8', 'unit': 'slices', 'name': 'Swiss cheese, or more as needed'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray.. Melt butter in a saucepan over medium-low heat; cook and stir onion in the melted butter until softened, 5 to 10 minutes. Add mustard, poppy seeds, and Worcestershire sauce; cook and stir for 5 minutes.. Arrange the roll bottoms in the prepared baking dish. Spoon 2/3 of the onion mixture over top.. Add ham and cheese to each roll.. Place the roll tops over the cheese layer, then brush the remaining onion mixture over top.. Cover the dish with aluminum foil.. Bake in the preheated oven for 15 minutes. Remove aluminum foil and bake until the roll tops are lightly browned, 5 to 10 minutes.","calories: 484, fat: 17g, carbs: 47g, protein: 26g, servings: 12",https://www.allrecipes.com/thmb/tpdiHxVtBHlPTLggH1bCE0tA-M4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-237358-hawaiian-ham-and-cheese-sliders-DDMFS-4x3-aab0e43050034bcb940cbf99aa41ee61.jpg
BLT Egg Sliders,https://www.allrecipes.com/blt-egg-sliders-recipe-8743788,"{'quantity': '8', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '12', 'unit': None, 'name': 'extra large hard boiled eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': None, 'name': 'Roma tomatoes'}, {'quantity': '12', 'unit': 'leaves', 'name': 'Bibb lettuce'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'seasoned salt'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Break bacon slices into thirds when cool enough to handle.. Slice eggs in half lengthwise. Place 12 egg halves on a serving plate. Set other egg halves aside.. Spread mayonnaise on 12 egg halves. Top each with 2 pieces of bacon. Top each with 1 tomato slice and 1 folded lettuce leaf.. Top each with a reserved egg half. Secure each ""slider"" with a toothpick. Sprinkle with seasoned salt and serve.","calories: 145, fat: 10g, carbs: 2g, protein: 11g, servings: 12",https://www.allrecipes.com/thmb/DOBd7xXta-962W8peVP79HdEoKY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8743788_BLT-Egg-Sliders_Nicole-Russell_4x3-6ec883515cde4e03a12ac79a31180162.jpg
Roast Beef and Cheddar Sliders,https://www.allrecipes.com/roast-beef-and-cheddar-sliders-recipe-8650250,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '(12 roll) package', 'name': 'Hawaiian rolls'}, {'quantity': '12', 'unit': 'ounces', 'name': 'deli roast beef'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'BBQ sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'Cheddar cheese sauce'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'everything bagel seasoning'}","Preheat the oven to 350 degrees F (175 degrees C). Brush the bottom and sides of a 9x13-inch baking dish with melted butter until lightly coated.. Place bottom half of rolls in baking dish and top evenly with roast beef slices. Drizzle BBQ sauce evenly over roast beef and dollop cheese sauce evenly over the top. Place top roll halves on top.. Stir together remaining butter, garlic powder, and onion powder and brush evenly over bun tops.  Sprinkle with bagel seasoning.. Bake in the preheated oven until the center is warm and melted, and bread is toasted and golden brown, 12 to 14 minutes.","calories: 210, fat: 10g, carbs: 21g, protein: 10g, servings: 12",https://cdn.jwplayer.com/v2/media/IPezcW4E/thumbnails/ovFGqVJ9.jpg
Bacon Stuffed French Toast Sliders,https://www.allrecipes.com/bacon-stuffed-french-toast-sliders-recipe-8674932,"{'quantity': '1', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': '(12 count) package', 'name': 'Hawaiian rolls'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper, or more to taste'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}, {'quantity': None, 'unit': None, 'name': ""confectioner's sugar, for serving (optional)""}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil, and lay bacon strips in a single layer on the sheet.. Bake in the preheated oven until browned and crisp, about 15 minutes. Drain bacon slices on paper towels.. Reduce the oven temperature to 325 degrees F (160 degrees C). Slice rolls in half lengthwise. Spread 2 tablespoons butter over the cut side of bottom half of rolls. Top evenly with brown sugar and cayenne pepper. Arrange bacon slices over brown sugar mixture.. Spread 1 tablespoon butter evenly into the bottom of a 9x13-inch casserole dish. Place the prepared sandwich half in the buttered pan.. Whisk eggs, half-and-half, vanilla, salt, and syrup together in a separate 9x13-inch baking dish. Add top half of rolls to egg mixture and turn a couple times to coat and lightly soak the bread. Allow the excess egg mixture to drip off and place top half of rolls over bacon layer. Cover with foil. Discard any excess egg mixture.. Bake in the preheated oven for 15 minutes. Uncover and bake until golden brown and lightly toasted, 5 to 10 minutes more.. Spread remaining butter over the tops. Cut into 12 servings. Dust with confectioner's sugar. Serve with syrup for dipping.","calories: 335, fat: 21g, carbs: 20g, protein: 17g, servings: 12",https://www.allrecipes.com/thmb/9W-rg21JdEVEI9IUYAu0DxIrf90=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8674932_Bacon-Stuffed-French-Toast-Sliders_Dotdash-Meredith-Food-Studios_4x3-1c70b2bbf9c4419ab3b2403b7d89a823.jpg
Big Mac Sliders,https://www.allrecipes.com/big-mac-sliders-recipe-8415430,"{'quantity': '1', 'unit': 'pound', 'name': 'ground chuck'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '12', 'unit': 'ounce', 'name': 'Sweet Dinner Rolls'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'Big Mac Sauce'}, {'quantity': '6', 'unit': None, 'name': 'American cheese slices'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'dill pickle chips'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'yellow onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame seeds'}, {'quantity': '1', 'unit': 'cup', 'name': 'iceberg lettuce'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sweet pickle relish'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}",,"calories: 308, fat: 19g, carbs: 18g, protein: 15g, servings: 12",https://www.allrecipes.com/thmb/ye2c5IDnj283HAfCfcMMWoHOL9Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8415430-big-mac-sliders-ddmfs-3x4-1988-adf9e0efc251448dbf06a9d580043c2f.jpg
Easy Eggs Benedict Breakfast Sliders,https://www.allrecipes.com/easy-eggs-benedict-breakfast-sliders-recipe-8674912,"{'quantity': '1', 'unit': '(12 count) package', 'name': 'Hawaiian rolls'}, {'quantity': '6', 'unit': 'thin slices', 'name': 'ham,'}, {'quantity': '12', 'unit': 'small', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': '(0.9 ounce) packet', 'name': 'Hollandaise sauce mix'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chives'}","Preheat the oven to 375 degrees F (190 degrees C). Place rolls into a 9x13-inch baking dish. Press a hole into the center of each roll and use fingers or a small spoon to press the bread in and around to create a large well.. Place a half slice of ham into the form of each roll. Crack an egg into each and sprinkle evenly with salt.. Bake in the preheated oven until the whites are set and the yolks are still runny, about 20 minutes, rotating the pan halfway through baking time.. Meanwhile, prepare Hollandaise with milk and butter according to package directions.. Carefully cut rolls into 12 servings and serve topped with 2 tablespoons Hollandaise sauce and a sprinkle of pepper and chives.","calories: 298, fat: 15g, carbs: 16g, protein: 24g, servings: 12",https://www.allrecipes.com/thmb/cHuHEP2ZD3PTBX3NDQ83Pwy4gbg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8674912_Easy-Eggs-Benedict-Breakfast-Sliders_Dotdash-Meredith-Food-Studios_4x3-258d9dda2c1d457482629709d5e0b347.jpg
DJ's Sliders,https://www.allrecipes.com/recipe/267716/djs-sliders/,"{'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': ""Creole seasoning (such as Tony Cachere's®)""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': '(15 ounce) package', 'name': 'slider buns (such as Pepperidge Farm®)'}","Preheat the oven to 350 degrees F (175 degrees C).. Combine Cheddar cheese and mayonnaise; refrigerate.. Mix ground beef, salt, pepper, Creole seasoning, onion powder, and garlic powder together. Form mixture into 12 slider patties; place on a baking sheet.. Bake patties in the preheated oven, flipping once, for about 15 minutes. Remove from oven and top each patty with 1 tablespoon of the cheese-mayonnaise mixture. Continue baking until cheese has melted, 1 to 2 minutes more. Serve on slider buns.","calories: 412, fat: 27g, carbs: 234g, protein: 20g, servings: 12",https://www.allrecipes.com/thmb/_UYsBvvC6o6yfOwCnsciRMMDJRQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/267716djs-slidersChefMo4x3-277a7e4c15ca444ea3baa3e30409496a.jpg
Ultimate Cowboy Breakfast Sliders,https://www.allrecipes.com/ultimate-cowboy-breakfast-sliders-recipe-8674868,"{'quantity': '1', 'unit': 'pound', 'name': 'breakfast sausage'}, {'quantity': '8', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': '(12 count) package', 'name': 'Hawaiian rolls'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'Cowboy Butter'}, {'quantity': '3', 'unit': None, 'name': 'green onions'}, {'quantity': '8', 'unit': 'slices', 'name': 'pepper Jack cheese'}","Preheat the oven to 375 degrees F (190 degrees C). Line a 9x13-inch rimmed baking sheet with foil. Press sausage to the sides of the pan, or to a rectangular shape just larger than the shape of the Hawaiian rolls.. Bake sausage in the preheated oven for 10 minutes.. Meanwhile, coat a second 9x13-inch baking dish heavily with cooking spray. Crack eggs into the prepared pan. Use a knife to break the yolks of each egg and slightly spread the yolks. Drizzle cream over eggs; sprinkle with salt and pepper.. Bake eggs in the oven on another rack, leaving the sausage in the oven to continue baking, until eggs are set, 5 to 7 minutes. Remove eggs from oven and turn the oven’s broiler to High.. Broil sausage until browned on top, about 3 minutes.. Slice Hawaiian rolls in half lengthwise and spread 1 tablespoon Cowboy Butter on the bottom halves of the rolls. Drain sausage and place sausage patty on rolls. Carefully slide eggs from pan onto sausage and trim off any excess, if desired. Sprinkle evenly with green onions and top with cheese slices and top halves of rolls. Place rolls in the baking dish and spread tops evenly with remaining butter.. Bake until butter is melted and rolls are lightly browned and toasted, about 5 minutes. Cut into 12 servings and serve.","calories: 373, fat: 26g, carbs: 16g, protein: 19g, servings: 12",https://cdn.jwplayer.com/v2/media/N5VeiDBP/thumbnails/B63hkMSV.jpg
Turkey Sliders,https://www.allrecipes.com/turkey-sliders-recipe-7560812,"{'quantity': '8', 'unit': None, 'name': 'slider buns'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ijon mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dill pickle relish, drained'}, {'quantity': '8', 'unit': None, 'name': 'dill pickle slices'}, {'quantity': '8', 'unit': 'thin slices', 'name': 'deli turkey'}, {'quantity': '8', 'unit': 'slices', 'name': 'wiss cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'everything bagel seasoning, or to taste'}","Preheat the oven to 350 degrees F (165 degrees C). Line a baking sheet with parchment paper.. Using a serrated knife, slice slider buns in half horizontally, and set tops aside.. In a small bowl, stir together mayonnaise, Dijon mustard, and pickle relish. Spread the dressing on the bottom halves of the buns, and place a pickle slice on top of each.. Put a half slice of turkey on each, folding to fit. Top with Swiss cheese, again either folding or cutting to fit, and place remaining half  turkey slices on top of the cheese. Place the tops of the buns on the sandwiches.. Place sliders on the prepared baking sheet. Stir together melted butter and Worcestershire, brush slider buns with butter, and sprinkle with everything seasoning. Cover with foil.. Bake in the preheated oven until cheese begins to melt, 12 to 15 minutes. Remove the foil, and bake until buns are golden, about 3 minutes. Cool for about 3 minutes, and serve warm.","calories: 316, fat: 17g, carbs: 27g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/PkmrWE2FUyNfO3p_KgIYKhtvuZk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7560812_Turkey-Sliders_lutzflcat_4x3-4bf1f3ec1ba347de8dbdc3a5dca2c1f4.jpg
