name,link,ingredients,steps,nutrition,image_url
Asian-Inspired Pork and Mushroom Sloppy Joes,https://www.allrecipes.com/asian-inspired-pork-and-mushroom-sloppy-joes-recipe-7369808,"{'quantity': '14', 'unit': 'ounces', 'name': 'coleslaw mix'}, {'quantity': '6', 'unit': None, 'name': 'green onions, thinly sliced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cilantro leaves, chopped'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'rice vinegar'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha, or more to taste'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sesame seeds'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'hoisin sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fish sauce (optional)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground pork'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt, divided, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound crimini', 'name': 'mushrooms'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion, cut into chunks'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper, cut into chunks'}, {'quantity': '1', 'unit': None, 'name': 'jalapeno pepper,'}, {'quantity': '5', 'unit': None, 'name': 'cloves garlic, or more to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ginger paste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame oil'}, {'quantity': '6', 'unit': None, 'name': 'burger buns, halved'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cilantro leaves'}, {'quantity': None, 'unit': None, 'name': 'Sriracha (optional)'}",,"calories: 582, fat: 33g, carbs: 44g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/JdZIREUhUo9DsGUrEJ3M6msXqpY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7369808_Pork-and-Mushroom-Sloppy-Joes_ashley-schuering_4x3-2770841c239b4e6ebbb1eed43a3466eb.jpg
Sloppy Joes,https://www.allrecipes.com/recipe/24264/sloppy-joes-ii/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ketchup, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'yellow mustard, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '6', 'unit': '', 'name': 'hamburger buns, split'}",,"calories: 243, fat: 16g, carbs: 11g, protein: 14g, servings: 6",https://cdn.jwplayer.com/v2/media/4JiVXV11/poster.jpg?width=720
Homemade Sloppy Joes,https://www.allrecipes.com/recipe/220182/homemade-sloppy-joes/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'extra-lean ground beef'}, {'quantity': '½', 'unit': '', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '', 'name': 'green pepper, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'dash', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}","Gather all ingredients.. Place ground beef and onion in a large skillet over medium heat; cook and stir until beef is browned and crumbled, about 10 minutes.. Stir in green pepper and garlic; cook and stir until softened, 2 to 3 minutes.. Add 1 cup water and stir, scraping the pan to dissolve any brown flavor bits from the bottom of the skillet.. Stir in ketchup, brown sugar, Dijon mustard, salt, black pepper, and Worcestershire sauce.. Add remaining 1 cup water and bring mixture to a boil.. Reduce heat to low and simmer, stirring occasionally, until liquid has evaporated and mixture is thick, about 40 minutes.. Season with salt, black pepper, Worcestershire sauce, and cayenne pepper. Serve and enjoy!","calories: 251, fat: 12g, carbs: 14g, protein: 22g, servings: 6",https://cdn.jwplayer.com/v2/media/EifXj3Q4/thumbnails/Y3q7JKeE.jpg
Sloppy Joe Smash Burgers,https://www.allrecipes.com/sloppy-joe-smash-burgers-recipe-8653695,"{'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'green bell pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Sloppy Joe sauce'}, {'quantity': '2', 'unit': 'slices', 'name': 'American cheese'}, {'quantity': '2', 'unit': None, 'name': 'hamburger buns'}","Heat a griddle or large skillet over medium high heat. Add oil, onion, and bell pepper; season with garlic powder and cook, stirring constantly, until softened and browned around the edges, about 5 minutes.. Arrange onion mixture into 4 mounds. Divide beef into 4 portions and place each portion over a mound of peppers and onions. Using a flat spatula, press down firmly on each section to form thin patties. Season evenly with salt and pepper and cook, undisturbed, until browned on the bottom and around the edges, about 3 minutes.. Flip burgers and top each with 2 tablespoons of Sloppy Joe sauce. Place cheese slices over two of the burgers and top with remaining 2 burgers.. Toast each bun in pan drippings and add stacked burgers to buns. Serve with more sauce if desired.","calories: 721, fat: 36g, carbs: 52g, protein: 46g, servings: 2",https://cdn.jwplayer.com/v2/media/iimIYtMJ/thumbnails/oJImHl0j.jpg
Chef John's Turkey Sloppy Joes,https://www.allrecipes.com/recipe/223050/chef-johns-turkey-sloppy-joes/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'ground turkey'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'water, or as needed'}, {'quantity': '6', 'unit': '', 'name': 'hamburger buns, split'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded white Cheddar cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green onions'}","Melt butter in a heavy skillet over medium heat. Cook and stir onion in butter until lightly brown, about 5 minutes. Season with salt and black pepper.. Mix turkey and 1/2 cup cold water into onions. Cook and stir, breaking up the meat, until it begins to brown, about 2 minutes. Add ketchup, brown sugar, cayenne pepper, salt, and black pepper. Cook and stir until liquid is reduced, about 5 minutes.. Stir in Worcestershire sauce and cocoa powder. Cook, stirring frequently, until meat is cooked through and liquid is reduced and thick, 20 to 30 minutes, adding up to 1 cup water if needed.. Preheat the oven's broiler. Set the oven rack about 6 inches from the heat source.. Toast hamburger buns under the preheated broiler until golden, 2 to 3 minutes.. Remove turkey mixture from the heat; mix in cheese and green onions. Serve on toasted hamburger buns.","calories: 394, fat: 17g, carbs: 37g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/krYo0BaN/poster.jpg?width=720
Chef John's Sloppy Joes,https://www.allrecipes.com/recipe/219635/chef-johns-sloppy-joes/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'extra lean ground beef'}, {'quantity': '½', 'unit': '', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'dash', 'name': 'Worcestershire sauce'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper, or to taste'}","Combine the ground beef and onion in a cold skillet, place the skillet onto a stove burner, and turn the heat to medium; cook and stir until the beef is crumbly and browned. Stir the garlic and bell pepper into the beef mixture; continue cooking and stirring until the vegetables are tender, 2 to 3 more minutes. Add 1 cup of water. Mix in ketchup, brown sugar, Dijon mustard, Worcestershire, salt, and pepper. Pour in 1 more cup of water. Bring to a simmer. Reduce heat to low and cook until the mixture becomes very thick, 30 to 45 minutes. Adjust salt and pepper as needed. Season with cayenne.","calories: 271, fat: 13g, carbs: 14g, protein: 25g, servings: 6",https://cdn.jwplayer.com/v2/media/EifXj3Q4/thumbnails/Y3q7JKeE.jpg
Classic Sloppy Joes,https://www.allrecipes.com/recipe/217813/classic-sloppy-joes/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, chopped'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'Heinz Tomato Ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Heinz Worcestershire Sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '8', 'unit': '', 'name': 'sandwich buns'}","Heat oil in a large frying pan set over medium-high heat. Saute onions and green pepper for 5 minutes.. Add beef to the pan. Cook, stirring until browned, about 5 to 10 minutes. Drain off fat.. Stir in ketchup, Worcestershire sauce, sugar, salt and pepper. Simmer over medium-low heat, stirring occasionally, for 10 minutes or until slightly thickened. Serve on sandwich buns.","calories: 336, fat: 11g, carbs: 46g, protein: 16g, servings: 8",https://www.allrecipes.com/thmb/cOL7Qk_10F38xKvYcFhqoydi2yw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/975617-0452e0d68e1d4709a5e245776060978c.jpg
Healthier Sloppy Joes,https://www.allrecipes.com/recipe/222119/healthier-sloppy-joes-ii/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '2', 'unit': '', 'name': 'carrots, finely chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '¾', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared yellow mustard'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Heat a large skillet over medium-high heat. Add beef, carrots, onion, bell pepper, and garlic; cook and stir until beef is browned and crumbly, about 10 minutes. Drain off liquids.. Mix in ketchup, brown sugar, and mustard until thoroughly combined. Reduce the heat to low and simmer until sauce has thickened, about 30 minutes. Season with salt and pepper.","calories: 252, fat: 16g, carbs: 13g, protein: 14g, servings: 6",https://www.allrecipes.com/thmb/kYyU0xGdM-W6H8hd9ySWxVVLaZg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/876321-healthier-sloppy-joes-ii-Paula-4x3-1-6b22c41eefa84ceea995f014e4ffc6ce.jpg
Sloppy Joe Sandwiches,https://www.allrecipes.com/recipe/222594/sloppy-joe-sandwiches/,"{'quantity': '½', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'prepared mustard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': '', 'name': 'hamburger buns, split'}","Heat a large skillet over medium-high heat and stir in ground beef and onion. Cook and stir until beef is crumbly, evenly browned, and no longer pink, about 10 minutes. Drain and discard any excess grease. Stir in ketchup, water, brown sugar, Worcestershire sauce, mustard, vinegar, chili powder, garlic powder, onion powder, and salt.. Bring beef mixture to a boil over high heat. Reduce heat to low; cover and simmer until sauce has thickened, 30 to 40 minutes. Serve on buns.","calories: 467, fat: 20g, carbs: 48g, protein: 24g, servings: 2",https://www.allrecipes.com/thmb/1E58JsXNBqYpT4HNgzuMk3iH7C8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2613262-sloppy-joe-sandwiches-Brawny-4x3-1-687efcdb6a20497bbfbf9bc66db93c15.jpg
Neat Sloppy Joes,https://www.allrecipes.com/recipe/69549/neat-sloppy-joes/,"{'quantity': '2', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed tomato soup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white vinegar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '8', 'unit': None, 'name': 'hamburger buns, toasted if desired'}","Cook ground beef in a large skillet over medium heat until evenly browned, stirring to crumble. I like to use a potato masher to even out the lumps. Add celery and onion, cover and cook until tender and translucent, about 5 minutes. Drain off any grease.. Stir in (undiluted) tomato soup, ketchup, brown sugar, vinegar, and Worcestershire sauce; season with salt and garlic powder. Heat over low heat until simmering; simmer until thoroughly heated, stirring frequently to prevent burning on the bottom.. Spoon beef mixture on buns; serve.","calories: 407, fat: 17g, carbs: 37g, protein: 26g, servings: 8",https://cdn.jwplayer.com/v2/media/4eoZmFuL/poster.jpg?width=720
