name,link,ingredients,steps,nutrition,image_url
Kiwi Smoothie,https://www.allrecipes.com/kiwi-smoothie-recipe-8705252,"{'quantity': '2', 'unit': None, 'name': 'kiwi'}, {'quantity': '1', 'unit': None, 'name': 'banana'}, {'quantity': '1', 'unit': 'cup', 'name': 'spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'soy milk'}","Place kiwi, banana, spinach, and soy milk in the jar of a blender; cover and blend until smooth, about 1 minute.","calories: 583, fat: 3g, carbs: 143g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/B-V5xXgmyJ0FYfHng1Z5uIFOKzk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8705252_Kiwi-Smoothie_Yolanda-Gutierrez_4x3-82bd47526dcb42a8987d2102525d78b9.jpg
Banana Pudding Milkshake,https://www.allrecipes.com/banana-pudding-milkshake-recipe-8651992,"{'quantity': '1', 'unit': 'cup', 'name': '1% milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'vanilla frozen yogurt'}, {'quantity': '1', 'unit': None, 'name': 'banana, divided'}, {'quantity': '1', 'unit': '(.9 ounce) package', 'name': 'sugar-free banana cream pudding mix'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'vanilla wafers, divided'}","Add milk and frozen yogurt to the jar of a blender. Slice banana; set 4 to 6 slices aside for garnish. Add remaining banana and pudding mix to the blender. Set 2 vanilla wafers aside for garnish; add remaining vanilla wafers to the blender. Blend until smooth.. Pour mixture into 2 tall glasses. Top each milkshake with whipped cream, remaining banana slices, and a vanilla wafer.","calories: 481, fat: 13g, carbs: 83g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/4lfYD4vycuq7VxI_ZX8QAVees_4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8651992_Banana-Pudding-Milkshake_TheDailyGourmet_4x3-e06b5272ccfa4ca583739cad0ef0e1cd.jpg
Korean Banana Milk,https://www.allrecipes.com/korean-banana-milk-recipe-7966165,"{'quantity': '1', 'unit': None, 'name': 'banana'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': None, 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla'}, {'quantity': None, 'unit': None, 'name': '4 to 5 ice cubes (optional)'}","Combine banana, milk, water, maple syrup and vanilla in the blender cup. Blend until smooth.. Place ice cubes in glass (if using). Pour banana milk on top.","calories: 243, fat: 4g, carbs: 47g, protein: 5g, servings: 1",https://www.allrecipes.com/thmb/lnwp4Qw1Qy0U-5JfmGBRqdO9qGQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7966165KoreanBananaMilkYoly4x3-96cb3d6ff7f34896bb099bb2203bc4cf.jpg
Zucchini Smoothie,https://www.allrecipes.com/recipe/265537/zucchini-smoothie/,"{'quantity': '½', 'unit': 'cup', 'name': 'ice cubes, or as needed (Optional)'}, {'quantity': '½', 'unit': '', 'name': 'zucchini, shredded'}, {'quantity': '½', 'unit': '', 'name': 'frozen banana'}, {'quantity': '½', 'unit': 'cup', 'name': 'orange juice'}","Combine ice cubes, zucchini, banana, and orange juice in a blender. Blend until smooth.","calories: 118, fat: 1g, carbs: 28g, protein: 2g, servings: 1",https://www.allrecipes.com/thmb/jKcSzL9HOTJVN5pAWJ2xsj2lOi4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5626766-c4bc4ee5179440dbb2a75f964a3df1d1.jpg
Beet Smoothie,https://www.allrecipes.com/recipe/264158/sweet-beet-smoothie/,"{'quantity': '2', 'unit': 'medium', 'name': 'beets, scrubbed'}, {'quantity': '1', 'unit': '', 'name': 'green apple'}, {'quantity': '1', 'unit': '', 'name': 'avocado, peeled and pitted'}, {'quantity': '¾', 'unit': 'cup', 'name': 'fresh pineapple chunks'}, {'quantity': '1', 'unit': '', 'name': 'banana, peeled'}, {'quantity': '', 'unit': '', 'name': 'ice cubes'}","Juice beets and green apples, including peels, in an electric juicer.. Combine apple-beet juice, avocado, pineapple, banana, and ice in a high-speed blender; blend until smooth.","calories: 310, fat: 15g, carbs: 47g, protein: 5g, servings: 2",https://www.allrecipes.com/thmb/vNt7YBNGhEutp8Cs1wd2kh9NIDA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8148686-eb6a0058587e4a4092081da4ec68a158.jpg
Monkey C Juice,https://www.allrecipes.com/monkey-c-juice-recipe-7370055,"{'quantity': '8', 'unit': 'ounces', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'medium', 'name': 'banana, peeled and quartered'}",Place juice and banana in blender. Blend on high until smooth and frothy. about 30 seconds. Serve immediately.,"calories: 217, fat: 1g, carbs: 53g, protein: 3g, servings: 1",https://www.allrecipes.com/thmb/N1xVbKpHx7VO-fb9_O7PUrtdnZg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7370055MonkeyCJuiceFranceC4x3-839338f800bc4428a89de7b82888fc2b.jpg
PB & J Smoothie,https://www.allrecipes.com/recipe/279625/pb-j-smoothie/,"{'quantity': '6', 'unit': '', 'name': 'frozen strawberries, or more to taste'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'blue agave nectar, or more to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flax seeds'}","Combine strawberries, milk, peanut butter, agave, and flax seeds in a blender; blend until smooth.","calories: 381, fat: 21g, carbs: 39g, protein: 15g, servings: 1",https://www.allrecipes.com/thmb/o3ZoDGLRiuT--WLFCCxBwyH2bDM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7923552-121a73a8c4984fcb84ebd89979761ae3.jpg
Peanut Butter Banana Smoothie,https://www.allrecipes.com/recipe/221261/peanut-butter-banana-smoothie/,"{'quantity': '2', 'unit': '', 'name': 'bananas, broken into chunks'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey, or to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'ice cubes'}",,"calories: 335, fat: 19g, carbs: 34g, protein: 13g, servings: 4",https://cdn.jwplayer.com/v2/media/XzQ23P5B/poster.jpg?width=720
Blueberry Smoothie,https://www.allrecipes.com/recipe/215184/blueberry-smoothie/,"{'quantity': '1', 'unit': 'cup', 'name': 'blueberries (frozen or fresh)'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'plain yogurt'}, {'quantity': '¾', 'unit': 'cup', 'name': '2% reduced-fat milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}","Gather all ingredients.. Blend blueberries, yogurt, milk, sugar, vanilla, and nutmeg in a blender until frothy, scraping down the sides of the blender if needed.. Divide between 2 glasses and serve immediately. Enjoy!","calories: 211, fat: 4g, carbs: 36g, protein: 10g, servings: 2",https://cdn.jwplayer.com/v2/media/BPp3xpFi/thumbnails/S9e6ATqi.jpg
Chocolate Banana Peanut Butter Protein Shake,https://www.allrecipes.com/recipe/244959/chocolate-banana-peanut-butter-protein-shake/,"{'quantity': '6', 'unit': '', 'name': 'ice cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '', 'name': 'banana'}, {'quantity': '1', 'unit': 'scoop', 'name': 'chocolate-flavored protein powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'unsweetened cocoa powder, or more to taste'}","Gather all ingredients.. Blend ice cubes, milk, banana, protein powder, peanut butter, honey, and cocoa powder together in a blender until smooth.. Enjoy!","calories: 561, fat: 23g, carbs: 67g, protein: 31g, servings: 1",https://cdn.jwplayer.com/v2/media/Um1gO6mj/poster.jpg?width=720
