name,link,ingredients,steps,nutrition,image_url
Rhubarb Snickerdoodles,https://www.allrecipes.com/rhubarb-snickerdoodles-recipe-8657530,"{'quantity': '1', 'unit': 'cup diced', 'name': 'rhubarb'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'cornstarch'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butte'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': None, 'name': 'large egg'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Combine rhubarb and 1 1/2 teaspoons sugar in a large bowl; toss to combine. Allow to sit for at least 30 minutes or until rhubarb begins to release its juices.. Drain accumulated juice from rhubarb; discard juice. Add cornstarch to rhubarb and toss until thoroughly coated. Set aside.. Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment.. Beat butter and 3/4 cup sugar together in a large bowl until fluffy, about 5 minutes. Add in egg and vanilla and beat for another 3 minutes. Add in flour, cream of tartar, baking soda, salt, and nutmeg and mix until just combined. Fold in rhubarb.. In a small bowl, mix together 3 tablespoons sugar and cinnamon.. Scoop out 1 1/2 tablespoons dough, roll into a ball, and roll ball in cinnamon sugar until thoroughly coated. Place dough balls 1 1/2 inches apart on the prepared baking sheets. Repeat with remaining dough.. Bake in the preheated oven, one baking sheet at a time, until cookies are set and just beginning to turn golden, 15 to 20 minutes. Cool cookies on the pan for 5 minutes; remove to a wire rack to cool completely.","calories: 133, fat: 6g, carbs: 20g, protein: 2g, servings: 18",https://www.allrecipes.com/thmb/pCULAUYn61t0HSciJi0zODc1jGo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8657530_Rhubarb-Snickerdoodles_Kim-Shupe_4x3-9597a8e8c0a041fab62cb58970c2c804.jpg
Mrs. Sigg's Snickerdoodles,https://www.allrecipes.com/recipe/10687/mrs-siggs-snickerdoodles/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}",,"calories: 92, fat: 4g, carbs: 12g, protein: 1g, servings: 48",https://cdn.jwplayer.com/v2/media/rlvDXWKl/thumbnails/6n7i8YO2.jpg
Grandma Ruth's Easy Snickerdoodle Cookies,https://www.allrecipes.com/recipe/240314/grandma-ruths-snickerdoodle-cookies/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'softened butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Gather the ingredients. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or lightly grease.. To make the cookies: Beat white sugar, butter, and eggs together in a large bowl using an electric mixer until smooth and creamy. Combine flour, cream of tartar, baking soda, and salt in a separate bowl; stir into creamed butter mixture until dough holds together.. To make the coating: Mix white sugar and cinnamon in a small bowl until well combined.. Form dough into balls (about 2 teaspoons in each ball), then roll in cinnamon-sugar coating. Place dough balls about 2 inches apart onto the prepared baking sheet.. Bake in the preheated oven on the center rack for 7 minutes. Allow cookies to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.","calories: 120, fat: 6g, carbs: 17g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/mFXBQFZf/poster.jpg?width=720
Snickerdoodles III,https://www.allrecipes.com/recipe/10576/snickerdoodles-iii/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Preheat oven to 400 degrees F (205 degrees C).. Combine 1 1/2 cups white sugar, butter or margarine, vanilla and eggs. Mix well.. Stir in flour, cream of tartar, baking soda and salt. Blend well. Shape dough into 1 inch balls. Combine 2 tablespoons sugar and 2 teaspoons ground cinnamon. Roll dough in sugar/cinnamon mixture and place 2 inches apart on ungreased baking sheets. Bake 8 to 10 minutes or until set. Immediately remove from cookie sheets.","calories: 146, fat: 4g, carbs: 25g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/m_G6y-GQ2OnSSNwcMhkMShzpPJE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4017254-2f0ac553c54c45c18ddfc1f5f81c3622.jpg
Banana Snickerdoodle Bars,https://www.allrecipes.com/banana-snickerdoodle-bars-recipe-7255290,"{'quantity': '1 1/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'banana'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. Whisk flour, cream of tartar, baking soda, salt, 1/4 teaspoon cinnamon, and nutmeg together in a bowl.. Beat butter, 1/2 cup white sugar, and brown sugar in a large bowl with an electric mixer until light and fluffy. Beat in banana and vanilla extract on low speed until thoroughly combined; mix in flour mixture just until dough comes together. Using lightly floured hands, press dough firmly and evenly into the bottom of the prepared pan.. Whisk together the 1 tablespoon white sugar and 1/2 teaspoon cinnamon; sprinkle cinnamon sugar evenly over the dough.. Bake in the preheated oven just until the dough in the center of the pan feels set when lightly touched with a finger, about 25 minutes.. Let bars cool in the pan for 10 minutes before removing to a wire rack to cool completely. Cut into 16 bars.","calories: 132, fat: 6g, carbs: 19g, protein: 1g, servings: 16",https://www.allrecipes.com/thmb/DLQ9hDNnN2h8ceieR8l9gNWLWJU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/BananaSnickerdoodleBarsKim-0507df9abbd84200ae0d8eba6555da36.jpg
Snickerdoodle Bars,https://www.allrecipes.com/recipe/8537902/snickerdoodle-bars/,"{'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'firmly packed brown sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon, divided'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.. Cream together butter, 1/2 cup white sugar, and brown sugar in a bowl with an electric mixer until light and fluffy. Mix in egg and vanilla until thoroughly combined. Add in flour, cream of tartar, baking soda, salt, 1/4 teaspoon cinnamon, and nutmeg, and mix until a dough just begins to form.. Place dough into prepared pan. Using lightly floured hands, press dough firmly and evenly into the bottom of the pan.. In a small bowl, mix together 1 tablespoon white sugar and 1/2 teaspoon cinnamon. Sprinkle evenly over the dough.. Place pan into the preheated oven, and bake just until the dough in the center of the pan feels barely set, 20 to 23 minutes. Do not over bake.. Allow cookies to cool in pan for 10 minutes before removing to a wire rack to cool completely. Cut into 16 bars.","calories: 133, fat: 6g, carbs: 18g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/481p3r-K6THX29FuUPkwEMv9m68=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8537904-Snickerdoodle-Bars4x3-f8529f0f10a648d3bf146fbd4c3611e6.jpg
Simple Gluten-Free Snickerdoodle Cookies,https://www.allrecipes.com/recipe/262556/simple-gluten-free-snickerdoodle-cookies/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'gluten-free all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar, divided'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Preheat the oven to 350 degrees F (180 degrees C). Line 2 baking sheets with parchment paper.. Combine flour, baking powder, salt, and baking soda in a bowl.. Whisk butter and 3/4 cup sugar with an electric mixer in a separate bowl until soft and creamy, about 2 minutes. Add egg; whisk until well combined. Add flour mixture gradually; whisk on low speed until a soft dough is formed, about 2 minutes. Shape dough into 1 1/2-inch balls.. Combine remaining 1/4 cup sugar with cinnamon in a bowl. Roll balls in cinnamon mixture and place on the prepared baking sheets.. Bake in the preheated oven until edges are golden, 12 to 15 minutes. Cool on the baking sheet for 1 minute before removing to a wire rack to cool completely.","calories: 95, fat: 4g, carbs: 14g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/CBghFtm4gLqk8P13nIkUcqJTKms=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9426863-55928b86011f42d990b7eb1c244b8f85.jpg
Snickerdoodles I,https://www.allrecipes.com/recipe/11624/snickerdoodles-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Preheat oven to 375 degrees F (190 degrees C).. In a medium bowl, cream together the shortening and 1 1/2 cups sugar. Stir in the eggs. Sift together the flour, baking soda, cream of tartar, and salt; stir into the creamed mixture until well blended. In a small bowl, stir together the 2 tablespoons of sugar, and the cinnamon. Roll dough into walnut sized balls, then roll the balls in the cinnamon-sugar. Place them onto an unprepared cookie sheet, two inches apart.. Bake for 8 to 10 minutes in the preheated oven. Edges should be slightly brown. Remove from sheets to cool on wire racks.","calories: 125, fat: 6g, carbs: 17g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/4ggMpbaH/poster.jpg?width=720
Chef John's Pumpkin Spice Snickerdoodles,https://www.allrecipes.com/recipe/255935/chef-johns-pumpkin-spice-snickerdoodles/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'allspice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'nutmeg'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'light brown sugar, packed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '', 'name': 'large egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk, or as needed'}","Preheat oven to 350 degrees F (175 degrees C). Line a rimmed baking sheet with a silicone mat or parchment paper.. Place flour, salt, baking soda, and cream of tartar in a mixing bowl. Add cinnamon, ginger, allspice, clove, and nutmeg. Whisk until thoroughly mixed, 1 or 2 minutes.. Place butter, sugar, and brown sugar in a separate mixing bowl. Cream together with a spatula or wooden spoon until mixture is smooth, 2 or 3 minutes. Add vanilla and egg. Stir until thoroughly combined.. Pour flour mixture into butter mixture. Stir until just combined or until the flour disappears.. Wrap bowl in plastic wrap. Chill dough in refrigerator for about 1 hour.. Stir cinnamon and sugar together in a shallow bowl or plate.. Scoop dough into 2 tablespoon balls. Roll in cinnamon-sugar mixture to coat all sides. Roll into smooth ball and place on prepared baking sheet, 3 to 4 inches apart. Flatten slightly.. Bake in preheated oven until browned, 10 to 12 minutes.. Cool on baking sheet 5 minutes; sprinkle with additional cinnamon-sugar mixture, if desired. Transfer cookies to cooling rack to cool completely.. If you'd like to add a bit of a shine to your cookies, you can brush them with a simple glaze. Mix confectioners' sugar with milk or lemon juice to achieve brushing consistency. Brush onto cookies. Sprinkle with more cinnamon sugar or pumpkin pie spice, if desired.","calories: 144, fat: 6g, carbs: 22g, protein: 2g, servings: 18",https://cdn.jwplayer.com/v2/media/KbYZ87WL/poster.jpg?width=720
Snickerdoodles V,https://www.allrecipes.com/recipe/16164/snickerdoodles-v/,"{'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'cream of tartar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}","Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets.. In a medium bowl, cream together the shortening and sugar. Add eggs one at a time, mixing after each. Sift together the flour, baking soda, cream of tartar and salt; stir into the creamed mixture until well blended.. In a small shallow bowl, stir together the 2 tablespoons of sugar with the cinnamon. Roll the dough into walnut sized balls and roll the balls in the sugar mixture. Place cookies 2 inches apart on the prepared cookie sheet. Bake for 8 to 10 minutes in the preheated oven. Cookies should be slightly golden at the edges. Remove to cool on wire racks.","calories: 250, fat: 12g, carbs: 33g, protein: 3g, servings: 18",https://www.allrecipes.com/thmb/woVCGlFyauXDG7rHMd6S2amnSeY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/30885-d897ef9771a043d383d5ee04edcd3e54.jpg
