name,link,ingredients,steps,nutrition,image_url
Absolutely Ultimate Potato Soup,https://www.allrecipes.com/recipe/13218/absolutely-ultimate-potato-soup/,"{'quantity': '1', 'unit': 'pound', 'name': 'bacon, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '8', 'unit': '', 'name': 'potatoes, peeled and cubed'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock, or enough to cover potatoes'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried tarragon'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'chopped fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}",,"calories: 594, fat: 42g, carbs: 44g, protein: 13g, servings: 8",https://cdn.jwplayer.com/v2/media/6HIPCQdZ/thumbnails/MmZm1cG4.jpg
Why Slow Cooker Tortilla Soup Is The Perfect Recipe For Busy Weeknights,https://www.allrecipes.com/article/why-tortilla-soup-should-be-your-go-to-slow-cooker-recipe/,,,,https://cdn.jwplayer.com/v2/media/rr28wCwE/thumbnails/dSOCvfKN.jpg
Chef John's Homemade Chicken Noodle Soup,https://www.allrecipes.com/recipe/220416/chef-johns-homemade-chicken-noodle-soup/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrot'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'fresh thyme leaves'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'melted chicken fat'}, {'quantity': '2', 'unit': 'quarts', 'name': 'roasted chicken broth (see footnote for recipe link)'}, {'quantity': '4', 'unit': 'ounces', 'name': 'uncooked wide egg noodles'}, {'quantity': '2', 'unit': '', 'name': 'cooked boneless chicken breast halves, cubed'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper (Optional)'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Melt butter in a large soup pot over medium heat. Stir in carrot, onion, celery, thyme, and salt. Add chicken fat; cook and stir until onions turn soft and translucent, 5 to 6 minutes.. Stir in roasted chicken broth and bring to a boil. Season with salt, if necessary.. Stir in egg noodles; cook until tender, about 5 minutes.. Add cooked chicken breast meat; simmer until heated through, about 5 minutes. Season with cayenne pepper, salt, and black pepper.. Serve hot and enjoy!","calories: 149, fat: 7g, carbs: 12g, protein: 10g, servings: 8",https://cdn.jwplayer.com/v2/media/KNyB5r3S/poster.jpg?width=720
Our Top 10 Chicken Noodle Soup Recipes of All Time Really Are Good for the Soul,https://www.allrecipes.com/gallery/best-chicken-noodle-soup-recipes/,,,,
Miso Chicken Noodle Soup,https://www.allrecipes.com/miso-chicken-noodle-soup-recipe-8748347,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '8.5', 'unit': 'ounces', 'name': 'frozen udon noodles'}, {'quantity': '4', 'unit': 'ounces', 'name': 'rotisserie chicken'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'miso paste'}, {'quantity': None, 'unit': None, 'name': 'everything bagel seasoning,'}","In a saucepan over medium high heat, heat water to boiling. Add udon noodles. Cook until noodles are softened, 4 to 5 minutes.. Add rotisserie chicken. Turn heat to low. Remove 2 to 3 tablespoons water, and stir miso paste into water until smooth. Mix diluted miso paste back into noodles. Cook for 2 to 3 minutes.. Ladle soup into bowls and garnish with everything bagel seasoning.","calories: 223, fat: 8g, carbs: 19g, protein: 19g, servings: 2",https://www.allrecipes.com/thmb/ZzxdIrDHx6wJBGulcKfS0gLIhcY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8748347_Miso-Chicken-Noodle-Soup_TheDailyGourmet_4x3-9f1129c8a23d45d89210fe6def9fc220.jpg
4-Ingredient Potato Soup,https://www.allrecipes.com/4-ingredient-potato-soup-recipe-8744009,"{'quantity': '1/2', 'unit': 'pound', 'name': 'bacon'}, {'quantity': '1', 'unit': '(28 ounce) bag', 'name': 'potatoes O’Brien with onions and peppers'}, {'quantity': '30', 'unit': 'ounces', 'name': 'chicken broth'}, {'quantity': '8', 'unit': 'ounce', 'name': 'garlic and herb cheese spread'}, {'quantity': '1', 'unit': 'pinch', 'name': 'black pepper'}","Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels; chop roughly when cool enough to handle.. Working in batches, pour potatoes into the same skillet, and cook until lightly browned, about 5 minutes. Remove potatoes to a slow cooker. Stir in chicken broth. Dollop cheese spread on top; scatter bacon on top. Cover slow cooker and cook on High until potatoes are very tender, 3 to 4 hours.. If desired, ladle some of the soup, no more than halfway full, into a high powered blender. Cover and hold lid down with a potholder; pulse a few times before leaving on to blend, about 45 seconds.. Pour soup back into slow cooker. Stir to combine; serve immediately.","calories: 367, fat: 21g, carbs: 25g, protein: 20g, servings: 6",https://www.allrecipes.com/thmb/i3_fWWimTnP36KVVmfZ9oN5ja3U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8744009_4-Ingredient-Potato-Soup_TheDailyGourmet_4x3-e57e4000db1149b39c3c928a3547630b.jpg
Turkey Tom Kha Gai,https://www.allrecipes.com/recipe/240476/turkey-tom-kha-gai/,"{'quantity': '6', 'unit': 'cups', 'name': 'turkey broth'}, {'quantity': '2', 'unit': 'stalks', 'name': 'lemongrass, bruised and sliced'}, {'quantity': '1', 'unit': '(3 inch) piece', 'name': 'fresh ginger, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro stems'}, {'quantity': '2', 'unit': '', 'name': 'makrut lime leaves, thinly sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes, or more to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked turkey, cut into small cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'clamshell mushrooms, separated'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'palm sugar'}, {'quantity': '1', 'unit': '(13 ounce) can', 'name': 'coconut milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro leaves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chili oil, or more to taste'}","Combine turkey broth, lemongrass, ginger, cilantro stems, lime leaves, and red pepper flakes in a pot over medium-high heat. Bring to a simmer, reduce heat to medium-low, and simmer until flavors blend, 20 to 30 minutes.. Stain broth mixture through a fine-mesh sieve, discard vegetables, and return broth to the pot.. Stir turkey, mushrooms, fish sauce, and palm sugar into broth; simmer until mushrooms are tender and turkey absorbs broth flavor, about 15 minutes.. Pour coconut milk, lime juice, green onions, and cilantro leaves into broth. Bring soup to a simmer and drizzle in chili oil.","calories: 441, fat: 27g, carbs: 13g, protein: 39g, servings: 4",https://cdn.jwplayer.com/v2/media/KGq4yoXo/poster.jpg?width=720
Thanksgiving Turkey Congee,https://www.allrecipes.com/recipe/244323/thanksgiving-turkey-congee/,"{'quantity': '¼', 'unit': 'cup', 'name': 'dried scallops'}, {'quantity': '3', 'unit': '', 'name': 'dried black mushrooms'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked short-grain white rice'}, {'quantity': '½', 'unit': '', 'name': 'leftover turkey carcass, broken into pieces'}, {'quantity': '9', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'bunch', 'name': 'fresh cilantro, chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'thinly sliced fresh ginger'}, {'quantity': '¼', 'unit': 'cup', 'name': 'raw peanuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried red onion'}, {'quantity': '8', 'unit': 'dashes', 'name': 'sesame oil'}, {'quantity': '', 'unit': '', 'name': 'ground white pepper to taste'}","Place dried scallops and dried mushrooms in a bowl; pour in hot water to cover and let stand to rehydrate, about 10 minutes. Rinse and drain rice; set aside.. Separate any meat from bones of turkey carcass; set aside. Place bones and 9 cups hot water in a large stockpot and bring to a boil. Drain mushrooms and scallops; squeeze out any excess water. Break scallops into smaller pieces; slice mushrooms thinly.. Stir scallops, mushrooms, rice, and turkey meat into the stockpot; reduce heat to allow congee to simmer, partially covered, stirring occasionally for a smooth congee, until rice is tender and congee is thick, about 2 hours. If you like a thinner congee, stir in hot water a few tablespoons at a time.. Ladle congee into individual bowls; top each bowl with cilantro, green onions, ginger, peanuts, red onion, sesame oil, and white pepper as desired.","calories: 201, fat: 4g, carbs: 35g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/d3FzBX1O/poster.jpg?width=720
Turkey Matzo Ball Soup,https://www.allrecipes.com/recipe/255022/turkey-matzo-ball-soup/,"{'quantity': '3', 'unit': 'pounds', 'name': 'roasted turkey bones and meat scraps, the fattier the better'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'ribs', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': 'quarts', 'name': 'water or chicken broth, or more to cover bones'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rendered melted turkey fat'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'seltzer water or club soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'matzo meal'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rendered melted turkey fat'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrot'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, thinly sliced'}, {'quantity': '6', 'unit': 'cups', 'name': 'homemade rich turkey broth or chicken broth'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh dill'}","Place leftover turkey (meat, bones, skin) into a stock pot. Add 1 chopped onion and 2 ribs chopped celery and water or chicken broth (or half of each). Bring to a simmer over high heat; reduce heat to low and continue to cook at a low simmer. Skim off scum as it forms, but don't remove any fat. Cook until broth is rich and any turkey meat has been rendered flavorless, about 3 hours. While broth cooks, skim off fat as it rises to the surface and save it in a bowl. Save about 4 tablespoons turkey fat.. After removing surface fat, strain broth into a bowl.. Lightly whisk 2 eggs in a separate mixing bowl. Add 2 tablespoons cooled rendered turkey fat and whisk to mix. Whisk in salt, pepper, and cayenne. Mix in seltzer water. Add matzo meal and mix with a fork until mixture begins to thicken up, 1 or 2 minutes. Cover bowl with plastic wrap and refrigerate until firm, about 30 minutes.. Heat 2 tablespoons turkey fat in a large pot over medium heat. Add 1 cup diced onions, 1/2 cup diced carrots, 1/2 cup diced celery, and salt. Cook until onions start to turn translucent, 6 or 7 minutes. Add sliced garlic and cook an additional minute. Add turkey broth and bring to a simmer. Simmer until vegetables are tender, about 20 minutes. Check seasoning and adjust salt, if necessary.. Divide matzo ball dough into 8 pieces and roll each into a ball using your wet hands.. Bring a pot of salted cold water to a boil. Gently place matzo balls into the boiling water. Reduce heat so they simmer gently; cover the pot. Simmer until matzo balls are cooked through, about 30 minutes, adjusting heat as they cook so a gentle simmer continues. Transfer to hot serving bowls, 2 per serving.. Stir freshly chopped parsley and dill into soup. Ladle hot soup over the matzo balls.","calories: 842, fat: 33g, carbs: 21g, protein: 108g, servings: 4",https://cdn.jwplayer.com/v2/media/Ve4pmKTP/poster.jpg?width=720
3-Ingredient Potato Soup,https://www.allrecipes.com/3-ingredient-potato-soup-recipe-8744734,"{'quantity': '1', 'unit': '(28 ounce) bag', 'name': ""O'Brien hash brown potatoes""}, {'quantity': '5', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'bouillon base'}, {'quantity': '1', 'unit': '(2.75 ounce) packet', 'name': 'country gravy mix'}","Bring frozen potatoes and water to a boil in a large stock pot. Stir in bouillon base and cook for 15 minutes.. Reduce heat to medium. Whisk in gravy mix. Cook 5 minutes. Turn heat off and let stand until slightly thickened, about 10 minutes.","calories: 731, fat: 36g, carbs: 96g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/wQYf_r3DBXfwztWeGQeFFzKV5h0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8744734_3-Ingredient-Potato-Soup_Nicole-Russell_4x3-fe575a6736474825be387b12f43a5c59.jpg
