name,link,ingredients,steps,nutrition,image_url
Sous Vide Corned Beef,https://www.allrecipes.com/recipe/279006/sous-vide-corned-beef/,"{'quantity': '1', 'unit': '(3 pound)', 'name': 'corned beef brisket with spice packet'}","Fill a large pot with water and place a sous vide immersion cooker into the water. Set the temperature to 140 degrees F (60 degrees C) according to manufacturer's instructions.. Rinse corned beef under cool water to remove excess salt, then pat dry. Sprinkle seasoning on fatty side and press into beef. Place corned beef into a large vacuum bag; seal using a vacuum sealer.. Place the sealed bag into the water and set a timer for 48 hours.. Transfer corned beef to a cutting board and slice across the grain.","calories: 125, fat: 9g, carbs: 0g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/l8cTAJ9hiu1kcepbJW0fBbod-t4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7768073-216ceb5b87ed429d9845217e76eed33a.jpg
Sous Vide Tri Tip,https://www.allrecipes.com/recipe/8526329/sous-vide-tri-tip/,"{'quantity': '1', 'unit': '(2 1/2 to 3 pound)', 'name': 'tri tip steak, fat cap trimmed to 1/4-inch thick'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, cut into 1/2-inch cubes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'coriander seeds, coarsely ground'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black peppercorns, coarsely ground'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grapeseed oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh lime juice (from 3 large limes)'}, {'quantity': '½', 'unit': 'cup', 'name': 'fish sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '4', 'unit': 'medium', 'name': 'garlic cloves, grated with a Microplane grater (about 2 tsp.)'}, {'quantity': '1', 'unit': '(1 inch) piece', 'name': 'fresh ginger, peeled and grated with a Microplane grater (about 1 1/2 tsp.)'}, {'quantity': '2', 'unit': 'medium', 'name': 'green onions, white bottoms finely chopped and green tops thinly sliced crosswise (about 2 Tbsp. minced white bottoms, about 1/4 cup thinly sliced green tops)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'toasted sesame seeds'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'toasted sesame oil'}","Prepare a thermocirculator and water bath according to manufacturer's directions. Set thermocirculator to 135 degrees F (57 degrees C) and allow water bath to come up to temperature.. Using gloved hands, rub tri tip steak evenly with sesame oil and season evenly with 1 teaspoon salt. Transfer tri tip and butter to a large vacuum-sealable bag and arrange in a flat, even layer. Seal bag with a vacuum sealer according to manufacturer's directions.. Transfer vacuum-sealed tri tip to warm water bath with thermocirculator, cover vessel with aluminum foil to reduce evaporation, and cook 3 hours. Remove tri tip from bag (meat will be at 135 degrees F (57 degrees C) when pulled from water bath) and transfer to a rimmed sheet pan lined with paper towels and gently pat dry; discard bag and any juices reserved in bag.. Meanwhile prepare the chile-lime dipping sauce. Whisk together lime juice, fish sauce, brown sugar, garlic, ginger, green onions, sesame seeds, and toasted sesame oil in a small bowl until well combined. Cover dipping sauce with plastic wrap and set aside at room temperature until ready to use.. Season tri tip evenly with remaining 2 teaspoons salt, coriander seeds, and black peppercorns, pressing coriander and black peppercorns into tri tip to adhere.. Heat grapeseed oil in a large cast iron skillet over medium-high heat. Add tri tip to skillet, fat-cap-side down, and cook, until all sides are evenly seared and caramelized, 3 to 5 minutes per side.. Transfer tri tip to a large cutting board and let rest for 5 minutes before slicing against the grain into 1/4-inch-thick strips.. Serve steak with chile-lime dipping sauce for dipping, if desired.","calories: 226, fat: 16g, carbs: 21g, protein: 3g, servings: 4",https://www.allrecipes.com/thmb/EQ3pbqcwbg-jvzcNP_H-TiYUpNo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/sous-vide-tri-tip-mfs200-4cc66a2aecbf469abba0919c793456fc.jpg
Sous Vide Beef Tenderloin Roast,https://www.allrecipes.com/recipe/8524014/sous-vide-beef-tenderloin-roast/,"{'quantity': '4 ½', 'unit': 'pounds', 'name': 'whole beef tenderloin'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sea salt/kosher salt (such as Redmonds®)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper, or more to taste'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '3', 'unit': '', 'name': 'fresh thyme sprigs, or to taste'}, {'quantity': '', 'unit': '', 'name': 'rosemary sprig'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter, divided, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, or as needed'}, {'quantity': '1', 'unit': 'splash', 'name': 'red wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'gelatin powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Trim and tie tenderloin together with kitchen twine the night before cooking. Combine salt and pepper in a bowl and season tenderloin on all sides. Place on a baking rack set over a cookie sheet and allow to rest, uncovered, in the refrigerator overnight.. The next morning place tenderloin, garlic, thyme, and rosemary into a sous vide vacuum bag and seal using a vacuum sealer. Refrigerate until you are ready to sous vide.. Attach sous vide cooker to a heat-proof container of water and set temperature to 133 degrees F (56 degrees C). Sous vide until tenderloin has reached the desired temperature, 2 1/2 to 3 hours, depending on thickness.. About 30 minutes pour water in a metal bowl and sprinkle gelatin powder on top. Allow to sit for 30 minutes until gelatin blooms. Set on top of a double boiler over simmering water and stir until a clear liquid forms. Do not allow to boil.. Remove tenderloin from sous vide, pat dry, and let rest while preparing the gravy.. Pour au jus liquids from the sous vide bag into a sauce pan. Stir in 1 to 2 tablespoons butter and red wine. Add as much of the bloomed gelatin as you like depending on desired thickness and whisk until well combined. Season gravy with salt, pepper, and herbs to taste.. Heat cast iron pan to medium-high. Brush tenderloin with olive oil and sear in the hot pan until browned all over, 1 to 2 minutes per side. Melt extra butter in the pan as desired. Remove from pan, tent with foil, and allow to rest for 5 to 10 minutes.. Slice tenderloin and serve with gravy.","calories: 637, fat: 53g, carbs: 0g, protein: 37g, servings: 10",https://www.allrecipes.com/thmb/CNcFEqC2nFCcCuNgAGNv20Sl9AY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1672072170beef20tenderloin20roast-2000-974c848d8c25483081e332e4707e38fe.jpg
Sous Vide Maple Chipotle BBQ Pork Chops,https://www.allrecipes.com/recipe/8526866/sous-vide-maple-chipotle-bbq-pork-chops/,"{'quantity': '1', 'unit': 'cup', 'name': 'ketchup'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsalted butter, melted'}, {'quantity': '¼', 'unit': 'cup', 'name': 'apple cider vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'large', 'name': 'jalapeno pepper, seeded and minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped canned chipotle chiles in adobo'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'adobo sauce from canned chipotle chiles'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '4', 'unit': '', 'name': '(1 1/4-inch-thick) bone-in, center cut pork chops'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'canola oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro (Optional)'}","Prepare a thermocirculator and water bath according to manufacturer's directions. Set thermocirculator to 135 degrees F(57 degrees C) (if you want the pork cooked medium instead of medium-rare, set to 145 degrees F (62 degrees C)), and allow water bath to come up to temperature.. Stir together ketchup, melted butter, vinegar, maple syrup, jalapeno, mustard, chipotles, adobo sauce, Worcestershire, 1 teaspoon salt, chili powder, onion powder, garlic powder, and smoked paprika for the sauce in a bowl. You should have about 2 cups sauce.. Season all chops evenly with remaining 1 1/2 teaspoons salt and pepper and place chops in an even layer in a large vacuum sealable bag. Pour 1 cup of the sauce into bag. Cover and chill remaining sauce. Massage bag to be sure each chop is evenly coated in sauce, then seal bag with a vacuum sealer according to manufacturer's directions.. Transfer vacuum-sealed chops to warm water bath with thermocirculator, cover vessel with aluminum foil to reduce evaporation. Cook 40 minutes (meat will be 135 degrees F to 145 degrees C (57 to 62 degrees C) when done depending on desired doneness).. Remove bag from water bath and transfer meat from bag onto a rimmed baking sheet and drizzle with canola oil.. Preheat a grill or a grill pan to medium-high (400 degrees F to 450 degrees F (200 degrees C to 230 degrees C)).. Grill meat, uncovered, until grill marks appear, basting with 1/2 cup of the reserved sauce, 1 to 2 minutes per side. Serve chops with remaining 1/2 cup sauce and a sprinkle of cilantro.","calories: 672, fat: 36g, carbs: 31g, protein: 55g, servings: 4",https://www.allrecipes.com/thmb/5739zJeO-iT1CEm1xZ0N_L-lcZo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/sous-vide-pork-chops-mfs-062-c0dadac1ecd246c5a375498e801eae54.jpg
"Sous Vide ""Poached"" Eggs",https://www.allrecipes.com/recipe/279620/sous-vide-poached-eggs/,"{'quantity': '4', 'unit': 'large', 'name': 'cold eggs'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and freshly ground black pepper'}",Fill a large pot with water and place a sous vide immersion cooker into the water. Set temperature to 167 degrees F (75 degrees C) according to manufacturer's instructions; allow 15 minutes for the water to heat.. Gently lower eggs into the water using a slotted spoon. Immediately set a kitchen timer for 13 minutes.. Remove eggs from water once timer is up and let cool for 3 minutes. Gently crack egg around the middle and peel top half of shell. Slide egg out into a small bowl or serve over toast. Season with salt and pepper.,"calories: 72, fat: 5g, carbs: 0g, protein: 6g, servings: 4",https://www.allrecipes.com/thmb/OA7ZVN7n3Uko58g4gjZoRo_M_ig=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7921111-6a316d7bac6b407994c0b7712517e6b1.jpg
Sous Vide Egg Bites,https://www.allrecipes.com/recipe/278703/sous-vide-egg-bites/,"{'quantity': '6', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'cup', 'name': 'cottage cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': '6 (4-ounce) mason jars'}, {'quantity': '1', 'unit': 'serving', 'name': 'cooking spray'}","Fill a large pot with water and place a sous vide immersion cooker into the water. Set temperature to 170 degrees F (77 degrees C) according to manufacturer's directions.. Combine eggs, cottage cheese, heavy cream, and salt in a blender; mix until thoroughly blended, 15 to 20 seconds.. Spray mason jars with cooking spray. Divide egg mixture between each jar. Screw on the lids until just barely tightened. Do not over-tighten as the jars can burst in the hot water.. Submerge mason jars into the water bath and set timer for 55 minutes. When timer is up, remove jars to a cooling rack. If serving immediately, run a knife along the outer edge and invert onto a plate; you can also eat directly from the jar. Let any remaining jars cool, then refrigerate for up to 1 week.","calories: 108, fat: 8g, carbs: 1g, protein: 9g, servings: 6",https://www.allrecipes.com/thmb/6RJMf1O1kc0qhcrtr9pdsUxXWB4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7713782-54a0bc7416cd42a5b8f3dbaa460f603e.jpg
Sous Vide Duck Breast,https://www.allrecipes.com/recipe/222207/sous-vide-duck-breast/,"{'quantity': '2', 'unit': '(8 ounce)', 'name': 'boneless duck breast halves, skin on'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh thyme leaves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}","Cut several very shallow crosswise slashes across the skin of each duck breast about 1/2 inch apart. (The cuts should only barely cut into the skin and fat; don't cut into the meat.) Season skin sides with salt, then generously season meat sides with salt, pepper, and thyme. Place into a heavy-duty resealable plastic bag, squeeze out all the air, and seal. Refrigerate for 1 hour.. Fill a large Dutch oven about 2/3 full with water and place over medium heat; heat to 135 degrees F (57 degrees C). Attach a candy thermometer to the side of the Dutch oven in order to monitor and maintain the water temperature. Place a silicone hot pad into the bottom of the pot to keep the plastic bag from contacting the bottom of the pan.. Place the sealed plastic bag into the Dutch oven. Cook, moving the bag around occasionally and adjusting the heat as necessary to maintain the temperature at 135 degrees F (57 degrees C), for 1 hour.. Remove duck breasts from the plastic bag and pat dry. Generously season skin sides with salt.. Heat oil in a skillet over high heat. Place duck breasts, skin-side down, in the hot skillet until fat renders and skin is golden brown, 5 minutes. Turn breasts over and cook until lightly browned and meat still pink in the center, 1 minute. Let rest for 2 minutes before slicing.","calories: 177, fat: 11g, carbs: 0g, protein: 19g, servings: 2",https://cdn.jwplayer.com/v2/media/05PokrQ1/poster.jpg?width=720
Sous Vide New York Strip Steak,https://www.allrecipes.com/recipe/222209/sous-vide-new-york-strip-steak/,"{'quantity': '2', 'unit': '(12 ounce)', 'name': 'New York strip steaks'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cold butter, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'clamshell mushrooms, bottoms trimmed and any bunches separated'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'balsamic vinegar'}","Fill a large Dutch oven about 2/3 full with water. Bring water to 130 degrees F (54 degrees C) over medium heat. Attach a candy or oil thermometer to the side of the Dutch oven in order to monitor and maintain the water temperature.. Generously season steaks with salt and pepper. Heat 1 teaspoon vegetable oil in a large skillet over high heat. Add steaks and cook until just browned, about 1 minute per side. Transfer steaks to a resealable plastic bag, squeeze out all air, and seal.. Place the sealed plastic bag into the Dutch oven, adjusting the heat as necessary to maintain the water temperature at 130 degrees F (54 degrees C). Cook for 2 1/2 hours, moving the bag around occasionally and maintaining the water temperature.. While the steaks are cooking, heat 1 tablespoon butter in the same skillet over medium-low heat. Add mushrooms and cook, stirring occasionally, until soft, about 5 minutes. Transfer to a plate and set aside.. Remove steaks from the plastic bag (reserving any accumulated juices) and pat dry. Generously season again with salt and pepper. Heat remaining 1 teaspoon vegetable oil in the skillet over high heat. Place steaks in the skillet and cook to form a crust, about 2 minutes per side. Transfer steaks to a plate.. Stir garlic and mushrooms into the skillet, reduce the heat to medium, and cook until mushrooms are reheated, about 2 minutes. Stir in reserved steak juices, 2 tablespoons water, and balsamic vinegar. Remove from the heat.. Stir in remaining 1 tablespoon butter until completely melted and incorporated. Season with salt and pepper to taste. Spoon sauce over steaks and serve.","calories: 638, fat: 35g, carbs: 2g, protein: 75g, servings: 2",https://cdn.jwplayer.com/v2/media/VWz95NAb/poster.jpg?width=720
Sous Vide Scallops with Garlic and Lemon Butter,https://www.allrecipes.com/recipe/272409/sous-vide-scallops-with-garlic-and-lemon-butter/,"{'quantity': '6', 'unit': '', 'name': 'sea scallops'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic, finely minced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'pinch', 'name': 'Cajun seasoning'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'finely chopped green onion tops'}","Fill a medium pot with warm water. Attach the sous vide and set the temperature to 123 degrees F (51 degrees C) to preheat.. Remove tough muscle from sides of scallops, if present, and lightly season with salt and pepper. Transfer scallops to a resealable plastic bag and remove all the air using the water immersion method.. Place scallops into the preheated water in the pot and cook for 30 minutes.. Remove scallops from the bag and pat dry thoroughly; if scallops are wet, they will not sear well.. Heat olive oil in a small skillet over medium-high heat until it shimmers. Sear scallops in hot oil until bottoms are lightly brown, about 2 minutes. Turn and cook for 1 more minute. Remove scallops from the skillet to a warmed dish.. Add garlic to the skillet; cook and stir until fragrant, about 30 seconds. Deglaze the skillet with white wine and lemon juice, scraping up any browned bits. Mix in parsley and Cajun seasoning; simmer sauce for 2 minutes. Stir in butter until just melted.. Spoon sauce over scallops; sprinkle with green onion tops to serve.","calories: 305, fat: 22g, carbs: 9g, protein: 12g, servings: 2",https://www.allrecipes.com/thmb/X7VodOi0rL0tX8jMtF0TqX1ZlQE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6480767-sous-vide-scallops-with-garlic-and-lemon-butter-Bren-4x3-1-e31f0fd64818499ca8dbb44d169591e9.jpg
Sous Vide Chicken Breast,https://www.allrecipes.com/recipe/268946/sous-vide-chicken-breast/,"{'quantity': '4', 'unit': '(4 ounce)', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'herbes de Provence'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'garlic paste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': '', 'name': 'strips lemon zest'}, {'quantity': '1', 'unit': '', 'name': '1 medium sous vide vacuum bag'}","Set up a water bath and immersion circulator according to manufacturer's instructions. Bring water to 143 degrees F (62 degrees C).. Place chicken, oil, herbes de Provence, garlic paste, salt, and lemon zest in a bowl. Mix until coated. Place in the vacuum bag in a single layer; seal.. Submerge bagged chicken in the water bath and cook for 3 hours. Cool chicken in the sealed bag under cold running water.","calories: 151, fat: 6g, carbs: 0g, protein: 22g, servings: 4",https://www.allrecipes.com/thmb/pJfGVDvz-1oeolL2bnJA1AsNlJo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Sous-Vide-Chicken-Breasts-MFS_77-4x3-1-e50f1a0edf054e47806f5fbd17ae2bd4.jpg
