name,link,ingredients,steps,nutrition,image_url
Creamy Bacon Pasta Bake,https://www.allrecipes.com/creamy-bacon-pasta-bake-recipe-8736946,"{'quantity': '8', 'unit': 'ounces', 'name': 'thick-cut bacon, chopped'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'tomato paste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'freshly grated Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'pound', 'name': 'spaghetti'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh flat-leaf parsley'}",,"calories: 698, fat: 48g, carbs: 37g, protein: 27g, servings: 6",https://cdn.jwplayer.com/v2/media/caVP3VdE/thumbnails/rGTWegXd.jpg
The Best Million Dollar Spaghetti,https://www.allrecipes.com/the-best-million-dollar-spaghetti-recipe-8747691,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'small', 'name': 'onion'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground sirloin'}, {'quantity': '1', 'unit': 'pound', 'name': 'Italian sausage'}, {'quantity': '32', 'unit': 'ounces', 'name': 'marinara sauce'}, {'quantity': '16', 'unit': 'ounces', 'name': 'spaghetti'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'cottage cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': None, 'unit': None, 'name': 'chopped parsley, for garnish'}","Heat oil in a large saucepan over medium-high heat. Add onion, 1 teaspoon salt, and garlic; cook until softened, about 3 minutes. Add ground beef and sausage and cook, crumbling with a spoon, until browned, about 5 minutes. Stir in 3 cups marinara sauce; bring to a simmer.  Reduce heat to low and simmer while pasta cooks.. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large casserole dish.. Bring a large pot of salted water to a boil. Add pasta and cook until just tender with a bite, about 7 minutes. Drain; return spaghetti to the pot. Stir in 3 1/2 tablespoons butter and remaining marinara sauce.. Combine cottage cheese, cream cheese, sour cream, remaining salt, pepper, and 1 cup mozzarella in a medium bowl and stir until well incorporated.. Add half of pasta to the casserole dish. Spread cheese mixture evenly over pasta. Add remaining pasta; cut remaining 1 1/2 tablespoons butter into thin slices, and arrange over pasta. Top with meat sauce mixture, remaining 2 cups mozzarella, and grated Parmesan cheese. Place casserole dish on a rimmed baking sheet.. Bake in the preheated oven until cheese is melted and browned and pasta is bubbling around the edges, 40 to 50 minutes. Let stand 5 to 10 minutes before serving. Sprinkle with parsley if desired.","calories: 652, fat: 43g, carbs: 29g, protein: 37g, servings: 10",https://www.allrecipes.com/thmb/iMSSzIBbCzaT765qQua97RwGbJE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747691_The-Best-Million-Dollar-Spaghetti_Dotdash-Meredith-Food-Studios_4x3-b4616b9410d04354911b287592ac4a4b.jpg
Ham and Butternut Squash Spaghetti,https://www.allrecipes.com/recipe/221952/ham-and-butternut-squash-spaghetti/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'ounces', 'name': 'smoked ham, thinly sliced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, thinly sliced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '3', 'unit': 'cups', 'name': 'peeled, seeded, and diced butternut squash'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed red pepper flakes, or to taste'}, {'quantity': '', 'unit': '', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'mascarpone cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped Italian flat leaf parsley'}, {'quantity': '14', 'unit': 'ounces', 'name': 'spaghetti'}, {'quantity': '', 'unit': '', 'name': 'finely grated Parmigiano-Reggiano cheese'}","Heat olive oil over medium heat in a large skillet. Stir in ham and cook until the edges are slightly browned, about 3 minutes.. Stir in garlic; cook until fragrant and edges are barely golden, about 1 minute.. Pour chicken broth over ham and garlic; bring to a simmer. Stir in butternut squash, red pepper flakes, and salt. Cook until squash is tender, about 15 minutes. Stir in black pepper and reduce heat to low.. Gently stir mascarpone cheese into squash mixture until completely incorporated. Stir in Italian parsley. Remove from heat and cover.. Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally until cooked through but firm to the bite, about 12 minutes. Drain and return to pot.. Pour butternut-mascarpone sauce over spaghetti, stirring until combined. Sprinkle Parmigiano-Reggiano cheese over spaghetti and serve.","calories: 808, fat: 41g, carbs: 87g, protein: 25g, servings: 4",https://cdn.jwplayer.com/v2/media/K48wuOl1/poster.jpg?width=720
Creamy Lemon Shrimp Pasta,https://www.allrecipes.com/creamy-lemon-shrimp-pasta-recipe-8642461,"{'quantity': '¾', 'unit': '(16 ounce) package', 'name': 'spaghetti'}, {'quantity': '1', 'unit': 'pound', 'name': 'uncooked medium shrimp, peeled and deveined'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'finely chopped shallots'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'crushed garlic'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, zested and juiced'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '5', 'unit': 'large', 'name': 'basil leaves, chopped'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red pepper flakes'}",,"calories: 248, fat: 9g, carbs: 20g, protein: 21g, servings: 6",https://www.allrecipes.com/thmb/hst4oOM2zECiLhDbVy0AqZ0oM2A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ReneePajestka_CreamyLemonBasilShrimpPasta_altimage-dbf75fb7b5ff4f2db0edc9dcbb34f032.jpg
Taco Pasta,https://www.allrecipes.com/taco-pasta-recipe-8644589,"{'quantity': '6', 'unit': 'ounces', 'name': 'spaghetti or other pasta'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes and green chiles'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'ounce', 'name': 'taco seasoning'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'processed cheese (such as Velveeta'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded sharp Cheddar cheese'}",,"calories: 927, fat: 58g, carbs: 37g, protein: 61g, servings: 4",https://www.allrecipes.com/thmb/oInPUpZx5O9bdxi9cpn6fKkcV2U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8644589_TacoPastaRamonaCruz-Peters2x1-a6ba2c9d5747492b852d5ea71d6af22d.jpg
Chicken Scampi Pasta,https://www.allrecipes.com/chicken-scampi-pasta-recipe-8636935,"{'quantity': '1 1/2', 'unit': 'pounds', 'name': 'chicken breast tenders'}, {'quantity': '1', 'unit': 'pound', 'name': 'spaghetti pasta'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': None, 'name': 'shallot'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1/2', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped parsley'}","Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.. Heat 2 tablespoons oil and 1 tablespoon butter in a cast iron skillet over medium heat. Add chicken tenders. Cook, turning occasionally, until chicken is no longer pink at the center and juices run clear, about 10 minutes. An instant-read thermometer inserted near the center should read 165 degrees F (74 degrees C). Remove from skillet.. Add 1 tablespoon olive oil and 2 tablespoons butter to the cast iron skillet. Add shallots; cook and stir for 1 to 2 minutes. Add fresh garlic; cook and stir until fragrant, about 1 minute.. Add broth; bring to a simmer. Cook until liquid is reduced by half, about 3 minutes.. Stir pasta and chicken into the skillet; combine well. Add 1 tablespoon olive oil if needed. Stir in parsley.","calories: 582, fat: 32g, carbs: 48g, protein: 26g, servings: 6",https://www.allrecipes.com/thmb/iKRJZCU-WLEyDyqwPNvstFCqFJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8636935_Chicken-Scampi-Pasta_Shelia-Johnson_4x3-5da7db73eee24fc8a0cbac43a939d295.jpg
Cowboy Spaghetti,https://www.allrecipes.com/cowboy-spaghetti-recipe-8634556,"{'quantity': '6', 'unit': 'strips', 'name': 'bacon'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'beef broth'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce'}, {'quantity': '8', 'unit': 'ounces', 'name': 'spaghetti noodles'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes with green chiles'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'fire roasted tomatoes'}, {'quantity': '1', 'unit': '(4 ounce) can', 'name': 'tomato sauce'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sharp Cheddar cheese'}, {'quantity': '3', 'unit': None, 'name': 'green onions, sliced, or as needed for garnish'}","Place bacon in a large cast iron skillet and cook over medium-high heat, turning occasionally, until slightly crisp, about 7 minutes. Remove bacon slices to a paper towel-lined plate. When bacon is cool enough to handle, crumble roughly and set aside.. Add onion to the same skillet with bacon grease and sauté until softened, about 3 minutes. Add garlic, salt, and pepper. Stir until garlic is fragrant, about 30 seconds.. Add ground beef. Cook and stir until beef is crumbly and no longer pink, about 5 minutes. Lower heat to medium-low, and stir in beef broth, Worcestershire sauce, and hot sauce. Stir in 1/2 of the crumbled bacon.. Break spaghetti noodles in half. Scatter over ground beef, making sure noodles are separated. Pour tomatoes with green chiles, fire-roasted tomatoes, and tomato sauce over noodles. Cover and cook for 20 minutes.. Remove the lid and stir to combine the pasta and sauce. Smooth out mixture and scatter shredded cheese evenly over top. Sprinkle with remaining bacon. Cover and let cheese melt, about 5 minutes. Garnish with green onions; serve immediately.","calories: 520, fat: 29g, carbs: 24g, protein: 40g, servings: 5",https://www.allrecipes.com/thmb/sSFGP3MwoXdykFnTQhj3tEotKnw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/cowboy-spaghetti-recipe-8634556fabeveryday4x3-8371b8d96a56486e9e25f7fe207d530e.jpg
Grilled Spaghetti,https://www.allrecipes.com/grilled-spaghetti-recipe-8675070,"{'quantity': '8', 'unit': 'ounces', 'name': 'spaghetti'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '3 3/4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'basil leaves'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'Parmigiano Reggiano'}, {'quantity': '1', 'unit': 'pinch', 'name': 'red chili flakes'}","Prepare an outdoor charcoal grill for medium-high heat.. Place dry spaghetti on the hot charcoal grill, and cook, tossing often with tongs until the pasta is toasted to a light brown, about 4 minutes. Remove and set aside.. Add olive oil to a pan, and set over medium heat. Add garlic and sauté until fragrant, 30 seconds to 1 minute. Add tomato paste and sauté for about 1 minute; pour in broth.. Raise heat to medium-high and bring broth to a simmer. Add salt and grilled spaghetti, and use tongs to move spaghetti back and forth until it softens enough to be covered by the broth.. Cook, stirring, until spaghetti is as tender as you like; it will take a few minutes longer than package directions indicate. If pan gets too dry, add another splash of broth.. Reduce heat to low; stir in butter and basil. Turn off heat and stir in cheese. Serve immediately.","calories: 277, fat: 19g, carbs: 22g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/SaiGNy45/thumbnails/pAR7JiJG.jpg
Fish Puttanesca,https://www.allrecipes.com/fish-puttanesca-recipe-8611251,"{'quantity': '1/2', 'unit': 'pound', 'name': 'spaghetti'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'capers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'anchovy paste, or to taste'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic,'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1 (28', 'unit': 'ounce) can', 'name': 'tomatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Kalamata olives'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Italian parsley'}, {'quantity': None, 'unit': None, 'name': 'salt and pepper to taste'}, {'quantity': '4', 'unit': '(6 ounce)', 'name': 'white fish'}, {'quantity': None, 'unit': None, 'name': 'fresh Italian parsley sprigs'}","Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.. Meanwhile, heat olive oil in a large skillet over medium-low heat until it shimmers.. Add capers, anchovy paste, garlic, and red pepper and cook, stirring frequently, until garlic is soft and fragrant, about 2 minutes.. Drain off about 1/2 cup of the liquid in the tomato can and discard. With clean hands, crush tomatoes, and add to the skillet with the remaining juice. Stir in olives and minced parsley. Season to taste with salt and black pepper.. Bring sauce to a boil, add fish filets, and reduce heat to a simmer. Sauce should bubble occasionally, but not boil, once fish have been added.. Cook until fish flakes easily with a fork, 8 to 10 minutes, spooning sauce over fish occasionally. Thin filets may cook more quickly. An instant read thermometer inserted in the fish should read 145 degrees F (63 degrees C).. Evenly divide spaghetti into 4 serving dishes. Place 1 filet in each dish and ladle sauce over all. Garnish with parsley sprigs.","calories: 518, fat: 25g, carbs: 26g, protein: 47g, servings: 4",https://www.allrecipes.com/thmb/fejUu2KFtbslpQBDVpkeGo9met0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8611251_Fish-Puttanesca_Brenda-Venable_4x3-b51d77e6c84440609a3c8faf183dc8d2.jpg
Pesto Spaghetti Frittata,https://www.allrecipes.com/pesto-spaghetti-frittata-recipe-8553405,"{'quantity': '6', 'unit': None, 'name': 'duck eggs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'half-and-half cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pesto, plus more for garnish'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'thyme leaves'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'frozen mixed carrots, broccoli, zucchini, and cauliflowe'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cooked spaghett'}","Preheat the oven to 400 degrees F (200 degrees C).. Whisk eggs, Parmesan cheese, half and half, ricotta, pesto, thyme, salt, and pepper together in a large bowl.. Place vegetables in a microwave-safe bowl; cook on High in the microwave until thawed, 4 to 5 minutes. Drain well.. Melt butter in an ovenproof nonstick skillet. Add garlic and saute until fragrant, about 1 minute. Add steamed vegetables, and toss to coat.. Pour half of egg mixture into the skillet. Toss cooked spaghetti with remaining egg mixture. Pour egg-coated pasta into the skillet. Cook 5 minutes.. Bake in the skillet in the preheated oven until eggs are firm, about 25 minutes. Remove, cut into wedges, and serve with more pesto if desired.","calories: 236, fat: 14g, carbs: 13g, protein: 15g, servings: 6",https://www.allrecipes.com/thmb/u6BJsBA2ZnYO0R9HhA_3YvNe8L4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8553405_Pesto-Spaghetti-Frittata_TheDailyGourmet_4x3-560e272e68344532862ea49c2629a9d1.jpg
