name,link,ingredients,steps,nutrition,image_url
Best Spanish Rice,https://www.allrecipes.com/recipe/33385/best-spanish-rice/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'picante sauce'}","Gather all ingredients.. Heat oil in a large, heavy skillet over medium heat. Add onion; cook and stir until tender, about 5 minutes.. Add rice; cook and stir until rice begins to turn golden brown.. Stir in chicken broth and picante sauce.. Reduce heat, cover, and simmer until liquid has been absorbed, about 15 to 20 minutes.","calories: 286, fat: 6g, carbs: 51g, protein: 6g, servings: 5",https://cdn.jwplayer.com/v2/media/KDfen3Gc/thumbnails/AvTbISZP.jpg
Instant Pot Mexican Rice,https://www.allrecipes.com/recipe/263330/instant-pot-mexican-rice/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'avocado oil, or more as needed'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, finely chopped'}, {'quantity': '2', 'unit': 'large cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'long-grain rice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'low-sodium chicken stock'}, {'quantity': '½', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}","Turn on a multi-functional pressure cooker (such as Instant Pot); select sauté function and adjust to medium.. Cover the bottom of the pot with avocado oil. Cook and stir onion until soft, 4 to 5 minutes. Add garlic and cook until fragrant, about 30 seconds.. Add rice to the pot; mix until coated with oil and lightly browned. Pour in chicken stock; stir any browned bits off the bottom of the pot.. Pour in chicken stock; stir any browned bits off the bottom of the pot.. Mix in tomato sauce, salt, cumin, and cayenne pepper.. Close and lock the lid. Seal the vent and select high-pressure function. Set a timer for 7 minutes; allow 10 to 15 minutes for pressure to build.. Release pressure carefully using the quick-release method according to the manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Stir rice before serving.","calories: 225, fat: 4g, carbs: 41g, protein: 5g, servings: 4",https://www.allrecipes.com/thmb/-xCTxprn-EYb2Jz-QEmTMzYiBpY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/263330-instant-pot-mexican-rice-3x4-151-copy-b40cff6ceab84a46beb1c130d15643bc.jpg
Flavorful Spanish Rice and Beans,https://www.allrecipes.com/recipe/261369/flavorful-spanish-rice-and-beans/,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'sweet onion, chopped'}, {'quantity': '1', 'unit': '(1.41 ounce) package', 'name': 'sazon seasoning'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'adobo seasoning'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'red beans, drained'}, {'quantity': '1', 'unit': '(2.25 ounce) can', 'name': 'pitted green olives (Optional)'}","Bring water, rice, and olive oil to a boil in a saucepan over high heat. Mix in onion, Sazón seasoning, adobo seasoning, garlic, and black pepper. Reduce heat to medium-low; cover and cook for 10 minutes.. Add beans and olives and cook until liquid has been absorbed, about 10 minutes. Mix before serving.","calories: 318, fat: 6g, carbs: 57g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/uTenZ4a4BJahjFdHzJnuN6U6gdU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7968098-8508ad0d2ab1457ab4a2b4325ad02da9.jpg
Spanish Rice II,https://www.allrecipes.com/recipe/24329/spanish-rice-ii/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '½', 'unit': '', 'name': 'green bell pepper, chopped'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'diced tomatoes and green chiles'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Heat oil in a deep skillet over medium heat. Saute rice, onion, and bell pepper until rice is browned and onions are tender.. Stir in water and tomatoes. Season with chili powder and salt. Cover, and simmer for 30 minutes, or until rice is cooked and liquid is absorbed.","calories: 270, fat: 8g, carbs: 46g, protein: 5g, servings: 4",https://cdn.jwplayer.com/v2/media/y0ffVcpN/poster.jpg?width=720
Arroz Rojo (Mexican Red Rice),https://www.allrecipes.com/recipe/221433/arroz-rojo-mexican-red-rice/,"{'quantity': '2', 'unit': '', 'name': 'Roma (plum tomatoes), cored'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'minced onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked long-grain white rice'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'low-sodium chicken broth'}, {'quantity': '¼', 'unit': 'cup', 'name': 'canned tomato sauce'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper, chopped'}, {'quantity': '2', 'unit': 'sprigs', 'name': 'fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}","Grate tomatoes into a bowl using a box grater; discard tomato skins.. Heat vegetable oil in a heavy skillet over medium-high heat. Add onion; cook and stir until tender, about 5 minutes. Stir in garlic and cook until fragrant, about 1 minute.. Stir in rice and cook, stirring often, until rice is lightly toasted, about 3 more minutes. Stir in grated tomato, chicken broth, and tomato sauce; bring mixture to a boil.. Stir in jalapeño pepper, cilantro, and salt; reduce heat to low. Cover the skillet and simmer until liquid has been absorbed, about 15 minutes. Do not lift the cover while rice is cooking.. Turn off the heat; let rice stand, covered, for 8 minutes. Fluff with a fork before transferring rice to a serving dish.","calories: 213, fat: 6g, carbs: 35g, protein: 5g, servings: 5",https://www.allrecipes.com/thmb/uxhLIrbMA8oVJzrfBaFQmH0xP1o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2264124-arroz-rojo-mexican-red-rice-naples34102-4x3-1-492c3cb8ce1649f8a322c92a8427919d.jpg
Quick and Easy Spanish Rice,https://www.allrecipes.com/recipe/220650/quick-and-easy-spanish-rice/,"{'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'cups', 'name': 'uncooked instant rice (such as Minute®)'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable juice (such as V8®)'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'taco seasoning'}","Cook and stir onion, garlic, and vegetable oil in a skillet over medium heat until onions are softened, about 5 minutes.. Stir rice into onion mixture and cook, stirring often, until rice becomes slightly opaque, 1 to 2 minutes.. Stir chicken broth, vegetable juice, and taco seasoning into rice mixture and bring to a boil. Cover and simmer over low heat until rice has absorbed most of the liquid, about 5 minutes.","calories: 235, fat: 5g, carbs: 42g, protein: 4g, servings: 6",https://www.allrecipes.com/thmb/LA0_meH1QmWxFJ-OoXGs7g9UbC8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/814989-ef4e3207710e48baa7f2f615763d4632.jpg
Arroz Rojo,https://www.allrecipes.com/recipe/78213/arroz-rojo/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'lard or peanut oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'long grain white rice'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '', 'name': 'roma (plum) tomatoes, seeded and chopped'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}","Heat the lard in a large heavy skillet over medium-high heat. Add the rice, and stir until rice is toasted. Add the garlic and onion; cook and stir until the onion just begins to brown. Stir in the tomatoes, tomato sauce, chicken broth, chili powder and salt. Bring to a boil, then reduce heat to low, cover, and cook for 20 to 25 minutes, or until rice is tender. Let stand for 5 minutes, covered, before serving.","calories: 217, fat: 6g, carbs: 37g, protein: 4g, servings: 5",https://www.allrecipes.com/thmb/zbmjgivshM_tFjj_gduenAGrCkk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4591982-1fc97364392147299b666ccc57c4beec.jpg
Rice Cooker Spanish Rice,https://www.allrecipes.com/recipe/261374/rice-cooker-spanish-rice/,"{'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked white rice'}, {'quantity': '1', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned corn, drained (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'crumbled cooked bacon (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped black olives (Optional)'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}","Combine tomatoes, rice, tomato sauce, chicken broth, corn, bacon, onion, red bell pepper, olives, salsa, and chili powder in a rice cooker. Seal the cooker and select rice setting according to manufacturer's instructions; cook until tender, 20 to 25 minutes.","calories: 280, fat: 7g, carbs: 48g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/IfPwZsYU3fAKCOupHAZFUfMhD2o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5152353-7bd551c6fcd948a69a87c01265ea5928.jpg
Better Spanish Rice,https://www.allrecipes.com/recipe/132896/better-spanish-rice/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '½', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'uncooked instant rice'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}","Heat the oil in a skillet over medium-high heat, and cook and stir the chopped onion until browned, about 8 minutes.. Stir in the rice, tomatoes, cilantro, and chicken broth, and bring to a boil. Reduce the heat to medium-low, and simmer until the rice is cooked and most of the liquid is absorbed, about 10 minutes.","calories: 164, fat: 3g, carbs: 28g, protein: 4g, servings: 4",https://www.allrecipes.com/thmb/02-W8I8w6UHNYlE9kMfzt6EqzO0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8587842-f5e202584f00473fbac9c2223e4169fe.jpg
Spicy Spanish-Style Rice,https://www.allrecipes.com/recipe/237639/spicy-spanish-style-rice/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'uncooked long-grain white rice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'diced jalapeno pepper'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'chopped green onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, crushed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'chipotle chile powder, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste (Optional)'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '½', 'unit': 'cup', 'name': 'tomato sauce'}","Melt butter in a pot over medium-low heat. Stir rice, jalapeno, green onion, and garlic together in the melted butter until rice is completely coated with butter. Add chili powder, cumin, salt, chipotle chile powder, and cayenne pepper; cook and stir until fragrant, about 1 minute.. Stir chicken stock and tomato sauce into rice mixture. Bring to a simmer, cover the pot, reduce heat to low, and simmer for 20 minutes. Turn heat off and leave pot covered on the burner for 8 minutes. Remove cover and fluff rice with a fork.","calories: 194, fat: 2g, carbs: 39g, protein: 4g, servings: 8",https://cdn.jwplayer.com/v2/media/jTIbxXpy/poster.jpg?width=720
