name,link,ingredients,steps,nutrition,image_url
Apple Spice Cake,https://www.allrecipes.com/recipe/8170/apple-spice-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'warm water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': '', 'name': 'apples - peeled, cored and chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar for dusting""}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Butter a 10-inch tube pan.. Cover raisins with warm water and let soak for 10 minutes; drain.. Whisk flour, spices, and salt together in a bowl; set aside.. Beat butter and sugar together in a large bowl until fluffy. Add eggs and vanilla. Stir baking soda and 1 tablespoon warm water together until smooth; stir into sugar mixture.. Mix in flour mixture, apples, and strained raisins until well blended.. Pour batter into prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, about 1 hour. Cool cake in pan.. Once cool, shake pan to loosen cake. Turn onto plate, and dust with confectioners' sugar.","calories: 357, fat: 15g, carbs: 54g, protein: 4g, servings: 14",https://www.allrecipes.com/thmb/5Z4MYRosXyDzn9amEbIv0MQaR6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-recipe-8170-apple-spice-cake-VAT-hero-03-4x3-49bdfea148854fc1801be675d8073041.jpg
Fresh Pear Cake,https://www.allrecipes.com/recipe/8212/fresh-pear-cake/,"{'quantity': '4', 'unit': 'cups', 'name': 'peeled, cored and chopped pears'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '4', 'unit': '', 'name': 'egg whites'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'canola oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}","Gather all ingredients.. Combine pears and sugar in a large bowl; let stand for one hour.. Preheat the oven to 325 degrees F (165 degrees C). Spray a 10-inch Bundt pan with non-stick cooking spray.. Slightly beat egg whites; combine with oil, chopped pecans, and pear mixture.. Mix flour, salt, baking soda, nutmeg, cinnamon, and cloves together; stir into pear mixture. Pour batter into the prepared Bundt pan.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 1 hour and 10 minutes. Let cool on a wire rack for 10 minutes before removing from the pan.. Invert carefully onto a serving plate or rack and let cool completely.","calories: 449, fat: 19g, carbs: 66g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/eajgu7hnkoxqQexwtMrSgiPN_6Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-8212-fresh-pear-cake-VAT-4x3-2-65da60fcf91841678142746e199e379e.jpg
Best Carrot Cake Ever,https://www.allrecipes.com/recipe/17393/best-carrot-cake-ever/,"{'quantity': '6', 'unit': 'cups', 'name': 'grated carrots'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'crushed pineapple, drained'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Gather all ingredients.. Combine grated carrots and brown sugar in a medium bowl. Let sit for 1 hour, then stir in raisins.. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 10-inch round cake pans. Beat eggs in a large bowl until light.. Gradually beat in white sugar, oil, and vanilla. Stir in pineapple.. Combine flour, cinnamon, baking soda, and salt in a separate bowl, then stir into egg mixture until absorbed.. Stir in carrot mixture and walnuts. Pour evenly into the prepared pans.. Bake in the preheated oven until an inserted toothpick comes out clean, 45 to 50 minutes.. Cool for 10 minutes before removing cake layers from the pans; let cool completely.","calories: 457, fat: 20g, carbs: 66g, protein: 6g, servings: 16",https://cdn.jwplayer.com/v2/media/ABEWHYk6/thumbnails/Z2XZadA4.jpg
"Moist, Tender Spice Cake",https://www.allrecipes.com/recipe/76964/moist-tender-spice-cake/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'bleached all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': '', 'name': 'large eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, softened until easily spreadable'}, {'quantity': '2', 'unit': 'cups', 'name': 'dark brown sugar'}","Adjust the oven rack to the middle position; preheat the oven to 350 degrees F (175 degrees C). Grease and lightly flour a metal or disposable foil 9x13-inch pan.. Whisk flour, cornstarch, baking powder, ginger, cinnamon, nutmeg, allspice, cloves, and salt in a large bowl. Mix milk, eggs, and vanilla extract in a 2-cup measuring cup.. Beat softened butter into flour mixture in a large bowl with an electric mixer, first on low, then medium, until mixture forms pebble-sized pieces. Add about 1/3 of the milk mixture and beat on low until smooth. Add remaining milk mixture in two stages; beat on medium speed until batter is just smooth. Add brown sugar; beat until just incorporated, about 30 seconds. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 40 minutes. Cool briefly on a wire rack, then run a table knife around the edges to loosen. Invert carefully onto a serving plate or cooling rack. Let cool completely.","calories: 275, fat: 13g, carbs: 36g, protein: 4g, servings: 16",https://www.allrecipes.com/thmb/v0vqw_nS3Vs1bpUkxOyKPDrUdN0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2752654-157e1954df8a437ab5f56197ad646a58.jpg
Buttery Cinnamon Cake,https://www.allrecipes.com/recipe/7540/buttery-cinnamon-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'water'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Grease and lightly flour a 10-inch Bundt pan.. Make the cake: Stir flour, baking powder, cinnamon, and salt together in a bowl.. Beat sugar, shortening, and vanilla in a large bowl with an electric mixer until light and fluffy.. Add eggs, one at a time, beating for at least 1 minute after each addition.. Beat in flour mixture alternately with milk.. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of the cake comes out clean, 40 to 45 minutes.. While the cake is baking, make the syrup: Combine sugar, water, butter, vanilla, and cinnamon in a saucepan over medium-low heat. Cook and stir until butter melts; keep warm.. Remove cake from the oven and let cool in the pan for 10 minutes. Invert warm cake carefully onto a serving plate or cooling rack.. Use a fork to poke holes around the top of the cake.. Pour warm syrup over the top and sides, making sure it goes into the holes. Serve after about 30 minutes, while still warm.","calories: 321, fat: 16g, carbs: 41g, protein: 4g, servings: 14",https://www.allrecipes.com/thmb/JsysbfxNuNGHTTEodDwRKqN2wnA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-7540-buttery-cinnamon-cake--DDMFS-4x3-7f6d324f6fec48a2a332b7ce747bff14.jpg
Sugar-Free Cake,https://www.allrecipes.com/recipe/7419/sugar-free-cake/,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsweetened applesauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'liquid sweetener'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 10-inch Bundt or tube pan.. Combine water and raisins in a saucepan over medium heat. Simmer until water is absorbed; set aside to cool.. Mix together applesauce, oil, eggs, liquid sweetener, and vanilla in a large bowl until well combined. Sift in flour, cinnamon, baking soda, nutmeg, and salt; stir until just combined. Mix in raisins and nuts. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of cake comes out clean, about 1 hour.","calories: 363, fat: 21g, carbs: 41g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/59hc0N95UBmWKnTL_kO9N09Nvgk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/47179-576b170404ca4c76b1df2fa861f7f3d7.jpg
Great Canadian Heinz Ketchup Cake,https://www.allrecipes.com/recipe/217814/great-canadian-heinz-ketchup-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'cup', 'name': 'Heinz Tomato Ketchup'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red food coloring'}, {'quantity': None, 'unit': '3/4 cup', 'name': 'unsalted butter, softened'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'packed dark brown sugar'}, {'quantity': '2', 'unit': None, 'name': 'eggs'}, {'quantity': '6', 'unit': 'ounces', 'name': 'brick-style cream cheese, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'cups', 'name': 'powdered sugar'}","Preheat the oven to 350 degrees F (180 degrees C). Grease two 9-inch round cake pans and line the bottoms with parchment paper.. Make the cake: Whisk flour, baking powder, cinnamon, baking soda, nutmeg, and ginger together in a bowl. Mix ketchup, water, and food coloring together in a separate bowl.. Beat butter in a large bowl with an electric mixer until smooth. Blend in sugar until creamy, then mix in eggs, one at a time, until incorporated. Add flour mixture in two batches on low speed, alternating with ketchup mixture, scraping down the bowl as needed, until well combined. Increase the speed to medium-high and beat for 1 minute. Divide batter evenly between the prepared pans.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 30 minutes. Cool in the pans on a wire rack for 15 minutes, then run a table knife around the edges to loosen. Invert each layer carefully onto the wire rack. Let cool completely, about 15 more minutes.. While the cake layers are cooling, make the frosting: Beat cream cheese, butter, and vanilla in a mixing bowl with an electric mixer on medium speed until smooth, about 2 minutes. Gradually mix in powdered sugar on low speed, scraping the bowl as needed, then beat on high speed until fluffy.. Place one cooled cake layer onto a serving plate. Cover with frosting and spread to the edges. Place remaining cake layer on top. Frost the sides of the cake, then finish by frosting the top.","calories: 624, fat: 29g, carbs: 89g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/XZvNXewsbYljpYLF7IKuGwSVb2c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/981023-fa0e66540b724757b72256e90fb02c2e.jpg
Cake Mixes From Scratch and Variations,https://www.allrecipes.com/recipe/8063/cake-mixes-from-scratch-and-variations/,"{'quantity': '2 ⅓', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch baking dish.. For a Yellow Cake: Sift together flour, sugar, baking powder, and salt in a large bowl. Cut in shortening until mixture resembles fine crumbs. Add milk, eggs, and vanilla. Beat with an electric mixer on low speed for 1 minute, then on high for 2 minutes, scraping the bowl frequently. Pour batter into the prepared baking dish.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 25 to 30 minutes.","calories: 143, fat: 5g, carbs: 22g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/q4u4FiD83_kea6SqTNl8HaFYSdk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5571476-cake-mixes-from-scratch-and-variations-Christopher-Crouch-4x3-1-4f487b62473e4cd08709cf5b39cb4d1f.jpg
Moist Apple Cake,https://www.allrecipes.com/recipe/8358/apple-cake-iv/,"{'quantity': '5', 'unit': None, 'name': 'apples - peeled, cored and sliced'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease and flour a 9x13-inch pan.. Sift flour, salt, cinnamon, and baking powder together; set aside.. Beat eggs and sugar together in a large bowl with an electric mixer on high speed until light in color, about 10 to 15 minutes; beat in oil until combined. Add flour mixture and mix well. Add vanilla and fold in apples and nuts. Pour cake batter into prepared pan.. Mix 4 teaspoons sugar with 1 teaspoon cinnamon in a small bowl; sprinkle over cake.. Bake in the preheated oven until a toothpick inserted into center of the cake comes out clean, about 50 to 60 minutes.","calories: 248, fat: 13g, carbs: 31g, protein: 3g, servings: 24",https://www.allrecipes.com/thmb/gLoagEgHp0ZmjHQTQE2RiX2RWBE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/695518-2a3c98b9da344d13bb9cc16b45b982e3.jpg
Apple Cake with Caramel Glaze,https://www.allrecipes.com/recipe/73751/apple-harvest-pound-cake-with-caramel-glaze/,"{'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'medium', 'name': 'Granny Smith apples - peeled, cored and chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch Bundt pan.. Beat sugar, oil, vanilla, and eggs in a large bowl with an electric mixer until light and fluffy. Combine flour, baking soda, cinnamon, and salt; stir into batter just until blended. Fold in apples and walnuts using a spoon. Pour into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the crown or the cake comes out clean, about 1 hour to 1 hour 20 minutes. Allow cake to cool in pan for about 15 minutes then invert on to a wire rack.. To make the caramel glaze: Heat butter, milk, and brown sugar in a small saucepan over medium heat. Bring to a boil, stirring to dissolve sugar, then remove from the heat. Drizzle over warm cake.","calories: 682, fat: 43g, carbs: 71g, protein: 7g, servings: 12",https://cdn.jwplayer.com/v2/media/vKB8B2Di/poster.jpg?width=720
