name,link,ingredients,steps,nutrition,image_url
Split Pea Soup,https://www.allrecipes.com/recipe/13384/split-pea-soup/,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'dried split peas, rinsed well'}, {'quantity': '2', 'unit': 'quarts', 'name': 'cold water, plus more as needed'}, {'quantity': '1', 'unit': '(1 ½ pound)', 'name': 'ham bone'}, {'quantity': '2', 'unit': '', 'name': 'onions, thinly sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried marjoram'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '3', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '1', 'unit': '', 'name': 'potato, diced'}",,"calories: 310, fat: 1g, carbs: 58g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/Pf9MobFm/poster.jpg?width=720
Ham and Split Pea Soup Recipe — A Great Soup,https://www.allrecipes.com/recipe/219170/ham-and-split-pea-soup-recipe-a-great-soup/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'ribs', 'name': 'celery, diced'}, {'quantity': '½', 'unit': '', 'name': 'onion, diced'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, sliced'}, {'quantity': '1', 'unit': 'pound', 'name': 'dried split peas, rinsed'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked ham, diced'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '1', 'unit': 'quart', 'name': 'chicken stock'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}",,"calories: 374, fat: 14g, carbs: 37g, protein: 25g, servings: 8",https://cdn.jwplayer.com/v2/media/ElwmJaAz/poster.jpg?width=720
Ham Bone and Green Split Pea Soup,https://www.allrecipes.com/recipe/262028/ham-bone-and-green-split-pea-soup/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '½', 'unit': 'large', 'name': 'carrot, shredded'}, {'quantity': '⅓', 'unit': '', 'name': 'white onion, diced'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '3', 'unit': 'cups', 'name': 'split peas, rinsed'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, thinly sliced'}, {'quantity': '1', 'unit': '', 'name': 'ham bone'}, {'quantity': '5', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced ham'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Gather the ingredients.. Melt butter and oil in a stockpot or Dutch oven over medium-low heat. Add celery, carrot, onion, and salt; cook and stir until tender, about 5 minutes. Stir in peas and garlic.. Nestle ham bone into the pot; add stock and diced ham. Add enough water so that liquid is about 1 1/2 inches from the top of the pot; bring to a boil.. Reduce heat to low and cover. Simmer, stirring every 30 minutes and scraping the bottom of the pot, until peas are mostly disintegrated, about 2 1/2 hours. Turn ham bone and skim the surface for fat once every hour.. Remove ham bone from the pot and place on a cutting board until cool enough to handle. Remove any meat from the bones and cut into bite-sized pieces; stir into soup until warmed through and season with salt and pepper.","calories: 207, fat: 5g, carbs: 23g, protein: 18g, servings: 8",https://www.allrecipes.com/thmb/rbwpNyYXEYLBnSKZdZzS7HFheJk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1084561-ham-bone-and-green-split-pea-soup-Mark-4x3-1-8655e01b49554e0e8d965b107da28d85.jpg
Canadian Yellow Split Pea Soup with Ham,https://www.allrecipes.com/recipe/234017/canadian-yellow-split-pea-soup-with-ham/,"{'quantity': '1', 'unit': '', 'name': 'ham bone with some meat'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'yellow split peas'}, {'quantity': '5', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '4', 'unit': '', 'name': 'carrots, diced'}, {'quantity': '½', 'unit': 'large', 'name': 'Spanish onion, diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'kosher salt or to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried thyme'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf (Optional)'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper, or to taste'}, {'quantity': '8', 'unit': 'cups', 'name': 'water, or as needed'}","Place ham bone, yellow split peas, celery, carrots, onion, salt, thyme, bay leaf, and pepper into a large pot; pour in water. Bring mixture to a boil and skim off any foam with a spoon.. Reduce heat and place a lid on the pot, slightly ajar to allow some evaporation. Simmer, stirring occasionally, until yellow split peas are tender and soup is thick, about 3 hours.. Remove ham bone from soup; remove meat from ham bone, chop or shred, and return to the pot.","calories: 172, fat: 0g, carbs: 32g, protein: 12g, servings: 12",https://www.allrecipes.com/thmb/lYDhqTPG5ibjUZQ1bgj_yfcVf44=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7957686-canadian-yellow-split-pea-soup-with-ham-JUDYBL-4x3-1-be7c4857824d4b64bbd30eaf56b56b00.jpg
Vegan Split Pea Soup,https://www.allrecipes.com/recipe/16217/vegan-split-pea-soup-i/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '7 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'dried split peas'}, {'quantity': '½', 'unit': 'cup', 'name': 'barley'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'potatoes, diced'}, {'quantity': '3', 'unit': '', 'name': 'carrots, chopped'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Gather all ingredients.. Heat oil in a large pot over medium-high heat. Sauté onion, garlic, and bay leaf in hot oil until onions are translucent, about 5 minutes. Add water, peas, barley, and salt; bring to a boil. Reduce heat to low and simmer for 2 hours, stirring occasionally.. Add potatoes, carrots, celery, parsley, basil, thyme, and pepper. Simmer until peas and vegetables are tender, about 1 hour.","calories: 247, fat: 2g, carbs: 46g, protein: 13g, servings: 10",https://www.allrecipes.com/thmb/l_BazOjUvz0H2qQwHIHXjIAcQlg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16217-vegan-split-pea-soup-ddmfs-3X4-0544-0df034a87fa5451ab4c0a166a93f6778.jpg
Best Ever Split Pea Soup,https://www.allrecipes.com/recipe/23860/best-ever-split-pea/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped carrot'}, {'quantity': '2', 'unit': 'cups', 'name': 'finely chopped celery'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'cup', 'name': 'yellow split peas'}, {'quantity': '1', 'unit': 'cup', 'name': 'green split peas'}, {'quantity': '8', 'unit': 'cups', 'name': 'fat-free chicken broth'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt-free seasoning blend'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Heat oil in a Dutch oven over medium heat. Add onion, carrot, celery, and garlic; cook and stir until onion is translucent, 5 to 7 minutes. Stir in broth, split peas, and seasoning blend; cover and bring to a boil. Reduce heat to low and simmer, stirring frequently, until split peas are tender, about 2 ½ hours.. Puree the soup with an immersion blender and serve.","calories: 133, fat: 2g, carbs: 18g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/GTkltmZ3yqrVG2YHwGgkvaouhSc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23860best-ever-split-peasouplovingnicole4x3-47ccdc0c5166439ab162a1fdc977ce35.jpg
How To Make The Best Split Pea Soup,https://www.allrecipes.com/article/split-pea-soup/,,,,https://cdn.jwplayer.com/v2/media/ElwmJaAz/poster.jpg?width=720
Split Pea and Ham Soup I,https://www.allrecipes.com/recipe/13288/split-pea-and-ham-soup-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'dried split peas'}, {'quantity': '1', 'unit': 'pound', 'name': 'ham bone'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and pepper to taste'}","In a medium pot, saute onions in oil. Add the split peas, ham bone, and enough water to cover ingredients; season with salt and pepper.. Cover, and cook until there are no peas left, just a green liquid, 2 hours. While it is cooking, check to see if water has evaporated. You may need to add more water as the soup continues to cook.. Once the soup is a green liquid remove from heat, and let stand so it will thicken. Once thickened you may need to heat through to serve.","calories: 413, fat: 3g, carbs: 72g, protein: 28g, servings: 4",https://cdn.jwplayer.com/v2/media/GQoX8StK/poster.jpg?width=720
Pressure Cooker Split Pea Soup,https://www.allrecipes.com/recipe/246119/pressure-cooker-split-pea-soup/,"{'quantity': '8', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'pound', 'name': 'dried split peas'}, {'quantity': '1', 'unit': '', 'name': 'ham hock'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'hot pepper sauce (such as Tabasco®) (Optional)'}","Pour water into a pressure cooker. Add split peas, ham hock, onion, celery, thyme, garlic powder, and black pepper. Close cooker securely and place pressure regulator over vent according to manufacturer's instructions. Bring to high pressure; adjust temperature until regulator is gently rocking. Cook, about 30 minutes.. Pour cold water over the pressure cooker to release pressure according to manufacturer's instructions.. Remove ham hock and strip off meat; add to soup. Stir well to distribute flavors. Season with salt and hot pepper sauce.","calories: 364, fat: 8g, carbs: 50g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/CB6i1rGP1eEV1ZMJ8pkhM1Fuplo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9430683-2184c9177bea424a8e8139744b244759.jpg
Split Pea Soup without Pork,https://www.allrecipes.com/recipe/25697/split-pea-soup-without-pork/,"{'quantity': '1', 'unit': 'pound', 'name': 'dried split peas'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, diced'}, {'quantity': '2', 'unit': 'large', 'name': 'carrots, peeled and diced'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'low-fat, low sodium chicken broth'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Rinse and pick through peas. Place them in a large pot with the celery, carrots, broth and water. Bring to a boil, then reduce heat, cover and simmer until peas have fallen apart, 1 to 2 hours. Season with salt and pepper before serving.","calories: 65, fat: 0g, carbs: 11g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/HunRKxL7vaVkfOohT60GIMnM0Ks=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/340071-9b8a53a1ae8b4644a0f11228b8b3751a.jpg
