name,link,ingredients,steps,nutrition,image_url
Shortbread Cookies,https://www.allrecipes.com/recipe/10269/shortbread-cookies-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}",,"calories: 490, fat: 31g, carbs: 49g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/xZ6LFd5w/thumbnails/bLe0svS2.jpg
Spritz Cookies,https://www.allrecipes.com/spritz-cookies-recipe-8415391,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'salted butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '3 1/2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sprinkles,'}, {'quantity': None, 'unit': None, 'name': 'powdered sugar icing (optional)'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'confectioners sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients and preheat the oven to 375 degrees F (190 degrees C).. Beat butter with an electric mixer in a large bowl for 30 seconds.. Add sugar, baking powder, and salt. Beat until combined, scraping sides of bowl occasionally. Beat in egg, vanilla, and almond extract until combined.. Beat in as much of the flour as you can using the mixer. Stir in any remaining flour with a wooden spoon. Force room-temperature dough through a cookie press onto ungreased cookie sheets. If desired, sprinkle cookies with colored sugar or nonpareils.. Bake in the preheated oven until edges are firm but not brown, 6 to 8 minutes. Transfer to wire racks to cool completely.. For powdered sugar icing, combine powdered sugar, milk, and vanilla in a small bowl. If necessary, add more milk, 1 teaspoon at a time, to make icing drizzling consistency.. If desired, drizzle cooled cookies with powdered sugar icing and decorate with sprinkles.","calories: 68, fat: 4g, carbs: 7g, protein: 1g, servings: 72",https://www.allrecipes.com/thmb/cmaEi82wnpD27wdxqUxDUEALrZA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8415391-Spritz-Cookies-beauty-4x3-1979-0b863604daa74eaa8974d0f8a3cd2821.jpg
Butter Rich Spritz Butter Cookies,https://www.allrecipes.com/recipe/25018/butter-rich-spritz-butter-cookies/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'large', 'name': 'egg yolks'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Preheat the oven to 400 degrees F (200 degrees C). Sift flour and salt together; set aside.. Beat butter and sugar together in a medium bowl with an electric mixer until light and fluffy.. Stir in egg yolks, almond extract, and vanilla extract.. Gradually blend in sifted flour mixture.. Fill a cookie press with dough and shoot cookies about 1 ½ inches apart onto an ungreased cookie sheet. If you like, decorate with colored sugar or sprinkles at this time.. Bake cookies for 6 to 8 minutes in the preheated oven; let cool on cookie sheet.. Serve and enjoy!","calories: 97, fat: 5g, carbs: 11g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/t3YCA2Ga/poster.jpg?width=720
Cream Cheese Cookies,https://www.allrecipes.com/recipe/10204/cream-cheese-cookies-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}","Preheat the oven to 325 degrees F (165 degrees C). Lightly grease cookie sheets.. Beat butter, cream cheese, and sugar together in a large bowl with an electric mixer until light and fluffy. Beat in egg yolk and vanilla. Stir in flour until well blended. Drop dough by spoonfuls or use a cookie press to place onto prepared cookie sheets. If using floral cookie press design, make an indentation in the center with a thimble, fill with preserves, or press candy into center.. Bake in the preheated oven for 15 minutes. Cookies will still be pale. Cool cookies on baking sheets. They will harden slightly as they cool.","calories: 54, fat: 3g, carbs: 6g, protein: 1g, servings: 72",https://www.allrecipes.com/thmb/MtpVOK9Xx7ocLMM_8ZPmjeAw20Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10204-cream-cheese-cookies-Bubblicious-4x3-42109c20337246cb8f2d26622db726b4.jpg
Butter Cookies,https://www.allrecipes.com/recipe/10011/butter-cookies-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2 ⅔', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Beat butter and sugar together in a large bowl with an electric mixer until light and fluffy. Beat in egg, then stir in the vanilla. Combine flour and salt in a separate bowl; add to butter mixture and mix to form a dough. Cover dough with plastic wrap and chill for at least one hour.. Preheat the oven to 400 degrees F (200 degrees C). Chill two cookie sheets.. Transfer chilled dough to a cookie press; press out onto chilled cookie sheets.. Bake in the preheated oven until lightly golden at the edges, about 8 to 10 minutes. Transfer cookies to wire racks to cool.","calories: 103, fat: 5g, carbs: 13g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/Cji33DFO/poster.jpg?width=720
Langues de Chat,https://www.allrecipes.com/recipe/10899/langues-de-chat/,"{'quantity': '9', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '3', 'unit': '', 'name': 'egg whites'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '6', 'unit': '(1 ounce) squares', 'name': 'semisweet chocolate, melted'}","Preheat the oven to 400 degrees F (200 degrees C). Lightly grease baking sheets.. In a medium bowl, cream together butter and 1/2 cup plus 2 tablespoons sugar until smooth. Beat in the egg whites one at a time until batter is light and fluffy. Stir in the vanilla. Mix in the flour just until blended. Dough will be a little stiff.. Using a cookie press or a pastry bag with a medium star tip, press dough onto prepared baking sheet into 3-inch lengths, like a ladyfinger.. Bake cookies in preheated oven until straw-colored, about 10 minutes. Cool on wire rack.. When cookies are cool, dip one end of each cookie in melted chocolate and place on wax paper until chocolate hardens. Store in a cool place.","calories: 83, fat: 4g, carbs: 10g, protein: 1g, servings: 36",https://www.allrecipes.com/thmb/fNPJ87ZlkwidoAV2kqBE6lXyhCk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2104851-fd166648a1404406815d53323e087279.jpg
Cookie Press Butter Cookies,https://www.allrecipes.com/recipe/11141/cookie-press-butter-cookies/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'egg yolks'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '3 ¾', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '', 'name': 'egg whites'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}","Cream together the butter and sugar until light and fluffy. Mix in the egg yolks, 2 tablespoons water, flour, salt and vanilla. Chill the dough.. Preheat the oven to 400 degrees F (205 degrees C).. Fill the cookie press and shape the cookies on an ungreased baking sheet. Brush the top of each cookie with the egg whites mixed with 2 tablespoons of the water. Decorate as desired.. Bake at 400 degrees F (205 degrees C) until the cookies are golden brown on top, about 10 minutes.","calories: 106, fat: 6g, carbs: 12g, protein: 1g, servings: 48",https://www.allrecipes.com/thmb/3r05aWC3hsEQN13OXdLVdhVz97s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/27265-405cb3953e6e48a287d078deed940afc.jpg
Cookie Press Shortbread,https://www.allrecipes.com/recipe/10003/cookie-press-shortbread/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornstarch'}","Preheat the oven to 350 degrees F (175 degrees C).. Cream together butter, confectioners' sugar, and vanilla in a medium bowl with an electric mixer until smooth. Stir in flour and cornstarch. Pop dough into your cookie press, and away you go! Press cookies out onto ungreased cookie sheets.. Bake for 8 to 10 minutes in the preheated oven, or until the peaks are golden.","calories: 116, fat: 8g, carbs: 11g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/hWFQ7vSdsJygNpqveDiQDxXYN5k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5993253-7fca5ae6c8ab4fe7b852031403910ecc.jpg
Our 10 Best Spritz Cookie Recipes,https://www.allrecipes.com/gallery/our-best-spritz-cookie-recipes/,,,,https://www.allrecipes.com/thmb/8URz30lES41uDoxmeDFmnHGHU58=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5921844-51d2aa500d664119bb1df1ec67dcad1e.jpg
Snowflake Spritz Cookies,https://www.allrecipes.com/recipe/15235/butter-snow-flakes/,"{'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': None, 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}","Preheat the oven to 350 degrees F (175 degrees C). Sift together flour, salt, and cinnamon; set aside.. Cream together butter and cream cheese in a medium bowl. Add sugar and egg yolk; beat until light and fluffy. Stir in vanilla and orange zest. Gradually blend in the dry ingredients. Fill a Spritz snowflake cookie press or pastry bag with dough and form cookies on an ungreased cookie sheet.. Bake in the preheated oven until the cookies are golden brown on the peaks and on the bottoms, 12 to 15 minutes. Remove from cookie sheets at once to cool on wire racks.","calories: 105, fat: 6g, carbs: 12g, protein: 1g, servings: 36",https://cdn.jwplayer.com/v2/media/QajnAwSO/poster.jpg?width=720
Spritz Cookies II,https://www.allrecipes.com/recipe/10056/spritz-cookies-ii/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '3', 'unit': '', 'name': 'egg yolks'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Mix the butter or margarine, sugar, egg yolks and vanilla. Add the flour and mix by hand.. Spoon into cookie press and press onto ungreased cookie sheets. Sprinkle with colored sugars.. Bake in preheated 400 degrees F (200 degrees C) oven for 7-10 minutes.","calories: 144, fat: 8g, carbs: 16g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/ClJojta6/poster.jpg?width=720
Chocolate Press Cookies,https://www.allrecipes.com/recipe/46740/chocolate-press-cookies/,"{'quantity': '⅝', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'beaten egg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'multicolored candy sprinkles (Optional)'}","Preheat the oven to 350 degrees F (175 degrees C).. In a medium bowl, cream together the shortening and sugar until smooth. Beat in the egg, and stir in vanilla and milk. Combine the flour, cocoa, and salt; stir into the creamed mixture until just blended. Fill cookie press, and press onto ungreased baking sheets. Decorate with sprinkles if desired.. Bake for 10 minutes in the preheated oven. Remove from baking sheets to cool on wire racks.","calories: 84, fat: 3g, carbs: 13g, protein: 1g, servings: 45",https://www.allrecipes.com/thmb/UIhNCczinz623R3uGpoxb3aoQ1A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/53684-38a03054d53e4fd1813f39cf1986dd41.jpg
Swedish Ground Almond Spritz Cookies,https://www.allrecipes.com/recipe/50859/swedish-ground-almond-spritz-cookies/,"{'quantity': '¾', 'unit': 'cup', 'name': 'blanched slivered almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}","Preheat the oven to 350 degrees F (175 degrees C). Spread the almonds out on a baking sheet. Bake in the preheated oven for 10 to 15 minutes, until lightly browned or until they give off an aroma. Remove from the oven, and allow to cool completely. Grind to a consistency resembling rough sand in a food processor or blender. Be sure almonds are cool, or you will make almond butter.. In a medium bowl, cream together the butter and sugar until light and fluffy. Beat in the egg, then stir in the almond extract and milk. Sift in the flour, baking powder and salt, and mix in along with the ground toasted almonds to form a soft dough. Refrigerate the dough for 15 to 20 minutes. This will help the cookies keep their shape after pressing.. Lightly grease cookie sheets, and fill cookie press with dough. Press out cookies at least 1 inch apart depending on the size. You can experiment with different cookie designs. I've found most true Swedes tend to use the star shape, however, you're free to use whatever shape suits your fancy.. Bake for 8 to 10 minutes in the preheated oven, until cookies are lightly browned. Cool on the cookie sheets for a minute before transferring to a wire rack to cool completely.","calories: 84, fat: 5g, carbs: 9g, protein: 1g, servings: 48",https://www.allrecipes.com/thmb/uEdb35DuG_GYD3XlnXNX22ylUiE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/228875-c2f122b83e2548c0b4d53ddc429ae7d1.jpg
Chocolate Spritz (Cookie Press),https://www.allrecipes.com/recipe/232870/chocolate-spritz-cookie-press/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}","Preheat oven to 375 degrees F (190 degrees C).. Beat butter in a large mixing bowl using an electric mixer until creamy; add sugar, cocoa powder, and baking powder. Beat until combined. Scrape sides of bowl down if needed. Stir egg and vanilla extract into butter mixture until just combined; mix in flour.. Fill the cookie press with dough; press cookies onto an ungreased baking sheet.. Bake in the preheated oven until edges of cookies are lightly browned, 8 to 10 minutes.","calories: 58, fat: 3g, carbs: 6g, protein: 1g, servings: 84",https://www.allrecipes.com/thmb/1_KRxxoHpityAln6mFZm3Xn-wjQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1025638-7f51c48bb3cf4f9686bd147b87a25ba9.jpg
