name,link,ingredients,steps,nutrition,image_url
7 Traditional Irish Soda Bread Recipes That Have Stood The Test of Time,https://www.allrecipes.com/gallery/traditional-irish-soda-bread/,,,,https://www.allrecipes.com/thmb/AXzQ-Kyka6TIUwvERtLdWuFigt0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/808386-c6ecac42eaaa47a19a66133c402611ba.jpg
Chef John's 14 Best St. Patrick's Day Recipes,https://www.allrecipes.com/gallery/chef-john-best-st-patricks-day-recipes/,,,,https://www.allrecipes.com/thmb/_oeLZOW7e6g_7_eFV2wm0788uKM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9099724-chef-johns-corned-beef-and-cabbage-Wendy-Evelyn-Purcell-DeRose-1x1-1-2c69d6b667124caaaede86c69a80528a.jpg
8 Ways to Make Irish Colcannon,https://www.allrecipes.com/gallery/colcannon-recipes/,,,,https://www.allrecipes.com/thmb/scEpJhTWQ5FiON9kGP89WN5JgCA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2432844-c408ddfc565e4b7788a26694dc978fc9.jpg
10 St. Patrick's Day Cheesecake Recipes,https://www.allrecipes.com/gallery/st-patricks-day-cheesecake-recipes/,,,,https://www.allrecipes.com/thmb/m7akueDoqgbTACJ6ToJUJV5KcEY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/262194_white-chocolate-and-matcha-cheesecake-tart_Elis-Hackmann-Pereira-bcfb12e3855a4479ba78298e8105c555.jpg
Our Top-Rated Corned Beef Recipes,https://www.allrecipes.com/gallery/best-corned-beef-recipes/,,,,https://www.allrecipes.com/thmb/NuAvOjTgtoKrAkGsk_37EGJkKHg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1387771-99dda80da8664fe198f2c6b68be65a17.jpg
Amazingly Easy Irish Soda Bread,https://www.allrecipes.com/recipe/16947/amazingly-easy-irish-soda-bread/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'margarine or butter, softened'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '¼', 'unit': 'cup', 'name': 'buttermilk'}",,"calories: 172, fat: 7g, carbs: 23g, protein: 3g, servings: 20",https://cdn.jwplayer.com/v2/media/vIgOpfq9/poster.jpg?width=720
Here's What Irish People Actually Eat on St. Patrick's Day,https://www.allrecipes.com/gallery/traditional-st-patricks-day-food/,,,,https://www.allrecipes.com/thmb/V9vU6605Wt05zdVjAPcMq1sV8_o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3553277-12341cc3e4424111923d689b5f8ecdf9.jpg
13 Irish Appetizer Recipes For St. Patrick's Day,https://www.allrecipes.com/gallery/irish-appetizer-recipes/,,,,https://www.allrecipes.com/thmb/ZmLQMa3ZJcxDojvKwPjScc4cTvE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/220556-guinnessbeercheesedip-ar-feb-mar-2000-46a42891c49144eb8d251c7ad716d1bf.jpg
Our Favorite Instant Pot Dishes for St. Patrick's Day,https://www.allrecipes.com/gallery/instant-pot-recipes-st-patricks-day/,,,,https://www.allrecipes.com/thmb/a-i7x5bAbznist_D37BTCyOdXtY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6355170-7d52fee5e6a9468ca41f0bc85998bfd4.jpg
Chocolate Stout Cake,https://www.allrecipes.com/chocolate-stout-cake-recipe-8426369,"{'quantity': '2', 'unit': 'cups', 'name': 'dark chocolate chips ('}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'light corn syrup'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rish cream liqueur ('}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1 (11.2', 'unit': 'ounce) bottle', 'name': 'stout beer ('}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dark brown sugar'}, {'quantity': '1 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'cocoa powder ('}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream, at room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Make frosting: Place dark chocolate chips in a large bowl; set aside.. Combine 1 1/2 cups white sugar, water, and corn syrup in a light colored, tall-sided saucepan. Place pan over medium heat and cook until mixture begins to turn a deep amber color, swirling pan often to combine ingredients; about 15 minutes. Remove pan from heat and carefully pour in heavy cream (mixture will bubble up rapidly and then seize, this is ok). Place pan back over low heat and bring to a boil, stirring constantly. Allow mixture to boil for 5 minutes, stirring constantly, then immediately pour caramel over the chocolate chips. Allow mixture to stand for 1 minute.. Gently stir until chocolate is melted and smooth. Add in 2 teaspoons vanilla and Irish Cream and mix until combined. Add in butter 1 tablespoon at a time, making sure each addition is fully incorporated before adding the next, until all 3 tablespoons of butter are incorporated. Loosely cover bowl with a kitchen towel and set aside to cool to room temperature, stirring occasionally (this will take 4 to 6 hours).. Combine stout beer and 1 tablespoon dark brown sugar in a saucepan set over medium heat. Bring to a simmer, stirring occasionally, until mixture has reduced to 1 cup, 8 to 10 minutes. Remove from heat and allow to cool to room temperature, about 20 minutes.. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour 2 (9-inch) round cake pans.. Sift together flour, cocoa powder, baking powder, baking soda, and 3/4 teaspoon salt; set dry ingredients aside.. Beat 1/2 cup unsalted butter, vegetable oil, 1 cup dark brown sugar, and 1/2 cup white sugar together in a large bowl or the bowl of a stand mixer until light and fluffy, 3 to 4 minutes. Add in eggs 1 at a time, beating well after each addition, and scraping down the sides of the bowl as needed. Beat mixture on medium-high speed for 4 to 5 additional minutes after adding in the last egg. Mix in sour cream and 2 teaspoons vanilla extract.. Pour in half of dry ingredients and mix on low until just combined. Pour in cooled stout mixture and mix until just combined. Add in remaining dry ingredients and mix until just combined.. Divide batter evenly between the 2 prepared cake pans. Tap pans on the counter several times to remove any larger air bubbles.. Bake in the preheated oven and until the tops of the cakes spring back lightly when touched, 30 to 35 minutes. Allow cakes to cool in pans for 20 to 30 minutes before removing to a wire rack to cool completely, about 1 hour.. Once cakes and frosting are both cooled, place one cake layer on a serving platter. Top with about 1 cup frosting; spread it into an even layer. Top with remaining cake. Pour remaining frosting over the top of the cake and smooth over top and sides of cake until completely frosted on all sides.","calories: 759, fat: 39g, carbs: 92g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/dWI-yMofI4UwMEnNe-6USi0NnKI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8426369_Chocolate-Stout-Cake-with-Chocolate-Caramel-Frosting_Kim-Shupe_4x3-4087095180444d999df5e0de0730045d.jpg
