name,link,ingredients,steps,nutrition,image_url
Fresh Strawberry Pie with Jell-O,https://www.allrecipes.com/recipe/12156/fresh-strawberry-pie-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '2 ½', 'unit': 'quarts', 'name': 'fresh strawberries, hulled'}, {'quantity': '2', 'unit': '(8 inch)', 'name': 'pie shells, baked'}, {'quantity': '1', 'unit': '(3 ounce) package', 'name': 'strawberry-flavored gelatin mix'}","Whisk sugar and cornstarch together in a saucepan until completely blended. Pour in boiling water and cook over medium heat until mixture thickens and is clear in color, 5 to 10 minutes.. Remove from heat and stir in gelatin mix until smooth. Let mixture cool to room temperature, 15 to 30 minutes.. While the mixture is cooling, place strawberries into baked pie shells with the points facing up.. Pour cooled gelatin mixture over strawberries and refrigerate until set, about 2 hours.","calories: 167, fat: 4g, carbs: 32g, protein: 2g, servings: 16",https://www.allrecipes.com/thmb/NwTpCZcgSsZBxThjAU5myJ408XQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/641803-de3a920f62484515becb4c30d5aca118.jpg
Strawberry Pie,https://www.allrecipes.com/recipe/15836/strawberry-pie-ii/,"{'quantity': '1', 'unit': 'quart', 'name': 'fresh strawberries, hulled'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'pie crust, baked'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}","Gather all ingredients.. Arrange 1/2 of strawberries in baked pastry shell. Place remaining strawberries in a medium saucepan.. Add sugar to the strawberries in the saucepan; place over medium heat and bring to a boil, stirring frequently.. Whisk cornstarch and water together in a small bowl. Gradually stir cornstarch mixture into boiling strawberry mixture. Reduce heat and simmer mixture until thickened, about 10 minutes, stirring constantly.. Pour cooked strawberry mixture over berries in pastry shell. Refrigerate until chilled and set, at least 3 hours.. Before serving, whip cream in a medium bowl until soft peaks form.. Serve each slice of pie with a dollop of whipped cream. Enjoy!","calories: 265, fat: 11g, carbs: 42g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/QvsBqsYy/thumbnails/RCuckHZR.jpg
Strawberry Rhubarb Cream Pie,https://www.allrecipes.com/recipe/19453/strawberry-rhubarb-cream-pie/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '3', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped rhubarb'}, {'quantity': '3', 'unit': 'cups', 'name': 'halved fresh strawberries'}, {'quantity': '1', 'unit': 'recipe', 'name': 'pastry for a 9 inch double crust pie'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}","Preheat oven to 400 degrees F (200 degrees C).. In a large bowl, mix together sugar, flour, and nutmeg. Stir in eggs. Fold in rhubarb making sure to coat well, then do the same with the strawberries. Pour mixture into pie crust. Place second crust on top being sure to cut slits into it to vent steam. Brush egg white on top crust.. Bake for 50 to 60 minutes in the preheated oven, until rhubarb is tender, and crust is golden.","calories: 314, fat: 8g, carbs: 60g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/Og9cYXUbxJFg23iS_RLagfhvmPI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/19453StrawberryRhubarbCreamPieKim4x3-dd9650deb85246dc9f43e444c713f0b9.jpg
Strawberry Rhubarb Pie,https://www.allrecipes.com/recipe/12612/rhubarb-and-strawberry-pie/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pound', 'name': 'rhubarb, cut into 1/4 inch slices'}, {'quantity': '2', 'unit': 'pints', 'name': 'strawberries, hulled and quartered'}, {'quantity': '1', 'unit': 'recipe', 'name': 'pastry for a 9 inch double crust pie'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar for sprinkling'}",,"calories: 437, fat: 19g, carbs: 64g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/OtHJgy9S/poster.jpg?width=720
No Bake Sugar Free Strawberry Cheesecake,https://www.allrecipes.com/recipe/215589/no-bake-sugar-free-strawberry-cheesecake/,"{'quantity': '¾', 'unit': 'cup', 'name': 'graham cracker crumbs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'cheesecake flavor sugar-free instant pudding mix'}, {'quantity': '2', 'unit': 'pints', 'name': 'fresh strawberries, sliced'}","Gather all ingredients.. Combine graham cracker crumbs, melted butter, cinnamon, and nutmeg in a bowl.. Press the mixture into an 8-inch pie dish; refrigerate while making the filling.. Beat cream cheese in a mixing bowl with an electric mixer on medium speed until softened.. Reduce speed to slow; gradually beat in milk (the mixture will be watery).. Use a rubber spatula to scrape cream cheese from the sides of the bowl, if necessary. Beat in pudding mix until the filling is thick and smooth.. Spoon 1/2 of the cream cheese filling onto the bottom of prepared crust. Spread 1/2 of the strawberries over the filling; repeat with remaining filling and strawberries.. Chill pie in refrigerator until filling is set, at least 1 hour.","calories: 312, fat: 21g, carbs: 25g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/2vtz-qdn7vtRw1DsOeiVYj9w98g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM_215589-NoBakeSugarFreeStrawberryCheesecake-ddmfs-3x4-6133-730f51a0698a4af4a1c5678f26019b07.jpg
Old-Fashioned Strawberry Pie,https://www.allrecipes.com/recipe/12468/old-fashioned-strawberry-pie/,"{'quantity': '2', 'unit': '(9-inch)', 'name': 'unbaked pie crusts'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '4', 'unit': 'cups', 'name': 'fresh strawberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, cut into pieces'}","Preheat the oven to 425 degrees F (220 degrees C). Place 1 crust in the bottom of a 9-inch pie pan.. Combine sugar, flour, and cinnamon in a bowl. Mix lightly through strawberries.. Pour filling into the pastry-lined pan and dot with butter pieces. Cover with top crust and cut slits in the top to vent. Seal and flute the edges.. Bake in the preheated oven until the crust is slightly browned, 35 to 45 minutes.","calories: 412, fat: 17g, carbs: 63g, protein: 3g, servings: 8",https://www.allrecipes.com/thmb/tQrF_3GZh6zBC3nKaCos5qWACj4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12468-Old-Fashioned-Strawberry-Pie-naples34102_5206296_original-4x3-1-105565a8ae924b56908a4554e54308bd.jpg
DanDan's Strawberry Cream Pie,https://www.allrecipes.com/recipe/231938/dandans-strawberry-cream-pie/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'cup', 'name': 'sliced fresh strawberries, mashed'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced fresh strawberries'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}","Beat together cream cheese, white sugar, and vanilla in a large bowl until smooth. Stir in 3/4 cup mashed strawberries until well combined.. Beat together heavy cream and confectioners' sugar in a glass or metal bowl until stiff peaks form. Fold whipped cream into cream cheese mixture until evenly mixed; fold in 1/4 cup sliced strawberries.. Spoon strawberry mixture into graham cracker crust. Chill in the refrigerator for at least 3 hours before serving.","calories: 395, fat: 28g, carbs: 33g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/0igqAXyyvibsEYEntLZB2bfhAZ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2232889-41aa777d0d6542e288f800b92e117fc2.jpg
Strawberry Tarts,https://www.allrecipes.com/recipe/12334/strawberry-tarts/,"{'quantity': '12', 'unit': '(4-inch)', 'name': 'prepared tart shells, baked'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'apple juice'}, {'quantity': '3', 'unit': 'cups', 'name': 'fresh strawberries, hulled'}","To make the glaze: Blend sugar, cornstarch, and salt together; stir into apple juice. Cook over medium heat, stirring constantly, until smooth and thick. Allow to cool for 10 minutes.. Brush a small amount of glaze over the bottom of each pastry crust. Arrange strawberries on top of glaze, slicing if necessary to fit. Spoon remaining glaze carefully over strawberries, covering them well.. Chill strawberry tarts for 2 to 4 hours.","calories: 122, fat: 3g, carbs: 24g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/ToJceAqydxq7THBf8b1x6LiBlFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12334-strawberry-tarts-Nancy-Gilbraith-4x3-fa655a9193be4b638a39ce74e846a6c5.jpg
Strawberry Rhubarb Custard Pie,https://www.allrecipes.com/recipe/223069/strawberry-rhubarb-custard-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '3', 'unit': 'cups', 'name': 'rhubarb, sliced 1/4-inch thick'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh strawberries, quartered'}, {'quantity': '3', 'unit': '', 'name': 'large eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly grated nutmeg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, diced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'strawberry jam'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'water'}","Preheat the oven to 350 degrees F (175 degrees C). Place rolled-out pie crust in a 9-inch pie plate and set on a baking sheet lined with parchment paper or a silicone baking mat.. Combine rhubarb and strawberries in a bowl; transfer to the pie crust, distributing evenly.. Whisk eggs, sugar, milk, flour, and nutmeg together in a medium bowl. Slowly pour filling over rhubarb mixture until it just reaches the top edge of the crust. Scatter diced butter evenly over the top of the filling. Lightly tap and shake the baking sheet to remove any air bubbles.. Transfer pie to the preheated oven and bake, turning halfway through, until rhubarb is tender and custard is set, about 1 hour.. Mix strawberry jam and water in a small bowl; heat in the microwave until warm, about 15 seconds. Glaze the top of the pie with the jam mixture and let cool. Refrigerate until ready to serve.","calories: 342, fat: 11g, carbs: 57g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/qEEH1vcd/poster.jpg?width=720
Strawberry Glazed Pie,https://www.allrecipes.com/recipe/12641/strawberry-glazed-pie/,"{'quantity': '6', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'strawberry flavored Jell-O'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'prepared graham cracker crust'}","Mix sugar, water, gelatin, and cornstarch together in a medium large saucepan. Boil for one minute, then remove from heat.. Fold in sliced strawberries, toss until well coated. Pour into prepared graham cracker crust.. Chill until well set, about 2 to 4 hours. Serve topped with whipped cream.","calories: 279, fat: 8g, carbs: 52g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/13glFKe-_uEawpejTFxyfYHL8mI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3448829-58dfec2187084731a4784e3fdc5cf956.jpg
