name,link,ingredients,steps,nutrition,image_url
Frangipane Strawberry Shortcake,https://www.allrecipes.com/frangipane-strawberry-shortcake-recipe-8649786,"{'quantity': '1/2', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, at room temperature'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'almond flour'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sliced almonds'}, {'quantity': '2', 'unit': 'pounds', 'name': 'strawberries'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'sugar'}",,"calories: 765, fat: 43g, carbs: 92g, protein: 12g, servings: 4",https://cdn.jwplayer.com/v2/media/h1EZTPjn/thumbnails/0N8XZXlr.jpg
Classic Strawberry Shortcakes,https://www.allrecipes.com/recipe/179358/classic-strawberry-shortcakes/,"{'quantity': '1', 'unit': 'quart', 'name': 'fresh strawberries, sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '2 ⅓', 'unit': 'cups', 'name': 'Original Bisquick mix'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '½', 'unit': 'cup', 'name': 'whipping cream'}","Preheat the oven to 425 degrees F (220 degrees C). Mix strawberries and 1/4 cup sugar in a large bowl; set aside.. Stir Bisquick mix, milk, 3 tablespoons sugar, and butter in a medium bowl until soft dough forms. Drop dough by 6 spoonfuls onto an ungreased cookie sheet.. Bake in the preheated oven until golden brown, 10 to 12 minutes. Meanwhile, beat whipping cream in a medium bowl with electric mixer on high speed until soft peaks form.. Split warm shortcakes; fill and top with strawberries and whipped cream.","calories: 409, fat: 21g, carbs: 53g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/b7ERcOdmtLYeUPHIFHHNkU83aDU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3553249-classic-strawberry-shortcakes-CoOkInGnUt-4x3-1-3eacefeefbc143238b7982c5722a4305.jpg
Strawberry Shortcake,https://www.allrecipes.com/recipe/8201/strawberry-shortcake/,"{'quantity': '6', 'unit': 'cups', 'name': 'fresh strawberries'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter cold unsalted butter, cut into ½-inch pieces'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '¾', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract, divided'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'whipped heavy cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'powdered sugar'}",,"calories: 430, fat: 21g, carbs: 55g, protein: 7g, servings: 8",https://cdn.jwplayer.com/v2/media/QJyazRDl/thumbnails/6c2SJVdN.jpg
Super Easy Shortcake Biscuits,https://www.allrecipes.com/recipe/280491/super-easy-strawberry-shortcake-biscuits/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin tin.. Mix flour, sugar, baking powder, and salt together in a bowl. Cut in shortening and mix to combine.. Beat eggs in a separate bowl and mix in milk to combine. Add to the dry ingredients and mix until moistened. Pour batter evenly into each of the prepared muffin cups and transfer to the oven as quickly as possible.. Bake in the preheated oven until golden brown, about 20 minutes.","calories: 232, fat: 10g, carbs: 30g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/Rh-cCKycpw22MU12eCmtP2-oeII=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5561908-bceda2512745496ebcca1a2e6cdf9e3d.jpg
Easy Strawberry Shortcake,https://www.allrecipes.com/recipe/241997/easy-strawberry-shortcake/,"{'quantity': '1', 'unit': 'quart', 'name': 'fresh strawberries, sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'prepared sponge cake dessert cups'}, {'quantity': '1', 'unit': '(7 ounce) can', 'name': 'whipped cream, or to taste'}","Place strawberries in a bowl; add sugar and stir to coat. Cover and refrigerate until sugar has dissolved, about 15 minutes.. Place 1 dessert cup in each serving bowl and smother with strawberries. Top each with whipped cream.","calories: 311, fat: 9g, carbs: 55g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/d16L0qL8HNRRy8iH69QOHzJuCpI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2211487-022223aa32a94de38ec2b31ea389fd97.jpg
Buttermilk Strawberry Shortcake,https://www.allrecipes.com/recipe/220168/buttermilk-strawberry-shortcake/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chilled unsalted butter, cut into small pieces'}, {'quantity': '1', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'turbinado sugar'}, {'quantity': '8', 'unit': 'cups', 'name': 'sliced fresh strawberries'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}","Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper.. Whisk flour, baking powder, baking soda, 1/3 cup white sugar, and salt together in a mixing bowl.. Cut in cold butter with a knife or pastry blender until the mixture resembles coarse crumbs.. Stir in buttermilk until the flour mixture is moistened.. Drop 1/3-cup scoops of the dough 2 inches apart onto the prepared baking sheet.. Brush biscuits with heavy cream and sprinkle generously with turbinado sugar.. Bake in the preheated oven until golden brown, 15 to 20 minutes.. Mix sliced strawberries, 1/4 cup white sugar, and lemon juice in a large bowl. Allow berries to rest until juices develop, about 30 minutes.. Serve strawberries with juice over the baked biscuits.","calories: 322, fat: 13g, carbs: 48g, protein: 5g, servings: 12",https://cdn.jwplayer.com/v2/media/cJlKCaWv/poster.jpg?width=720
"Red, White, and Blue Strawberry Shortcake",https://www.allrecipes.com/recipe/22987/red-white-and-blue-strawberry-shortcake/,"{'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'yellow cake mix'}, {'quantity': '1', 'unit': '(8 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '1', 'unit': 'pint', 'name': 'blueberries, rinsed and drained'}, {'quantity': '2', 'unit': 'pints', 'name': 'fresh strawberries, rinsed and sliced'}","Prepare cake according to package directions and bake in a 9x13-inch pan. Cool completely.. Frost cake with whipped topping. Place blueberries in a square in the corner, and arrange sliced strawberries as stripes to make an American flag. Chill until serving.","calories: 182, fat: 6g, carbs: 31g, protein: 2g, servings: 18",https://cdn.jwplayer.com/v2/media/nz3Yf9yy/poster.jpg?width=720
Skillet Strawberry Shortcake,https://www.allrecipes.com/recipe/283707/skillet-strawberry-shortcake/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'cold buttermilk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '12', 'unit': 'tablespoons', 'name': 'cold unsalted butter, cubed'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced strawberries'}, {'quantity': '4', 'unit': 'cups', 'name': 'ripe strawberries, hulled and quartered'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, zested'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar, or more to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 400 degrees F (200 degrees C). Lightly grease a 10-inch cast iron skillet; line the bottom with a round of parchment paper.. Whisk flour, sugar, baking powder, and salt for shortcake together in a large mixing bowl. Whisk buttermilk, egg yolk, and vanilla together in a glass measuring cup until evenly combined; set aside.. Scatter the butter pieces over the flour mixture. Use a rubbing motion with your fingertips and cut the butter into the flour mixture to distribute. Create a well in the center of the flour mixture. Pour the buttermilk mixture into the center of the well. Use a rubber spatula to mix the flour into the buttermilk mixture to form a moist, shaggy dough.. Transfer the dough to the prepared skillet. Smooth the dough to distribute evenly in the pan. Press the sliced strawberries gently into the surface.. Bake in the preheated oven until golden brown and baked through, 25 to 30 minutes. Cool for 10 minutes.. To prepare the topping, stir together the quartered strawberries, sugar, and lemon zest in a medium mixing bowl to macerate.. To prepare the whipped cream, combine whipping cream, sugar, and vanilla in a chilled mixing bowl. Using an electric mixer fitted with a whisk attachment, beat at medium speed until soft peaks form.. Spoon the strawberries and juices over the shortcake. Serve with whipped cream.","calories: 363, fat: 20g, carbs: 43g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/lNQvwHRWL8PHdwmPKD2yG_7EYuM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9110310-bdc80dd8796845b8884241cadf747756.jpg
Old-Fashioned Strawberry Shortcake,https://www.allrecipes.com/recipe/228308/old-fashioned-strawberry-shortcake/,"{'quantity': '1', 'unit': 'quart', 'name': 'strawberries, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable shortening'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons unsalted', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'whipped cream'}","Combine strawberries and 1 cup sugar in a bowl; allow to stand while completing remaining steps, stirring occasionally to help juices form.. Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch round baking pan.. Combine flour, 2 tablespoons sugar, baking powder, and salt in a bowl; cut in shortening with 2 knives or pastry blender until the mixture resembles coarse crumbs. Stir milk into crumb mixture until just blended; pour into prepared baking pan.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 15 to 20 minutes; cool in the pan for 10 minutes before removing shortcake.. Split shortcake into two layers. Spread bottom layer with 2 tablespoons softened butter; top with strawberries and juice. Place top layer over strawberries. Serve with whipped cream.","calories: 391, fat: 15g, carbs: 61g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/qHVh0eINyl2PnR6ESFTBABq0yrY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4509389-old-fashioned-strawberry-shortcake-Dixie-4x3-1-280dfc76becb4279bfb46729cb01c0d9.jpg
Chocolate Strawberry Shortcake,https://www.allrecipes.com/recipe/16029/chocolate-strawberry-shortcake/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cocoa powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'pints', 'name': 'strawberries, sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(12 ounce) container', 'name': 'frozen whipped topping, thawed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chocolate syrup'}","Preheat the oven to 400 degrees F (200 degrees C). Grease two 9-inch layer pans.. In a large mixing bowl, combine flour, 1/3 cup sugar, cocoa, baking powder, baking soda, and salt. Cut in butter until mixture resembles coarse crumbs. Add milk, mixing until just moistened. Spread batter evenly into the prepared layer pans.. Bake in the preheated oven for 15 minutes, or until a toothpick inserted in the center comes out clean. Cool.. Meanwhile, in a medium mixing bowl, combine strawberries and remaining 1/4 cup sugar. Let mixture stand for 10 minutes.. Remove shortcake layers from the pans. Place one layer on a serving plate; cover with 1/2 of the of strawberry mixture and 1/2 of the whipped topping. Place remaining shortcake layer on top, then remaining strawberry mixture and remaining whipped topping. Drizzle chocolate syrup over top.","calories: 313, fat: 16g, carbs: 41g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/amJMeRyHCsuSbY1BGTx7ODI4lEQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8258721-e2772f8b864c43af9f4901b48e95c5db.jpg
