name,link,ingredients,steps,nutrition,image_url
Mouth-Watering Stuffed Mushrooms,https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/,"{'quantity': '12', 'unit': '', 'name': 'whole fresh mushrooms'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}",,"calories: 90, fat: 8g, carbs: 2g, protein: 2g, servings: 12",https://cdn.jwplayer.com/v2/media/isKi7wrN/thumbnails/onJ8NWjv.jpg
Stuffed Cream Cheese Mushrooms,https://www.allrecipes.com/recipe/240406/stuffed-cream-cheese-mushrooms/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '12', 'unit': '', 'name': 'whole fresh mushrooms, tough ends trimmed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a baking sheet with cooking spray.. Clean mushrooms with a damp paper towel. Carefully break stems from mushrooms. Finely chop stems and set caps aside.. Heat oil in a large skillet over medium heat. Fry chopped mushroom stems and garlic in hot oil until any moisture has disappeared, taking care not to burn the garlic, 3 to 5 minutes. Spread mushroom mixture into a bowl to cool completely, about 10 minutes.. Stir cream cheese, Parmesan cheese, black pepper, onion powder, and cayenne pepper into the cooled mushroom mixture until very thick and completely mixed. Use a small spoon to fill each mushroom cap with a generous amount of stuffing. Arrange stuffed mushrooms on the prepared cookie sheet.. Bake in the preheated oven until piping hot and liquid starts to form under each cap, about 20 minutes.","calories: 176, fat: 16g, carbs: 3g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/URRuubfF/poster.jpg?width=720
Crab-Stuffed Mushrooms,https://www.allrecipes.com/recipe/12751/crab-stuffed-mushrooms/,"{'quantity': '7', 'unit': 'ounces', 'name': 'canned crabmeat, rinsed'}, {'quantity': '5', 'unit': '', 'name': 'green onions, thinly sliced'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried oregano or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground savory or to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh mushrooms'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'paprika'}","Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C).. Combine crabmeat, green onions, thyme, oregano, savory, and pepper in a medium bowl. Mix in mayonnaise and 1/4 cup Parmesan until well combined. Refrigerate filling until ready to use.. Wipe mushrooms clean with a damp towel. Remove stems. Spoon out the gills and the base of the stem, making deep cups. Discard gills and stems.. Fill mushroom caps with rounded teaspoonfuls of filling and place them in an ungreased shallow baking dish. Sprinkle tops with Parmesan and paprika.. Bake mushrooms in preheated oven until heated through, about 15 minutes.. Serve hot. Enjoy!","calories: 166, fat: 12g, carbs: 6g, protein: 10g, servings: 6",https://cdn.jwplayer.com/v2/media/bQL9XUZO/thumbnails/hgTGyfM7.jpg
Easy Sausage-Stuffed Mushrooms,https://www.allrecipes.com/recipe/234844/easy-sausage-stuffed-mushrooms/,"{'quantity': '24', 'unit': 'large', 'name': 'mushrooms, stems removed, or more as needed'}, {'quantity': '1', 'unit': 'pound', 'name': 'bulk hot Italian sausage'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '4', 'unit': 'ounces', 'name': 'grated Parmesan cheese, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Italian bread crumbs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh parsley'}","Preheat the oven to 350 degrees F (175 degrees C).. Hollow out each mushroom cap, reserving the scrapings.. Heat a skillet over medium-high heat; add sausage, onion, and reserved mushroom scrapings. Cook and stir until sausage is browned and cooked through, 4 to 6 minutes. Drain and discard grease; return sausage mixture to the skillet.. Stir 3 ounces Parmesan cheese, bread crumbs, garlic, and parsley into sausage mixture. Cook and stir until heated through, 3 to 5 minutes.. Stuff each mushroom cap with sausage mixture and place on a baking sheet.. Bake stuffed mushrooms in the preheated oven for 12 minutes. Sprinkle remaining 1 ounce Parmesan cheese over mushrooms and bake until mushrooms are cooked through and cheese is melted and bubbling, about 3 minutes.","calories: 148, fat: 10g, carbs: 5g, protein: 11g, servings: 12",https://www.allrecipes.com/thmb/uZyDViNnoy1ZXHY-Vef-N0FTlok=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234844-easy-sausage-stuffed-mushrooms-ddmfs-4x3-0063-78a437aba03645de8f85cca7d045718f.jpg
Air Fryer Stuffed Mushrooms,https://www.allrecipes.com/recipe/278271/air-fryer-stuffed-mushrooms/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'whole white button mushrooms'}, {'quantity': '2', 'unit': '', 'name': 'scallions'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': 'finely shredded sharp Cheddar cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Gently clean mushrooms with a damp cloth. Remove and discard stems.. Mince scallions, separating white and green parts.. Preheat an air fryer to 360 degrees F (182 degrees C).. Mix cream cheese, Cheddar cheese, scallion whites, paprika, and salt together in a small bowl. Stuff mixture into mushrooms, pressing gently with the back of a small spoon to fill each cavity.. Spray the air fryer basket with cooking spray and set mushrooms inside without overcrowding; you may need to work in batches.. Air-fry mushrooms until filling is lightly browned, about 8 minutes. Transfer to a serving plate.. Sprinkle mushrooms with scallion greens. Let cool for 5 minutes before serving.","calories: 104, fat: 8g, carbs: 4g, protein: 5g, servings: 6",https://www.allrecipes.com/thmb/ScCBf8uf8L4IOSqUtSYST3phH44=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/278271-Air-Fryer-Stuffed-Mushrooms-R311195-10057-2-4x3-4db99cd067584a878545d573e5d17c48.jpg
Stuffed Portobello Mushrooms,https://www.allrecipes.com/recipe/220810/spinach-stuffed-portobello-mushrooms/,"{'quantity': '4', 'unit': 'large', 'name': 'portobello mushroom caps, stems and gills removed'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'reduced-fat Italian salad dressing'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(10 ounce) bag', 'name': 'fresh spinach, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped pepperoni'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded mozzarella cheese, divided'}, {'quantity': '¼', 'unit': 'cup', 'name': 'seasoned bread crumbs, divided'}","Preheat the oven to 350 degrees F (175 degrees C).. Brush both sides of portobello mushrooms with Italian dressing. Arrange mushroom on a baking sheet, gill-sides up.. Bake in the preheated oven until tender, about 12 minutes. Drain any juice that has accumulated in mushrooms.. Beat egg, garlic, salt, and black pepper together in a large bowl.. Stir spinach, pepperoni, Parmesan cheese, 3 tablespoons mozzarella cheese, and 3 tablespoons bread crumbs into eggs until evenly mixed.. Divide spinach mixture over mushroom caps; sprinkle mushrooms with remaining 1 tablespoon mozzarella cheese and 1 tablespoon bread crumbs.. Return mushrooms to the oven; bake until topping is golden brown and cheese is melted, about 10 minutes more.","calories: 161, fat: 9g, carbs: 11g, protein: 10g, servings: 4",https://www.allrecipes.com/thmb/oWDLw3IBU0eNJM1CjrIx_nX1Nvk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/220810-spinach-stuffed-portobello-mushrooms-ddmfs-1x1-5591-290628f045b04495a9d286f9d4670b11.jpg
Easy Garlic Escargots,https://www.allrecipes.com/recipe/159391/easy-garlic-escargots/,"{'quantity': '1', 'unit': '(7 ounce) can', 'name': 'escargots, drained'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '20', 'unit': '', 'name': 'mushrooms, stems removed'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried tarragon'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly ground black pepper, or to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease an 8x8-inch baking dish.. Place escargots in a small bowl and cover with cold water. Let sit for 5 minutes to remove any canned flavor they may have. Drain escargots and pat dry with a paper towel.. Melt butter with garlic in a large skillet over medium-high heat. Add escargots and mushroom caps; cook and stir until mushroom caps begin to soften, about 5 minutes.. Whisk together wine, cream, flour, tarragon, and pepper in a small bowl until well combined. Pour into the skillet and bring to a boil. Cook, stirring occasionally, until sauce thickens, about 10 minutes. Remove from the heat.. Place mushroom caps into the prepared baking dish, with the tops facing down. Spoon an escargot into each mushroom cap. Pour sauce from the skillet over mushroom caps, then sprinkle grated Parmesan cheese over top.. Bake in the preheated oven until cheese has turned golden brown, 10 to 15 minutes.","calories: 405, fat: 27g, carbs: 11g, protein: 27g, servings: 4",https://www.allrecipes.com/thmb/AwHSsKkZhCQjggBLKIduGnzJYjU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/159391-easy-garlic-escargot-ddmfs-3X4-13181334-d76f4bc9ef564183a13d5a2d66f960c2.jpg
Bacon and Cheddar Stuffed Mushrooms,https://www.allrecipes.com/recipe/21061/bacon-and-cheddar-stuffed-mushrooms/,"{'quantity': '3', 'unit': 'slices', 'name': 'bacon'}, {'quantity': '8', 'unit': '', 'name': 'crimini mushrooms'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped onion'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, dice and set aside.. Preheat oven to 400 degrees F (200 degrees C).. Remove mushroom stems. Set aside caps. Chop the stems.. In a large saucepan over medium heat, melt the butter. Slowly cook and stir the chopped stems and onion until the onion is soft. Remove from heat.. In a medium bowl, stir together the mushroom stem mixture, bacon and 1/2 cup Cheddar. Mix well and scoop the mixture into the mushroom caps.. Bake in the preheated oven 15 minutes, or until the cheese has melted.. Remove the mushrooms from the oven, and sprinkle with the remaining cheese.","calories: 110, fat: 10g, carbs: 1g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/lemXloEFk2MHTtu4ymnc_vN5qUY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1118005-1301871d07d94ebe966352332649a773.jpg
The Best Seafood-Stuffed Mushrooms,https://www.allrecipes.com/recipe/143649/the-best-seafood-stuffed-mushrooms/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'softened cream cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg yolk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Italian bread crumbs'}, {'quantity': '1', 'unit': '', 'name': 'green onion, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'snow crab, drained'}, {'quantity': '1', 'unit': '(4 ounce) can', 'name': 'small shrimp, drained'}, {'quantity': '12', 'unit': 'large', 'name': 'white mushrooms, stems removed'}, {'quantity': '1', 'unit': 'cup', 'name': 'Italian bread crumbs'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with foil.. Place cream cheese, egg yolk, 1 tablespoon bread crumbs, green onion, lemon juice, Worcestershire sauce, garlic powder, salt, and pepper in the bowl of a mixer. Mix until smooth and evenly blended. Fold in crab and shrimp; stuff mushrooms with this mixture. Press remaining bread crumbs on top to coat. Place mushrooms onto baking sheet stuffing-side-up.. Bake in preheated oven until mushrooms have softened slightly, 12 to 14 minutes. Set oven to Broil, and broil mushrooms for a few minutes until the tops are golden and bubbly.","calories: 279, fat: 16g, carbs: 18g, protein: 17g, servings: 6",https://www.allrecipes.com/thmb/HkGLpyvT0dqaS-kbr-sQ74U1RiQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/143649-the-best-seafood-stuffed-mushrooms-naples34102-4x3-1f54ce5ed4c3495baa473851c7c1d719.jpg
Bacon Wrapped Stuffed Mushrooms,https://www.allrecipes.com/recipe/54795/bacon-wrapped-stuffed-mushrooms/,"{'quantity': '½', 'unit': 'cup', 'name': 'chopped green onions'}, {'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '20', 'unit': '', 'name': 'fresh mushrooms, stems removed'}, {'quantity': '1', 'unit': 'pound', 'name': 'sliced bacon, cut in half'}","Preheat the oven to 350 degrees F (175 degrees C).. In a medium bowl, mix together the green onions and cream cheese . Stuff mushroom caps with the cheese mixture. Wrap each mushroom with a half-slice of bacon, and secure with toothpicks. Place on a baking sheet.. Bake for 20 minutes in the preheated oven, until the bacon is cooked through.","calories: 123, fat: 11g, carbs: 2g, protein: 5g, servings: 20",https://www.allrecipes.com/thmb/Jd_Z4DX6WpN1_WoHdchePT77c0s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4470118-bacon-wrapped-stuffed-mushrooms-SunnyDaysNora-4x3-1-8b91327c090a49a2b8b0e301d70aa8e8.jpg
