name,link,ingredients,steps,nutrition,image_url
4-Ingredient Keto Peanut Butter Cookies,https://www.allrecipes.com/recipe/261181/4-ingredient-keto-peanut-butter-cookies/,"{'quantity': '1', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'low-calorie natural sweetener (such as Swerve®)'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sugar-free vanilla extract'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.. Combine peanut butter, sweetener, egg, and vanilla extract in a bowl; mix well until a dough is formed.. Roll dough into 12 (1-inch) balls. Place on the prepared baking sheet and press down twice with a fork in a criss-cross pattern.. Bake in the preheated oven until edges are golden, 12 to 15 minutes.. Cool for 1 minute before transferring to a wire rack to cool completely.","calories: 133, fat: 11g, carbs: 12g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/A3R8HKsPaxoN10bfXFwYWTZvkMs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-261181-4-ingreddient-keto-peanut-butter-cookies-DDMFS-4x3-0daac4c4889a4bbb88d2459659c016cf.jpg
Best Pennsylvania Dutch Chicken Corn Soup,https://www.allrecipes.com/recipe/26365/best-pennsylvania-dutch-chicken-corn-soup/,"{'quantity': '2', 'unit': '(3 pound)', 'name': 'whole chickens, cut into pieces'}, {'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '3', 'unit': '', 'name': 'onions, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '10', 'unit': 'ears', 'name': 'fresh corn, kernels cut from cob'}, {'quantity': '3', 'unit': '', 'name': 'eggs, divided'}, {'quantity': '1', 'unit': 'cup', 'name': 'sifted all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}","Combine chicken, water, onions, celery, salt, nutmeg, and pepper in a large stockpot over medium heat and bring to a boil; reduce heat and simmer, adding water as needed, until chicken is very tender, about 2 hours.. Transfer chicken to a deep dish; pour soup into a large jug or bowl. Cover and refrigerate chicken and soup for 6 to 8 hours.. Remove and discard the layer of fat that has solidified on the surface of soup. Transfer soup into a large pot over medium heat; stir in corn and bring to a boil. Reduce heat and simmer until corn is tender, 10 to 15 minutes.. Meanwhile, place 2 of the eggs in a small saucepan and cover with cold water. Bring to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel, and chop. Set aside.. Chop chilled chicken meat into small chunks; stir into soup.. Beat remaining egg in a medium bowl until light in color. Beat in flour and milk until smooth. Drop pea-sized lumps of rivel dough into the soup, a few at a time, to make small dumplings. Cook, stirring constantly, until dumplings hold their shape and float to the surface, 2 to 5 minutes. Stir in chopped egg.","calories: 437, fat: 19g, carbs: 31g, protein: 38g, servings: 12",https://www.allrecipes.com/thmb/lniaUM14CI_X5_RLCIcp2Rjh3MA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3656157-best-pennsylvania-dutch-chicken-corn-soup-Ms.-Chef-Esh-4x3-1-a6455cfb8c1c4061851a8bfe5a833714.jpg
No Bake Sugar Free Strawberry Cheesecake,https://www.allrecipes.com/recipe/215589/no-bake-sugar-free-strawberry-cheesecake/,"{'quantity': '¾', 'unit': 'cup', 'name': 'graham cracker crumbs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'cheesecake flavor sugar-free instant pudding mix'}, {'quantity': '2', 'unit': 'pints', 'name': 'fresh strawberries, sliced'}","Gather all ingredients.. Combine graham cracker crumbs, melted butter, cinnamon, and nutmeg in a bowl.. Press the mixture into an 8-inch pie dish; refrigerate while making the filling.. Beat cream cheese in a mixing bowl with an electric mixer on medium speed until softened.. Reduce speed to slow; gradually beat in milk (the mixture will be watery).. Use a rubber spatula to scrape cream cheese from the sides of the bowl, if necessary. Beat in pudding mix until the filling is thick and smooth.. Spoon 1/2 of the cream cheese filling onto the bottom of prepared crust. Spread 1/2 of the strawberries over the filling; repeat with remaining filling and strawberries.. Chill pie in refrigerator until filling is set, at least 1 hour.","calories: 312, fat: 21g, carbs: 25g, protein: 6g, servings: 6",https://www.allrecipes.com/thmb/2vtz-qdn7vtRw1DsOeiVYj9w98g=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM_215589-NoBakeSugarFreeStrawberryCheesecake-ddmfs-3x4-6133-730f51a0698a4af4a1c5678f26019b07.jpg
No-Sugar Apple Pie,https://www.allrecipes.com/recipe/15697/no-sugar-apple-pie/,"{'quantity': '2', 'unit': '(9 inch)', 'name': 'pie crusts'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'unsweetened apple juice concentrate, thawed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground cinnamon'}, {'quantity': '6', 'unit': 'cups', 'name': 'sliced green apples'}","Preheat the oven to 350 degrees F (175 degrees C).. Whisk 1/3 cup apple juice concentrate together with cornstarch and cinnamon in a small bowl. Set aside.. Simmer apples with remaining apple juice concentrate in a large saucepan until apples are tender, about 10 minutes. Stir in cornstarch mixture and continue to simmer until thickened. Remove from heat.. Spoon apple mixture into pastry-lined pie plate. Cover with top crust. Seal and flute edges. Cut steam vents in top.. Bake in the preheated oven until crust is golden brown, about 45 minutes.","calories: 307, fat: 11g, carbs: 52g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/qHqNwHgFnU0R-LmSMCMNPlHPnks=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59709_NoSugarApplePie4x3-478ef059f41e4f39a4c4a94e2a836413.jpg
"10 Delicious, Filling Snacks for Your No Added Sugar Diet",https://www.allrecipes.com/article/delicious-filling-snacks-for-your-no-sugar-diet/,,,,https://cdn.jwplayer.com/v2/media/XbsB57Kt/poster.jpg?width=720
15 Best Sugar-Free Desserts That Taste Like the Real Thing,https://www.allrecipes.com/gallery/best-sugar-free-dessert-recipes/,,,,https://www.allrecipes.com/thmb/sCaqGs1JjtYsQELyO5DxqcKGg2s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1036682-84a583c0fad34ffaab434d2a056daf2c.jpg
Slow Cooker Ham and Beans,https://www.allrecipes.com/recipe/157825/slow-cooker-ham-and-beans/,"{'quantity': '1', 'unit': 'pound', 'name': 'dried great Northern beans, soaked overnight'}, {'quantity': '½', 'unit': 'pound', 'name': 'cooked ham, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'onion powder'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '8', 'unit': 'cups', 'name': 'water, or as needed'}","Combine beans, ham, brown sugar, onion powder, parsley, garlic salt, black pepper, and cayenne pepper in a slow cooker. Pour enough water into the slow cooker to cover the mixture by about 2 inches. Cover and cook on Low, stirring occasionally, for 12 hours.","calories: 318, fat: 6g, carbs: 50g, protein: 18g, servings: 8",https://www.allrecipes.com/thmb/hTQ26RKgsmZfgfF7yOdT5JyOS6I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/592321-626cb77a16e94209a12f72b627a67483.jpg
Sugar-Free Peanut Butter Cookies,https://www.allrecipes.com/recipe/158403/sugar-free-peanut-butter-cookies/,"{'quantity': '2', 'unit': 'cups', 'name': 'smooth natural peanut butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'granular no-calorie sucralose sweetener (e.g., Splenda ®)'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with a silicone liner.. Mix peanut butter, sucralose, and eggs together in a bowl until thoroughly combined. Drop by spoonfuls onto the prepared baking sheet.. Bake in the preheated oven until the centers appear dry, about 8 minutes.","calories: 138, fat: 12g, carbs: 5g, protein: 6g, servings: 24",https://www.allrecipes.com/thmb/9mGyk7FiHyX78iEQ9S46QKbm9Wo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/398670-0be8ba0de3354af5a9b37016c16c86f2.jpg
13 Sugar-Free Cookies Worth Baking,https://www.allrecipes.com/gallery/sugar-free-cookies/,,,,https://www.allrecipes.com/thmb/S3owEviqi2x7u3c-HJsICbKR_Vc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6723979-505c1311d4194ba190312712fd0606bd.jpg
Sugar-Free Cake,https://www.allrecipes.com/recipe/7419/sugar-free-cake/,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsweetened applesauce'}, {'quantity': '¾', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'liquid sweetener'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 10-inch Bundt or tube pan.. Combine water and raisins in a saucepan over medium heat. Simmer until water is absorbed; set aside to cool.. Mix together applesauce, oil, eggs, liquid sweetener, and vanilla in a large bowl until well combined. Sift in flour, cinnamon, baking soda, nutmeg, and salt; stir until just combined. Mix in raisins and nuts. Pour batter into the prepared pan.. Bake in the preheated oven until a toothpick inserted into the center of cake comes out clean, about 1 hour.","calories: 363, fat: 21g, carbs: 41g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/59hc0N95UBmWKnTL_kO9N09Nvgk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/47179-576b170404ca4c76b1df2fa861f7f3d7.jpg
