name,link,ingredients,steps,nutrition,image_url
Homemade Sushi,https://www.allrecipes.com/recipe/24228/sushi-roll/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'water'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'uncooked short-grain white rice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '4', 'unit': 'sheets', 'name': 'nori seaweed sheets'}, {'quantity': '½', 'unit': 'pound', 'name': 'imitation crabmeat, flaked'}, {'quantity': '1', 'unit': '', 'name': 'avocado - peeled, pitted, and sliced'}, {'quantity': '½', 'unit': '', 'name': 'cucumber, peeled, cut into small strips'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pickled ginger'}","Gather all ingredients. Preheat the oven to 300 degrees F (150 degrees C).. Bring water to a boil in a medium pot; stir in rice. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes.. Mix rice vinegar, sugar, and salt in a small bowl. Gently stir into cooked rice in the pot and set aside.. Lay nori sheets on a baking sheet.. Heat nori in the preheated oven until warm, 1 to 2 minutes.. Center 1 nori sheet on a bamboo sushi mat. Use wet hands to spread a thin layer of rice on top. Arrange 1/4 of the crabmeat, avocado, cucumber, and pickled ginger over rice in a line down the center.. Lift one end of the mat and roll it tightly over filling to make a complete roll. Repeat with remaining ingredients.. Use a wet, sharp knife to cut each roll into 4 to 6 slices.","calories: 152, fat: 4g, carbs: 26g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/CBOcP0zp71lR2bn-KUMkgCB92RA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/24228-Sushi-roll-ddmfs-4x3-2914-1839f746d9334814a7a5d93ed45ba082.jpg
How to Make Homemade Sushi,https://www.allrecipes.com/article/how-to-make-sushi-rolls/,,,,https://www.allrecipes.com/thmb/G7qVimtULubVh6GloHjSt0LhDLM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/102156981_shrimp-sushi-roll-with-ALL-garnishes-and-chopsticks_Photo-by-Meredith-126868c676e94154ad64a804427b99f5.jpg
Cream Cheese and Crab Sushi Rolls,https://www.allrecipes.com/recipe/169856/cream-cheese-and-crab-sushi-rolls/,"{'quantity': '1', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'sheets', 'name': 'nori seaweed sheets'}, {'quantity': '¼', 'unit': '', 'name': 'cucumber, peeled and sliced lengthwise'}, {'quantity': '2', 'unit': 'pieces', 'name': 'imitation crab legs'}, {'quantity': '½', 'unit': '(3 ounce) package', 'name': 'cream cheese, sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'minced fresh ginger root'}","Gather all ingredients.. Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Stir in rice vinegar and salt. Allow to cool completely.. Lay out seaweed sheets. Moisten hands with water, then spread cooled rice evenly on each sheet, leaving a 1/2-inch gap along one edge, lengthwise. Arrange strips of cucumber, imitation crabmeat, and cream cheese on top of the rice in a straight line along the side opposite the gap. Roll up sushi from the toppings to the seaweed sheet's exposed end.. Using a sharp wet knife, slice each roll into 5 or 6 pieces. Serve with minced ginger on the side.","calories: 444, fat: 8g, carbs: 80g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/PujANugNXQW7ugnivQt8b4_-13k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-169856-CreamCheeseandCrabSushiRolls-ddmfs-3x4-6421-8d233e210db3458f8574bafad1c69e70.jpg
Cucumber and Avocado Sushi,https://www.allrecipes.com/recipe/99204/cucumber-and-avocado-sushi/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'uncooked glutinous white rice (sushi rice)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '4', 'unit': 'sheets', 'name': 'nori (dry seaweed)'}, {'quantity': '½', 'unit': 'medium', 'name': 'cucumber, sliced into thin strips'}, {'quantity': '1', 'unit': 'medium', 'name': 'avocado - peeled, pitted and sliced'}","Combine water and rice in a saucepan and bring to a boil. Cover, reduce the heat to low, and simmer until rice is tender and water has been absorbed, about 20 minutes. Remove from the heat, stir in vinegar and salt, and set aside to cool for at least 5 minutes.. Cover a bamboo sushi mat with plastic wrap to keep rice from sticking. Place one nori sheet over the plastic. Spread rice evenly onto nori sheet, leaving about a 1/2 inch uncovered at the bottom. Arrange cucumber and avocado across the center of the rice. Lift the mat, roll over cucumber and avocado once, and press down. Unroll, then roll again towards the uncovered end of the nori to make a long roll. Seal roll with a little water if necessary. Repeat to make remaining rolls.. Use a sharp, wet knife to slice each roll into 6 pieces.","calories: 171, fat: 5g, carbs: 29g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/g_oDjN4ep2LVB1xhYZ9ekpODHaE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/118948-256020d3a201434b99fd97fea6cab9a2.jpg
Spicy Tuna Rolls,https://www.allrecipes.com/recipe/279434/spicy-tuna-rolls/,"{'quantity': '4', 'unit': 'sheets', 'name': 'nori (dry seaweed)'}, {'quantity': '½', 'unit': 'pound', 'name': 'sashimi-grade tuna, finely chopped'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot chile sauce'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'prepared sushi rice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sesame seeds'}","Cut off the bottom quarter of each nori sheet; reserve for another use.. Combine chopped tuna, mayonnaise, green onions, and hot sauce in a bowl.. Center 1 sheet of nori on a bamboo sushi mat. Wet your hands. Spread a thin layer of rice on the nori using your hands; press into a thin layer, leaving a 1/2-inch space at the bottom edge. Sprinkle with sesame seeds. Arrange 1/4 of the tuna mixture in a line across the rice, about 1/3 of the way down from the top of the sheet.. Wet the uncovered edge of the nori. Lift the top end of the mat and firmly roll it over the ingredients. Roll it forward to make a complete roll. Repeat with remaining ingredients.. Slice the rolls into 3/4-inch pieces using a wet knife. Serve immediately or refrigerate until serving.","calories: 344, fat: 13g, carbs: 39g, protein: 17g, servings: 4",https://cdn.jwplayer.com/v2/media/lOpci9Gy/poster.jpg?width=720
Spicy Tuna Sushi Roll,https://www.allrecipes.com/recipe/190943/spicy-tuna-sushi-roll/,"{'quantity': '2', 'unit': 'cups', 'name': 'uncooked glutinous white rice'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': '(5 ounce) can', 'name': 'solid white tuna in water, drained'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'wasabi paste'}, {'quantity': '4', 'unit': 'sheets', 'name': 'nori (dry seaweed)'}, {'quantity': '½', 'unit': '', 'name': 'cucumber, finely diced'}, {'quantity': '1', 'unit': '', 'name': 'carrot, finely diced'}, {'quantity': '1', 'unit': '', 'name': 'avocado - peeled, pitted and diced'}","Bring the rice, water, and vinegar to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Let stand, covered, for about 10 minutes to absorb any excess water. Set rice aside to cool.. Lightly mix together the tuna, mayonnaise, chili powder, and wasabi paste in a bowl, breaking the tuna apart but not mashing it into a paste.. To roll the sushi, cover a bamboo sushi rolling mat with plastic wrap. Lay a sheet of nori, rough side up, on the plastic wrap. With wet fingers, firmly pat a thick, even layer of prepared rice over the nori, covering it completely. Place about 1 tablespoon each of diced cucumber, carrot, and avocado in a line along the bottom edge of the sheet, and spread a line of tuna mixture alongside the vegetables.. Pick up the edge of the bamboo rolling sheet, fold the bottom edge of the sheet up, enclosing the filling, and tightly roll the sushi into a thick cylinder. Once the sushi is rolled, wrap it in the mat and gently squeeze to compact it tightly. Cut each roll into 6 pieces, and refrigerate until served.","calories: 346, fat: 12g, carbs: 47g, protein: 14g, servings: 4",https://www.allrecipes.com/thmb/vtF4Zlk1oLveyrJth1zOOSdGEn8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6648154-spicy-tuna-sushi-roll-Judy-Kyser-4x3-1-0d66a33e48c748b2890bcadc597db050.jpg
California Roll Sushi,https://www.allrecipes.com/recipe/189477/california-roll-sushi/,"{'quantity': '1', 'unit': 'cup', 'name': 'uncooked short-grain white rice'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'rice vinegar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'imitation crabmeat, finely chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '8', 'unit': 'sheets', 'name': 'nori (dry seaweed)'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'sesame seeds'}, {'quantity': '1', 'unit': '', 'name': 'cucumber, cut into thin spears'}, {'quantity': '2', 'unit': '', 'name': 'avocados - pitted, peeled, and sliced the long way'}","Wash the rice in several changes of water until the rinse water is no longer cloudy, drain well, and place in a covered pan or rice cooker with 1 cup water. Bring to a boil, reduce heat to a simmer, and cover the pan. Allow the rice to simmer until the top looks dry, about 15 minutes. Turn off the heat, and let stand for 10 minutes to absorb the rest of the water.. Mix the rice vinegar and sugar in a small bowl until the sugar has dissolved, and stir the mixture into the cooked rice until well combined. Allow the rice to cool, and set aside.. Mix the imitation crabmeat with mayonnaise in a bowl, and set aside. To roll the sushi, cover a bamboo rolling mat with plastic wrap. Lay a sheet of nori, shiny side down, on the plastic wrap. With wet fingers, firmly pat a thin, even layer of prepared rice over the nori, leaving 1/4 inch uncovered at the bottom edge of the sheet. Sprinkle the rice with about 1/2 teaspoon of sesame seeds, and gently press them into the rice. Carefully flip the nori sheet over so the seaweed side is up.. Place 2 or 3 long cucumber spears, 2 or 3 slices of avocado, and about 1 tablespoon of imitation crab mixture in a line across the nori sheet, about 1/4 from the uncovered edge. Pick up the edge of the bamboo rolling sheet, fold the bottom edge of the sheet up, enclosing the filling, and tightly roll the sushi into a cylinder about 1 1/2 inch in diameter. Once the sushi is rolled, wrap it in the mat and gently squeeze to compact it tightly.. Cut each roll into 1 inch pieces with a very sharp knife dipped in water.","calories: 232, fat: 14g, carbs: 24g, protein: 4g, servings: 8",https://www.allrecipes.com/thmb/qKfJScTFaEY8F68wecGy42ELAaw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4564632-california-roll-sushi-Sahara-B-4x3-1-24bfe4e2c76c445abbd610eed5967cc0.jpg
Vegetarian Sushi,https://www.allrecipes.com/recipe/221920/vegetarian-sushi/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'uncooked short-grain white rice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': '', 'name': 'avocado - peeled, pitted, and thinly sliced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sesame seeds, or as needed'}, {'quantity': '½', 'unit': '', 'name': 'cucumber - peeled, seeded, and cut into matchsticks'}, {'quantity': '½', 'unit': '', 'name': 'green bell pepper, seeded and cut into matchsticks'}, {'quantity': '½', 'unit': '', 'name': 'zucchini, cut into matchsticks'}","Place rice and water in a saucepan over high heat, bring to a boil, and reduce heat to very low. Cover with a tight-fitting lid and simmer rice until water is absorbed, about 15 minutes. Remove rice from heat and allow to stand covered for 10 minutes.. Mix red wine vinegar, sugar, and salt in a bowl until sugar has dissolved. Fluff rice with a fork and transfer into a large bowl; pour vinegar mixture into the rice and stir to coat rice. Spread rice out onto a large piece of parchment paper and fan the rice until cool. Cover rice with damp paper towels.. Sprinkle avocado slices with lemon juice in a bowl.. Spread a thin layer of sesame seeds onto a sushi mat. Pick up about half a cup of cooled rice and place onto sushi mat in an even layer. Place 1/4 of the cucumber, avocado slices, bell pepper, and zucchini in a line down the middle of the rice.. Pick up the edge of the sushi mat, fold the bottom edge of the sheet up, enclosing the filling, and tightly roll the sushi into a thick cylinder. Once the sushi is rolled, wrap it in the mat and gently squeeze to compact it tightly. Repeat with remaining ingredients to made 4 rolls. Place rolls on a serving plate, slice into 6 or 8 pieces per roll, and cover with damp paper towels until serving time.","calories: 385, fat: 9g, carbs: 70g, protein: 8g, servings: 4",https://www.allrecipes.com/thmb/i7yLualeJp6h7nuux-Dnr7AUI6o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4559474-vegetarian-sushi-Buckwheat-Queen-4x3-1-af11cac7218240e383dbe72ef6b1ec8f.jpg
Salmon-Avocado Cucumber Sushi Boats,https://www.allrecipes.com/salmon-avocado-cucumber-sushi-boats-recipe-7182056,"{'quantity': '1', 'unit': 'cup', 'name': 'sushi rice'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'medium', 'name': 'cucumbers'}, {'quantity': '1', 'unit': '(3-oz.) package', 'name': 'cold-smoked salmon'}, {'quantity': '1', 'unit': None, 'name': 'avocado,'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sesame seeds'}, {'quantity': None, 'unit': None, 'name': 'soy sauce, furikake rice seasoning, Kewpie mayonnaise, prepared wasabi, and/or pickled ginger,'}","Rinse rice in a sieve under cold water until water runs clear, about 1 minute. Bring rice and water to a boil over medium-high heat in a saucepan. Reduce heat to medium; simmer, covered, until rice is tender and water is absorbed, about 15 minutes.. Meanwhile, whisk together vinegar, sugar, and salt in a small bowl until sugar and salt dissolve. Drizzle vinegar mixture over hot rice; gently fold in. Cover surface of rice with a damp paper towel; let cool to room temperature, about 1 hour.. Halve cucumbers lengthwise, then cut each half crosswise into 4 equal pieces (for a total of 16 pieces). Trim a thin slice from the peel side of each piece (so the pieces will sit flat). Scoop out seeds from each piece, leaving a 1/3-inch border. Spoon 1 to 11/2 Tbsp. rice into each cucumber piece, then use damp hands to compact rice. Top each with salmon and avocado. Sprinkle with sesame seeds.. Serve with soy sauce, furikake, Kewpie mayonnaise, wasabi, and/or ginger.","calories: 278, fat: 17g, carbs: 27g, protein: 8g, servings: 4",https://www.allrecipes.com/thmb/Ux5KRdCsRwNMKaqlGN9j8V6p2IU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7182056Salmon-AvocadoCucumberSushiBoats-819a482d56404b87bce4662c4f5383ca.jpg
Homemade Sushi Rolls,https://www.allrecipes.com/recipe/8536667/homemade-sushi-rolls/,"{'quantity': '1 ⅓', 'unit': 'cups', 'name': 'sushi rice'}, {'quantity': '1', 'unit': '(4 inch) piece', 'name': 'dashi kombu (dried kelp)'}, {'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rice wine'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': '', 'name': 'nori seaweed sheets'}, {'quantity': '', 'unit': '', 'name': 'desired fillings (see bottom of recipe)'}","Put rice into a large deep bowl. Fill with cold water and rub rice together with hands until water turns milky white. Drain cloudy water, being careful not to pour out rice. Repeat three or four times until you can see rice through 3 inches of water; drain once more.. Transfer rice to a saucepan; add kombu and 3 cups water. Let stand 30 minutes. Cover; bring to a boil over high heat. Reduce heat to low; simmer 10 minutes. Remove from heat and let stand, covered, 5 minutes.. Meanwhile, stir together rice vinegar, sugar, and salt in a small bowl until dissolved.. Remove and discard kombu; stir in vinegar mixture until no lumps remain. Spread rice mixture onto a rimmed 9x13 baking sheet. [Spreading helps cool rice and prevents it from continuing to cook.] Let cool to room temperature.. Lay one sheet of nori on a sushi mat lined with plastic wrap; spread 1 cup of rice over nori with damp fingers, leaving a 1-inch border along one edge. Arrange desired fillings (see below) crosswise just off center of rice. Carefully lift filled edge of nori and roll over filling toward unfilled edge, tucking as you roll. Brush unfilled edge of nori with water; press to seal. Cut each roll into 8 pieces. Repeat with remaining nori, rice, and fillings. To make ahead, chill, covered, up to 4 hours.",,https://www.allrecipes.com/thmb/2R3je6JaummILP1DJG7Ws8OFH_w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8536667-you-can-make-sushi-rolls-4x3-1-6ba19ffc7e494df88b2e0cd50956d4e8.jpg
