name,link,ingredients,steps,nutrition,image_url
Grandma's Sweet Potato Pie,https://www.allrecipes.com/recipe/259756/grandmas-sweet-potato-pie/,"{'quantity': '3', 'unit': 'large', 'name': 'sweet potatoes, peeled and diced'}, {'quantity': '½', 'unit': '', 'name': 'orange, peel cut into thin strips'}, {'quantity': '1', 'unit': '', 'name': 'pastry for a 9-inch pie crust'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'pineapple juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salted butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cloves'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}","Place sweet potatoes and orange peel into a large pot and cover with water; bring to a boil. Reduce heat to medium-low and simmer until soft, about 10 minutes. Drain well and let cool. Discard orange peel.. Preheat oven to 400 degrees F (200 degrees C). Line a 9-inch pie plate with pie crust.. Mash cooled sweet potatoes with a potato masher or fork. Mix in eggs until well blended. Add pineapple juice, butter, and vanilla extract; mix until combined. Mix in flour, cinnamon, nutmeg, ginger, cloves, and salt. Mix in sugar until dissolved. Blend in heavy cream using a whisk.. Pour sweet potato mixture into the pie crust.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 40 to 50 minutes. Place on a cloth on a table or window sill to cool down.","calories: 500, fat: 21g, carbs: 72g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/17XWqxWchv4eKrzLs3wVc4EYrq0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/259756-grandmas-sweet-potato-pie-daniellek-10-4x3-1-14c9ef4b0260439898cccafd112ca743.png
Sweet Potato Pie,https://www.allrecipes.com/recipe/12142/sweet-potato-pie-i/,"{'quantity': '1', 'unit': '(1 pound)', 'name': 'sweet potato, with skin'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}",,"calories: 389, fat: 21g, carbs: 48g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/dlzNYipV/thumbnails/OdKkMbk7.jpg
Sweet Potato Pie from Eagle Brand,https://www.allrecipes.com/recipe/63971/sweet-potato-pie-from-eagle-brand/,"{'quantity': '1', 'unit': 'pound', 'name': 'sweet potatoes, peeled and cut into chunks'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter or margarine'}, {'quantity': '1', 'unit': '(14 ounce) can', 'name': 'EAGLE BRAND® Sweetened Condensed Milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'grated orange zest'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'pie shell, unbaked'}","Place sweet potatoes into a large pot and cover with salted water; bring to a boil. Reduce the heat to medium-low and simmer until tender, about 20 minutes.. While the potatoes are cooking, preheat the oven to 350 degrees F (175 degrees C).. Drain potatoes and place into a large mixing bowl. Add butter and beat with an electric mixer until smooth. Mix in condensed milk, eggs, orange zest, vanilla, cinnamon, nutmeg, and salt until smooth; pour into pie shell.. Bake in the preheated oven until the surface is firm except for a small spot in the center that will jiggle when the pan is gently shaken, about 40 minutes. Let cool before serving.","calories: 461, fat: 20g, carbs: 38g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/GYL_46HiZgpFOtxpJkdMFd1HT8Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4587911-0e51295fffab4215bf73e76fd7355e26.jpg
World's Best Sweet Potato Pie,https://www.allrecipes.com/recipe/240205/worlds-best-sweet-potato-pie/,"{'quantity': '3', 'unit': 'large', 'name': 'sweet potatoes'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '3', 'unit': None, 'name': '(9-inch) pie shells, thawed'}","Place sweet potatoes into a large pot and cover with water; bring to a boil. Reduce heat to medium-low and simmer until tender, 40 to 50 minutes. Drain water; peel and mash sweet potatoes in a large bowl until smooth.. Preheat the oven to 425 degrees F (220 degrees C).. Mix together beaten eggs and melted butter in a medium bowl until well combined; stir into mashed sweet potatoes. Mix in milk, sugar, flour, vanilla, nutmeg, baking powder, and lemon juice until smooth; pour mixture evenly into pie shells.. Bake pies in the preheated oven for 10 minutes. Decrease oven temperature to 350 degrees F (175 degrees C) and continue baking until a toothpick inserted into the center of a pie comes out clean, about 40 minutes more. Cool pies for 15 to 30 minutes before refrigerating to cool completely, 1 to 2 hours.","calories: 301, fat: 17g, carbs: 32g, protein: 5g, servings: 24",https://cdn.jwplayer.com/v2/media/3fdxFojk/poster.jpg?width=720
Old-Fashioned Sweet Potato Pie,https://www.allrecipes.com/recipe/19557/old-fashioned-sweet-potato-pie/,"{'quantity': '2', 'unit': 'cups', 'name': 'mashed sweet potatoes'}, {'quantity': '3', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked deep dish pie crust'}","Preheat oven to 350 degrees F (175 degrees C).. In a medium bowl, mix the sweet potatoes, eggs, evaporated milk, cinnamon, nutmeg, cloves and salt. Pour into the pie crust.. Bake at 350 degrees F (175 degrees C) for 50 minutes, or until a knife inserted in center comes out clean. Top with whipped topping or serve warm with vanilla ice cream.","calories: 252, fat: 12g, carbs: 30g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/VSJcGenLBVHdorlEAaynPR0epv8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3348682-b42fb5e995854dc0bf1eb1c79a0014be.jpg
Sweet Potato Pecan Pie,https://www.allrecipes.com/recipe/12446/sweet-potato-pecan-pie/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked and mashed sweet potatoes'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1 ⅔', 'unit': 'cups', 'name': 'light cream'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'chopped pecans'}","Preheat the oven to 400 degrees F (200 degrees C).. Bake sweet potatoes until fork-tender, 40 to 50 minutes. Cool until easily handled.. Peel and mash sweet potatoes. Make sure all lumps are removed, straining if necessary.. Lightly beat eggs. Blend together eggs and sweet potatoes. Stir in sugar, salt, cinnamon, ginger, and cloves. Blend in cream. Pour into pie shell.. Bake in the preheated oven for 45 to 55 minutes, or until knife inserted halfway between center and edge of pie comes out clean. Cool completely on a rack.. Make the caramelized pecan topping. Combine butter or margarine, brown sugar, and pecans. Gently drop by spoonfuls over cooled pie to cover top. Broil 5 inches below heat until mixture begins to bubble, about 3 minutes. Watch carefully, if cooked too long, top will turn syrupy. Cool on rack.","calories: 519, fat: 29g, carbs: 61g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/p-PrZAGK9a2DeBv-mcxe4GRDEXk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12446-sweet-potato-pecan-pie-DDMFS-4x3-1-d958bd4f7d474f50a51a4925d201afef.jpg
Easy Sweet Potato Pie,https://www.allrecipes.com/recipe/12190/easy-sweet-potato-pie/,"{'quantity': '2', 'unit': 'cups', 'name': 'cooked and mashed sweet potatoes'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'evaporated milk'}, {'quantity': '⅜', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rum'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}","Preheat oven to 425 degrees F (220 degrees C).. Into food processor, put sweet potatoes, evaporated milk, sugar, salt, cinnamon, nutmeg, rum, eggs and butter or margarine. Blend until smooth. Pour into pie shell.. Bake for 10 minutes in preheated oven. Reduce heat to 300 degrees F (150 degrees C). Bake for about 50 minutes more, or until the filling is firm.","calories: 326, fat: 18g, carbs: 34g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/idsM-_1mtFzYhGd-07EEgNLflfA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12190easy-sweet-potato-pieFranceCx3-9c1483cf1c304f9cb57adb4ec51e4b35.jpg
Sweet Potato Pie II,https://www.allrecipes.com/recipe/19556/sweet-potato-pie-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'mashed sweet potatoes'}, {'quantity': '¼', 'unit': 'pound', 'name': 'butter, softened'}, {'quantity': '2', 'unit': '', 'name': 'eggs, separated'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '½', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}","Preheat oven to 400 degrees F (200 degrees C).. In a mixing bowl, combine the sweet potatoes, butter, egg yolks, brown sugar, salt, ginger, cinnamon, nutmeg and evaporated milk. Mix together well.. Beat egg whites until stiff peaks form; add 1/4 cup sugar and fold into sweet potato mixture.. Pour into pie shell and bake at 400 degrees F (200 degrees C) for 10 minutes. Reduce heat and bake at 350 degrees F (175 degrees C) for 30 minutes or until firm.","calories: 449, fat: 22g, carbs: 60g, protein: 6g, servings: 8",https://www.allrecipes.com/thmb/ibTLubwVWgk0vDp_UosAqQEJ0q0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4238426-59a8c2f920ef44db8ae0b8d25f83e5cc.jpg
Sweetest Southern Sweet Potato Pie,https://www.allrecipes.com/recipe/228449/sweetest-southern-sweet-potato-pie/,"{'quantity': '2', 'unit': '', 'name': 'sweet potatoes'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'evaporated milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dark corn syrup'}, {'quantity': '2', 'unit': '', 'name': 'eggs, lightly beaten'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'apple pie spice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked deep dish pie crust'}","Preheat the oven to 350 degrees F (175 degrees C). Place sweet potatoes in an aluminum foil-lined baking dish.. Bake in preheated oven until potatoes are easily pierced with a fork and skin loosens, 30 to 45 minutes. Allow potatoes to cool.. Peel potatoes and mash with a potato masher in a large bowl. Beat sugar, evaporated milk, butter, corn syrup, eggs, flour, vanilla extract, apple pie spice, and salt into mashed sweet potatoes with an electric mixer until fluffy, about 5 minutes. Pour sweet potato batter into pie crust. Excess batter can be reserved for another use.. Bake in preheated oven until pie is set and crust is browned, 45 to 50 minutes.","calories: 530, fat: 22g, carbs: 80g, protein: 6g, servings: 8",https://cdn.jwplayer.com/v2/media/ilz1b4nk/poster.jpg?width=720
Sweet Potato Pie VII,https://www.allrecipes.com/recipe/17106/sweet-potato-pie-vii/,"{'quantity': '1', 'unit': '(9 inch)', 'name': 'unbaked pie crust'}, {'quantity': '2', 'unit': 'cups', 'name': 'cooked and mashed sweet potatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat oven to 350 degrees F (175 degrees C).. Mix together mashed sweet potatoes, butter or margarine, and eggs. In a separate bowl, mix together sugar, flour, and salt. Mix in spices if desired. Add to sweet potato mixture and stir well.. Mix together buttermilk and baking soda. Add to sweet potato mixture and stir well. Mix in vanilla extract. Pour filling into pastry shell.. Bake in preheated oven for 70 minutes, until set in center.","calories: 310, fat: 12g, carbs: 47g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/jQt6hgbGtzxc3AGLEZnF4HqXWwc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4556928-sweet-potato-pie-vii-Melissa-Goff-4x3-1-6ac406846e3040bdb92b1f81f24e1f25.jpg
