name,link,ingredients,steps,nutrition,image_url
Turkey Brine,https://www.allrecipes.com/recipe/54614/turkey-brine/,"{'quantity': '1', 'unit': 'gallon', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'sea salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'crushed dried rosemary'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried sage'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried savory'}, {'quantity': '1', 'unit': 'gallon', 'name': 'ice water'}",,"calories: 3, fat: 0g, carbs: 1g, protein: 0g, servings: 15",https://cdn.jwplayer.com/v2/media/YiPbX02h/thumbnails/lRWZM5m2.jpg
Simple Turkey Brine,https://www.allrecipes.com/recipe/229941/ultimate-turkey-brine/,"{'quantity': '1', 'unit': 'gallon', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'kosher salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'dark brown sugar'}, {'quantity': '3', 'unit': 'large', 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'whole black peppercorns'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'dried rosemary'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'dried thyme'}, {'quantity': '12', 'unit': '', 'name': 'whole cloves'}",,"calories: 44, fat: 0g, carbs: 11g, protein: 0g, servings: 30",https://www.allrecipes.com/thmb/UeB4XY76ekDWIt1eKJ-EHLUhiPw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229941-ultimate-turkey-vat-brine-4X3-1-393de706daae4a9f8e34b63f27a1eef3.jpg
Out of This World Turkey Brine,https://www.allrecipes.com/recipe/85839/out-of-this-world-turkey-brine/,"{'quantity': '2', 'unit': 'gallons', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'canning salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Worcestershire sauce'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}","Gather all ingredients.. Mix water, salt, brown sugar, Worcestershire sauce, garlic, and pepper together in a food-grade bucket or container large enough to hold your turkey.. Carefully submerge turkey in brine.. Cover and store in the refrigerator. Soak for two days before smoking or roasting.",,https://cdn.jwplayer.com/v2/media/NAxg5mwf/poster.jpg?width=720
Basic Brine for Smoking Meat,https://www.allrecipes.com/recipe/17945/basic-brine-for-smoking-meat/,"{'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'kosher salt'}","Gather all ingredients.. Combine water, brown sugar, and salt in a medium bowl; whisk vigorously until sugar and salt dissolve.",,https://www.allrecipes.com/thmb/CVEZROIB-u2bBIStV24mmSp5PRQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/17945-Basic-Brine-For-Smoking-Meat-ddmfs-078-4x3-1-0acc98a4e4194937817d565a27e5b736.jpg
Citrus Turkey Brine,https://www.allrecipes.com/recipe/75431/citrus-turkey-brine/,"{'quantity': '1', 'unit': '(12 pound)', 'name': 'fresh, whole, bone-in skin-on turkey, rinsed and patted dry'}, {'quantity': '1', 'unit': 'cup', 'name': 'salt'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, cut into wedges'}, {'quantity': '1', 'unit': 'medium', 'name': 'orange, cut into wedges'}, {'quantity': '1', 'unit': 'medium', 'name': 'lemon, cut into wedges'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '4', 'unit': 'large', 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': 'gallons', 'name': 'cold water'}","Gather the ingredients.. Rub turkey all over with salt.. Place remaining salt into a large stainless steel or enameled stockpot. Add onion, orange, and lemon wedges to the pot, along with garlic, bay leaves, thyme, and pepper.. Place turkey into the pot and pour in cold water. Cover and refrigerate, 8 hours to overnight.. When ready to cook, discard brine. Rinse turkey, then pat dry and place in a roasting pan. Refrigerate, uncovered, for 2 to 3 hours. Roast, grill, or deep-fry turkey according to your favorite recipe.","calories: 732, fat: 36g, carbs: 4g, protein: 92g, servings: 12",https://www.allrecipes.com/thmb/BdP1zdFCWoZBQfIpBfhZfmQfD7Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/75431-Citrus-Turkey-Brine-ddmds-4x3-d78f2522b06346a982740890d823933e.jpg
Matt's Fried Turkey Brine,https://www.allrecipes.com/recipe/228531/matts-fried-turkey-brine/,"{'quantity': '1', 'unit': 'gallon', 'name': 'vegetable broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'black peppercorns'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'whole allspice berries'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'chopped candied ginger'}, {'quantity': '1', 'unit': 'gallon', 'name': 'water with ice chunks'}, {'quantity': '1', 'unit': 'medium', 'name': 'red apple, cored and sliced'}, {'quantity': '½', 'unit': 'medium', 'name': 'onion, sliced'}, {'quantity': '1', 'unit': '(3 inch)', 'name': 'cinnamon stick'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh rosemary'}, {'quantity': '6', 'unit': 'leaves', 'name': 'fresh sage'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}",,"calories: 66, fat: 1g, carbs: 14g, protein: 1g, servings: 16",https://www.allrecipes.com/thmb/qh6fXZSNiPV6Kc9UgIl6E1iJlaQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7385773-ffd8afb4e3dd41119f044ae2124c20c0.jpg
Orange Turkey Brine,https://www.allrecipes.com/recipe/151062/orange-turkey-brine/,"{'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'frozen orange juice concentrate, thawed'}, {'quantity': '1', 'unit': '', 'name': 'orange, sliced'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced'}, {'quantity': '1', 'unit': '', 'name': 'lime, sliced'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried thyme'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ground black pepper'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '1', 'unit': 'cup', 'name': 'kosher salt'}, {'quantity': '1 ½', 'unit': 'gallons', 'name': 'water'}","Combine orange juice concentrate, orange slices, lemon slices, lime slices, thyme, pepper, garlic, bay leaves, salt, and water in a large stockpot; bring to a boil. Remove from heat and allow to cool to room temperature.. Wash and dry your turkey. Make sure you have removed the innards. Place the turkey, breast-side down, into the brine. Make sure that the cavity gets filled. Place the stockpot in the refrigerator. For best results, allow turkey to marinate for 8 to 48 hours before cooking.","calories: 697, fat: 2g, carbs: 177g, protein: 13g",https://www.allrecipes.com/thmb/q6u1EoQOB8rXNolEv7YDPr3V_10=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/549827-b839b603438447b1b9eed46fd3618d7f.jpg
Dry Brine Turkey,https://www.allrecipes.com/recipe/245524/dry-brine-turkey/,"{'quantity': '1', 'unit': '(15 pound)', 'name': 'whole turkey, neck and giblets removed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': None, 'unit': None, 'name': 'freshly ground black pepper to taste'}, {'quantity': '1', 'unit': '', 'name': 'onion, cut into wedges'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, halved'}","Pat turkey dry with paper towels. Season inside and outside of turkey with kosher salt, focusing on breast and thighs. Place turkey, breast-side up, in the roasting pan and cover with plastic wrap. Refrigerate turkey for about 2 days.. Flip turkey breast-side down, cover with plastic wrap, and refrigerate for about 1 more day.. Remove plastic wrap and place turkey on a rack over a baking sheet the night before you plan to roast. Allow turkey to air-dry in the refrigerator for at least 8 hours.. Bring turkey to room temperature, 1 to 2 hours; pat dry with paper towels. Season turkey with black pepper and place onion and celery in the cavity.. Preheat oven to 425 degrees F (220 degrees C). Place turkey, breast-side down, in a roasting pan.. Roast in the preheated oven until skin is golden, about 30 minutes. Remove turkey from oven and flip to breast-side up. Reduce oven temperature to 325 degrees F (165 degrees C); continue roasting until an instant-read thermometer inserted into the thickest part of the thigh reads 165 degrees F (74 degrees C), about 2 hours.. Transfer turkey to a large platter and loosely tent with aluminum foil; allow turkey to rest about 30 minutes before carving.","calories: 684, fat: 32g, carbs: 1g, protein: 92g, servings: 15",https://www.allrecipes.com/thmb/lx2pQZEsqkHwsqU3KTTvjLAMIVQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/245524-dry-brine-turkey-TrishaPetersen-4x3-ad18e8291f07470b9552483781d31274.jpg
Juicy Two-Stage Thanksgiving Turkey Marinade,https://www.allrecipes.com/recipe/94543/juicy-two-stage-thanksgiving-turkey-marinade/,"{'quantity': '1', 'unit': 'cup', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'gallon', 'name': 'water'}, {'quantity': '1', 'unit': '(3 inch)', 'name': 'cinnamon stick'}, {'quantity': '1', 'unit': '(15 pound)', 'name': 'turkey, thawed if purchased frozen'}, {'quantity': '3', 'unit': '', 'name': 'oranges, sliced'}, {'quantity': '3', 'unit': '', 'name': 'lemons, sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green bell pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'whole cloves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'garlic powder'}, {'quantity': '2', 'unit': '(3 inch)', 'name': 'cinnamon sticks'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'paprika'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'ground black pepper'}","On the Tuesday morning before Thanksgiving, whisk together salt, orange juice, brown sugar, a cinnamon stick and water in a large nonreactive container with a cover, such as a large stainless steel stockpot. Stir until salt and sugar dissolve, about 5 minutes. Place the turkey into the brine, cover, and refrigerate overnight.. The next day, remove turkey from the first marinade, shake off excess, and pat the bird dry. Discard the brine. Clean the stockpot or brining container.. In the clean stockpot, make the marinade by stirring together together sliced oranges, sliced lemons, onion, green bell pepper, parsley, cloves, garlic powder, cinnamon sticks, paprika, olive oil, and pepper. Place the turkey into the stockpot and rub the marinade into the turkey. Cover and refrigerate overnight.. On Thanksgiving Day, remove turkey from the marinade and shake off the excess. Discard the remaining marinade. Roast the turkey using your favorite method.","calories: 814, fat: 36g, carbs: 27g, protein: 93g, servings: 15",https://www.allrecipes.com/thmb/DFvK5VAmx5JaDjyAqz3xT3o_4ww=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1873697-bb0f70d31499472694719665421974a3.jpg
Apple Brine for Turkey the Night Before Cooking,https://www.allrecipes.com/recipe/172354/apple-brine-for-turkey-the-night-before-cooking/,"{'quantity': '1', 'unit': 'gallon', 'name': 'cold water'}, {'quantity': '2', 'unit': 'quarts', 'name': 'apple juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'kosher salt'}, {'quantity': '6', 'unit': 'cloves', 'name': 'garlic, peeled and crushed'}, {'quantity': '5', 'unit': 'pounds', 'name': 'ice cubes'}","Line a cooler with a large food-safe bag. Add water, apple juice, and salt to the bag; stir until salt is dissolved. Add garlic.. To use: Place turkey in brine, breast-side down; add more water as needed until turkey completely submerged. Pour ice over turkey. Seal the bag, close the cooler, and let turkey brine overnight.",,https://www.allrecipes.com/thmb/_bSjXowdcg-8y-cmf-FQQ5HxCfo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4587801-2870a100c0c54338b32b99a0cba3d2b0.jpg
