name,link,ingredients,steps,nutrition,image_url
Huke Family Vegetarian Taco Salad,https://www.allrecipes.com/huke-family-vegetarian-taco-salad-8410686,"{'quantity': '1', 'unit': 'large', 'name': 'iceberg lettuce, chopped'}, {'quantity': '3', 'unit': None, 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': None, 'name': 'oma tomatoes, seeded and chopped'}, {'quantity': '1 (15 1/2', 'unit': 'ounce)', 'name': 'can pinto beans, drained and rinsed'}, {'quantity': '1 (2 1/4', 'unit': 'ounce) can sliced ripe', 'name': 'olives, drained'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'French salad dressing'}, {'quantity': '1', 'unit': 'cup', 'name': 'nacho cheese tortilla chip'}","Combine lettuce, onions, tomatoes, beans, olives, and cheese in a large bowl. Toss.. Drizzle salad dressing over the top; toss. Add the crushed tortilla chips and toss again. Serve immediately.","calories: 302, fat: 22g, carbs: 21g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/v6aysqXd6Q9ZkcH9CZs3bOfa_JY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8410686_Huke-Family-Vegetarian-Taco-Salad_Nicole-Russell_4x3-aa5355555cd947aa813c468124cee4d7.jpg
Taco Salad,https://www.allrecipes.com/recipe/14253/taco-salad-i/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'chili beans'}, {'quantity': '1', 'unit': '(16 ounce) bottle', 'name': 'French dressing'}, {'quantity': '1', 'unit': '(1.25 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': '(14.5 ounce) package', 'name': 'tortilla chips'}, {'quantity': '1', 'unit': 'head', 'name': 'iceberg lettuce, shredded'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped tomatoes'}, {'quantity': '½', 'unit': 'cup', 'name': 'prepared salsa'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'sour cream'}",,"calories: 846, fat: 57g, carbs: 60g, protein: 26g, servings: 8",https://cdn.jwplayer.com/v2/media/XnB4clUP/poster.jpg?width=720
Doritos® Taco Salad,https://www.allrecipes.com/recipe/283687/doritos-taco-salad/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, finely diced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'dark red kidney beans, drained'}, {'quantity': '½', 'unit': '(12 ounce) bag', 'name': 'nacho cheese-flavored corn chips (such as Doritos®), crushed'}, {'quantity': '1', 'unit': 'large head', 'name': 'romaine lettuce, chopped'}, {'quantity': '1 ½', 'unit': 'medium', 'name': 'tomatoes, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese, or more to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'Catalina salad dressing, or to taste'}","Heat a large nonstick skillet over medium to medium-high heat and saute ground beef, diced onion, salt, and pepper together until ground beef is browned and no longer pink and onions are tender, about 10 minutes. Add 1/4 cup water and taco seasoning to the meat. Stir to coat and allow to simmer for 1 minute to thicken. Set aside to cool while you prep the salad.. Add kidney beans, crushed chips, lettuce, tomatoes, Cheddar cheese, and dressing to a large bowl. Top with meat mixture and toss gently to evenly combine. Serve immediately.","calories: 509, fat: 29g, carbs: 40g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/wtKrnxD0XNIWB0zQwRPtNmh4Jzs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9102778-83145b92b2dd462ab96951a67bec8747.jpg
Taco Salad III,https://www.allrecipes.com/recipe/16848/taco-salad-iii/,"{'quantity': '16', 'unit': 'ounces', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(1.25 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': 'head', 'name': 'iceberg lettuce, shredded'}, {'quantity': '1', 'unit': '', 'name': 'red onion, sliced'}, {'quantity': '1', 'unit': 'bunch', 'name': 'green onions, chopped'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'pinto beans, drained'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '2', 'unit': 'large', 'name': 'tomatoes, chopped'}, {'quantity': '1', 'unit': '', 'name': 'avocados - peeled, pitted, and cubed'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'corn chips'}, {'quantity': '1', 'unit': '(16 ounce) bottle', 'name': 'Catalina salad dressing'}","Prepare the ground beef as directed by taco seasoning package and set aside.. In a large bowl, combine the beef mixture, lettuce, red onion, green onion, pinto beans, kidney beans, tomatoes, avocado and cheese. Mix well.. Before serving, add the corn chips and enough dressing to coat. Mix well and serve immediately.","calories: 945, fat: 61g, carbs: 76g, protein: 27g, servings: 8",https://www.allrecipes.com/thmb/5qN3cx9MsZSDhFxUfGp-t2HUxi8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/709466-9c9278bc54ef44faa387bb8821ff9b22.jpg
Taco Salad with Lime Vinegar Dressing,https://www.allrecipes.com/recipe/241982/taco-salad-with-lime-vinegar-dressing/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(1 ounce) packet', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': 'head', 'name': 'romaine lettuce, chopped'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'kidney beans, rinsed and drained'}, {'quantity': '1', 'unit': '(10 ounce) basket', 'name': 'grape tomatoes, chopped'}, {'quantity': '1', 'unit': '', 'name': 'avocado, pitted and sliced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped carrots, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green bell pepper, or to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped celery, or to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Cheddar cheese, or to taste (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'champagne vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, or to taste (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'Dijon mustard'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}","Heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease. Add water and taco seasoning mix; cook and stir until water is evaporated and beef is evenly coated in seasoning mix, about 5 minutes.. Mix romaine lettuce, kidney beans, tomatoes, avocado, carrots, green bell pepper, celery, and Cheddar cheese in a large bowl; top with ground beef.. Whisk lime juice, honey, vinegar, cilantro, mustard, garlic, salt, and pepper together in a bowl until dressing is well mixed; served alongside salad.","calories: 554, fat: 26g, carbs: 52g, protein: 31g, servings: 4",https://www.allrecipes.com/thmb/EqdnKcHnrqHPlO4ZpwZCwxtphtg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4543475-taco-salad-with-lime-vinegar-dressing-Molly-4x3-1-a8023a38e8004e2cbd33eb5fe4037beb.jpg
Chicken Fiesta Salad,https://www.allrecipes.com/recipe/14316/chicken-fiesta-salad/,"{'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': '(1.27 ounce) packet', 'name': 'dry fajita seasoning, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '1', 'unit': '(11 ounce) can', 'name': 'Mexican-style corn'}, {'quantity': '½', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'mixed salad greens'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'tomato, cut into wedges'}","Rub chicken evenly with 1/2 the fajita seasoning. Heat the oil in a skillet over medium heat, and cook the chicken 8 minutes on each side, or until juices run clear; set aside.. In a large saucepan, mix beans, corn, salsa and other 1/2 of fajita seasoning. Heat over medium heat until warm.. Prepare the salad by tossing the greens, onion and tomato. Top salad with chicken and dress with the bean and corn mixture.","calories: 311, fat: 6g, carbs: 42g, protein: 23g, servings: 4",https://cdn.jwplayer.com/v2/media/26FCAc9c/poster.jpg?width=720
"Low-Carb ""Tacos""",https://www.allrecipes.com/recipe/239831/low-carb-tacos/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': '', 'name': 'onion, diced'}, {'quantity': '½', 'unit': '(4 ounce) can', 'name': 'diced jalapeno peppers'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded lettuce'}, {'quantity': '1', 'unit': '', 'name': 'tomato, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded reduced-fat Cheddar cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salsa'}, {'quantity': '¼', 'unit': 'cup', 'name': 'low-fat sour cream'}, {'quantity': '1', 'unit': '', 'name': 'avocado - peeled, pitted, and sliced'}","Cook and stir ground beef, onion, and jalapeno peppers together in a skillet over medium-high heat until meat is browned and crumbly, 7 to 10 minutes. Stir taco seasoning into meat mixture; bring to a simmer and cook until flavors combine, about 5 minutes.. Stir meat mixture, shredded lettuce, tomato, Cheddar cheese, salsa, and sour cream together in a large bowl. Divide taco mixture among 4 bowls and top each with avocado slices.","calories: 521, fat: 35g, carbs: 16g, protein: 35g, servings: 4",https://www.allrecipes.com/thmb/78J9cf5W1mp6hp0Doz1RKfWnnSo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3884031-6bbabeeff5834d69ada6c2a90056b718.jpg
Chicken Taco Salad,https://www.allrecipes.com/recipe/223029/grilled-chicken-taco-salad/,"{'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '¾', 'unit': 'cup', 'name': 'medium-hot salsa'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'brown sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '4', 'unit': '(7 inch)', 'name': 'corn tortillas'}, {'quantity': '4', 'unit': 'cups', 'name': 'shredded lettuce'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '1', 'unit': '', 'name': 'avocado - peeled, pitted, and sliced (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream (Optional)'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into wedges (Optional)'}","Preheat an outdoor grill for medium-high heat and lightly oil the grate.. Mix black beans, salsa, 1/2 cup cilantro, and lime juice in a bowl; set aside.. Mix chili powder, cumin, coriander, brown sugar, cayenne pepper, and olive oil in a bowl until smooth; rub mixture over chicken breasts.. Cook chicken breasts on preheated grill until no longer pink in the center and the juices run clear, 10 to 12 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). While the chicken is cooking, place tortillas on grill and grill until lightly brown on both sides, 3 to 5 minutes.. Transfer tortillas to a cutting board and slice into short strips; set aside. Slice chicken into long thin strips.. Place lettuce in a salad bowl; top with chicken, tortilla strips, bean salsa, remaining 1/2 cup cilantro, and avocado. Serve with sour cream and lime wedges.","calories: 470, fat: 19g, carbs: 44g, protein: 35g, servings: 4",https://cdn.jwplayer.com/v2/media/LRnraVjD/poster.jpg?width=720
Easy Black Bean Taco Salad,https://www.allrecipes.com/recipe/221919/easy-black-bean-taco-salad/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'envelope', 'name': 'taco seasoning mix'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'black beans, drained'}, {'quantity': '1', 'unit': 'head', 'name': 'romaine lettuce, shredded'}, {'quantity': '1', 'unit': '(8 ounce) jar', 'name': 'salsa'}, {'quantity': '2', 'unit': '', 'name': 'tomatoes, diced'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Mexican cheese blend'}, {'quantity': '8', 'unit': 'ounces', 'name': 'sour cream'}, {'quantity': '1', 'unit': '(10 ounce) bag', 'name': 'tortilla chips'}","Brown ground beef in a skillet over medium heat until crumbly and no longer pink, about 8 minutes; stir in taco mix and water. Cook beef mixture until thickened, about 10 more minutes.. Place black beans into a saucepan and bring to a simmer over medium heat.. Spread 1/4 of the beef mixture on a serving plate and top with 1/4 of the black beans; repeat with remaining beef mixture and beans to make 4 salads. Spread separate layers of romaine lettuce, salsa, tomatoes, and cheese over salads. Generously garnish with sour cream and tortilla chips.","calories: 1039, fat: 59g, carbs: 84g, protein: 47g, servings: 4",https://www.allrecipes.com/thmb/9Nr_InL4l-xvQ08FTdet-KMlZSA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2362282-easy-black-bean-taco-salad-Sherri-4x3-1-81c7d743da014fe0aaaa0ca61d7ad835.jpg
Sue's Taco Salad,https://www.allrecipes.com/recipe/18071/sues-taco-salad/,"{'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(1 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '½', 'unit': '(14.5 ounce) package', 'name': 'nacho-flavor tortilla chips'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '½', 'unit': '(15 ounce) can', 'name': 'kidney beans, drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'ranch-style salad dressing'}, {'quantity': '1', 'unit': '', 'name': 'chopped tomato'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped lettuce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped green onion'}","Place ground beef in a large, deep skillet over medium-high heat. Cook, stirring to crumble, until well done; drain. Stir in taco seasoning mix. Set aside to cool.. Place chips into a large bowl; crush them into bite-sized pieces. Combine with seasoned meat, cheese, beans, tomatoes, lettuce, and green onions.. Pour dressing on top; toss to coat.","calories: 626, fat: 42g, carbs: 33g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/IKc6tGm-XsyQVsiTy9ukjoDWcIY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/642470-sues-taco-salad-Rock_lobster-4x3-1-b612af5f54b24bcb9d465667db12746a.jpg
