name,link,ingredients,steps,nutrition,image_url
Beef Birria Queso Tacos with Consommé,https://www.allrecipes.com/recipe/282114/beef-birria-queso-tacos-with-consome/,"{'quantity': '2', 'unit': 'cups', 'name': 'reserved sauce from beef birria recipe'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced carrots'}, {'quantity': '¼', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced cabbage'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'reserved beef fat from beef birria recipe, or more as needed'}, {'quantity': '8', 'unit': '(5 inch)', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'cups', 'name': 'freshly grated Monterey Jack cheese'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Beef Birria'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'chopped white onion, or to taste, divided'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, or to taste, divided'}, {'quantity': '1', 'unit': 'medium', 'name': 'lime, cut into 4 wedges'}","To make the consommé: Stir beef birria sauce, chicken broth, carrots, celery, and cabbage together in a saucepan over high heat. Bring to a simmer, then reduce the heat to medium-low and simmer, occasionally brushing the caramelized bits (fond) off the side with the hot liquid, until vegetables are nice and tender and consommé has reached the desired consistency, about 20 minutes. Reduce the heat to low and keep hot while you prepare the tacos.. To make the tacos: Heat some reserved beef fat in a large skillet over medium heat until melted. Add two tortillas and flip with a spatula until generously coated in fat. Toast briefly until golden brown, then cover with Monterey Jack cheese and some shredded beef. Drizzle each taco with about 1 tablespoon consommé liquid, then top with some white onion and cilantro.. Fold tacos in half and press gently. Continue to cook, flipping back and forth, until browned and crispy, 2 to 3 minutes. Transfer to a plate and repeat to make remaining tacos, adding more fat if necessary.. Ladle consommé into a bowl and garnish with any remaining white onion and cilantro. Squeeze lime wedges into consommé and serve with tacos.","calories: 337, fat: 19g, carbs: 27g, protein: 17g, servings: 4",https://cdn.jwplayer.com/v2/media/5nO5A1Qd/poster.jpg?width=720
Our Most Saved Taco Recipe of All Time,https://www.allrecipes.com/our-most-saved-taco-recipe-of-all-time-8639608,,,,https://www.allrecipes.com/thmb/sYbmpNZhPVYvQA2yUWqjx1q42T0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/65338-Birria-de-Res-Tacos-ddmfs-4x3-2563-ca793a7c87c54af5ab600fd463ba2467.jpg
Smash Burger Taco,https://www.allrecipes.com/smash-burger-taco-recipe-7485747,"{'quantity': '1/4', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'ketchup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'relish'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'hot sauce'}, {'quantity': '1', 'unit': 'lb', 'name': 'ground round'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '4', 'unit': '(6-inch)', 'name': 'flour tortillas'}, {'quantity': '2', 'unit': 'slices', 'name': 'American cheese,'}, {'quantity': '1', 'unit': 'cup shredded', 'name': 'lettuce'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'diced onion'}","Combine mayo, ketchup, mustard, relish, and hot sauce in a small bowl; set sauce aside.. Heat a griddle over medium-high heat.. Divide beef into 4 loose portions and place them in mounds on the hot griddle. Season evenly with salt and pepper and cook for 2 minutes. Place a tortilla on top of each beef portion and press down to flatten the beef into the shape and size of the tortilla.. Cook until tortilla is golden-brown, 2 to 3 more minutes. Flip each patty over and top with cheese. When cheese has melted and the tortilla has lightly browned, top with lettuce and onions. Drizzle with sauce, remove from the griddle and fold in half like a taco. Serve immediately.","calories: 508, fat: 34g, carbs: 13g, protein: 37g, servings: 4",https://cdn.jwplayer.com/v2/media/FLIJE6Rf/poster.jpg?width=720
Phenomenal Pork Tacos,https://www.allrecipes.com/recipe/269743/poblano-and-ground-pork-tacos/,"{'quantity': '1', 'unit': '', 'name': 'red onion, halved and thinly sliced'}, {'quantity': '1', 'unit': '', 'name': 'Roma tomato, seeded and finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'ripe kiwi, diced'}, {'quantity': '1', 'unit': '', 'name': 'lime, quartered, divided'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped cilantro, divided'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '', 'unit': '', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'poblano pepper - cored, seeded, and finely chopped'}, {'quantity': '10', 'unit': 'ounces', 'name': 'ground pork'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Mexican seasoning'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tomato paste'}, {'quantity': '6', 'unit': '', 'name': 'flour tortillas'}","Mince a few slices of onion to get 1 tablespoon. Add minced onion, tomato, kiwi, juice from 2 lime wedges, 3/4 of the cilantro, salt, and pepper to a small bowl. Mix into a salsa.. Juice 1/4 of the lime into another small bowl; mix in sour cream to make the crema.. Heat olive oil in a large pan over medium-high heat. Add sliced onion and poblano pepper. Cook, tossing occasionally, until softened and lightly charred, 3 to 4 minutes. Add pork and Mexican seasoning. Cook until pork is browned throughout, 4 to 5 minutes. Reduce heat to medium-low. Add chicken stock, tomato paste, salt, and pepper. Cook and stir until everything is coated, 1 to 2 minutes.. Wrap tortillas in a damp cloth and microwave for 30 seconds. Divide tortillas over plates; spread lime crema on top. Top tortillas with pork mixture and salsa. Garnish with remaining cilantro.","calories: 392, fat: 17g, carbs: 45g, protein: 15g, servings: 6",https://www.allrecipes.com/thmb/6jz6UEL93r0cTdI2vQFvPIDgoOU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4950514-eb821f67d9fe4041ac9642221f16a53e.jpg
Shrimp Tacos with Cilantro-Lime Crema,https://www.allrecipes.com/recipe/280916/shrimp-tacos-with-cilantro-lime-crema/,"{'quantity': '2', 'unit': 'pounds', 'name': 'large frozen peeled and deveined shrimp, thawed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly minced garlic'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'grated Valencia orange zest'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil, or more as needed'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sour cream'}, {'quantity': '1', 'unit': '', 'name': 'lime, zested and juiced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped fresh cilantro'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper'}, {'quantity': '20', 'unit': '(6 inch)', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': '', 'name': 'avocados, thinly sliced, or to taste'}, {'quantity': '1', 'unit': '', 'name': 'red onion, finely diced, or to taste'}, {'quantity': '½', 'unit': 'bunch', 'name': 'fresh cilantro, chopped, or to taste'}, {'quantity': '1', 'unit': None, 'name': 'jalapeño pepper, diced, or to taste (Optional)'}, {'quantity': '2', 'unit': '', 'name': 'limes, cut into wedges, or as needed'}","Rinse defrosted shrimp under cold water, drain, and pat dry.. Combine shrimp, chili powder, garlic, paprika, cumin, onion powder, 1/2 teaspoon salt, 1/2 teaspoon black pepper, coriander, and orange zest in a bowl. Mix well.. Heat olive oil in nonstick frying pan over medium-high heat. Add shrimp and cook until bright pink on the outside and the meat is opaque, 4 to 5 minutes on each side, depending on the size of the shrimp.. While shrimp cooks, prepare crema by whisking together sour cream, zest and juice of 1 lime, 1 teaspoon cilantro, garlic powder, and 1 pinch each of salt and black pepper.. Heat corn tortillas in either a pan or on a griddle over low heat, 1 to 2 minutes per side. Be careful not to let them burn. Set aside.. Assemble tacos by spreading 1 teaspoon crema across each tortilla, adding 3 or 4 shrimp, 2 slices of avocado, a sprinkle of fresh red onion, cilantro, and jalapeño. Serve with sliced limes to squeeze on top and extra crema on the side.","calories: 147, fat: 6g, carbs: 15g, protein: 10g, servings: 20",https://www.allrecipes.com/thmb/Zn2RPAHWj71aOmYzhiKRbRHu5yU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/280916-shrimp-tacos-with-cilantro-lime-crema-4x3-0389-1b3aec87d6e54bd0b1f06b0e36478124.jpg
Barbacoa Tacos,https://www.allrecipes.com/recipe/8497570/barbacoa-tacos/,"{'quantity': '2', 'unit': '', 'name': 'ripe plum tomatoes'}, {'quantity': '1', 'unit': 'small', 'name': 'white onion, quartered'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, peeled'}, {'quantity': '4', 'unit': '', 'name': 'chipotle peppers in adobo sauce'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': '(3 pound)', 'name': 'beef chuck roast, cut into 6-equal sized cubes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '3', 'unit': '', 'name': 'fresh bay leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lime juice'}, {'quantity': '', 'unit': '', 'name': 'corn tortillas, warmed'}, {'quantity': '2', 'unit': '', 'name': 'ripe avocados, peeled, pitted and sliced'}, {'quantity': '½', 'unit': 'bunch', 'name': 'radishes, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, or to taste'}","Heat a large cast iron skillet over medium-high. Arrange whole tomatoes, onions (cut-side down), and garlic in the dry skillet in a single layer, working in batches if needed. Cook, turning occasionally, until charred on all sides, about 6 minutes for the garlic and about 12 minutes for the onions and tomatoes.. Transfer charred vegetables to a blender and add chipotle peppers. Process until smooth, about 1 minute.. Stir salt, chili powder, cumin, and black pepper together in a small bowl; season beef evenly with salt mixture.. Heat oil in a Dutch oven over medium-high heat. Add beef in batches and cook, turning occasionally, until browned on all sides, about 3 minutes per side. Transfer browned beef to a large plate.. Pour water into the Dutch oven and scrape up any browned bits from the bottom of the pan. Stir in onion-tomato mixture, brown sugar, oregano, and bay leaves. Reduce heat to medium-low and bring to a simmer.. Nestle beef back into pot and cover. Cook, stirring and re-nestling beef occasionally (about every 20 to 30 minutes), until beef is tender and pulls easily apart with a fork, 1 hour and 45 minutes to 2 hours and 15 minutes. Remove bay leaves and discard.. Remove beef from Dutch oven, place on cutting board; shred beef using 2 forks.. Return beef to the Dutch oven, add lime juice, and stir to combine.. Serve in corn tortillas with avocado, radishes, and cilantro.","calories: 771, fat: 56g, carbs: 25g, protein: 43g, servings: 6",https://www.allrecipes.com/thmb/eGQdH0fidiTDY3ZAtDd0xlZ5oko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/barbacoa-mfs-beauty-2x3-1-eee36a8f80d44948b18ce6e08654442c.jpg
Traditional Mexican Street Tacos,https://www.allrecipes.com/recipe/257988/traditional-mexican-street-tacos/,"{'quantity': '6', 'unit': '(5-inch)', 'name': 'corn tortillas'}, {'quantity': '3', 'unit': 'cups', 'name': 'chopped cooked chicken'}, {'quantity': '4', 'unit': 'sprigs', 'name': 'fresh cilantro, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped white onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'guacamole'}, {'quantity': '1', 'unit': '', 'name': 'lime, cut into wedges'}","Place a paper towel on a microwave-safe plate and top with tortillas; heat in the microwave for 10 seconds.. Place chicken in a microwave-safe bowl; heat in the microwave until heated through, 30 seconds to 1 minute.. Layer chicken, cilantro, onion, and guacamole, in that order, onto each tortilla. Squeeze lime juice over each taco.","calories: 697, fat: 30g, carbs: 44g, protein: 64g, servings: 2",https://www.allrecipes.com/thmb/ubTOIArAPNkDHloBqVtxlrPsgMI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5414541-1e498b617cf84c479998b9903009a851.jpg
Birria de Pollo (Chicken Birria) Tacos,https://www.allrecipes.com/recipe/8463920/birria-de-pollo-chicken-birria-for-tacos/,"{'quantity': '4', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '4', 'unit': '', 'name': 'dried guajillo chiles, stemmed and seeded'}, {'quantity': '4', 'unit': '', 'name': 'dried ancho chiles, stemmed and seeded'}, {'quantity': '1', 'unit': '', 'name': 'dried de árbol chile, stemmed and seeded (Optional)'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'canola oil, divided'}, {'quantity': '1', 'unit': 'medium', 'name': 'white onion, quartered, divided'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'fire-roasted diced tomatoes'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'apple cider vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cloves'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'skinless, boneless chicken breasts'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '12', 'unit': '(6 inch)', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, or to taste'}, {'quantity': '12', 'unit': '', 'name': 'lime wedges, for serving'}","Add chicken broth to a medium saucepan and bring to a boil over medium-high. Remove from heat and add dried chiles. Cover and let sit until chiles have softened, about 10 minutes.. Meanwhile, heat 2 tablespoons of the oil in a large pot or Dutch oven over medium-high. Add 3 of the onion quarters, reserving the last quarter for later use, and garlic to pan. Cook, flipping once, until charred, about 6 minutes. Remove from heat (do not wipe out the pot), and transfer onion and garlic to a blender. Add chicken broth, chiles, tomatoes, vinegar, 1 teaspoon salt, cumin, oregano, pepper, and cloves. Secure lid on blender, and remove center piece to allow steam to escape. Place a clean towel over opening. Process until combined, about 1 to 2 minutes. Pour through a fine mesh strainer into a large bowl.. Season chicken with remaining 1 teaspoon salt. Add remaining 1 tablespoon oil in to the large pot; heat over medium-high. Add chicken; cook, flipping once, until golden brown, about 3 minutes per side. Pour blended chile mixture over meat chicken and top with bay leaf. Cover and cook over medium-low until chicken is cooked through, about 25 minutes.. Meanwhile, chop remaining onion quarter. Set aside.. Uncover pot, discard bay leaf, and remove chicken from chile mixture and shred. Transfer shredded chicken to a large bowl and top with 1 cup of the chile mixture; leave remaining mixture in the Dutch oven pot over medium-low.. Heat remaining 1 tablespoon oil in a large nonstick skillet over medium-high. Working with 1 tortilla at a time, quickly dip tortilla into sauce until well coated. Transfer to skillet and top with 1/4 cup of the chicken. Repeat process with as many tortillas as will fit on in skillet. Cook until tortillas are golden brown and beginning to crisp, 1 to 2 minutes. Fold tortillas in half and transfer to a plate. Repeat process with remaining sauce, meat chicken and tortillas.. Divide tacos evenly among 6 plates. Top with reserved chopped onion and cilantro and serve with lime wedges.","calories: 255, fat: 11g, carbs: 8g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/8jz87DS7WSOhOUXWel-i_wuz6nI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4Birria-de-Pollo-Chicken-Birria-Tacos-2000-ea9bd90833da4fe8a623acec1337f907.jpg
Ground Turkey Taco Meat,https://www.allrecipes.com/recipe/255545/ground-turkey-taco-meat/,"{'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '12', 'unit': 'ounces', 'name': 'ground turkey'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cider vinegar'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'brown sugar'}","Gather all ingredients.. Combine chili powder, cumin, paprika, salt, garlic powder, onion powder, oregano, and cayenne in a small bowl.. Heat a large nonstick skillet over medium heat. Add ground turkey and cook, stirring to break up clumps, until no longer pink, about 5 minutes.. Stir in spice mixture and water. Reduce heat and simmer, stirring occasionally, until most of the liquid is absorbed, about 10 minutes.. Stir in cider vinegar and brown sugar; simmer until flavors combine, 3 to 4 minutes.. Transfer to a serving bowl.. Serve and enjoy!","calories: 201, fat: 10g, carbs: 6g, protein: 21g, servings: 3",https://cdn.jwplayer.com/v2/media/0oDUz5K2/thumbnails/l2HskoXE.jpg
Sarah's Easy Shredded Chicken Taco Filling,https://www.allrecipes.com/recipe/220326/sarahs-easy-shredded-chicken-taco-filling/,"{'quantity': '1', 'unit': 'pound', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced onion'}, {'quantity': '¼', 'unit': 'cup', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'pinch', 'name': 'chili powder'}","Gather all ingredients.. Place chicken breasts in a saucepan and cover with water. Bring to a boil over medium heat, then simmer until no longer pink, 10 to 12 minutes.. Transfer chicken breasts to a bowl. Allow to cool briefly, then shred with 2 forks.. Heat vegetable oil in a saucepan over medium heat. Add onion and cook until translucent, 2 to 3 minutes.. Stir in shredded chicken, tomato sauce, cumin, and chili powder. Bring to a boil, then reduce heat to low and simmer until chicken is hot and flavors have blended, about 3 minutes.. Serve and enjoy!","calories: 213, fat: 6g, carbs: 1g, protein: 35g, servings: 4",https://cdn.jwplayer.com/v2/media/ZpkLONcT/thumbnails/ikcZWLT2.jpg
