name,link,ingredients,steps,nutrition,image_url
Tamales Rojos de Pollo (Red Chicken Tamales),https://www.allrecipes.com/recipe/261684/red-chicken-tamales-tamales-rojos-de-pollo/,"{'quantity': '', 'unit': '', 'name': 'corn husks'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'mulato chiles, stemmed and seeded'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'ancho chiles, stemmed and seeded'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '8', 'unit': '', 'name': 'cumin seeds'}, {'quantity': '', 'unit': '', 'name': 'boiling water as needed'}, {'quantity': '½', 'unit': 'pound', 'name': 'lard'}, {'quantity': '1', 'unit': 'pound', 'name': 'masa harina'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth, or as needed'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}","Place corn husks in a bowl, cover with boiling water, and soak for a few hours. Drain, place on a work surface, and cover with a clean, damp towel.. Place chicken in a pot, season with salt, and cover with water. Bring to a boil over medium-high heat, reduce heat, cover, and simmer until chicken is cooked through, 20 to 25 minutes. Drain chicken and shred with 2 forks.. Heat a griddle over medium heat and toast mulato and ancho chiles until fragrant, 3 to 5 minutes. Place in a bowl and cover with boiling water. Soak until soft, about 25 minutes. Combine ancho and mulato chiles, garlic, cumin seeds, and about 1/2 cup of the soaking water in a blender; blend until a thick, smooth, mole-like sauce forms, adding more water if necessary.. Heat 1 tablespoon lard in a saucepan over medium heat and add the sauce; cook for 3 to 5 minutes. Add shredded chicken and cook until flavors are combined and chicken is heated through, about 5 minutes.. Place remaining lard in a large bowl; beat with an electric mixer until creamy. Add masa harina, chicken broth, baking powder, and 1 1/2 teaspoon salt, and beat until all ingredients are well combined. Test if the masa is ready by dropping a small ball of masa into a glass of cold water; if it floats, it's ready, if not, keep working the dough a little longer.. Select 1 wide corn husk. Spread about 2 tablespoons masa mixture onto the the corn husk, filling it up to 2 inches from the bottom and 1/4 inch from the top. Add 1 tablespoon of the chicken filling in the center of the masa mixture. Fold sides of husk together, one over the other. Fold the bottom of the husk over the seam of the 2 folded sides. Repeat with remaining husks.. Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add tamales with the open side up and cook until filling is heated through and separates from the husk, about 1 hour. Let tamales rest for 15 minutes before serving.","calories: 131, fat: 8g, carbs: 12g, protein: 5g, servings: 35",https://www.allrecipes.com/thmb/9CuYkqDZ7ZVkCG7rfl-Ye6qu_CM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4621467-red-chicken-tamales-tamales-rojos-de-pollo-sara.hernandez.maldonado-4x3-1-62975491ff2f403f815e5165b3086407.jpg
Real Homemade Tamales,https://www.allrecipes.com/recipe/34512/real-homemade-tamales/,"{'quantity': '1 ¼', 'unit': 'pounds', 'name': 'pork loin'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, halved'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '4', 'unit': '', 'name': 'dried chile peppers'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'dried corn husks'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'lard'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'beef broth, or as needed'}, {'quantity': '2', 'unit': 'cups', 'name': 'masa harina'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}",,"calories: 246, fat: 15g, carbs: 16g, protein: 12g, servings: 16",https://cdn.jwplayer.com/v2/media/UsbC1kUK/thumbnails/e4FXuzji.jpg
Beef Tamales,https://www.allrecipes.com/recipe/34759/beef-tamales/,"{'quantity': '4', 'unit': 'pounds', 'name': 'boneless chuck roast'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '3', 'unit': '(8 ounce) packages', 'name': 'dried corn husks'}, {'quantity': '4', 'unit': '', 'name': 'dried ancho chiles'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped fresh oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin seeds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white vinegar'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '3', 'unit': 'cups', 'name': 'lard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '9', 'unit': 'cups', 'name': 'masa harina'}","Place beef and garlic in a large pot. Cover with cold water and bring to a boil over high heat; reduce heat, cover, and simmer until beef is tender and shreds easily, about 3 1/2 hours. Remove beef from pot, reserving 5 cups cooking liquid and discarding garlic. Allow meat to cool slightly; shred finely with forks.. Meanwhile, place corn husks in a large container and cover with warm water; soak, weighed down with an inverted plate and a heavy can, until soft and pliable, about 3 hours.. Toast ancho chiles in a cast iron skillet; cool, then remove stems and seeds. Crumble and grind in a clean coffee grinder or with a mortar and pestle.. Heat oil in a large skillet; stir in flour and allow to brown slightly. Pour in 1 cup beef broth and stir until smooth. Mix in ground chiles, garlic, oregano, cumin seeds, ground cumin, red pepper flakes, vinegar, and salt. Stir shredded beef into skillet and cover. Let simmer for 45 minutes.. Place lard and salt in a large mixing bowl; beat with an electric mixer on high speed until fluffy. Add masa harina and beat at low speed until well mixed. Pour in reserved cooking liquid, a little at a time, until mixture is the consistency of soft cookie dough.. Drain water from corn husks. One at a time, flatten out each husk, with the narrow end facing you, and spread approximately 2 tablespoons masa mixture onto the top 2/3 of the husk. Spread about 1 tablespoon of meat mixture down the middle of the masa. Roll up the corn husk starting at one of the long sides. Fold the narrow end of the husk onto the rolled tamale and tie with a piece of butchers' twine.. Place tamales in a steamer basket. Steam over boiling water for approximately one hour, until masa is firm and holds its shape, adding more water if needed so the steamer does not boil dry. Serve immediately, allowing each person to unwrap their own tamales.","calories: 347, fat: 24g, carbs: 23g, protein: 9g, servings: 36",https://www.allrecipes.com/thmb/BXtKC2CVO5uPaydHGNnNzqImuVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/54942-cdbda87918c3458abaf97a89bf3f524f.jpg
Poblano and Cheese Tamales (Tamales de Rajas con Queso),https://www.allrecipes.com/recipe/261634/poblano-and-cheese-tamales-tamales-de-rajas-con-queso/,"{'quantity': '', 'unit': '', 'name': 'corn husks'}, {'quantity': '10', 'unit': 'ounces', 'name': 'poblano peppers'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'fresh tomatillos, husks removed'}, {'quantity': '11', 'unit': 'ounces', 'name': 'lard, divided'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'masa harina'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'chicken broth, or as needed'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'sliced Monterey Jack cheese'}","Place corn husks in a large bowl and cover with boiling water. Allow to soak for 30 to 60 minutes. Drain, place husks on a work surface, and cover with a clean, damp towel.. While husks are soaking, line a heavy cast iron grill pan or griddle with aluminum foil and place it over high heat. Arrange poblano peppers in a single layer over foil. Grill until peppers are blackened, turning as necessary, 3 to 5 minutes. Transfer to a resealable plastic bag and let them steam, 10 to 15 minutes. Peel off skins and remove seeds. Cut into strips and set aside.. Place tomatillos in a medium pot and cover with water; bring to a boil. Cook until tomatillos change color, about 5 minutes. Drain, place in a blender, and blend until smooth. Set sauce aside.. Heat 1 tablespoon lard in a large pot over medium heat. Cook and stir onion in hot lard until soft and translucent, about 5 minutes. Add blended tomatillos; season with salt and pepper. Bring to a boil, reduce heat, and simmer until flavors are well combined, about 5 minutes. Add poblano pepper strips and cilantro; cook at a boil for 5 minutes. Remove from heat and allow to cool, about 10 minutes.. Beat remaining lard in a large bowl with an electric mixer until creamy. Season with salt and continue beating for a few minutes. Beat in masa harina and baking powder until well combined. Mix in broth, 1/4 cup at a time, until dough has a smooth and workable consistency that is not too wet, similar to cookie dough. Test if masa mixture is ready by dropping a small ball of masa into a glass of cold water; if it floats, it's ready; if not, keep working dough a little longer.. Select 1 wide corn husk or 2 small ones. Spread about 2 tablespoons masa mixture onto corn husk, filling it 2 inches from the bottom and 1/4 inch from the top. Add 1 tablespoon tomatillo sauce and a Monterey Jack cheese slice in the center of masa mixture. Fold the sides of husk together, one over the other. Fold the bottom of the husk over the seam of the 2 folded sides. Repeat with remaining husks.. Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Place tamales, open-side up, into the insert. Cover and steam until filling is heated through and separates from husk, about 1 hour 15 minutes. Let tamales rest for 15 minutes before serving.","calories: 252, fat: 18g, carbs: 19g, protein: 5g, servings: 24",https://www.allrecipes.com/thmb/xCwBU-Eu1jElbvmy9e8o8SuQdZg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7299735-34f9f7f2de3648278bcb003cf82e1236.jpg
Pork for Tamales,https://www.allrecipes.com/recipe/20772/pork-for-tamales/,"{'quantity': '1', 'unit': 'pound', 'name': 'pork butt roast'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '½', 'unit': '', 'name': 'onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, peeled'}, {'quantity': '1', 'unit': '', 'name': 'bay leaf'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '8', 'unit': '', 'name': 'black peppercorns'}, {'quantity': '1', 'unit': '', 'name': 'dried red chile pepper'}","Trim fat from pork butt. Cut into chunks and place in a large saucepan. Add water, onion, garlic, bay leaf, salt, peppercorns and chile pepper. Bring to a boil; skim foam from surface. Reduce heat, cover and simmer for 1 hour.. Drain broth, let meat cool and shred with a fork. Refrigerate overnight if desired.","calories: 32, fat: 2g, carbs: 1g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/t4OPRYcW0irbAnYZgRyE8-fjlkg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1040522-8da3fb3eaacf455b95c5eb93e20c37da.jpg
Tamales Oaxaqueños (Oaxacan-Style Tamales),https://www.allrecipes.com/recipe/261685/tamales-oaxaquenos-oaxacan-style-tamales/,"{'quantity': '11', 'unit': 'ounces', 'name': 'lard, divided'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '9', 'unit': 'cups', 'name': 'masa harina'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm chicken broth, divided'}, {'quantity': '3', 'unit': '', 'name': 'fresh tomatillos, husks removed'}, {'quantity': '1', 'unit': '', 'name': 'ancho chile pepper - stems, seeds, and veins removed'}, {'quantity': '1', 'unit': '', 'name': 'mulato chile pepper - stems, seeds, and veins removed'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'pinch', 'name': 'freshly ground black pepper, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed dried oregano'}, {'quantity': '1', 'unit': 'pound', 'name': 'shredded cooked chicken'}, {'quantity': '36', 'unit': '', 'name': 'banana leaves, softened'}","Beat 9 ounces lard in a large bowl with an electric mixer until creamy. Add salt and continue beating for a few minutes. Add masa harina and beat well until combined. Add chicken broth, 1/4 cup at a time, beating until masa has a smooth and workable consistency similar to cookie dough, about 3/4 cup total. Test if the masa is ready by dropping a small ball of masa into a glass of cold water; if it floats, it's ready, if not, beat the dough a little longer.. Combine tomatillos, ancho chile pepper, mulato chile pepper, garlic, salt, pepper, and oregano in a blender; blend until smooth.. Heat remaining 2 ounces lard in a skillet and cook tomatillo sauce until lightly thickened, 3 to 5 minutes. Add shredded chicken and a little of the remaining chicken broth. Cook over low heat until chicken filling has thickened, about 10 minutes.. Spread 2 to 3 tablespoons masa mixture onto 1 banana leaf, filling it up to 2 inches from the bottom and 1/4 inch from the top. Add 1 tablespoon of the chicken filling in the center of the masa mixture. Fold sides of banana leaf together, one over the other. Fold the bottom of the banana leaf over the seam of the 2 folded sides and tie together with kitchen string. Repeat with remaining banana leaves.. Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add tamales with the open side up and cook until filling is heated through and separates from the leaf, 1 hour 30 minutes to 2 hours. Let tamales rest for 15 minutes before serving.","calories: 210, fat: 11g, carbs: 22g, protein: 6g, servings: 36",https://www.allrecipes.com/thmb/8pVNZwRZqtH-Hh7DeZ1tHeQzBzE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5079311-2493ac08037a4877928e6c462aac53d0.jpg
Tamales de Puerco (Red Pork Tamales),https://www.allrecipes.com/recipe/261633/tamales-de-puerco-red-pork-tamales/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'boneless pork shoulder, trimmed'}, {'quantity': '½', 'unit': '', 'name': 'onion'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '', 'unit': '', 'name': 'water to cover'}, {'quantity': '', 'unit': '', 'name': 'corn husks'}, {'quantity': '1', 'unit': 'pound', 'name': 'Roma tomatoes'}, {'quantity': '4', 'unit': '', 'name': 'dried chile de arbol peppers'}, {'quantity': '4', 'unit': 'small', 'name': 'guajillo chile peppers, stemmed and seeded'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'lard'}, {'quantity': '4 ½', 'unit': 'cups', 'name': 'fresh corn masa dough'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}","Cut pork into 3 chunks and place in a large saucepan. Add onion, garlic, bay leaves, and salt and cover with water. Bring to a boil; skim foam from surface. Reduce heat, cover, and simmer for 1 hour. Remove pork and let cool. Strain broth and reserve.. Bring a pot of water to a boil while pork is cooking. Add tomatoes, arbol chiles, and guajillo chiles, and boil until chiles are soft, about 5 minutes. Remove with a slotted spoon, reserving cooking water, and allow to cool.. Place corn husks in a bowl, cover with boiling water, and soak for 30 to 60 minutes. Drain, place on a work surface, and cover with a clean, damp towel.. Combine tomatoes, 1/2 cup cooking water, chiles de arbol, guajillo chiles, and cornstarch in a blender; blend until smooth. Strain tomato sauce through a fine-mesh sieve.. Beat lard with an electric mixer in a large bowl until fluffy. Combine masa, 1 cup reserved pork broth, 1 tablespoon salt, and baking powder in a separate bowl and mix until smooth. Add masa mixture to lard and mix until it has a smooth cookie dough consistency. Test if the masa is ready by dropping a small ball of masa into a glass of cold water; if it floats, it's ready, if not, keep beating for a little longer.. Shred cooled pork with 2 forks.. Select 1 wide corn husk or 2 small ones. Spread about 2 tablespoons masa mixture onto the the corn husk, filling it up to 2 inches from the bottom and 1/4 inch from the top. Add 1 tablespoon of the tomato sauce and pork down the center of the masa mixture. Fold sides of husk together, 1 over the other. Fold the bottom of the husk over the seam of the 2 folded sides. Repeat with remaining husks.. Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add tamales with the open side up and cook until filling is heated through and separates from the husk, about 1 hour. Let tamales rest for 15 minutes before serving.","calories: 344, fat: 20g, carbs: 30g, protein: 10g, servings: 15",https://www.allrecipes.com/thmb/DFsfDEqsVeCl5TWhSgL48dW3WFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4585137-02f7c9171632486098e40f3c8835d270.jpg
Sweet Pineapple Tamales,https://www.allrecipes.com/recipe/262521/sweet-pineapple-tamales/,"{'quantity': '', 'unit': '', 'name': 'corn husks'}, {'quantity': '2', 'unit': 'pounds', 'name': 'fresh corn masa dough'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'warm water, or as needed'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable shortening, at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'pineapple, drained and finely chopped'}","Place corn husks in a bowl, cover with boiling water, and soak for 30 to 60 minutes. Drain, place on a work surface, and cover with a clean, damp towel.. While corn husks are soaking, combine masa dough, baking soda, and water in a bowl. Knead until dough has a smooth and even consistency, adding more water, 1 teaspoon at a time, as needed. Take care not to add too much water.. Beat butter, vegetable shortening, and sugar together in a second bowl with an electric mixer until smooth and creamy. Slowly add masa dough and knead until mixture has a uniform consistency. Mix in chopped pineapple.. Spread about 1 tablespoon masa mixture onto a corn husk. Fold the bottom of the husk over the filling, then fold sides of husk together, one over the other. Finally fold the top of the husk into the tamale, making a little package. Repeat with remaining husks.. Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil, then reduce heat to medium low. Add tamales with the open side up and cook covered until filling is heated through and separates from the husk, about 1 hour.","calories: 199, fat: 14g, carbs: 20g, protein: 1g, servings: 30",https://www.allrecipes.com/thmb/KZNl6-mQkLd4cThwmSt0oo8VofY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7436904-4ee24c26f15541839d55dfa3bdd49e64.jpg
Tamale Casserole,https://www.allrecipes.com/recipe/16363/tamale-casserole/,"{'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'beef tamales'}, {'quantity': '2', 'unit': 'bunches', 'name': 'green onions, chopped'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Cheddar cheese'}, {'quantity': '3', 'unit': 'cups', 'name': 'crushed tortilla chips'}, {'quantity': '2', 'unit': '(16 ounce) cans', 'name': 'chili without beans'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}","Preheat oven to 350 degrees F (175 degrees C).. Unwrap tamales and cut into thick chunks. Place a portion of the chopped tamales in the bottom of a 2 quart casserole dish. Then layer the onions, cheese, tortilla chips and chili without beans.. Repeat this until all ingredients are used, topping off with cheese and chips. Then sprinkle with the water.. Bake, uncovered, at 350 degrees F (175 degrees C) for 40 to 45 minutes.","calories: 680, fat: 42g, carbs: 48g, protein: 30g, servings: 6",https://www.allrecipes.com/thmb/TTc0WubMUpMKufVuPVTowrgJPA4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3599504-tamale-casserole-Amy-Lawler-4x3-1-72e1793d1b254ea3a967ad18b93b68ab.jpg
Homemade Beef Tamales,https://www.allrecipes.com/recipe/222502/homemade-beef-tamales/,"{'quantity': '5', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(4 ounce) can', 'name': 'chopped roasted green chile peppers'}, {'quantity': '5', 'unit': 'teaspoons', 'name': 'hot pepper sauce (such as Cholula®)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, pressed, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced white onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cayenne pepper'}, {'quantity': '1', 'unit': '(2 pound) package', 'name': 'yellow masa flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lard'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'cups', 'name': 'water, divided'}, {'quantity': '', 'unit': '', 'name': '50 dried corn husks'}, {'quantity': '8', 'unit': 'ounces', 'name': 'grated Chihuaua cheese, or to taste'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'chili powder'}","Heat a large cast-iron skillet over medium heat. Add beef, green chiles, hot sauce, salt, 3 cloves garlic, onion, black pepper, and cayenne pepper. Cook and stir until beef is thoroughly browned, 10 to 15 minutes. Drain and reserve the drippings.. Combine reserved drippings, masa, lard, and baking powder in a large bowl. Mix well. Add up to 1 cup water, 1 teaspoon at a time, until mixture is as thick as biscuit dough. Divide into 50 equal balls. Place dough balls between 2 cutting boards each lined with a sheet of waxed paper; flatten into circles.. Place each dough circle into a corn husk. Spoon about 3 tablespoons beef mixture in a line across the middle of each husk. Top with a small amount of cheese. Fold opposing sides of the tortilla to overlap the filling. Roll the husk around the tamale and fold in one end.. Combine the remaining 1 clove garlic, 1 cup water, and chili powder in a small saucepan over medium-high heat. Bring chili sauce to a boil. Remove from heat.. Stand a batch of the tamales, folded ends-down, in a steamer basket on top of a double boiler over simmering water. Bring water to a boil; cover and steam for 20 minutes. Remove tamales from heat; remove husks and top tamales with the chili sauce. Repeat with remaining tamales.","calories: 375, fat: 20g, carbs: 30g, protein: 21g, servings: 25",https://www.allrecipes.com/thmb/g3kdbZxFr8eRAbOw7kUGZ9iNnDk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4581906-3e4514c0791b47fc915cc756d0ded30c.jpg
