name,link,ingredients,steps,nutrition,image_url
Philly Cheesesteak Smothered Tater Tots,https://www.allrecipes.com/philly-cheesesteak-smothered-tater-tots-recipe-8747185,"{'quantity': '1', 'unit': '(2 pound)-package', 'name': 'tater tots'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1', 'unit': '(12 ounce) box', 'name': 'frozen sandwich beef'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Montreal steak seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a large baking sheet with foil; arrange tater tots on the sheet in a single layer.. Bake in the preheated oven until golden, about 20 minutes.. Meanwhile, cook and stir onion, green pepper, and red  pepper in a large skillet over medium-high heat for 5 minutes. Add beef, Worcestershire sauce, and steak seasoning. Cook until most of liquid has evaporated, about 6 minutes.. Divide beef mixture over baked tater tots with a slotted spoon. Sprinkle shredded cheese over the top.. Bake until cheese is melted and beginning to brown, about 5 minutes more.","calories: 542, fat: 29g, carbs: 48g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/5-pVPK0-SZYmG5bfo003ipHouHs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747185_Philly-Cheesesteak-Smothred-Tater-Tots_Nicole-Russell_4x3-bb148a6f261244dfb41a2b5405a660eb.jpg
Buffalo Chicken Tater Tot Casserole,https://www.allrecipes.com/buffalo-chicken-tater-tot-casserole-recipe-8672248,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of chicken soup'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'ranch dressing'}, {'quantity': '2/3', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'buffalo-style hot sauce (such as Frank’s RedHot'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '5', 'unit': 'cups', 'name': 'shredded rotisserie chicken'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'sharp Cheddar cheese, shredded'}, {'quantity': '6', 'unit': 'cups', 'name': 'potato tots'}, {'quantity': None, 'unit': None, 'name': 'scallions, for garnish'}","Gather all ingredients. Preheat oven to 425 degrees F (220 degrees C). Lightly coat a 9x13 inch baking dish with cooking spray.. Whisk together cream of chicken soup, ranch dressing, sour cream, hot sauce, garlic powder, and black pepper in a large bowl until fully combined. Fold in chicken and 3/4 cup Cheddar until fully coated in ranch mixture. Transfer to the prepared baking dish. Top evenly with potato tots.. Transfer to prepared baking dish. Top evenly with potato tots.. Bake in the preheated oven until potato tots are golden brown and cooked through and filling is bubbling around edges, about 25 minutes. Remove pan from oven, and sprinkle remaining 3/4 cup Cheddar evenly over potato tots.. Return to the oven, and continue to bake at 425 degrees F (220 degrees C) until Cheddar is melted, about 5 minutes. Garnish with scallions.","calories: 495, fat: 35g, carbs: 33g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/6P8UKq13X_nxl3040Xn342pExKk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8672248-buffalo-chicken-tater-tot-casserole-ddmfs-4x3-688ba2315484436b96dd9ad7ed451900.jpg
Turkey Tater Tot Hot Dish,https://www.allrecipes.com/turkey-tater-tot-hot-dish-recipe-8353228,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'cups', 'name': 'mushrooms'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, or to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'onion'}, {'quantity': '2', 'unit': 'pounds', 'name': 'ground turkey'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1 (4', 'unit': 'ounce)', 'name': 'chilies, or other diced chilies'}, {'quantity': '1', 'unit': None, 'name': 'red bell pepper, seeded and diced'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '1 (32', 'unit': 'ounce) bag frozen', 'name': 'tater tots'}",,"calories: 711, fat: 44g, carbs: 44g, protein: 39g, servings: 8",https://cdn.jwplayer.com/v2/media/cumv67I6/thumbnails/FkbpRQfd.jpg
Tater Tot Hotdish,https://www.allrecipes.com/recipe/8538705/tater-tot-hotdish/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped yellow onion'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground chuck beef (80% lean)'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen cut green beans, thawed'}, {'quantity': '2', 'unit': 'cups', 'name': 'frozen sweet corn, thawed'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'frozen tater tots'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': ""seasoned salt (such as Lawry's®)""}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded sharp Cheddar cheese'}, {'quantity': '2', 'unit': 'small', 'name': 'scallions, thinly sliced'}","Preheat the oven to 400 degrees F (200 degrees C). Set a large deep cast iron skillet over medium-high heat. Add olive oil and swirl to coat skillet evenly. Add onions to skillet in one even layer; top with ground beef, breaking it up into small pieces. Cook undisturbed until onions are translucent, about 2 minutes. Stir beef and onions until well combined, and cook until beef is cooked through and browned, stirring occasionally, 3 to 4 minutes longer.. Reduce heat to medium. Season beef with garlic powder, onion powder, and black pepper. Cook, stirring often, for 1 more minute. Remove from heat. Add cream of mushroom soup, green beans, and corn; stir until well combined.. Toss tater tots and seasoned salt in a bowl to combine. Arrange tater tots decoratively over beef mixture in the skillet, avoiding large gaps between tots.. Bake in the preheated oven until tater tots are golden and crisp, about 1 hour. Sprinkle with cheese and scallions; cool 10 minutes before serving.","calories: 666, fat: 45g, carbs: 52g, protein: 22g, servings: 6",https://www.allrecipes.com/thmb/meToBeeiTsKrylC7Nv7zx078yO0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Tater-Tot-Dish-ddmfs-3x2-209-8f0d028c61e1405f90c8b1636e11e303.jpg
Chicageaux Spicy Smokehouse Tots,https://www.allrecipes.com/recipe/8539817/chicageaux-spicy-smokehouse-tots/,"{'quantity': '1', 'unit': '(32 ounce) package', 'name': 'frozen bite-size potato nuggets (such as Tater Tots®)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil, divided, or as needed'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'barbeque seasoning, divided, or to taste'}, {'quantity': '4', 'unit': '', 'name': 'skinless, boneless chicken thighs'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': ""hot pepper sauce (such as Frank's RedHot®), or to taste""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot honey, or to taste'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Mexican-style cheese blend'}, {'quantity': '1', 'unit': 'cup', 'name': 'white Mexican cheese sauce (queso blanco)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'pickled red onions, or to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley, or to taste'}","Preheat the oven to 425 degrees F (220 degrees C). Spray a rimmed baking sheet with cooking spray. Spread frozen tater tots in a single layer on prepared pan; drizzle lightly with about 1 tablespoon olive oil; season with about 1 tablespoon barbecue rub.. Bake in the preheated oven until golden brown and heated through, about 25 minutes, or according to package directions.. Place chicken thighs and remaining 2 tablespoons olive oil in a large bowl. Season liberally with barbeque rub (about 1 tablespoon); toss to coat. Sear chicken in a non-stick skillet over high heat, turning occasionally, until deeply browned; reduce heat to medium.. Meanwhile, melt butter in a small saucepan over medium-low heat; stir in hot sauce, hot honey, and season to taste with barbecue rub; bring to a simmer.. Pour honey hot sauce over chicken in the skillet; increase heat to medium-high and cook chicken, basting constantly with the sauce, until chicken is fully cooked and coated with a shiny glaze, about 5 minutes. Chicken juices should run clear, and an instant-read thermometer inserted near the center should reach 165 degrees F (74 degrees C). Remove chicken to a cutting board; slice chicken into bite-sized pieces.. Warm cheese sauce in the microwave on 50% power until hot, about 1 minute, stirring every 30 seconds.. Arrange tater tots on a serving platter (or assemble on the sheet pan). Top tots with chicken and any remaining sauce from the pan; sprinkle with shredded cheese. Use a kitchen torch to melt cheese. Drizzle on additional hot sauce to taste and queso blanco; garnish with pickled red onion and parsley.","calories: 961, fat: 61g, carbs: 78g, protein: 39g, servings: 6",https://www.allrecipes.com/thmb/lYurx0c0VthTUJ0NyXEiivNezSQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8539817-Chicageaux-Spicy-Smokehouse-Tots_Chicageaux-Culinary_4x3-b7f32ce4e6d64607b42f511c2ffb8f4f.jpg
Cowboy Casserole,https://www.allrecipes.com/recipe/8527282/cowboy-casserole/,"{'quantity': '2', 'unit': 'slices', 'name': 'thick-cut bacon, chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped yellow onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped red bell pepper'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground sirloin'}, {'quantity': '8', 'unit': 'ounces', 'name': 'hot pork country sausage (such as Jimmy Dean)'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chopped garlic'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': ""condensed cream of mushroom soup (such as Campbell's®)""}, {'quantity': '½', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen corn kernels'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded extra-sharp Cheddar cheese, divided'}, {'quantity': '1', 'unit': '(32 ounce) package', 'name': 'frozen tater tots'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh flat-leaf parsley'}","Preheat the oven to 375 degrees F (190 degrees C) with a rack in the center position.. Heat a large cast-iron skillet over medium. Add bacon and cook, stirring often, until browned and crisp, about 7 minutes. Transfer to a paper towel-lined plate with a slotted spoon, reserving 2 tablespoons of the drippings.. Add onion and bell pepper to drippings in skillet; cook, stirring occasionally, until softened, about 4 minutes. Increase heat to medium-high and add ground beef and sausage. Cook, stirring, until beef is crumbly, browned, and no longer pink, 6 to 8 minutes. Add garlic and cook, stirring constantly, until fragrant, about 1 minute. Remove from heat and drain fat, if desired. Stir in soup, milk, sour cream, salt, and black pepper. Stir in corn, bacon, and 1/2 cup of the cheese.. Sprinkle top evenly with remaining 1 cup cheese and arrange tots in concentric circles over cheese layer (there will be about 1 1/2 cups tots leftover; reserve for another use).. Bake in the preheated oven until top is golden brown and beef mixture is bubbly, about 35 minutes. Let sit for 5 minutes before serving. Sprinkle with parsley and serve hot.","calories: 730, fat: 46g, carbs: 44g, protein: 38g, servings: 8",https://www.allrecipes.com/thmb/Amw0vmoOae-Baxh3kePZlT1maOw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8527282-CowboyCasserole_4x3_2894-2c21f7f89bcb4fc582fe3848691b89e4.jpg
Tater Tot Casserole,https://www.allrecipes.com/recipe/222037/tater-tots-r-casserole/,"{'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen tater tots'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}",,"calories: 345, fat: 24g, carbs: 17g, protein: 19g, servings: 4",https://cdn.jwplayer.com/v2/media/zXrguKQD/poster.jpg?width=720
Tater Tot Taco Casserole,https://www.allrecipes.com/recipe/218573/tater-tot-taco-casserole/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': '(16 ounce) bag', 'name': 'frozen whole-kernel corn with red and green bell peppers'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'black beans, rinsed and drained'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(1 ounce) packet', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': '(12 ounce) bag', 'name': 'shredded Mexican cheese blend'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen bite-sized potato nuggets (such as Tater Tots)'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'enchilada sauce'}","Preheat the oven to 375 degrees F (190 degrees C). Prepare a 9x13-inch baking dish with cooking spray.. Cook ground beef in a skillet over medium heat until completely browned, 5 to 7 minutes. Add in frozen corn, black beans, onion, garlic, and taco seasoning mix to ground beef; cook and stir another 10 minutes. Set aside to cool slightly.. Combine ground beef mixture in a large bowl with about 3/4 of the Mexican cheese blend and the potato nuggets; stir to combine.. Pour about 1/3 of the enchilada sauce into the bottom of the prepared baking dish. Add the tater tot mixture to the baking dish; lightly pat the mixture down into a solid, even layer. Pour remaining enchilada sauce over the potatoes.. Bake in the preheated oven for 40 minutes. Sprinkle remaining cheese over the casserole and return to the oven until the cheese is melted and bubbly, about 5 minutes more.","calories: 477, fat: 27g, carbs: 38g, protein: 25g, servings: 8",https://cdn.jwplayer.com/v2/media/64C42YCe/poster.jpg?width=720
Easy Tater Tot Casserole,https://www.allrecipes.com/recipe/241939/easy-tater-tot-casserole/,"{'quantity': '1 ½', 'unit': 'pounds', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic powder, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt and ground black pepper to taste'}, {'quantity': '1', 'unit': '(26.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen bite-size potato nuggets (such as Tater Tots®)'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'pinch', 'name': 'paprika, or to taste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'dried parsley flakes, or to taste'}","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.. Cook and stir ground beef, onion, garlic powder, salt, and black pepper in a skillet over medium heat until beef is browned and crumbly, 7 to 10 minutes. Spread beef into the bottom of the prepared baking dish.. Stir cream of mushroom soup, potato nuggets, and Cheddar cheese together in a large bowl until potato nuggets are evenly coated in soup and cheese. Spread potato nugget mixture over beef mixture.. Bake in the preheated oven until browned, about 45 minutes. Sprinkle paprika and parsley flakes over the top.","calories: 469, fat: 32g, carbs: 23g, protein: 24g, servings: 8",https://www.allrecipes.com/thmb/_RO-lh8St4xA2wTm7BjIcLO4nec=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7646490-73577423ad9b4d54ad04a24c684028d5.jpg
Tater Tots Casserole,https://www.allrecipes.com/recipe/237677/tater-tots-casserole/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(32 ounce) package', 'name': 'frozen bite-size potato nuggets (such as Tater Tots®), divided'}, {'quantity': '1', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Worcestershire sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Montreal-style steak seasoning (Optional)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Cheddar cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Cheddar cheese'}","Preheat oven to 350 degrees F (175 degrees C). Prepare a 13x9-inch casserole dish with cooking spray.. Spread 20 potato nuggets in the casserole dish.. Bake in preheated oven until warmed through, about 10 minutes.. Heat a large skillet over medium-high heat. Cook and stir beef and onion in the hot skillet until beef is completely browned, 5 to 7 minutes; drain and discard grease. Season beef mixture with 2 teaspoons Worcestershire sauce, steak seasoning, garlic powder, and black pepper.. Stir cream of mushroom soup, milk, 1/2 cup Cheddar cheese, and 1 teaspoon Worcestershire sauce together in a bowl.. Smash the warmed potato nuggets in the casserole dish to cover the bottom completely. Spread ground beef mixture over the mashed potato nuggets. Pour soup mixture evenly over the beef layer. Top with remaining potato nuggets and sprinkle 1 cup Cheddar cheese evenly over the nuggets.. Bake in preheated oven until casserole is bubbly and potatoes golden brown, 30 to 40 minutes.","calories: 440, fat: 28g, carbs: 34g, protein: 19g, servings: 8",https://cdn.jwplayer.com/v2/media/I3sR0gXA/poster.jpg?width=720
