name,link,ingredients,steps,nutrition,image_url
Easy Turkey Tetrazzini,https://www.allrecipes.com/recipe/37784/easy-turkey-tetrazzini/,"{'quantity': '12', 'unit': 'ounces', 'name': 'dried linguine pasta'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salted butter'}, {'quantity': '8', 'unit': 'ounces', 'name': 'button mushrooms, sliced'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Italian seasoning'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white wine (Optional)'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped cooked turkey'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'reduced-sodium chicken broth'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sliced almonds (Optional)'}",,"calories: 387, fat: 20g, carbs: 30g, protein: 23g, servings: 6",https://cdn.jwplayer.com/v2/media/9yKMKZrJ/thumbnails/eS13HUFS.jpg
Easy Chicken Tetrazzini,https://www.allrecipes.com/recipe/11780/easy-chicken-tetrazzini/,"{'quantity': '1', 'unit': 'pound', 'name': 'cooked, drained spaghetti noodles'}, {'quantity': '5', 'unit': '', 'name': 'chicken breasts, cooked and cubed'}, {'quantity': '2', 'unit': '(10.5 ounce) cans', 'name': 'condensed cream of chicken soup'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cubes', 'name': 'chicken bouillon'}, {'quantity': '¼', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Preheat the oven to 350 degrees F (175 degrees C).. Put cooked spaghetti noodles into 9x13-inch baking dish. Place chicken on top of spaghetti.. Bring condensed soup, water, butter, and bouillon to a boil in a medium saucepan. Pour soup mixture over pasta and chicken. Sprinkle Cheddar on top and press down a bit.. Bake in the preheated oven for 25 minutes.","calories: 342, fat: 14g, carbs: 23g, protein: 29g, servings: 8",https://cdn.jwplayer.com/v2/media/9pXaSMKU/poster.jpg?width=720
Leftover Turkey Tetrazzini,https://www.allrecipes.com/recipe/40545/turkey-tetrazzini-ii/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'uncooked spaghetti'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1 ⅔', 'unit': 'cups', 'name': 'grated Parmesan cheese'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped cooked turkey'}","Gather all ingredients, preheat oven to 350 degrees F (175 degrees C), and lightly grease a baking dish.. Bring a large pot of lightly salted water to a boil. Add spaghetti, and cook for 8 to 10 minutes or until al dente. Drain, and place in the prepared baking dish.. Melt butter in a medium saucepan over medium heat. Stir in flour. Mix in chicken broth and milk. Cook and stir until the mixture comes to a boil. Stir in about 1 1/3 cups Parmesan cheese, and remove from heat.. Mix chicken broth mixture and turkey with spaghetti. Top with remaining cheese.. Bake 1 hour in the preheated oven, until surface is lightly browned.. Serve and enjoy!","calories: 565, fat: 22g, carbs: 52g, protein: 38g, servings: 8",https://cdn.jwplayer.com/v2/media/q9YyA8ey/poster.jpg?width=720
Ham Tetrazzini,https://www.allrecipes.com/recipe/11894/ham-tetrazzini/,"{'quantity': '6', 'unit': 'ounces', 'name': 'spaghetti'}, {'quantity': '3', 'unit': 'quarts', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped onion'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '½', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced ham'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped pimento peppers'}","Bring a large pot of lightly salted water to a boil. Add spaghetti and cook for 8 to 10 minutes or until al dente; drain (or use leftover pasta; see Cook's Note).. While pasta is cooking, melt butter in a saucepan over medium heat. Stir in onion; cook and stir until the onion has softened and turned translucent, about 5 minutes.. Stir in cream of mushroom soup, 1/2 cup water, and shredded cheese. Heat mixture until cheese melts, stirring often.. Mix in the ham, cooked and drained pasta, chopped pimento, and chopped parsley to saucepan; stir to combine. Cook until mixture is heated through, then serve.","calories: 358, fat: 16g, carbs: 39g, protein: 15g, servings: 4",https://www.allrecipes.com/thmb/dcONHfYJ44MC48GMKtFzJJfabhE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/817225-9d39aa8429c842e8981d1556f731bcd4.jpg
Chicken Tetrazzini for a Crowd,https://www.allrecipes.com/recipe/15036/chicken-tetrazzini-for-a-crowd/,"{'quantity': '1', 'unit': 'pound', 'name': 'spaghetti, broken into pieces'}, {'quantity': '3', 'unit': '(10.75 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '12', 'unit': 'ounces', 'name': 'shredded Cheddar cheese'}, {'quantity': '6', 'unit': 'cups', 'name': 'shredded boiled chicken breast meat'}, {'quantity': '1', 'unit': 'pound', 'name': 'sauteed mushrooms'}, {'quantity': '1', 'unit': '(4 ounce) jar', 'name': 'sliced pimento peppers, drained'}, {'quantity': '2', 'unit': 'cups', 'name': 'reserved chicken broth'}","Preheat oven to 350 degrees F (175 degrees C). Bring a large pot of salted water to a boil. Add uncooked spaghetti (broken into thirds) to the pot and cook for 8 to 10 minutes or until al dente. Drain and set aside.. In a large saucepan, heat soup over low heat. Add shredded cheese (reserve some for topping) and stir together. Then add the cooked shredded chicken, mushrooms, pimento peppers and cooked spaghetti and stir all together. Add enough of the reserved broth to make it 'sloppy' and mix all together.. Pour mixture into a 9x13 inch baking dish. Sprinkle reserved shredded cheese on top and bake in the preheated oven for 25 to 35 minutes or until bubbly.","calories: 279, fat: 12g, carbs: 21g, protein: 21g, servings: 20",https://www.allrecipes.com/thmb/6c6Q75Q8052YrCj5FCR73bxDOCw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7106963-b6a2515a4f5e499e867e778f6cb734b9.jpg
Chicken Tetrazzini IV,https://www.allrecipes.com/recipe/17646/chicken-tetrazzini-iv/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'spaghetti, broken into pieces'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sherry'}, {'quantity': '1', 'unit': '(4.5 ounce) can', 'name': 'sliced mushrooms, drained'}, {'quantity': '2', 'unit': 'cups', 'name': 'chopped cooked chicken'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.. Bring a large pot of lightly salted water to a boil. Add spaghetti, and cook for 8 to 10 minutes, or until al dente; drain.. Meanwhile, in a large saucepan, melt butter over low heat. Stir in flour, salt, and pepper. Cook, stirring, until smooth. Remove from heat, and gradually stir in chicken broth and cream.. Return to heat, and bring to a low boil for 1 minute, stirring constantly. Add sherry, then stir in cooked spaghetti, mushrooms, and chicken. Pour mixture into the prepared baking dish, and top with Parmesan cheese.. Bake 30 minutes in the preheated oven, until bubbly and lightly browned.","calories: 730, fat: 43g, carbs: 53g, protein: 33g, servings: 4",https://www.allrecipes.com/thmb/NfofwVMul0a8hFYzelG46YRQPQQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7661684-chicken-tetrazzini-iv-winenot66-4x3-1-2f5d1cdb1dd747a2b1712e32a4189e85.jpg
Chicken Tetrazzini,https://www.allrecipes.com/recipe/231036/chicken-tetrazzini/,"{'quantity': '1', 'unit': '(8 ounce) package', 'name': 'spaghetti'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'margarine'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '3', 'unit': 'cups', 'name': 'chopped cooked chicken'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'evaporated milk'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of chicken soup'}, {'quantity': '8', 'unit': 'ounces', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'celery salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.. Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain; transfer to a large bowl.. Melt margarine in a skillet over medium heat. Add onion; cook and stir until soft and translucent, 5 to 7 minutes. Stir into spaghetti along with chicken, evaporated milk, cream of chicken soup, 4 ounces Cheddar cheese, celery salt, salt, and black pepper; toss to combine. Transfer to prepared dish; sprinkle remaining 4 ounces Cheddar cheese over top.. Bake in the preheated oven until bubbling and cheese melted, about 45 minutes.","calories: 561, fat: 27g, carbs: 39g, protein: 39g, servings: 6",https://www.allrecipes.com/thmb/33c0FqwX2FH2kD-dsLwY-hLAJV0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7930910-c655b590d321415694833679b16d1343.jpg
Slow Cooker Chicken Tetrazzini,https://www.allrecipes.com/recipe/107700/slow-cooker-chicken-tetrazzini/,"{'quantity': '6', 'unit': '', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'melted butter'}, {'quantity': '1', 'unit': '(.7 ounce) package', 'name': 'dry Italian-style salad dressing mix'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, sliced and separated into rings'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(10.75 ounce) can', 'name': 'condensed cream of chicken soup'}, {'quantity': '½', 'unit': 'cup', 'name': 'chicken broth'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}",,"calories: 374, fat: 26g, carbs: 8g, protein: 26g, servings: 6",https://cdn.jwplayer.com/v2/media/Y6ceiBVm/poster.jpg?width=720
Chicken or Turkey Tetrazzini Deluxe,https://www.allrecipes.com/recipe/25139/chicken-or-turkey-tetrazzini-deluxe/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'linguine pasta'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '3', 'unit': 'cups', 'name': 'sliced fresh mushrooms'}, {'quantity': '1', 'unit': 'cup', 'name': 'minced onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'minced green bell pepper'}, {'quantity': '2', 'unit': '(10.75 ounce) cans', 'name': 'condensed cream of mushroom soup'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded sharp Cheddar cheese'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'frozen green peas'}, {'quantity': '½', 'unit': 'cup', 'name': 'cooking sherry'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': 'cups', 'name': 'chopped cooked chicken breast'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '', 'unit': '', 'name': 'paprika to taste'}","Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain and set aside.. Preheat oven to 375 degrees F (190 degrees C).. Meanwhile, melt butter in a large saucepan over medium heat. Add mushrooms, onion and bell pepper and saute until tender. Stir in cream of mushroom soup and chicken broth; cook, stirring, until heated through. Stir in pasta, Cheddar cheese, peas, sherry, Worcestershire sauce, salt, pepper and chicken. Mix well and transfer mixture to a lightly greased 11x14 inch baking dish. Sprinkle with Parmesan cheese and paprika.. Bake in the preheated oven for 25 to 35 minutes, or until heated through.","calories: 493, fat: 25g, carbs: 39g, protein: 29g, servings: 12",https://www.allrecipes.com/thmb/X5brhRZzvR-RFaGz00eA0T9WRkY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/601870-chicken-or-turkey-tetrazzini-deluxe-Rock_lobster-4x3-1-6d22da6aa5144e449d6502952f37c511.jpg
Baked Turkey Tetrazzini,https://www.allrecipes.com/recipe/240568/baked-turkey-tetrazzini/,"{'quantity': '6', 'unit': 'tablespoons', 'name': ''}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'white mushrooms, sliced'}, {'quantity': '1', 'unit': None, 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, thinly sliced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Worcestershire sauce'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '3', 'unit': 'cups', 'name': 'cubed leftover cooked turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'peas'}, {'quantity': '½', 'unit': '(8 ounce) package', 'name': 'egg noodles, or more to taste'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'bread crumbs'}","Heat 3 tablespoons butter in a large skillet over medium heat. Add mushrooms, onion, and celery and cook until tender, 5 to 10 minutes. Sprinkle flour over mushroom mixture and stir to coat.. Mix milk, cream cheese, Worcestershire sauce, salt, pepper, and nutmeg into mushroom mixture. Cook, stirring occasionally, until cream cheese is melted and sauce is warmed through, 5 to 10 minutes. Add turkey and peas to sauce.. Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. Set aside.. Bring a large pot of lightly salted water to a boil. Cook egg noodles, stirring occasionally until cooked through but slightly firm, about 5 minutes. Drain. Mix noodles into turkey mixture and transfer to the prepared baking dish.. Melt and cool the remaining 3 tablespoons butter. Add Parmesan cheese, and bread crumbs and stir until crumbly. Sprinkle over noodle mixture.. Bake in the preheated oven until top is browned and sauce is bubbling, about 30 minutes.","calories: 548, fat: 28g, carbs: 38g, protein: 36g, servings: 6",https://www.allrecipes.com/thmb/_IdIBj3A5HfaFQ4DfjNDiHO0DVk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1935620-05c5006bcaf04521b88098cef80ba7a4.jpg
