name,link,ingredients,steps,nutrition,image_url
United States of Giving Thanks,https://www.allrecipes.com/united-states-of-giving-thanks-8716047,,,,
10 Classic Make-Ahead Thanksgiving Casseroles,https://www.allrecipes.com/gallery/classic-make-ahead-thanksgiving-casseroles/,,,,https://www.allrecipes.com/thmb/CLgv_Ckm3R7ohbarfQrDSygPfBE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573472-5146e2108e0b45c08546e751a85dd53b.jpg
How to Brine a Turkey,https://www.allrecipes.com/article/how-to-brine-turkey/,,,,https://cdn.jwplayer.com/v2/media/5NBziOas/poster.jpg?width=720
22 Traditional Thanksgiving Pies That Never Disappoint,https://www.allrecipes.com/gallery/traditional-thanksgiving-pies/,,,,https://www.allrecipes.com/thmb/z1Mb99SdQnBiKQyLqMimCgFjuKA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Sweet-Potato-Pie-I-Photo-by-Holiday-Baker_2-fb7ffa0d2686424db0b62447700b6d66.jpg
Grandma's Cornbread Dressing,https://www.allrecipes.com/recipe/19547/grandmas-corn-bread-dressing/,"{'quantity': '3', 'unit': 'cups', 'name': 'crumbled cornbread'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried sage, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 250, fat: 9g, carbs: 38g, protein: 5g, servings: 8",https://cdn.jwplayer.com/v2/media/5yRQZCyS/poster.jpg?width=720
Juicy Thanksgiving Turkey,https://www.allrecipes.com/recipe/166160/juicy-thanksgiving-turkey/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'dried parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground dried rosemary'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rubbed dried sage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried thyme leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon-pepper seasoning'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(15 pound)', 'name': 'whole turkey, neck and giblets removed'}, {'quantity': '1', 'unit': 'medium', 'name': 'orange, cut into 8 wedges'}, {'quantity': '1', 'unit': 'medium', 'name': 'onion, chopped into large pieces'}, {'quantity': '1', 'unit': 'medium', 'name': 'carrot, cut into ½-inch slices'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, cut into ½-inch slices'}, {'quantity': '1', 'unit': '(750 milliliter) bottle', 'name': 'champagne'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'chicken broth'}",,"calories: 556, fat: 24g, carbs: 4g, protein: 69g, servings: 10",https://cdn.jwplayer.com/v2/media/rxUYPvb9/thumbnails/TCM8qrfT.jpg
Basic Mashed Potatoes,https://www.allrecipes.com/recipe/24771/basic-mashed-potatoes/,"{'quantity': '2', 'unit': 'pounds', 'name': 'baking potatoes, peeled and quartered'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, peeled, or to taste (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 257, fat: 7g, carbs: 44g, protein: 6g, servings: 4",https://cdn.jwplayer.com/v2/media/5bzxoI03/thumbnails/QqxMyHuu.jpg
Green Beans Almondine,https://www.allrecipes.com/recipe/275305/green-beans-almondine/,"{'quantity': '1', 'unit': 'pound', 'name': 'fresh green beans'}, {'quantity': '1 ½', 'unit': 'ounces', 'name': 'slivered almonds'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced, or more to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 152, fat: 12g, carbs: 11g, protein: 4g, servings: 4",https://cdn.jwplayer.com/v2/media/qj1D6sE9/thumbnails/cb6e8VVr.jpg
The 9 Essential Thanksgiving Dishes for a Traditional Holiday Spread,https://www.allrecipes.com/gallery/essential-thanksgiving-dishes/,,,,https://www.allrecipes.com/thmb/129Upbec2eAmjisIIUgsFjTLbAY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7435887_Chef-Johns-Sweet-Potato-Casserole-4x3-7f3e347b6a3345c3abb239651ef1c385.jpg
Thanksgiving Tradition Oyster Dressing,https://www.allrecipes.com/recipe/235239/thanksgiving-tradition-oyster-dressing/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '12', 'unit': 'cups', 'name': 'fresh bread cubes'}, {'quantity': '1 ½', 'unit': 'pints', 'name': 'fresh oysters, coarsely chopped and liquor reserved'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped celery with leaves'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'thyme leaves'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'poultry seasoning'}","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking pan.. Heat butter in a Dutch oven or large heavy pot over medium-high heat; cook and stir onion until tender, about 5 minutes. Remove Dutch oven from heat. Stir bread crumbs, oysters, oyster liquor, celery, salt, black pepper, thyme, and poultry seasoning into onion. Spoon mixture into the prepared baking pan; cover tightly with aluminum foil.. Bake in the preheated oven for 40 minutes; remove aluminum foil and continue baking until lightly browned, about 20 more minutes.","calories: 414, fat: 26g, carbs: 33g, protein: 12g, servings: 8",https://www.allrecipes.com/thmb/LXp1VciVD08mxSd_gDZl2aabWSU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/235239-thanksgiving-tradition-oyster-dressing-daniellek-5-4x3-1-fd39328631cf4946a7c20f60cd9b30ef.jpg
Turkey Giblet Gravy,https://www.allrecipes.com/recipe/229958/turkey-giblet-gravy/,"{'quantity': '1', 'unit': '', 'name': 'package of giblets and neck from turkey, excluding liver'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'turkey drippings'}, {'quantity': '½', 'unit': 'cup', 'name': 'cold water'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'large', 'name': 'hard-cooked egg, chopped'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}",,"calories: 324, fat: 30g, carbs: 6g, protein: 7g, servings: 8",https://www.allrecipes.com/thmb/gsdfdvFAwXOFZu1_qCnyDsyC4cA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/229958-turkey-giblet-gravy-DDMFS-4x3-1-70ad1ff549764d2097662124794935fc.jpg
Best Green Bean Casserole,https://www.allrecipes.com/recipe/18379/best-green-bean-casserole/,"{'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'green beans, drained'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'condensed cream of mushroom soup'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Cheddar cheese, divided'}, {'quantity': '1', 'unit': '(6 ounce) can', 'name': 'French-fried onions'}",,"calories: 322, fat: 23g, carbs: 20g, protein: 7g, servings: 6",https://cdn.jwplayer.com/v2/media/GdfJlc3b/thumbnails/xMrl2IHE.jpg
"Our Very Best Thanksgiving Menu for 2024, According to You",https://www.allrecipes.com/our-2024-ultimate-thanksgiving-menu-8719750,,,,https://www.allrecipes.com/thmb/vUXkUJIJ_mj9ENJga1tvcBA9mno=/1500x0/filters:no_upscale():max_bytes(200000):strip_icc()/AR-United-States-Giving-Thanks-Menu-3x2-2dad99dbe61f4f0c92e2e2990ab5a9ee.jpg
