name,link,ingredients,steps,nutrition,image_url
Churro Toffee,https://www.allrecipes.com/churro-toffee-recipe-8604064,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped almonds'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'Kosher salt'}, {'quantity': '1', 'unit': '11 ounce', 'name': 'white chocolate chips'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'ground cinnamon'}",,"calories: 321, fat: 20g, carbs: 36g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/F6oFhWK5m19oxW4-SfzNQ4c-7tQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8604064-ChurroToffee-28601-4x3-0b0b71ad29af4f2da4817a8ce63421fe.jpg
Best Toffee Ever - Super Easy,https://www.allrecipes.com/recipe/73412/best-toffee-ever-super-easy/,"{'quantity': '2', 'unit': 'cups', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '1', 'unit': 'cup', 'name': 'finely chopped almonds'}",,"calories: 226, fat: 17g, carbs: 20g, protein: 2g, servings: 32",https://cdn.jwplayer.com/v2/media/2G18vqGX/thumbnails/MR60Wn5j.jpg
Saltine Cracker Toffee,https://www.allrecipes.com/recipe/11376/saltine-toffee-cookies/,"{'quantity': '4', 'unit': 'ounces', 'name': 'saltine crackers'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'dark brown sugar'}, {'quantity': '2', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '¾', 'unit': 'cup', 'name': 'chopped pecans'}","Gather all ingredients, and preheat the oven to 400 degrees F (200 degrees C).. Line a rimmed baking sheet with saltine crackers in single layer.. Combine butter and sugar in a saucepan. Bring to a boil; boil for 3 minutes.. Immediately pour over saltines and spread to cover crackers completely. Bake in the preheated oven for 5 to 6 minutes.. Remove from the oven and sprinkle chocolate chips over top. Let sit 5 minutes.. Spread softened chocolate evenly. Sprinkle with pecans. Allow to cool completely, about 25 minutes.. Break toffee into pieces. Enjoy!","calories: 150, fat: 10g, carbs: 15g, protein: 1g, servings: 35",https://cdn.jwplayer.com/v2/media/U0QoYftF/thumbnails/id6MPlNF.jpg
Best Honeycomb Toffee Candy,https://www.allrecipes.com/recipe/268587/honeycomb-toffee/,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'corn syrup'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}","Gather all ingredients.. Line a baking dish with parchment paper, measure out baking soda in a small bowl, and have a heat-proof spatula ready before starting.. Whisk sugar, corn syrup, water, and honey together in a saucepan with a candy thermometer attached. Heat over medium heat until the mixture is thinner but still cloudy. Let bubble until the mixture is clear and the thermometer registers 300 degrees F (149 degrees C).. Remove from heat. Whisk in baking soda until just incorporated.. Switch to a spatula and very carefully pour into the lined dish. Do not spread it out with your spatula or compress the mixture at all, or the bubbles will deflate. Let cool completely, at least 30 minutes.. Remove candy from the pan by lifting out the parchment paper. Rap against the counter and use your fingers to break it into individual pieces.","calories: 71, carbs: 19g, servings: 8",https://cdn.jwplayer.com/v2/media/XYrUumvp/poster.jpg?width=720
English Toffee,https://www.allrecipes.com/recipe/27026/english-toffee/,"{'quantity': '1', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'slivered almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate chips'}","Butter a 10x15-inch jellyroll pan.. Melt butter in a heavy skillet over medium heat. Stir in sugar and water, then bring to a boil. Add almonds and cook, stirring constantly, until nuts are toasted and sugar is golden. Pour mixture into the prepared pan; do not spread.. Immediately sprinkle chocolate chips onto hot sugar mixture. Spread chocolate over the surface as it melts. Let cool completely before breaking into pieces.","calories: 222, fat: 16g, carbs: 23g, protein: 1g, servings: 16",https://www.allrecipes.com/thmb/gv7f3PrStRBl-Y9PMJqTdnPf9Ls=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8916462-english-toffee-Paul-Lucas-4x3-1-834f9526cd4e410c8452ba3557c6fcd2.jpg
Terrific Toffee Bars,https://www.allrecipes.com/recipe/222745/terrific-toffee-bars/,"{'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '', 'name': 'large egg yolk'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'milk chocolate chips'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish.. Beat butter, brown sugar, vanilla extract, and egg yolk in a large bowl; stir in flour and salt. Press dough into prepared baking dish.. Bake in preheated oven until crust is light brown, 25 to 30 minutes.. Immediately sprinkle chocolate chips over hot crust. Let stand until soft, about 5 minutes, and spread evenly; sprinkle with nuts. Cool pan on wire rack for 30 minutes.","calories: 91, fat: 5g, carbs: 10g, protein: 1g, servings: 48",https://www.allrecipes.com/thmb/0emTE4dJgrlEz9xPcmJeO8hb3bE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/222745AimeeBroussard_TerrificToffeeBars2-ee349c50d95c417aaaa6d90e60c78b63.jpg
Melt In Your Mouth Toffee,https://www.allrecipes.com/recipe/15921/melt-in-your-mouth-toffee/,"{'quantity': '1', 'unit': 'pound', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '2', 'unit': 'cups', 'name': 'semisweet chocolate chips'}","In a heavy saucepan, combine butter, white sugar, and brown sugar. Cook over medium heat, stirring constantly until mixture boils. Boil to brittle stage, 300 degrees F (150 degrees C) without stirring. Remove from heat.. Pour nuts and chocolate chips into a 9x13 inch dish. Pour hot mixture over the nuts and chocolate. Let the mixture cool and break it into pieces before serving.","calories: 153, fat: 11g, carbs: 14g, protein: 1g, servings: 48",https://cdn.jwplayer.com/v2/media/GykuAnFr/poster.jpg?width=720
Beijinho de Coco (Coconut Little Kiss),https://www.allrecipes.com/recipe/130689/beijinho-de-coco-coconut-little-kiss/,"{'quantity': '1', 'unit': '(14 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, plus more for pan'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sweetened flaked coconut'}, {'quantity': '', 'unit': '', 'name': 'sweetened flaked coconut for decorating'}, {'quantity': '', 'unit': '', 'name': 'whole cloves for decorating'}","Bring milk and butter to a simmer in a saucepan over medium-low heat. Continue to cook, stirring often, until the milk has reduced to half and thickened, about 20 minutes. Remove from heat, stir in the 1/4 cup coconut, and allow to cool a bit before pouring into a buttered bowl. Chill in the refrigerator until cold, about 2 hours.. With buttered or oiled hands, form milk mixture into tablespoon-sized balls, and roll in coconut flakes. Stick a clove into each beijinho as decoration.","calories: 152, fat: 5g, carbs: 24g, protein: 3g, servings: 10",https://www.allrecipes.com/thmb/dg45AdX7UZLzbSfV3xVSfa5AwdU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/240323-b398b9baa6ca42209f70f96d2418cebf.jpg
Almond Roca,https://www.allrecipes.com/recipe/235869/almond-roca/,"{'quantity': '1', 'unit': '', 'name': 'large chocolate bar, grated, divided'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'sliced almonds, chopped, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'pound', 'name': 'butter'}","Line a baking sheet with aluminum foil.. Sprinkle 1/2 the chocolate and 1/2 the almonds onto the prepared baking sheet.. Melt sugar and butter together in a stainless steel pan over low heat; increase heat to medium, stirring constantly, until boiling. Heat mixture to 310 degrees F (155 degrees C) or until a small amount of syrup dropped into cold water forms hard, brittle threads, 30 minutes to 1 hour.. Pour butter-sugar mixture over chocolate and almonds on baking sheet. Sprinkle remaining chocolate and almonds over butter-sugar mixture. Cool to room temperature and refrigerate until set, about 1 hour. Break into pieces.","calories: 252, fat: 20g, carbs: 19g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/kzxZQegTkYTqcRQB0P_nqdrusC0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3032901-5c60ff23c7e041fb8706606038a29d98.jpg
Sri Lankan Milk Toffee,https://www.allrecipes.com/recipe/257376/sri-lankan-milk-toffee/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'butter, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'water'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'sweetened condensed milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'finely chopped cashew nuts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'drops', 'name': 'rose extract, or to taste'}","Grease a square 9-inch baking pan with 2 teaspoons butter.. Combine sugar and water in a large saucepan over medium heat. Cook and stir until sugar dissolves. Pour in sweetened condensed milk; cook and stir until mixture starts to bubble, about 5 minutes. Reduce heat to low. Add cashews; cook, stirring frequently, until mixture thickens, about 10 minutes.. Stir 2 tablespoons butter, vanilla, and rose extract into the mixture. Continue to cook, stirring frequently, until mixture is very stiff, 8 to 10 minutes. Pour into the buttered baking pan. Spread flat using a spatula or the back of a spoon.. Cool toffee until firm, about 15 minutes. Cut into 1-inch pieces and transfer to an airtight container.","calories: 110, fat: 4g, carbs: 19g, protein: 1g, servings: 25",https://www.allrecipes.com/thmb/4K5SbUWAxtHFFRFibzG-BWBQeaA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/257376-sri-lankan-milk-toffee-Linda-4x3-2470c83398df438cbbffc10d7a0a0378.jpg
