name,link,ingredients,steps,nutrition,image_url
Avocado Caprese Salad,https://www.allrecipes.com/avocado-caprese-salad-recipe-8737146,"{'quantity': '1/2', 'unit': 'cup', 'name': 'mozzarella balls, or ""pearls,"" drained'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'cherry tomatoes,'}, {'quantity': '1/2', 'unit': None, 'name': 'avocado -'}, {'quantity': '5', 'unit': None, 'name': 'fresh basil leaves, or to taste, plus more for garnish (optional)'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'balsamic vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}","Combine mozzarella, halved cherry tomatoes, and chopped avocado in a small bowl. Tear basil leaves into pieces and sprinkle over the other ingredients.. Drizzle on balsamic vinegar and extra virgin olive oil and toss to combine. Season with salt and pepper.. Divide into two serving bowls and garnish with additional fresh basil. Serve immediately.","calories: 478, fat: 43g, carbs: 17g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/T48aM2eW4pLtF3RaPMUdBU97AdE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8737146_Avocado-Caprese-Salad_Brenda-Venable_4x3-339a1f1691764c15be934c0d85fe6c2b.jpg
Shirazi Salad,https://www.allrecipes.com/shirazi-salad-recipe-8661733,"{'quantity': '1', 'unit': 'pound', 'name': 'plum tomatoes'}, {'quantity': '1', 'unit': 'pound', 'name': 'cucumbers'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, finely diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh parsley'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fresh mint'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'ab ghooreh'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': None, 'unit': None, 'name': 'lemon'}","Stir together tomatoes, cucumbers, red onion, parsley, mint, ab ghooreh, oil, salt, and pepper in a large serving bowl. Season to taste. Garnish with parsley and serve immediately with lemon wedges.","calories: 157, fat: 10g, carbs: 21g, protein: 3g, servings: 6",https://www.allrecipes.com/thmb/ZQCodQhu9TomXW3HowxpdxJ_Lus=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8661733-Shirazi-Salad-KH-011824_AR0138-4x3-405b0a20e7c24d318ce11089e46fb40e.jpg
Greek Horiatiki Salad,https://www.allrecipes.com/recipe/278767/greek-horiatiki-salad/,"{'quantity': '5', 'unit': 'large', 'name': 'tomatoes'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, thinly sliced'}, {'quantity': None, 'unit': None, 'name': 'sea salt to taste'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'small', 'name': 'green bell pepper, sliced (Optional)'}, {'quantity': '½', 'unit': 'medium', 'name': 'cucumber, sliced (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Greek black olives'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'extra-virgin olive oil'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'feta cheese'}","Cut tomatoes into wedges over a large serving bowl so that any extra juices land in the bowl with tomato wedges. Add onion slices and oregano, then season liberally with salt; mix to combine. Allow tomatoes to sit at room temperature until juices have released, at least 20 to 30 minutes or up to 2 hours.. Mix in bell pepper, cucumber, and olives just before serving. Top with feta cheese and drizzle with olive oil.","calories: 233, fat: 18g, carbs: 14g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/Hxhp4ZaG/poster.jpg?width=720
Caprese Salad with Balsamic Reduction,https://www.allrecipes.com/recipe/228126/caprese-salad-with-balsamic-reduction/,"{'quantity': '1', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '3', 'unit': 'large', 'name': 'tomatoes, cut into 1/2-inch slices'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'fresh mozzarella cheese, cut into 1/4-inch slices'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'cup', 'name': 'fresh basil leaves'}, {'quantity': '¼', 'unit': 'cup', 'name': 'extra-virgin olive oil'}",,"calories: 580, fat: 39g, carbs: 35g, protein: 22g, servings: 4",https://cdn.jwplayer.com/v2/media/ijz16cbA/thumbnails/tDQRSbQA.jpg
Mom’s Marinated Cucumber Tomato Salad,https://www.allrecipes.com/mom-s-marinated-cucumber-tomato-salad-recipe-8686773,"{'quantity': '1/4', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'red wine vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '5', 'unit': None, 'name': 'cucumbers'}, {'quantity': '3', 'unit': 'small', 'name': 'tomatoes'}, {'quantity': '1', 'unit': None, 'name': 'sweet onion'}","Combine olive oil, white vinegar, red wine vinegar, sugar, 1 teaspoon salt and 1/2 teaspoon black pepper in a large bowl and whisk well.. Partially peel cucumbers, leaving strips of peel remaining on cucumber. Slice cucumbers into 1/4 to 1/2-inch slices and add to vinegar mixture. Cut tomatoes into wedges and add to the bowl along with sliced onions. Toss well to coat. Season with salt and pepper.. Cover and refrigerate at least 1 hour before serving. Toss to coat before serving.","calories: 109, fat: 7g, carbs: 11g, protein: 2g, servings: 8",https://www.allrecipes.com/thmb/FsVaMlqpRsRqidNIZ77XO1tiImE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8686773_Moms-Marinated-Tomato-Cucumber-Salad_Dotdash-Meredith-Food-Studios_4x3-e168a113780a4b6eb7364ac5f2a7ab18.jpg
Light Tomato Salad,https://www.allrecipes.com/light-tomato-salad-recipe-8645322,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'white balsamic vinegar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Splenda'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '4', 'unit': None, 'name': 'tomatoes, sliced'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'green onions'}","Add water, olive oil, vinegar, Splenda®, garlic, salt, and pepper to a small bowl, and whisk until well combined.. Place tomato slices on a plate, and sprinkle green onions over the top. Drizzle dressing over tomatoes, and serve.","calories: 54, fat: 3g, carbs: 7g, protein: 2g, servings: 4",https://www.allrecipes.com/thmb/mAkGsgGj0p0fi-rstqMQrdFWaew=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8645322_Light-Tomato-Salad_Pat-Bernitt_4x3-13d1437e0e8741f5b34acd75d705df53.jpg
Tomato Mozzarella Salad,https://www.allrecipes.com/recipe/222659/tomato-mozzarella-salad/,"{'quantity': '3', 'unit': 'large', 'name': 'tomatoes, sliced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mozzarella cheese, sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'balsamic vinegar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'minced fresh basil'}","Gather all ingredients.. Place tomato slices, alternating with mozzarella slices, on a large serving platter.. Combine oil, balsamic vinegar, salt, and pepper in a jar with a tight-fitting lid; shake well.. Drizzle over tomatoes and mozzarella; sprinkle with basil.. Enjoy!","calories: 199, fat: 15g, carbs: 6g, protein: 10g, servings: 6",https://cdn.jwplayer.com/v2/media/ZRA22BgZ/poster.jpg?width=720
Cucumber Tomato Salad,https://www.allrecipes.com/recipe/237984/marinated-cucumber-onion-and-tomato-salad/,"{'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'distilled white vinegar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'freshly ground black pepper, or to taste'}, {'quantity': '3', 'unit': None, 'name': 'cucumbers, peeled and sliced ¼-inch thick'}, {'quantity': '3', 'unit': '', 'name': 'tomatoes, cut into wedges'}, {'quantity': '1', 'unit': '', 'name': 'onion, sliced and separated into rings'}",,"calories: 156, fat: 10g, carbs: 18g, protein: 2g, servings: 6",https://cdn.jwplayer.com/v2/media/vdbHXXAN/poster.jpg?width=720
"Tomato, Basil, and Feta Salad",https://www.allrecipes.com/recipe/65300/tomato-basil-and-feta-salad/,"{'quantity': '6', 'unit': '', 'name': 'roma (plum) tomatoes, diced'}, {'quantity': '1', 'unit': 'small', 'name': 'cucumber - peeled, quartered lengthwise, and chopped'}, {'quantity': '3', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh basil leaves, cut into thin strips'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'crumbled feta cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'balsamic vinegar'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}","Toss tomatoes, cucumber, green onions, basil, feta, oil, and vinegar together in a large bowl. Season with salt and pepper.","calories: 140, fat: 12g, carbs: 7g, protein: 2g, servings: 4",https://www.allrecipes.com/thmb/2D4fxIaSyXchzeL4MpkDO8bRAaI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/691785-3d7a7b3dacc643579f6b364cd4bee40e.jpg
Easy Greek Salad,https://www.allrecipes.com/recipe/14341/good-for-you-greek-salad/,"{'quantity': '3', 'unit': 'large', 'name': 'ripe tomatoes, chopped'}, {'quantity': '2', 'unit': 'medium', 'name': 'cucumbers, peeled and chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'red onion, chopped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'lemon juice'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'dried oregano'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'cup', 'name': 'crumbled feta cheese'}, {'quantity': '6', 'unit': '', 'name': 'black Greek olives, pitted and sliced'}","Gather all ingredients.. Toss tomatoes, cucumbers, and red onion together in a shallow salad bowl.. Drizzle oil and lemon juice over top, then sprinkle with oregano, salt, and pepper.. Top with feta and olives. Enjoy!","calories: 187, fat: 16g, carbs: 8g, protein: 5g, servings: 6",https://cdn.jwplayer.com/v2/media/HxTf8wEi/thumbnails/mjsAgVhn.jpg
