name,link,ingredients,steps,nutrition,image_url
Alfajor Cake,https://www.allrecipes.com/recipe/8463224/alfajor-cake/,"{'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour, plus more for dusting'}, {'quantity': '½', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': '(13.4 ounce) can', 'name': 'dulce de leche'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '¼', 'unit': 'cup', 'name': 'powdered sugar, or as needed'}","Gather all ingredients.. Beat butter with a stand mixer fitted with a paddle attachment on medium speed until creamy, about 2 minutes. Add sugar and beat until light and fluffy, scraping down the sides of bowl as needed, about 2 minutes.. Add eggs, 1 at a time, beating until incorporated after each addition, about 30 seconds.. Whisk together flour, cornstarch, baking powder, and salt in a medium bowl until combined.. Add flour mixture to butter mixture in 3 additions, alternating alternately with the milk, starting and ending with the flour mixture, and beat until combined after each addition.. Turn dough out onto a floured work surface and turn to coat dough. Knead dough 2 or 3 times.. Divide dough into 5 equal pieces and shape each piece into a ball.. Working with 1 ball at a time, roll dough into a 7-inch circle. Place dough circles on 2 large rimmed baking sheets lined with parchment paper (I fit 3 circles on 1 sheet and 2 on the other). Chill dough circles, uncovered, for 1 hour.. Preheat oven to 375 degrees F (190 degrees C). Prick each dough circle lightly with a fork.. Bake in the preheated oven until browned on bottom and light browned around the edges, 15 to 18 minutes. (If baking in 2 batches, keep second batch refrigerated while first batch bakes.) Cool cake layers completely on a wire rack, about 30 minutes.. Spoon dulce de leche into a medium bowl. Beat cream with an electric mixer on medium-high speed until stiff peaks form, about 6 minutes.. Gently stir half of cream mixture into dulce de leche until combined. Gently fold remaining cream into dulce de leche mixture until combined.. Spread 1/3 cup of the dulce de leche mixture onto 1 cake layer, spreading to edges. Place onto a serving platter with dulce de leche mixture facing up. Repeat process with the next 3 cake layers (this is easier to spread on cake layers before placing on platter). Spread remaining 2/3 cup dulce de leche mixture onto fifth cake layer and place on top.. Let stand 1 hour. Dust top of cake with powdered sugar and serve. Cover any leftovers with plastic wrap and store in refrigerator up to 1 day.","calories: 506, fat: 19g, carbs: 76g, protein: 9g, servings: 8",https://www.allrecipes.com/thmb/1aWZaDKevPNe4MXZfZd2uFJQxwY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8463224-alfajor-cake-mfs-3x2-372-16b3e4aa25494115b3a8e02e478f00b1.jpg
Black Forest Cake,https://www.allrecipes.com/recipe/8095/black-forest-cake-i/,"{'quantity': '2 ⅛', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '(20 ounce) cans', 'name': 'pitted sour cherries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '⅓', 'unit': 'cup', 'name': ""confectioners' sugar""}","Gather all ingredients.. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9-inch round cake pans; line bottoms with parchment paper. Place a medium bowl in the refrigerator to chill.. Whisk flour, sugar, cocoa, baking powder, baking soda, and salt together in a large bowl.. Add eggs, milk, oil, and vanilla; beat until combined.. Pour cake batter into the prepared pans.. Bake in the preheated oven until a toothpick inserted in the centers comes out clean, about 35 minutes. Cool layers in pans on wire racks for 10 minutes. Run a paring knife around edges to loosen and invert carefully onto racks to cool completely, 1 to 2 hours.. While cake layers bake, drain cherries for topping, reserving 1/2 cup juice. Combine reserved juice, cherries, sugar, and cornstarch in a 2-quart saucepan.. Cook, stirring constantly, over low heat until thickened. Stir in vanilla. Let cool at room temperature for 30 minutes. Transfer to the refrigerator to cool completely before assembling cake.. Combine whipping cream and confectioners' sugar for frosting in the chilled medium bowl. Beat with an electric mixer at high speed until stiff peaks form.. Split each cake layer in half horizontally using a long serrated knife.. Tear one layer into crumbs; set aside.. Gently brush loose crumbs off top and sides of remaining layers using a pastry brush or your hands. Reserve 1 1/2 cups frosting for piping decorations on cake; set aside.. To assemble, place one cake layer on a cake plate. Spread with 1 cup frosting; top with 3/4 cup cherry topping.. Top with second cake layer; repeat layers of frosting and cherry topping.. Top with third cake layer and frost sides of cake.. Pat reserved cake crumbs onto sides of cake.. Spoon reserved 1 1/2 cups frosting into a pastry bag fitted with a star decorator tip. Pipe around top and bottom edges of cake.. Spoon remaining cherry topping on top of cake.. Store covered in the refrigerator until ready to serve.","calories: 662, fat: 34g, carbs: 87g, protein: 8g, servings: 12",https://cdn.jwplayer.com/v2/media/xfNSKVnM/thumbnails/Jo0EYxBs.jpg
Dobos Torte,https://www.allrecipes.com/recipe/7650/dobos-torte/,"{'quantity': '9', 'unit': '', 'name': 'egg whites'}, {'quantity': '8', 'unit': '', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon zest'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sifted all-purpose flour'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'shortening'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '', 'unit': '', 'name': '1 recipe Chocolate Buttercream'}","Preheat oven to 400 degrees F (205 degrees C). Have ready two 10-inch cardboard circles. Generously grease a 9-inch springform pan with soft butter, and dust with flour.. Beat the egg whites until frothy, and gradually add 1 cup sugar. Beat just to soft peaks. In another bowl, beat the yolks with the milk, lemon peel, vanilla, and salt. Fold this into the egg whites. Sift the flour over the egg mixture, and fold in.. Spread 1 1/3 cups batter into the prepared pan. Bake for about 5 to 9 minutes, or until small, brown spots begin to appear on cake. Remove the cake from the oven, and remove layer from pan with a spatula. Dust the cake lightly with flour, and place on a rack to cool. Grease pan again, and repeat this process until all of the batter is used, about 6 times more. Place the layers between wax paper, and cover with a towel. Chill layers for a few hours. Make the Chocolate Buttercream.. Layer the chilled layers on one of the cardboard rounds with the buttercream. Start with one layer; cover with the buttercream, and then press down with another layer to make a good seal. Repeat this with the remaining layers, but reserve one layer. Wrap the cake in plastic, and chill for at least 6 hours along with the remaining buttercream. Grease the other cardboard round with the shortening, and place the last layer on it.. Place 1 cup sugar into a non-stick skillet over medium heat. Allow sugar to cook until the edges look melted and brown. Begin stirring with a wooden spoon. Cook until the sugar become an amber color, and is smooth. Carefully pour the caramel over the top of the last layer, and spread to the edges with an oiled knife. Quickly, using an oiled knife, indent the top of the caramel into 16 wedges. Allow to cool slightly, and then retouch the indents with the knife again. Place layer onto a counter top dusted with sugar, and allow the caramel to cool completely.. Place some more buttercream on top of the chilled torte, and top with the caramel round. Frost the sides with the remaining buttercream. Chill the torte before serving.","calories: 242, fat: 4g, carbs: 46g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/7r4IY2WtygNuoZWHlTsl4qSqssM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2393-dobos-torte-LynnInHK-4x3-1-7820ca3cc3674cdeb59992f1587a9db2.jpg
Galette des Rois,https://www.allrecipes.com/recipe/80734/galette-des-rois/,"{'quantity': '¼', 'unit': 'cup', 'name': 'almond paste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter, softened'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': '(17.25 ounce) package', 'name': 'frozen puff pastry, thawed'}, {'quantity': '1', 'unit': '', 'name': 'dry kidney bean'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ""confectioners' sugar for dusting""}",,"calories: 229, fat: 15g, carbs: 20g, protein: 3g, servings: 16",https://www.allrecipes.com/thmb/L5LZxNy3RlFhqsRLg60b3AJkCwU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9009772-galette-des-rois-Mary-V-4x3-1-5e8feadd16934022937b40ac035b0e45.jpg
Doberge Cake,https://www.allrecipes.com/recipe/231087/doberge-cake/,"{'quantity': '4', 'unit': '', 'name': 'eggs, separated'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'sifted cake flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'cup', 'name': 'butter, room temperature'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk, room temperature'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'cornstarch'}, {'quantity': '¼', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '4', 'unit': '', 'name': 'large eggs, beaten'}, {'quantity': '4', 'unit': 'cups', 'name': 'whole milk'}, {'quantity': '2', 'unit': '(1 ounce) squares', 'name': 'bittersweet chocolate, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, room temperature'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': '3', 'unit': 'cups', 'name': ""confectioners' sugar, sifted""}, {'quantity': '1', 'unit': 'cup', 'name': 'unsweetened cocoa powder, sifted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'hot water (Optional)'}, {'quantity': '2', 'unit': 'cups', 'name': 'semisweet chocolate chips'}, {'quantity': '2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Preheat the oven to 375 degrees F (190 degrees C). Grease 3 (9-inch) cake pans.. Make cake: Beat 4 egg whites in a glass or metal bowl with an electric mixer until foamy. Continue to beat until stiff peaks form. Lift the beaters straight up: the tip of the peak should curl over slightly. Set aside.. Sift together cake flour and baking powder in a separate bowl; set aside.. Beat butter, sugar, and salt in a separate large bowl with an electric mixer until light and fluffy. The mixture should be noticeably lighter in color. Add egg yolks one at a time, mixing well after each addition. Pour in cake flour mixture alternately with 1 cup milk, mixing until just incorporated. Stir in lemon juice and vanilla until incorporated.. Whisk beaten egg whites a few times; use a whisk or rubber spatula to fold 1/3 of the egg white mixture into batter to lighten it. Fold in remaining egg whites, mixing just until combined. Pour batter into the prepared pans and spread evenly.. Bake in the preheated oven until cake is light golden brown and just pulling from the sides of the pan, 15 to 20 minutes. Do not overbake. Cool in the pans for 5 minutes, then invert onto wire racks to cool completely.. Make custard: Combine 1 1/2 cups sugar, salt, flour, cornstarch, and cocoa powder in a saucepan and mix well. Whisk remaining 1/2 cup sugar into 4 beaten eggs in a medium bowl; set aside. Pour milk into sugar mixture in the saucepan and cook over medium heat, stirring constantly, until mixture begins to boil. Remove from heat and gradually pour hot milk mixture into egg mixture, whisking constantly. Add chopped chocolate and stir until chocolate melts.. Return custard to the saucepan and cook, stirring constantly, over medium heat until custard is thickened, about 5 minutes. Remove from heat; stir in butter and vanilla. Transfer custard to a bowl and allow to cool.. Make buttercream: Place butter in a large bowl. Gradually beat in confectioners' sugar until incorporated. Beat in cocoa powder until well combined. Mix in vanilla until smooth. Drizzle in 1 tablespoon hot water or as needed to thin frosting; mix well until desired consistency is reached.. Make ganache: Place chocolate chips in a large bowl. Heat heavy cream in a saucepan until very hot but not boiling. Remove from heat and pour over chocolate chips. Let stand for 3 minutes, then whisk, scraping sides and bottom of the bowl, until smooth. Stir in vanilla. Allow to cool to room temperature; cover and set aside. Ganache should be spreadable and not firm.. Assemble cake: Using a long serrated knife and a gentle sawing motion, slice each cake layer in half horizontally. Cover cake plate with strips of parchment paper or aluminum foil for easier clean up. Put a dab of buttercream in the center of the plate to keep cake from shifting. Set a cake half on the plate.. Spread custard filling onto cake layer, taking care not to spread it too close to the edge (weight of the cake layers will cause it to spread out). Gently lay another cake round on top of the first and repeat with another custard layer. Repeat with remaining layers and custard, topping custard with the last cake layer. Chill cake in the refrigerator for 30 minutes to firm up.. Frost the top and sides of cake with chocolate buttercream. Chill in the refrigerator for 30 minutes to firm and set.. Spread frosted cake with ganache. Remove parchment strips or aluminum foil from the cake plate. Store cake in the refrigerator.","calories: 917, fat: 45g, carbs: 125g, protein: 11g, servings: 16",https://www.allrecipes.com/thmb/H5oh7TaM5uI2v75ZCSnrTUoZMxs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/966000-183175335d7340969a4d53c71e9907cf.jpg
Fourteen Layer Chocolate Cake,https://www.allrecipes.com/recipe/16480/fourteen-layer-chocolate-cake/,"{'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '3', 'unit': 'cups', 'name': 'self-rising flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'cups', 'name': 'evaporated milk'}","Preheat oven to 350 degrees F (175 degrees C). Grease and flour 4 or 5 - 8 inch round cake pans.. In a large bowl, cream together the shortening, 1/2 cup butter and 2 cups sugar until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla. Add the flour alternately with the 3 cups milk; beat well. Pour 1/4 cup of batter into each prepared pan, and spread evenly. You will need to bake the layers in two or three batches.. Bake for 5 to 7 minutes in the preheated oven, just until the layers are dried out. Do not brown.. To make the frosting: In a saucepan over medium heat, combine 3 cups sugar, 1 cup butter, cocoa, water and 2 cups evaporated milk. Bring the mixture to a rolling boil, stirring frequently, then boil for 2 minutes. Remove from heat and beat for one minute with an electric mixer. Stack cake layers with icing in between, letting the icing run down the sides of the cake. Smooth the sides and top with the remaining icing.","calories: 725, fat: 34g, carbs: 99g, protein: 10g, servings: 14",https://www.allrecipes.com/thmb/q8EDSymMXdihwt_DlKOEZncVP4Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5651866-c32847025edc4a8389742205c2a40ffc.jpg
Passover Chocolate Torte,https://www.allrecipes.com/recipe/16291/passover-chocolate-torte/,"{'quantity': '½', 'unit': 'cup', 'name': 'pareve margarine'}, {'quantity': '8', 'unit': 'ounces', 'name': 'semisweet chocolate, chopped'}, {'quantity': '5', 'unit': 'large', 'name': 'eggs, separated'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'ground almonds'}","Preheat the oven to 350 degrees F (175 degrees C). Line bottom and sides of a 9-inch springform pan with foil. Grease foil.. Melt margarine and chocolate over low heat. Stir until smooth and let cool.. Beat egg whites in a medium-sized mixing bowl until stiff; about 2 minutes. Beat egg yolks and sugar together in a separate bowl until thick and pale; about 1 minute. Blend in chocolate mixture and stir in ground almonds. Fold beaten whites, 1/3 at a time, into chocolate until no streaks of white remain; transfer into prepared pan.. Place an 8-inch baking pan with 1 inch of water in it on the bottom rack of the oven (this will create steam and make the torte more moist).. Bake torte on center rack in the preheated oven for 45 to 50 minutes, or until sides begin to pull away from pan and top is set in center. Cover the torte loosely with foil for the last 20 minutes of baking. Note: Don't worry if the cake cracks because the top will be on the bottom later.. Cool on wire rack for 10 minutes and then carefully remove sides of pan. Invert onto a serving plate and cool completely.","calories: 307, fat: 22g, carbs: 26g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/jChlyczwVvyiuRqNNMH63ZcImXc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7856047-c04893451ea04d07b79bcbdced0c9f63.jpg
Strawberry Torte,https://www.allrecipes.com/recipe/7409/strawberry-torte/,"{'quantity': '11', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pint', 'name': 'heavy whipping cream'}, {'quantity': '2', 'unit': '(12 ounce) packages', 'name': 'ladyfinger cookies'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'frozen strawberries'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}","Strain strawberries and set aside, reserving juices. In a saucepan bring cornstarch and strawberry juice to a gentle boil. Remove from heat and let cool.. Whip cream cheese, sugar, and vanilla together in a large bowl.. In a separate bowl beat whipping cream until stiff peaks form. Fold whipped cream into cream cheese mixture.. Arrange ladyfingers around the sides and bottom of an 8-inch springform pan, standing ladyfingers lengthwise around the sides of the pan. Pour 1/2 of the filling into the pan, then arrange a layer of ladyfingers on top of the filling. Pour remaining filling over ladyfingers.. Spread strawberry sauce over top of cake and arrange whole strawberries on top. Refrigerate overnight until thoroughly chilled.. Remove from pan to serve.","calories: 514, fat: 29g, carbs: 56g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/Ei4RXYu8mhxzOWCGu0YUG5O2Nto=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/640860-444496123ab540d182b530630a71d8f9.jpg
Apple Bavarian Torte,https://www.allrecipes.com/recipe/9543/apple-bavarian-torte/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '6', 'unit': None, 'name': 'apples, peeled, cored, and thinly sliced'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sliced almonds'}","Preheat oven to 450 degrees F (230 degrees C).. Cream together butter, 1/3 cup sugar, vanilla, and flour. Press crust mixture into the flat bottom of a 9-inch springform pan. Set aside.. In a medium bowl, blend cream cheese and 1/4 cup sugar. Beat in egg and vanilla. Pour cheese mixture over crust.. Combine 1/3 cup sugar and 1/2 teaspoon cinnamon. Toss sliced apples with sugar mixture and spread over cheese filling.. Bake for 10 minutes. Reduce heat to 400 degrees F (200 degrees C) and continue baking for 25 minutes. Sprinkle almonds over top of torte. Continue baking until almonds are lightly browned and apples are tender. Cool before removing from pan.","calories: 285, fat: 16g, carbs: 34g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/NP6HmRcAXBEPUhpLyvl8CMff22M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/366308-f984814ea7834937a212a711570aa046.jpg
Sacher Torte,https://www.allrecipes.com/recipe/110312/sacher-torte/,"{'quantity': '4', 'unit': 'ounces', 'name': 'semisweet chocolate, chopped'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '¼', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'teaspoons', 'name': ""confectioners' sugar""}, {'quantity': '6', 'unit': 'large', 'name': 'eggs, separated, divided'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'cake flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'dark rum, divided'}, {'quantity': '1', 'unit': '(12 ounce) jar', 'name': 'apricot preserves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '9', 'unit': 'ounces', 'name': 'semisweet chocolate, chopped'}, {'quantity': '3', 'unit': 'ounces', 'name': 'heavy cream'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch springform pan. Line the bottom with a circle of parchment paper; grease the paper.. Make the cake: Melt chocolate in the top of a double boiler over simmering water. Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until chocolate is melted, 3 to 5 minutes. Remove from the heat and let cool slightly, 5 to 10 minutes.. Beat butter and 1/4 cup plus 2 teaspoons confectioners' sugar in a large bowl with an electric mixer until creamy. Mix in melted chocolate, then beat in egg yolks, one at a time.. Beat egg whites in a glass bowl until foamy. Gradually add 1/2 cup plus 2 tablespoons white sugar, and continue to beat until stiff, glossy peaks form.. Fold egg whites into chocolate mixture, then fold in cake flour until incorporated. Pour batter into the prepared pan and smooth the top.. Bake in the preheated oven until the edges begin to pull away from the sides of the pan and a toothpick inserted into the center comes out dry, about 45 minutes.. Cool pan on a wire rack for 15 minutes, then run a small knife around the edge and remove the sides of the pan. Allow cake to cool completely on the pan base, 15 to 20 more minutes.. While the cake is cooling, make the filling: Bring 1/4 cup water and sugar to a boil in a small saucepan. Cook and stir until sugar has dissolved and syrup is clear, 2 to 3 minutes. Remove from the heat and stir in 2 tablespoons rum.. Purée apricot preserves with 1 tablespoon of water in a blender until smooth. Transfer to a saucepan and bring to a simmer over medium heat; cook until thickened, about 2 minutes. Stir in remaining 1 tablespoon rum.. Remove the pan base and parchment paper from cooled cake. Carefully slice cake in half horizontally into two layers. Place one layer onto a wire rack; brush 1/3 of the syrup over top, spread with 1/3 of the apricot purée, then top with remaining cake layer. Brush the cake top and sides with remaining syrup, then spread remaining purée over the top and sides. Refrigerate cake on the wire rack until icing is ready.. Make the icing: Melt chocolate in the top of a double boiler over simmering water. Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until chocolate is melted, 3 to 5 minutes. Remove from the heat and let cool slightly.. While the chocolate is melting, bring the cream to a simmer in a small saucepan. Stir cream into melted chocolate until combined. Let cool slightly, stirring often, until icing reaches a spreadable consistency, 5 to 10 minutes.. Remove the cake from the refrigerator; set the wire rack over waxed paper to catch any drips. Pour icing over cake and spread over the top and sides, allow excess icing to drip through the rack. Let sit until icing is at room temperature.. Carefully transfer cake to a serving platter. Serve at room temperature.","calories: 470, fat: 23g, carbs: 63g, protein: 7g, servings: 12",https://www.allrecipes.com/thmb/6PN3wO1UUt3bM5hT0jJm7ElPn28=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/678519-a4ce1f8e3627431f851e730038436a7c.jpg
