name,link,ingredients,steps,nutrition,image_url
Homemade Flour Tortillas,https://www.allrecipes.com/recipe/157642/homemade-flour-tortillas/,"{'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lard'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}",,"calories: 86, fat: 1g, carbs: 16g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/xRGMNHmZ/poster.jpg?width=720
Authentic Mexican Tortillas,https://www.allrecipes.com/recipe/7122/authentic-mexican-tortillas/,"{'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shortening or lard'}, {'quantity': '¾', 'unit': 'cup', 'name': 'hot water'}","Combine flour, baking powder, and salt together in a large bowl. Cut in shortening by hand, or with a pastry cutter until mixture is crumbly. If mixture looks more floury than crumbly, add one or two more tablespoons of shortening. Add about 3/4 cup hot water, or just enough to moisten.. Knead dough by hand or with a large fork, rubbing dough against the sides of the mixing bowl to gather any clinging dough. If dough still sticks to the side of the bowl, add a couple more tablespoons of flour until dough forms a soft round shape. For best results, cover dough with a clean dish towel, and let it rest for about an hour or so.. Divide dough into 12 equal-sized balls. Roll each ball on a lightly floured surface to about 1/8-inch thick.. Heat a cast iron skillet over medium heat.. Place a tortilla in the preheated pan and cook until browned and slightly puffy, about 30 seconds to 1 minute. Turn tortilla over to brown on second side, about 30 seconds or a minute more; transfer to a plate. Repeat with each piece of dough. Keep cooked tortillas covered with a towel to stay warm and moist until ready to serve.","calories: 227, fat: 13g, carbs: 24g, protein: 3g, servings: 12",https://cdn.jwplayer.com/v2/media/SfOyeBao/poster.jpg?width=720
Baked Corn Tortilla Strips for Mexican Soups,https://www.allrecipes.com/recipe/262292/baked-corn-tortilla-strips-for-mexican-soups/,"{'quantity': '8', 'unit': '(6 inch)', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'avocado oil, or more as needed'}","Preheat the oven to 350 degrees F (175 degrees C).. Cut tortillas in half, then slice crosswise into 1/8-inch strips. Place strips into a bowl and toss with oil until fully coated.. Transfer oiled strips to a baking sheet and arrange in a single layer.. Bake in the preheated oven until crisp and lightly browned, about 15 minutes. Remove from the oven and let cool before using.","calories: 175, fat: 9g, carbs: 23g, protein: 3g, servings: 4",https://www.allrecipes.com/thmb/Dwx4nel5d4kfNlncnQjihczflCQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5366422-baked-corn-tortilla-strips-for-mexican-soups-Buckwheat-Queen-4x3-1-aa2e08f727d04c4ead40b062156683bf.jpg
Homemade Corn Tortillas,https://www.allrecipes.com/recipe/17500/corn-tortillas/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'masa harina'}, {'quantity': '1 ⅛', 'unit': 'cups', 'name': 'hot water'}","Gather the ingredients.. Mix together masa harina and hot water in a medium bowl until throughly combined.. Transfer dough to a clean work surface and knead until pliable and smooth. If dough is too sticky, add more masa harina; if it begins to dry, sprinkle with water. Cover dough tightly with plastic wrap and allow to sit at room temperature for 30 minutes.. Preheat a cast iron skillet or griddle over medium-high heat.. Divide dough into 15 equal-sized balls. Using a tortilla press, a rolling pin, or your hands, press each ball flat between 2 sheets of plastic wrap.. Cook a tortilla in the preheated pan until browned and slightly puffy, about 30 seconds. Flip tortilla over and continue cooking until the other side is browned, about 30 more seconds. Remove to a plate; cover to keep warm and moist. Repeat with remaining tortillas.","calories: 146, fat: 2g, carbs: 30g, protein: 4g, servings: 5",https://cdn.jwplayer.com/v2/media/cXlSpith/poster.jpg?width=720
Puffy Taco Shells,https://www.allrecipes.com/recipe/246974/puffy-taco-shells/,"{'quantity': '1', 'unit': 'cup', 'name': 'masa harina'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'lukewarm water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lukewarm water'}, {'quantity': '½', 'unit': 'cup', 'name': 'canola oil for frying'}","Mix masa harina, salt, and 1/2 cup plus 2 tablespoons water together in a bowl using your fingertips until dough forms and pulls away from the sides, 2 or 3 minutes. Form into a firm, flattened ball and divide into 8 equal portions. Roll each portion into a ball. Keep dough balls covered with a damp paper towel as you fry them, one at a time.. Place dough ball between 2 sheets of plastic or a split open zip top bag. Flatten to form a small circle about 1/8 to 3/16 inch thick.. Heat oil in a skillet over medium-high heat. When oil is hot, slide in the first circle. Very carefully baste hot oil over the top of the shell with a spoon to keep oil circulating over the top surface. When shell has puffed (after about 15 seconds), cook another few seconds and flip it over and cook another 30 seconds. Remove with a slotted spoon and drain on paper towels. Repeat for each shell.. When shells are still warm and pliable, gently push down puffed tops to create room for the fillings and slightly crease the shells for folding.. Fill with your favorite taco fixings and serve while shells are still warm.","calories: 128, fat: 4g, carbs: 22g, protein: 3g, servings: 4",https://cdn.jwplayer.com/v2/media/cDpCZLe2/poster.jpg?width=720
Tacos de Jamaica (Vegan Hibiscus Tacos),https://www.allrecipes.com/recipe/260001/tacos-de-jamaica-vegan-hibiscus-tacos/,"{'quantity': '8', 'unit': 'ounces', 'name': 'dried hibiscus flowers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '10', 'unit': '', 'name': 'fresh tomatillos, husks removed'}, {'quantity': '1', 'unit': '', 'name': 'avocado - peeled, pitted, and diced'}, {'quantity': '¼', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '', 'name': 'serrano peppers'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '18', 'unit': '', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'slices', 'name': 'fresh pineapple, chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, finely chopped'}, {'quantity': '½', 'unit': 'bunch', 'name': 'cilantro, chopped'}, {'quantity': '2', 'unit': '', 'name': 'limes, cut into wedges'}","Rinse hibiscus very well to make sure all dust is removed. Place clean hibiscus in a pot over medium heat, cover with water, and boil for 10 minutes. Remove hibiscus from heat and allow to steep for at least 2 hours, until hibiscus is very soft. Drain well.. Heat oil in a large skillet over medium heat and cook 1 onion and 2 cloves garlic until soft and translucent, about 2 minutes. Stir in drained hibiscus and season with salt and pepper. Cook for 5 minutes, stirring constantly, until hibiscus turns a deep red color.. Combine tomatillos, avocado, 1/4 onion, serrano peppers, 1 clove garlic, and 2 tablespoons cilantro; blend until smooth. Season salsa verde with salt.. Warm corn tortillas in a skillet. Divide hibiscus mixture amongst tortillas and top with pineapple, onion, and cilantro. Serve with salsa verde and lime.","calories: 101, fat: 3g, carbs: 17g, protein: 2g, servings: 18",https://www.allrecipes.com/thmb/JVbbWTbOzQMceVk1Qm8gu-I6Jf8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4585329-tacos-de-jamaica-vegan-hibiscus-tacos-Chef-Gaby-Cervello-4x3-1-1f0865f872ca4eada4fe4695a33cc649.jpg
Mexican Whole Wheat Flour Tortillas,https://www.allrecipes.com/recipe/46790/mexican-whole-wheat-flour-tortillas/,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '4', 'unit': 'cups', 'name': 'whole wheat bread flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'boiling water'}, {'quantity': '', 'unit': '', 'name': 'all-purpose flour for rolling'}","In a large bowl, stir together 1 cup all-purpose flour, the whole wheat flour, and salt. Rub in the shortening by hand until the mixture is the texture of oatmeal. Make a well in the center, and pour in the boiling water. Mix with a fork until all of the water is evenly incorporated. Sprinkle with a bit of additional flour, and knead until the dough does not stick to your fingers. The dough should be smooth.. Make balls the size of golf balls, about 2 ounces each. Place them on a tray, and cover with a cloth. Let stand for at least 1 hour, or up to 8 hours.. Heat a griddle or large frying pan over high heat. On a lightly floured surface, roll out a tortilla to your preferred thinness. Fry one at a time. Place on the griddle for 10 seconds, as soon as you see a bubble on the top, flip the tortilla over. Let it cook for about 30 seconds, then flip and cook the other side for another 30 seconds. Roll out the next tortilla while you wait for that one to cook. Repeat until all of the balls have been cooked. Tortillas can be refrigerated or frozen.","calories: 179, fat: 6g, carbs: 27g, protein: 5g, servings: 18",https://www.allrecipes.com/thmb/y1zKPhumV_tmCPTFs03jDDgJAGM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16238-7b3b5b5f07d24947bbcf9d725b1f3038.jpg
Easy 4-Ingredient Low-Carb Keto Wraps,https://www.allrecipes.com/recipe/263605/easy-4-ingredient-low-carb-keto-wraps/,"{'quantity': '6', 'unit': '', 'name': 'eggs'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'almond milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'coconut flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'sea salt'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Whisk eggs and almond milk together in a bowl until well combined.. Combine coconut flour and salt in a separate bowl. Stir in egg mixture; whisk until a smooth and soft batter is formed. Let stand for 5 minutes.. Heat a 6-inch skillet over medium-high heat. Grease skillet with cooking spray. Pour in 1/4 cup of the batter and immediately rotate the skillet to spread batter out in a thin layer. Cook covered until the top of the wrap is no longer wet and the bottom has turned light brown, 1 to 2 minutes. Run a spatula around the edge of the skillet to loosen wrap; flip wrap and cook until the other side has turned light brown, about 1 minute more.","calories: 69, fat: 3g, carbs: 6g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/1XQNp9wrZvOU24_19n09ffe6mZo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6527481-easy-4-ingredient-low-carb-keto-wraps-Joba-4x3-1-a19f5f4c73da41b6a978f1b42e86a82a.jpg
Chef John's Corn Tortillas,https://www.allrecipes.com/recipe/263455/chef-johns-corn-tortillas/,"{'quantity': '1', 'unit': 'cup', 'name': 'masa harina, or as needed'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '¾', 'unit': 'cup', 'name': 'hot tap water, about 130 degrees F (55 degrees C)'}","Add masa harina to a large bowl. Sprinkle in salt and add hot tap water. Stir mixture with your fingers until dough starts to pull together.. Knead for a few minutes to smooth it out until texture resembles modeling clay or putty. Add more water if dough is too dry and more flour if too wet.. Place a damp towel and over the dough to keep it from drying out. Let rest for 20 to 30 minutes.. Cut a zip-top bag into 2 rounds the same size as your tortilla press. Place 1 round on the bottom of the press.. Place a clean kitchen towel over a pie dish for holding the cooked tortillas later.. Pull off a little piece of the dough, enough to roll into a 1 1/2-inch or 1-ounce ball. Remove the top round of plastic, place dough ball in the center of the bottom round, and press down lightly. Cover dough with the top piece of plastic.. Fold the tortilla press over, apply pressure to the lever arm until tortilla flattens to your desired thinness.. Peel off the top piece of plastic. Line up the index finger of your dominant hand with the edge of the tortilla; flip it over into your other hand. Carefully peel off the plastic.. Gently slide tortilla, palm-up, into a hot, dry pan over medium- to medium-high heat. Cook first side for 30 to 45 seconds. Turn over and cook second side for 1 minute. Flip and press once or twice with a spatula until tortilla puffs up slightly. Cook for 30 seconds more. Flip one last time and cook for 5 to 10 seconds.. Quickly transfer tortilla to the pie dish and fold the towel over to wrap it up. Repeat pressing and cooking the rest of the tortilla dough, stacking and wrapping as you go.. Leave the stack of tortillas wrapped until soft and supple, at least 15 minutes.","calories: 42, fat: 0g, carbs: 9g, protein: 1g, servings: 10",https://cdn.jwplayer.com/v2/media/0zLLJh8a/poster.jpg?width=720
Cassava Flour Tortillas,https://www.allrecipes.com/recipe/271093/cassava-flour-tortillas/,"{'quantity': '½', 'unit': 'cup', 'name': 'lukewarm water'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'cassava flour'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'vegetable oil'}","Prepare a tortilla press with 2 pieces of parchment paper. Set aside.. Pour warm water into a bowl and stir in salt until it dissolves.. Combine flour, salt water, and oil in a bowl and mix with your hands until a smooth dough forms. Move dough to a smooth surface and lightly knead until dough feels compact and does not crumble. Separate into 4 equal pieces and roll them into balls.. Heat a griddle over medium-high heat. Press one dough ball between 2 pieces of parchment paper in the tortilla press. Press down. Open press and carefully peel off the top piece of parchment paper. Flip tortilla onto your hand and carefully peel off the 2nd piece of paper. Return paper back onto tortilla press. Immediately cook the pressed tortilla on the hot griddle. Cook until bubbles form, flip over, and cook on the other side until browned. Do not flip the tortilla before bubbles form or the tortilla will break. Repeat with remaining dough balls.. Serve immediately or cover with a cloth and reheat in the microwave for 30 seconds at 600W.","calories: 221, fat: 9g, carbs: 35g, protein: 0g, servings: 4",https://www.allrecipes.com/thmb/oycavoZKb3bWKtB151z-dCf4Np0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6439252-cassava-flour-tortillas-Buckwheat-Queen-4x3-1-a556e1f939624cab9fcbc283ccd9f391.jpg
