name,link,ingredients,steps,nutrition,image_url
Shrimp Tostadas,https://www.allrecipes.com/shrimp-tostadas-recipe-7496443,"{'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': None, 'name': 'chipotle peppers in adobo sauce, minced'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'avocado oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1 (8', 'unit': 'ounce) package shredded', 'name': 'cabbage'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'bouillon (such as'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '24', 'unit': None, 'name': 'raw shrimp (frozen or fresh), peeled and deveined'}, {'quantity': '1 (15', 'unit': 'ounce) can', 'name': 'black beans'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic granules'}, {'quantity': '8', 'unit': '(6-inch)', 'name': 'tostada shells'}, {'quantity': '4', 'unit': 'ounces', 'name': 'queso fresco, crumbled'}, {'quantity': '1', 'unit': 'bunch', 'name': 'cilantro, chopped'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'crema'}, {'quantity': '8', 'unit': None, 'name': 'lime slices'}","Combine mayonnaise, minced chipotle peppers, lime juice, honey, avocado oil, 1 teaspoon cumin, and salt to taste for the slaw in a large bowl. Stir until well blended. Add shredded cabbage and toss to coat. Refrigerate until ready to use.. Combine water, sofrito base, and cayenne pepper in a large skillet for the slaw. Bring to a boil over medium heat. Add shrimp to the boiling liquid, bring back to a boil, and cook until shrimp turn white and peachy-pink, and make a “C” shape, 3 to 5 minutes. Using a slotted spoon or spider, remove shrimp from the cooking liquid immediately.. Set an oven rack about 6 inches from the heat source and preheat the broiler. Line a baking tray with aluminum foil.. Stir refried beans, smoked paprika, 1/2 teaspoon cumin, and garlic granules together in a bowl for the tostadas. Spread each tostada shell with bean mixture, 1 to 2 tablespoons per tostada, or to taste. Sprinkle queso fresco crumbles evenly on each tostada. Place tostadas on the prepared baking tray in a single layer.. Broil under the preheated broiler until cheese begins to melt, 1 to 2 minutes. Watch that tostada shells do not burn.. Place about 1/2 cup of the prepared slaw on each tostada. Top with chopped cilantro to taste. Add three shrimp per tostada, and drizzle crema over all. Serve with lime slices, if desired.","calories: 639, fat: 47g, carbs: 42g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/b2CW-27un9YOxdAaNkYxsLqhYCM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7496443_Shrimp-Tostadas_Bibi_4x3-795d63eb0ae1437eaaebcc07812c131c.jpg
Chef John's Chicken Tinga,https://www.allrecipes.com/recipe/260469/chef-johns-chicken-tinga/,"{'quantity': '3', 'unit': 'pounds', 'name': 'skinless, boneless chicken thighs'}, {'quantity': '4', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, halved'}, {'quantity': '3', 'unit': '', 'name': 'peeled whole garlic cloves'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt, plus more to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, diced'}, {'quantity': '1', 'unit': '(7 ounce) can', 'name': 'chipotle peppers in adobo sauce'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'peeled plum tomatoes (preferably San Marzano)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro, or more to taste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled cotija cheese, or to taste'}","Place chicken thighs, chicken stock, water, halved onion, garlic cloves, salt, and oregano in a large pot. Bring to a simmer over high heat; reduce to medium-low and cook, stirring occasionally, for 30 minutes. Remove from heat.. Transfer onion halves to a bowl with a slotted spoon; transfer chicken thighs to a separate bowl.. Pour broth through a strainer into a large bowl.. Heat olive oil in the same pot over medium heat. Add diced onions and cook until beginning to soften, about 4 minutes. Transfer strained liquid to onions. Bring mixture to a boil over high heat; turn heat to medium-low; reduce broth by about half, 15 to 20 minutes.. Transfer reserved boiled onions to a blender. Add chipotle peppers in adobo sauce. Swirl a bit of water in the can and add to the blender. Add tomatoes. Cover blender with the lid; pulse on and off until mixture is partially blended, then blend on medium speed until smooth, 1 or 2 minutes. Transfer to pot with broth and onions.. Increase heat to medium-high. Simmer 15 minutes or so, depending on how thick you want the sauce. Reduce heat to medium-low.. Tear chicken into bite-size pieces and add to the pot. Cook another 10 to 15 minutes. Transfer to a serving dish; garnish with cilantro and crumbled cotija cheese.","calories: 483, fat: 30g, carbs: 14g, protein: 39g, servings: 6",https://cdn.jwplayer.com/v2/media/pBtr7RX4/poster.jpg?width=720
Crispy Oven Beef-and-Bean Tostadas,https://www.allrecipes.com/recipe/241674/crispy-oven-beef-and-bean-tostadas/,"{'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '½', 'unit': 'pound', 'name': 'ground beef'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped sweet onion, or more to taste'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '6', 'unit': '', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'cups', 'name': 'refried beans'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded lettuce, or as desired'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '1', 'unit': '', 'name': 'tomato, diced'}","Preheat oven to 400 degrees F (200 degrees C).. Mix garlic salt, onion powder, garlic powder, cumin, and black pepper together in a small bowl.. Heat a large skillet over medium-high heat. Cook and stir beef, onion, and garlic in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease. Keep warm while preparing tostada shells.. Brush oil over both sides of tortillas and arrange on a baking sheet.. Bake tortillas in preheated oven until crisped on top, about 5 minutes. Flip tortillas and continue baking until other side crisps, 2 to 3 minutes more.. Heat refried beans in a saucepan over medium-low, stirring regularly until hot, about 5 minutes (see Cook's Note).. Divide refried beans between tostadas and spread over one side of each; spoon ground beef mixture over the beans. Top each tostada with lettuce, Cheddar cheese, and diced tomato.","calories: 743, fat: 41g, carbs: 56g, protein: 40g, servings: 3",https://www.allrecipes.com/thmb/QFXmpBjGM5ANNhKAxBPBqkIXk7U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3423997-87240dcba41846e5aa9e3b639e724a6b.jpg
Tuna Tostadas,https://www.allrecipes.com/recipe/88592/tuna-lime-tostadas/,"{'quantity': '3', 'unit': '(5 ounce) cans', 'name': 'solid white tuna packed in water, drained'}, {'quantity': '½', 'unit': '(10 ounce) can', 'name': 'sweet corn, drained'}, {'quantity': '½', 'unit': '', 'name': 'onion, finely chopped'}, {'quantity': '1', 'unit': 'bunch', 'name': 'cilantro, finely chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salsa'}, {'quantity': '1', 'unit': '', 'name': 'lime, juiced'}, {'quantity': '', 'unit': '', 'name': 'hot sauce to taste'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '', 'unit': '', 'name': 'sour cream, for topping'}, {'quantity': '8', 'unit': '', 'name': 'tostada shells'}","Place tuna in a bowl and flake with a fork. Stir in corn, onion, cilantro, salsa, and lime juice. Season with a few dashes of hot sauce, and salt and pepper to taste; stir to combine.. Spoon onto tostada shells. Top each tostada with a dollop of sour cream and a bit more hot sauce.","calories: 139, fat: 4g, carbs: 12g, protein: 14g, servings: 8",https://www.allrecipes.com/thmb/6U2-LRuTYP3MV1VnGh-mhk545oA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14928-37e092f7af6a49cc8e383256146743ed.jpg
Shredded Beef Tostadas,https://www.allrecipes.com/recipe/284663/shredded-beef-tostadas/,"{'quantity': '2', 'unit': 'teaspoons', 'name': 'chipotle chili powder, or to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Mexican oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper, or to taste'}, {'quantity': '1', 'unit': '(2 pound)', 'name': 'boneless beef chuck roast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'extra-virgin olive oil'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'minced fresh garlic'}, {'quantity': '1', 'unit': 'cup', 'name': 'beef stock'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped tomatoes, divided'}, {'quantity': '1', 'unit': 'medium', 'name': 'orange, juiced'}, {'quantity': '½', 'unit': 'medium', 'name': 'lime, juiced'}, {'quantity': '6', 'unit': '', 'name': 'crispy tostada shells'}, {'quantity': '2', 'unit': 'cups', 'name': 'refried beans, warmed'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded lettuce'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'salsa, or to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sour cream, or to taste'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'guacamole, or to taste'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '6', 'unit': 'wedges', 'name': 'lime'}","Prepare spice rub: Combine chili powder, paprika, oregano, garlic powder, onion powder, coriander, cumin, salt, and pepper in a bowl.. Rub 1 tablespoon of the spice rub on each side of the chuck roast. Set remaining spice rub aside for later.. Heat oil in a skillet over medium heat. Place seasoned roast in the hot oil and brown for 2 to 3 minutes per side. Remove to a plate and keep warm.. Cook onions in the same skillet, stirring frequently, until they begin to turn clear, 2 to 3 minutes. Add garlic and cook until fragrant, about 1 minute. Stir in beef stock, 1/2 cup chopped tomato, orange juice, lime juice, and remaining spice rub.. Return the roast back to the skillet and bring to a boil. Cover, reduce heat, and simmer gently until meat is tender and cooked through, about 2 hours. Remove meat from the skillet and transfer to a cutting board.. Carefully pour the skillet contents into a blender or food processor. Pulse several times, until sauce is smooth.. Remove the visible fat from the meat and discard. Shred the meat with two forks. Place shredded beef back into the skillet with about 3/4 cup of the pureed tomato sauce. Add more, if desired, to adjust the consistency. Refrigerate any unused tomato sauce in a sealed container for another use, if desired.. To assemble tostadas, spread about 1/3 cup refried beans on each tostada shell. Top with layers of shredded beef mixture, lettuce, Cheddar cheese, and reserved chopped tomatoes. Drizzle with salsa and add a dollop of sour cream and guacamole. Garnish with cilantro and serve with lime wedges.","calories: 559, fat: 34g, carbs: 32g, protein: 33g, servings: 6",https://www.allrecipes.com/thmb/IuDqRme0hAuoRFY3zM0GhuGh238=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9232952-3bd3224eaec6420690bb62d7a9b22bee.jpg
Instant Pot® Chicken Tinga,https://www.allrecipes.com/recipe/273519/instant-pot-chicken-tinga/,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, sliced into petals'}, {'quantity': '3', 'unit': 'pounds', 'name': 'skinless, boneless chicken breast halves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Mexican oregano'}, {'quantity': '6', 'unit': '', 'name': 'canned chipotle chile peppers in adobo sauce, finely chopped'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'crushed tomatoes'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '6', 'unit': '', 'name': 'tostada shells'}","Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Add olive oil and onions. Cook until onions have softened, about 2 minutes. Turn off Saute function. Add chicken, oregano, chipotle peppers, tomatoes and salt.. Select high pressure according to manufacturer's instructions and set timer for 15 minutes. Allow 10 minutes for pressure to build.. Release pressure using the natural-release method according to manufacturer's instructions, 10 minutes. Unlock and remove the lid.. Transfer chicken to a cutting board to cool for 10 minutes. Shred chicken and return to the pot. Stir to combine. Spoon chicken tinga on tostadas using a slotted spoon and serve immediately.","calories: 380, fat: 11g, carbs: 20g, protein: 50g, servings: 6",https://www.allrecipes.com/thmb/YsMQKdGOcdTo4sLcHA8PwNcfBac=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6622093-9187ae3c718942d09a1b65cfd625b161.jpg
Ceviche de Soya,https://www.allrecipes.com/recipe/262594/ceviche-de-soya/,"{'quantity': '8', 'unit': 'ounces', 'name': 'soy protein (TVP)'}, {'quantity': '5', 'unit': '', 'name': 'limes, juiced'}, {'quantity': '1', 'unit': 'pound', 'name': 'plum tomatoes, seeded and chopped'}, {'quantity': '2', 'unit': 'small', 'name': 'cucumbers - peeled, seeded, and cubed'}, {'quantity': '½', 'unit': '', 'name': 'white onion, diced'}, {'quantity': '10', 'unit': 'sprigs', 'name': 'cilantro leaves, finely chopped'}, {'quantity': '1', 'unit': '', 'name': 'jalapeno pepper seeded, deveined, and minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '16', 'unit': '', 'name': 'crisp-fried tostadas'}, {'quantity': '2', 'unit': '', 'name': 'avocados - peeled, pitted, and cubed'}","Place soy protein in a pot and cover with water. Bring to a boil and boil for 3 minutes. Drain and rinse very well with clean water. Allow to cool completely, about 30 minutes.. Place hydrated soy in a glass bowl and pour lime juice over it. Let stand for 30 minutes. Drain lime juice. Mix in tomatoes, cucumbers, onion, cilantro, and jalapeno. Season with oregano and salt. Serve over tostadas and garnish with avocado.","calories: 333, fat: 15g, carbs: 31g, protein: 27g, servings: 8",
Crispy Ground Turkey Tostadas,https://www.allrecipes.com/recipe/261559/crispy-ground-turkey-tostadas/,"{'quantity': '1', 'unit': '', 'name': 'red onion, halved and thinly sliced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'Mexican crema'}, {'quantity': '2', 'unit': '', 'name': 'limes'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil, divided'}, {'quantity': '1', 'unit': '', 'name': 'chayote - peeled, halved, seeded, and diced into 1/2-inch pieces'}, {'quantity': '1', 'unit': '', 'name': 'poblano pepper - seeds and white ribs removed, diced into 1/2-inch pieces'}, {'quantity': '6', 'unit': '(6 inch)', 'name': 'flour tortillas'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '6', 'unit': 'sprigs', 'name': 'cilantro, minced, divided'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'onion powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'pounds', 'name': 'ground turkey'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'guacamole'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded Cheddar cheese'}","Preheat the oven to 375 degrees F (190 degrees C).. Place red onion slices and crema in separate small bowls. Zest limes into another small bowl. Halve limes and squeeze juice into a fourth small bowl.. Stir 1 teaspoon lime juice into the bowl of crema. Add the remaining lime juice to the bowl with the red onions; stir in 1/4 teaspoon salt and let marinate at room temperature until pickled, at least 20 minutes.. Heat oil in a skillet over medium heat. Add chayote and poblano pepper; cook, stirring constantly, until golden and tender, about 10 minutes.. Coat tortillas on both sides with cooking spray. Place tortillas on a large baking sheet.. Bake in the preheated oven until crisped and lightly brown, 8 to 10 minutes.. Stir the lime zest, 1/2 the cilantro, onion powder, and 1/4 teaspoon salt into the chayote-poblano mixture. Pour mixture into a bowl.. Heat remaining 1 tablespoon oil in the same skillet over medium heat. Add ground turkey; cook, stirring occasionally, until browned, about 7 minutes. Stir in 1/4 cup water, taco seasoning, and chili powder. Cook until water has evaporated, about 4 minutes.. Spread guacamole over each crisped tortilla; top with chayote-poblano mixture, ground turkey, pickled onions, lime crema, and remaining cilantro.","calories: 420, fat: 25g, carbs: 26g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/PbSQYoIHIomF5D7pWL2ZRiRpPck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4495419-2e20d0526f4e4ab99fe8787d397ded7c.jpg
Chicken Tostadas,https://www.allrecipes.com/recipe/273677/chicken-tostadas/,"{'quantity': '2', 'unit': '', 'name': 'skinless, boneless chicken breasts, diced'}, {'quantity': '½', 'unit': '(1 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '1', 'unit': '(16 ounce) can', 'name': 'refried beans'}, {'quantity': '6', 'unit': '', 'name': 'corn tostada shells'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded Mexican cheese blend'}, {'quantity': '1', 'unit': '', 'name': 'tomato, diced'}, {'quantity': '¾', 'unit': '', 'name': 'red onion, diced'}, {'quantity': '¾', 'unit': '', 'name': 'green bell pepper, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh cilantro'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salsa, or to taste (Optional)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sour cream, or to taste (Optional)'}","Preheat the oven to 375 degrees F (190 degrees C).. Place chicken into a frying pan over medium heat. Sprinkle with taco seasoning and cook until no longer pink in the center and juices run clear, 5 to 7 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).. Spread a thin layer of refried beans onto each tostada shell; sprinkle each with Mexican cheese. Divide cooked chicken on top of cheese layer. Sprinkle tomato, red onion, and bell pepper evenly on top of each tostada. Place tostadas on a baking sheet.. Bake in the preheated oven until crispy, 10 to 15 minutes.. Remove tostadas from the oven. Sprinkle with cilantro and spread salsa and sour cream on top.","calories: 312, fat: 15g, carbs: 27g, protein: 20g, servings: 6",https://www.allrecipes.com/thmb/we4Dqtn9_wwrFe4CyhNiksRfQWQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6695607-4f2e7cf9b9c84253a538fdfaba108c65.jpg
Butternut Squash and Black Bean Tostadas,https://www.allrecipes.com/recipe/268196/butternut-squash-and-black-bean-tostadas/,"{'quantity': '1', 'unit': 'medium', 'name': 'butternut squash - peeled, seeded, and chopped into small cubes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '4', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'black beans, drained'}, {'quantity': '5', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'pound', 'name': 'fresh spinach'}, {'quantity': '10', 'unit': '', 'name': 'corn tortillas'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chipotle-lime crema, or to taste'}","Preheat the oven to 400 degrees F (200 degrees C).. Toss butternut squash with olive oil, garlic, and a pinch of salt and pepper. Spread evenly over a large rimmed baking sheet.. Bake in the preheated oven until squash is tender and just starting to brown at the edges, 25 to 35 minutes.. While squash is baking, empty beans into a small pot over low heat. Add garlic and cumin; stir well and continue to warm for a few minutes until heated through. Turn off heat, cover, and set aside.. Heat 1 to 2 tablespoons of water in a large skillet over medium heat. Add as much spinach as can fit. Sprinkle with salt, stir, and cook until spinach starts to wilt. Add additional spinach as it cooks down and makes more room. Cook, stirring occasionally, until all spinach is wilted, 3 to 5 minutes.. Top tortillas with the squash, beans, and spinach. Drizzle crema over tostadas.","calories: 228, fat: 4g, carbs: 43g, protein: 10g, servings: 10",https://www.allrecipes.com/thmb/JB5eFmtHPWy1Hwr-POhVL8vd2I8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5973683-b579856c7c694f92af0e2d2c766948d2.jpg
