name,link,ingredients,steps,nutrition,image_url
These 3-Ingredient Little Debbie's Christmas Tree Truffles Are a Must-Try This Holiday Season,https://www.allrecipes.com/little-debbie-christmas-tree-truffles-recipe-8408468,"{'quantity': '10', 'unit': None, 'name': 'Little Debbie Chocolate Christmas Tree Cakes'}, {'quantity': '1', 'unit': 'pkg', 'name': 'cream cheese'}, {'quantity': '2', 'unit': 'pkg.', 'name': 'white candy melts'}, {'quantity': None, 'unit': None, 'name': 'Green and red sprinkles'}, {'quantity': '1', 'unit': 'pouch', 'name': 'cookie icing'}",,"calories: 196, fat: 11g, carbs: 24g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/MqXySTPD/thumbnails/VUsKFQ2q.jpg
Chocolate Rum Snowballs,https://www.allrecipes.com/chocolate-rum-snowballs-recipe-8407466,"{'quantity': '1', 'unit': '(11-ounce) box', 'name': 'vanilla wafers'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'confectioners sugar, plus more for rolling'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'dark chocolate chips, or finely chopped dark chocolate'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'maple syrup'}, {'quantity': '1/3 cup plus 1', 'unit': 'tablespoon', 'name': 'rum, plus more as needed'}, {'quantity': '3', 'unit': 'cups', 'name': 'sweetened coconut'}, {'quantity': '10', 'unit': 'ounces', 'name': 'white chocolate, chopped into small pieces'}","Combine vanilla wafers, powdered sugar, cocoa powder, and chocolate chips in a food processor. Pulse on and off until mixture is finely ground.. Add maple syrup and rum. Pulse until mixture comes together to form a stiff, but moldable dough. If mixture is too dry to scoop and roll balls, add more rum, a little at a time, and pulse again, until the proper texture is reached.. Scoop out portions of dough and roll into smooth balls. The ideal size is between 1 and 1 1/2 inches. Place on a plate; cover with plastic wrap and refrigerate while you prepare the white chocolate coating.. Place coconut in a shallow bowl; set aside.. Place a heat-proof (metal or glass) bowl over a small saucepan of simmering water over low heat. Reserve about 20% of white chocolate to stir in later; place the rest in the bowl, and let sit, without stirring, until almost all the pieces are melted. An instant-read thermometer inserted into the chocolate should read 105 degrees F (41 degrees C). Add in reserved white chocolate, and stir until smooth and runny.. Drop a rum ball into white chocolate. Use 2 forks to roll it around to coat, then lift out, letting excess chocolate drip off. Drop into the bowl of coconut; toss to coat. Using your hands, do the final shaping, pressing coconut lightly into coating. Transfer to a plate. Repeat until all rum balls are coated. Place the bowl of white chocolate back over hot water if it begins to harden.. Wrap and refrigerate until needed. Rum balls are best made ahead and left to “age.” Can be made a week or more ahead, as long as they are kept tightly wrapped.","calories: 208, fat: 10g, carbs: 28g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/w9xczgKL/thumbnails/3a2zMRkH.jpg
Coconut Bonbons,https://www.allrecipes.com/recipe/15258/coconut-bon-bons/,"{'quantity': '¼', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'pound', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': 'cup', 'name': 'sweetened condensed milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'flaked coconut'}, {'quantity': '9', 'unit': '(1-ounce) squares', 'name': 'semisweet chocolate'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'shortening'}","Mix butter, confectioners' sugar, and sweetened condensed milk together in a medium bowl; mix in coconut.. Roll dough into 1 inch balls; refrigerate until set, about 1 hour.. Melt chocolate and shortening over a double boiler, stirring occasionally until smooth. Remove from heat when melted, and stir to make sure the shortening is fully incorporated.. Use toothpicks to hold the balls and dip them in the melted chocolate. Set on wax paper to dry.","calories: 148, fat: 6g, carbs: 23g, protein: 1g, servings: 36",https://www.allrecipes.com/thmb/0BmH_VaVneHIw72pOTaIOGah354=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1781653-coconut-bon-bons-Tpoirier-4x3-1-f7a3b8520e9d4e6aadaedf82807bd84e.jpg
Oreo Balls,https://www.allrecipes.com/recipe/229415/oreo-cookie-balls/,"{'quantity': '36', 'unit': None, 'name': 'Oreo cookies, finely crushed'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '', 'unit': '', 'name': 'waxed paper'}, {'quantity': '16', 'unit': 'ounces', 'name': 'semisweet baking chocolate, melted'}",,,https://cdn.jwplayer.com/v2/media/Vfj0PXLW/thumbnails/2vfRK7bO.jpg
Rum Balls,https://www.allrecipes.com/recipe/17238/cocoa-rum-balls/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'vanilla wafers, crushed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'chopped nuts'}, {'quantity': '¾', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'cup', 'name': 'cocoa'}, {'quantity': '½', 'unit': 'cup', 'name': 'light rum'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'light corn syrup'}, {'quantity': '⅛', 'unit': 'cup', 'name': ""confectioners' sugar, or more as needed""}",,"calories: 158, fat: 8g, carbs: 19g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/rojTm-DXj64njLHS7VgoCfly8EU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/RM-17238-CocoaRumBalls-ddmfs-3x4-7129-706d0510f37247b6abf284b486c1fcaa.jpg
The Best Rum Balls,https://www.allrecipes.com/recipe/230145/rum-balls/,"{'quantity': '1', 'unit': '(12 ounce) box', 'name': 'vanilla wafer cookies (such as Nilla)'}, {'quantity': '1', 'unit': 'cup', 'name': 'semisweet chocolate chips'}, {'quantity': '¼', 'unit': 'cup', 'name': 'light corn syrup'}, {'quantity': '¾', 'unit': 'cup', 'name': ""dark rum (such as Meyer's)""}, {'quantity': '1', 'unit': 'cup', 'name': ""confectioners' sugar, plus more for dusting""}","Place vanilla cookies in a food processor and process into fine crumbs.. Heat chocolate chips and corn syrup together in a saucepan over low heat. Cook, stirring often, until chocolate is melted and smooth, about 5 minutes. Remove from heat and stir in rum and confectioners' sugar until smooth. Fold in cookie crumbs; dough will be sticky.. Place saucepan in the refrigerator until dough is firm and easy to roll, about 15 minutes. Cover 2 plates with waxed paper; dust with confectioners' sugar.. Roll dough into 1-inch balls and place on the prepared plates. Dust rum balls with confectioners' sugar. Refrigerate until firm, about 30 minutes.. Remove rum balls from refrigerator and transfer to a resealable bag, including the extra confectioners' sugar. Seal the bag and shake to coat the rum balls completely with confectioners' sugar.","calories: 148, fat: 5g, carbs: 22g, protein: 1g, servings: 24",https://www.allrecipes.com/thmb/KUYDJrpZZrsO3Pb5XGKK-dyV-eE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/937684-2ed4da89fede44dba9d840ef1a36bb2b.jpg
Polar Bear Cheesecake Truffles,https://www.allrecipes.com/recipe/8512609/polar-bear-cheesecake-truffles/,"{'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'finely ground graham cracker crumbs'}, {'quantity': '12', 'unit': 'ounces', 'name': 'white chocolate, chopped'}, {'quantity': '40', 'unit': '', 'name': 'white chocolate chips'}, {'quantity': '20', 'unit': '', 'name': 'white candy melts'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chocolate chips'}, {'quantity': '20', 'unit': '', 'name': 'mini candy-coated chocolate pieces (such as mini M&Ms®)'}","Cream together cream cheese, powdered sugar, vanilla, almond extract, salt, and nutmeg in a bowl with an electric mixer until smooth. Mix in graham cracker crumbs until thoroughly combined. Cover and refrigerate, about 1 hour.. Line a baking sheet with parchment paper. Remove truffle filling mixture from fridge. Scoop out 1 tablespoon truffle filling and roll into a ball. Place onto the prepared baking sheet. Repeat with remaining filling. Place pan back in the fridge, about 30 minutes.. Place chopped white chocolate in a small microwave-safe bowl. Microwave white chocolate at 50% power until melted, stirring every 30 seconds, 1 to 2 minutes.. Remove truffle balls from fridge. Use a fork to lower a truffle filling ball into the melted white chocolate, and thoroughly coat with the chocolate. Lift out of the chocolate and gently tap to remove excess. Place back onto the parchment lined baking sheet. Gently press a white chocolate candy melt to the front of the truffle to make the bear's muzzle, and hold in place for a few seconds to adhere. Place two white chocolate chips on the top of the truffle to make the ears. Repeat with remaining truffles. Allow the truffles to harden at room temp for about 10 minutes.. Place dark chocolate chips into a small microwave-safe bowl, and microwave at 50% power until melted, about 1 minute, stirring every 30 seconds. Pour chocolate into a piping bag, and snip a small hole at the end. Pipe two eyes onto the truffles, just above the muzzle. Place a small dot of melted chocolate onto the white candy melt, and attach the mini chocolate coated candy to make the nose; hold in place for a few seconds to adhere. Repeat with remaining truffles.. Place truffles back into fridge to set up, at least 30 minutes. Serve immediately, or keep stored in the fridge for up to 5 days.","calories: 162, fat: 10g, carbs: 17g, protein: 2g, servings: 20",https://www.allrecipes.com/thmb/2L8DzDAKDVOfDfT19I1AQ_pv1XQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1669586421DSC_0495202-2000-1a2e82070a8343f4a8ca39e8a01d3a84.jpg
Easy Pumpkin Spice Truffles,https://www.allrecipes.com/recipe/8493639/easy-pumpkin-spice-truffles/,"{'quantity': '½', 'unit': '(18 ounce) package', 'name': 'vanilla sandwich cookies (such as Oreo Golden Original Sandwich Cookies®)'}, {'quantity': '4', 'unit': '(3 ounce) packages', 'name': 'cream cheese, softened'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'pumpkin puree'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pumpkin spice'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'white chocolate chips'}, {'quantity': '', 'unit': '', 'name': 'Optional toppings: melted dark chocolate, melted caramel, pumpkin pie spice, candy eyes'}","Pulse sandwich cookies in a food processor until they reach a fine, sand-like consistency. Add in cream cheese, pumpkin puree, pumpkin pie spice, and salt. Continue pulsing, scraping down the sides when needed, until a smooth, loose dough is formed.. Using a spoon or cookie scoop, measure out about 20 even portions of the dough (about 1 tablespoon a piece) onto a parchment-lined baking sheet. Move to the freezer for 10 to 12 minutes. When the dough is firm enough, roll each portion into a ball shape. Move back to the freezer to harden slightly for 8 to 10 more minutes.. In a large, microwave-safe bowl, melt white chocolate chips in the microwave in 30-intervals second, stirring in between, until the chocolate is fully melted and smooth. Drop each pumpkin spice ball into the chocolate. Using two forks, fully coat the dough in chocolate, let it drain, then place it back on the parchment-lined baking sheet.. Allow the truffles to cool to room temperature before topping with melted chocolate, caramel, or more pumpkin pie spice. Keep in the refrigerator until just before serving.","calories: 219, fat: 15g, carbs: 20g, protein: 3g, servings: 20",https://www.allrecipes.com/thmb/PsJ8QXYApx5UJCP-6dXt9ao3jvY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Pumpkin-Spice-Truffles-2000-3e02f08d2d7542d182fb42e039e38891.jpg
Easy Oreo Truffles,https://www.allrecipes.com/recipe/127491/easy-oreo-truffles/,"{'quantity': '2', 'unit': '(8 ounce) packages', 'name': 'semisweet baking chocolate'}, {'quantity': '16', 'unit': 'ounces', 'name': 'Oreo cookies, divided'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, softened'}",,"calories: 122, fat: 7g, carbs: 14g, protein: 2g, servings: 42",https://cdn.jwplayer.com/v2/media/1Crs2cuv/poster.jpg?width=720
Kentucky Bourbon Balls,https://www.allrecipes.com/recipe/176961/kentucky-bourbon-balls/,"{'quantity': '1', 'unit': 'cup', 'name': 'chopped nuts'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'Kentucky bourbon'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, softened'}, {'quantity': None, 'unit': None, 'name': 'waxed paper'}, {'quantity': '18', 'unit': 'ounces', 'name': 'semisweet chocolate'}",,"calories: 249, fat: 13g, carbs: 34g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/7ej0cy8i19vv0p7y6J-KqyfTxsg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/176961-kentucky-bourbon-balls-DDMFS-Beauty-3x4-2672-fad0b3b0de4a4a83957f8c6ab22ca58c.jpg
