name,link,ingredients,steps,nutrition,image_url
Tuna Pasta Salad,https://www.allrecipes.com/recipe/279892/easy-tuna-pasta-salad/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'cavatappi (corkscrew macaroni)'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '', 'unit': '', 'name': 'salt and ground black pepper to taste'}, {'quantity': '2', 'unit': '(8 ounce) cans', 'name': 'tuna, drained'}, {'quantity': '3', 'unit': 'stalks', 'name': 'celery, sliced'}, {'quantity': '1', 'unit': '', 'name': 'red onion, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'peas'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped green olives'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice, or to taste'}, {'quantity': '4', 'unit': '', 'name': 'hard-boiled eggs, halved'}","Bring a large pot of lightly salted water to a boil; cook pasta at a boil until tender yet firm to the bite, 9 to 10 minutes. Drain and transfer to a large bowl.. To make the dressing: Whisk mayonnaise, 3 tablespoons lemon juice, honey, garlic powder, salt, and pepper together in a medium bowl. Set aside.. Stir tuna, celery, onion, peas, parsley, olives, and 1 teaspoon lemon juice into pasta. Pour dressing over salad, toss until coated, and add hard-boiled eggs on top.","calories: 557, fat: 27g, carbs: 54g, protein: 26g, servings: 8",https://www.allrecipes.com/thmb/NMigQIiX_7dCGEgNxwZYtlS5Ff0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8023490-fe86c5274c5f4b17bf4a3d08610324e7.jpg
Tuna Macaroni Salad,https://www.allrecipes.com/recipe/70208/amelias-tuna-macaroni-salad/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'elbow macaroni'}, {'quantity': '1', 'unit': '(10 ounce) can', 'name': 'baby peas, drained'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': '(5 ounce) can', 'name': 'tuna, drained'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped sweet onion'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sweet pickle relish'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '3', 'unit': 'large', 'name': 'hard-cooked eggs, quartered'}, {'quantity': '1', 'unit': 'pinch', 'name': 'paprika, for garnish'}","Gather all ingredients.. Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and rinse under cold running water.. Stir together macaroni, peas, celery, tuna, and onion in a large bowl.. Mix in mayonnaise, relish, salt and pepper.. Garnish with egg wedges and a sprinkle of paprika. Cover and chill for at least 1 hour before serving.","calories: 582, fat: 33g, carbs: 52g, protein: 19g, servings: 6",https://cdn.jwplayer.com/v2/media/jtYl5Xv5/poster.jpg?width=720
Italian Style No Mayo Tuna Salad,https://www.allrecipes.com/italian-style-no-mayo-tuna-salad-recipe-8699606,"{'quantity': '1', 'unit': '15-ounce)', 'name': 'can cannellini beans, drained and rinsed'}, {'quantity': '1', 'unit': 'medium', 'name': 'tomato, seeded and diced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'kalamata olives'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'extra virgin olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'capers'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped parsley'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'red wine vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '2', 'unit': '(5-ounce) cans', 'name': 'yellowfin tuna'}","Combine cannellini beans, tomato, olives, red onion, celery, olive oil, capers, parsley, red wine vinegar, salt, pepper, garlic powder, and oregano in a large bowl; stir until mixed together. Crumble tuna into bowl and toss to combine.","calories: 380, fat: 15g, carbs: 30g, protein: 32g, servings: 4",https://www.allrecipes.com/thmb/txCsKxVmJuZo2C1gb_EZ9m0OuDs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8699606ItalianStyleNoMayoTunaSalad4x3-6cfbe54365ba4b7bbd8affaa0141e8ca.jpg
Mom's Classic Tuna Salad,https://www.allrecipes.com/mom-s-classic-tuna-salad-recipe-8699542,"{'quantity': '2', 'unit': '12-ounce) cans', 'name': 'tuna packed in water,'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mayonnaise, plus more to taste'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '1', 'unit': None, 'name': 'hard-boiled egg, finely chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dill pickles'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon pepper, plus more to taste'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'ijon mustard'}","Combine tuna, mayonnaise, celery, red onion, hard-boiled egg, dill pickles, lemon pepper, and Dijon mustard in a large bowl and mix well. Serve immediately or refrigerate until ready to serve","calories: 243, fat: 16g, carbs: 2g, protein: 24g, servings: 4 to 6",https://www.allrecipes.com/thmb/BhK1nurg513-YCejUNTiig-QT4c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8699542MomsClassicTunaSalad4x3-add8b0f067064d67a9861f923c752203.jpg
Spicy Tuna Salad,https://www.allrecipes.com/spicy-tuna-salad-recipe-8699527,"{'quantity': '2', 'unit': '5-ounce) cans', 'name': 'tuna, drained'}, {'quantity': '1/4', 'unit': 'cup matchstick c', 'name': 'matchstick c'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'nglish cucumber'}, {'quantity': '3', 'unit': None, 'name': 'green onions, thinly sliced'}, {'quantity': '2', 'unit': None, 'name': 'jalapeno peppers, seeded and chopped'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'chopped cilantro'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'fresh lime juice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'plain Greek yogurt'}, {'quantity': '1 -2', 'unit': 'tablespoons', 'name': 'riracha, plus more to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'soy sauce'}","Combine drained tuna, carrots, cucumber, green onions, jalapenos, and cilantro in a bowl. Add lime juice, mayonnaise, Greek yogurt, Sriracha, and soy sauce; stir gently until well incorporated. Adjust seasoning as desired. Refrigerate until ready to serve.","calories: 247, fat: 14g, carbs: 6g, protein: 23g, servings: 4",https://cdn.jwplayer.com/v2/media/HKFQ250j/thumbnails/RbOabKTK.jpg
16 Tuna Salad Recipes From Basic to Extra Flavorful,https://www.allrecipes.com/best-tuna-salad-recipes-8669044,,,,https://www.allrecipes.com/thmb/59Zl5aj3tLORlvbb1R3KnBHl5ZA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/83569-tuna-egg-salad-sandwich-mfs-4-099850f40fd143e79b215b6977a30feb.jpg
Spicy Dill Pickle Tuna Salad,https://www.allrecipes.com/spicy-dill-pickle-tuna-salad-recipe-8658733,"{'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'riracha'}, {'quantity': '2', 'unit': '12 ounce) cans', 'name': 'hunk white Albacore tuna in water'}, {'quantity': '1', 'unit': None, 'name': 'celery rib, chopped'}, {'quantity': '1', 'unit': 'small', 'name': 'carrot'}, {'quantity': '1', 'unit': 'whole', 'name': 'dill pickle'}, {'quantity': '2', 'unit': None, 'name': 'green onions'}","Whisk mayonnaise and Sriracha together in a bowl. Add tuna, celery, carrot, pickle, and green onions, and stir until evenly combined.","calories: 297, fat: 12g, carbs: 5g, protein: 41g, servings: 4",https://www.allrecipes.com/thmb/kWHBBcHpIxX4DSU7lamCwgTUxOY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8658733_Spicy-Dill-Pickle-Tuna-Salad_Nicole-Russell_4x3-15cab57980c94f22a4bf47f7a8a01c20.jpg
Tuna Fish Salad,https://www.allrecipes.com/recipe/16468/tuna-fish-salad/,"{'quantity': '1', 'unit': '(5 ounce) can', 'name': 'tuna, drained'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped onion'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'paprika, or to taste'}","Gather all ingredients.. Combine tuna, mayonnaise, celery, onion, parsley, lemon juice, garlic powder, salt, and pepper in a large bowl; mix well. Season with paprika; refrigerate until chilled.","calories: 240, fat: 22g, carbs: 2g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/U9yU-C8PdU7faLNGmigRyLg2a6s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/16468-tuna-fish-salad-DDMFS-beauty-4x3-BG-2952-2cf0f9bf122c4496b3ae9bb0147fb6d5.jpg
Barbie's Tuna Salad,https://www.allrecipes.com/recipe/98579/barbies-tuna-salad/,"{'quantity': '1', 'unit': '(7 ounce) can', 'name': 'white tuna, drained and flaked'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'mayonnaise or salad dressing'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sweet pickle relish'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'Parmesan cheese'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'dried minced onion flakes'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'dried parsley'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried dill weed'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'curry powder'}, {'quantity': '1', 'unit': 'pinch', 'name': 'garlic powder'}","Gather all ingredients.. Combine tuna, mayonnaise, relish, Parmesan cheese, and onion flakes in a medium bowl.. Season with parsley, dill, curry powder, and garlic powder. Mix well.. Serve with crackers or on a sandwich.","calories: 228, fat: 17g, carbs: 5g, protein: 13g, servings: 4",https://cdn.jwplayer.com/v2/media/fY9axZS2/poster.jpg?width=720
Quick Tuna Salad,https://www.allrecipes.com/recipe/139487/quick-tuna-salad/,"{'quantity': '1', 'unit': '(5 ounce) can', 'name': 'solid white tuna packed in water, drained'}, {'quantity': '¼', 'unit': 'cup', 'name': 'creamy salad dressing'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sweet pickle relish, or to taste'}",Gather the ingredients.. Mash tuna together with creamy salad dressing and relish in a small bowl with a fork.,"calories: 142, fat: 6g, carbs: 4g, protein: 17g, servings: 3",https://www.allrecipes.com/thmb/arFI1-BhVLUbiiLKP_E9Hd-d-34=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/139487-Quick-Tuna-Salad-DDMFS-4x3-11553-722dd40ef6084a39ab499cb606e367b3.jpg
