name,link,ingredients,steps,nutrition,image_url
Chef John's Turkey Manicotti,https://www.allrecipes.com/recipe/235159/how-to-make-turkey-manicotti/,"{'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '¾', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced cooked turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole-milk ricotta cheese'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried marjoram'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped Italian parsley'}, {'quantity': '', 'unit': '', 'name': 'salt to taste'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil, or as needed'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'marinara sauce, divided'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'olive oil, divided'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'freshly shredded Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly shredded Parmigiano-Reggiano cheese for garnish, or as desired'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped Italian parsley'}","Preheat oven to 350 degrees F (175 degrees C).. Whisk 2 eggs, flour, water, salt, and 1/2 teaspoon olive oil together thoroughly in a bowl to make a very smooth batter. Cover bowl with plastic wrap and refrigerate batter for 1 hour.. Mix turkey, ricotta cheese, 1 egg, 1/2 cup Parmigiano-Reggiano cheese, mozzarella cheese, marjoram, red pepper flakes, and 1/4 cup Italian parsley in a bowl until thoroughly combined. Season with salt to taste.. Place a nonstick skillet over medium-high heat and brush generously with 1 teaspoon olive oil or as needed. Swirl about 1/4 cup batter into the bottom of the pan and tilt to form a thin pancake covering the bottom of the skillet. Cook until bottom of crepe is dry, 60 to 90 seconds. Flip crepe and cook until other side has small browned spots, 60 to 90 seconds more. Repeat with remaining batter to make 6 crepes. Transfer crepes to a plate as you make them.. Spread about 1/2 cup marinara sauce into the bottom of a 9x12-inch baking dish. Use a brush to spread about 1/2 teaspoon of olive oil in a thin layer up the sides of the dish. Place a crepe, dimpled side down, onto a work surface; spread about 1/3 to 1/2 cup filling onto crepe in a line down the middle. Roll crepe over filling and tuck in ends if desired. Lay filled crepe into the baking dish. Repeat with remaining crepes and filling to make 6 manicotti.. Spread remaining 1 cup marinara sauce onto the manicotti in a line down the middle of the crepes, covering middle 1/3 of manicotti. Sprinkle 1/3 cup Parmigiano-Reggiano cheese all over manicotti. Drizzle manicotti with remaining 1 1/2 teaspoon olive oil.. Bake in the preheated oven until manicotti are slightly browned and puffy, about 45 minutes. Let stand 5 minutes to cool. Garnish with 1 tablespoon Parmigiano-Reggiano cheese or as desired and 1 tablespoon Italian parsley before serving.","calories: 286, fat: 13g, carbs: 22g, protein: 20g, servings: 6",https://cdn.jwplayer.com/v2/media/deqFf7Hw/poster.jpg?width=720
Turkey Tom Kha Gai,https://www.allrecipes.com/recipe/240476/turkey-tom-kha-gai/,"{'quantity': '6', 'unit': 'cups', 'name': 'turkey broth'}, {'quantity': '2', 'unit': 'stalks', 'name': 'lemongrass, bruised and sliced'}, {'quantity': '1', 'unit': '(3 inch) piece', 'name': 'fresh ginger, sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro stems'}, {'quantity': '2', 'unit': '', 'name': 'makrut lime leaves, thinly sliced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'red pepper flakes, or more to taste'}, {'quantity': '1', 'unit': 'pound', 'name': 'cooked turkey, cut into small cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'clamshell mushrooms, separated'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'fish sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'palm sugar'}, {'quantity': '1', 'unit': '(13 ounce) can', 'name': 'coconut milk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '¼', 'unit': 'cup', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh cilantro leaves'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'chili oil, or more to taste'}","Combine turkey broth, lemongrass, ginger, cilantro stems, lime leaves, and red pepper flakes in a pot over medium-high heat. Bring to a simmer, reduce heat to medium-low, and simmer until flavors blend, 20 to 30 minutes.. Stain broth mixture through a fine-mesh sieve, discard vegetables, and return broth to the pot.. Stir turkey, mushrooms, fish sauce, and palm sugar into broth; simmer until mushrooms are tender and turkey absorbs broth flavor, about 15 minutes.. Pour coconut milk, lime juice, green onions, and cilantro leaves into broth. Bring soup to a simmer and drizzle in chili oil.","calories: 441, fat: 27g, carbs: 13g, protein: 39g, servings: 4",https://cdn.jwplayer.com/v2/media/KGq4yoXo/poster.jpg?width=720
Turkey Matzo Ball Soup,https://www.allrecipes.com/recipe/255022/turkey-matzo-ball-soup/,"{'quantity': '3', 'unit': 'pounds', 'name': 'roasted turkey bones and meat scraps, the fattier the better'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': 'ribs', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': 'quarts', 'name': 'water or chicken broth, or more to cover bones'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rendered melted turkey fat'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fine salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'seltzer water or club soda'}, {'quantity': '½', 'unit': 'cup', 'name': 'matzo meal'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'rendered melted turkey fat'}, {'quantity': '1', 'unit': 'cup', 'name': 'diced onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced carrot'}, {'quantity': '½', 'unit': 'cup', 'name': 'diced celery'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, thinly sliced'}, {'quantity': '6', 'unit': 'cups', 'name': 'homemade rich turkey broth or chicken broth'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh parsley'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'chopped fresh dill'}","Place leftover turkey (meat, bones, skin) into a stock pot. Add 1 chopped onion and 2 ribs chopped celery and water or chicken broth (or half of each). Bring to a simmer over high heat; reduce heat to low and continue to cook at a low simmer. Skim off scum as it forms, but don't remove any fat. Cook until broth is rich and any turkey meat has been rendered flavorless, about 3 hours. While broth cooks, skim off fat as it rises to the surface and save it in a bowl. Save about 4 tablespoons turkey fat.. After removing surface fat, strain broth into a bowl.. Lightly whisk 2 eggs in a separate mixing bowl. Add 2 tablespoons cooled rendered turkey fat and whisk to mix. Whisk in salt, pepper, and cayenne. Mix in seltzer water. Add matzo meal and mix with a fork until mixture begins to thicken up, 1 or 2 minutes. Cover bowl with plastic wrap and refrigerate until firm, about 30 minutes.. Heat 2 tablespoons turkey fat in a large pot over medium heat. Add 1 cup diced onions, 1/2 cup diced carrots, 1/2 cup diced celery, and salt. Cook until onions start to turn translucent, 6 or 7 minutes. Add sliced garlic and cook an additional minute. Add turkey broth and bring to a simmer. Simmer until vegetables are tender, about 20 minutes. Check seasoning and adjust salt, if necessary.. Divide matzo ball dough into 8 pieces and roll each into a ball using your wet hands.. Bring a pot of salted cold water to a boil. Gently place matzo balls into the boiling water. Reduce heat so they simmer gently; cover the pot. Simmer until matzo balls are cooked through, about 30 minutes, adjusting heat as they cook so a gentle simmer continues. Transfer to hot serving bowls, 2 per serving.. Stir freshly chopped parsley and dill into soup. Ladle hot soup over the matzo balls.","calories: 842, fat: 33g, carbs: 21g, protein: 108g, servings: 4",https://cdn.jwplayer.com/v2/media/Ve4pmKTP/poster.jpg?width=720
Smoked Turkey Collard Green Dip,https://www.allrecipes.com/smoked-turkey-collard-green-dip-recipe-8742549,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '8', 'unit': 'ounces', 'name': 'cream cheese,'}, {'quantity': '1', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '2', 'unit': 'cups', 'name': 'collard greens'}, {'quantity': '1', 'unit': 'cup', 'name': 'smoked turkey'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'shredded cheese blend - C'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'hot sauce'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley'}","Preheat the oven to 350 degrees F (175 degrees C). Coat a 2-quart baking dish with cooking spray.. Beat cream cheese and sour cream together in a large bowl with an electric mixer on medium speed until smooth. Fold in collard greens, turkey, 1 1/2 cups cheese, and hot sauce. Transfer to the prepared baking dish and top with remaining 1 cup cheese.. Bake in the preheated oven until cheese is melted and golden brown, 20 to 25 minutes. Garnish with smoked paprika and parsley.","calories: 243, fat: 20g, carbs: 7g, protein: 11g, servings: 10",https://cdn.jwplayer.com/v2/media/9UtAfa8A/thumbnails/FPXXqm0R.jpg
Shawarma-Spiced Roast Turkey Breast,https://www.allrecipes.com/shawarma-spiced-roast-turkey-breast-recipe-8742124,"{'quantity': '1', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground coriander'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'black pepper'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'turmeric'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'cardamom'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': '(3 to 4 pound)', 'name': 'turkey breast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': None, 'name': 'yellow onion, sliced'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'chicken broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flour'}, {'quantity': '1', 'unit': None, 'name': 'lemon, juiced'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'chicken broth'}",,"calories: 307, fat: 7g, carbs: 5g, protein: 53g, servings: 8",https://cdn.jwplayer.com/v2/media/CdJWwdHN/thumbnails/8hLxiy2z.jpg
How to Smoke a Turkey,https://www.allrecipes.com/how-to-smoke-a-turkey-recipe-8740025,"{'quantity': '1', 'unit': '(10 to 12 pound)', 'name': 'whole turkey'}, {'quantity': '1', 'unit': 'cup', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'sugar'}, {'quantity': 'zest from', 'unit': '2', 'name': 'oranges'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'smoked paprika'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'onion powder'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'garlic powder'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mustard powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'black pepper'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'white vinegar'}, {'quantity': '2', 'unit': 'cups', 'name': 'chicken stock'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '2', 'unit': None, 'name': 'oranges, juiced'}, {'quantity': '3', 'unit': 'sticks', 'name': 'butter (1 1/2 cups)'}, {'quantity': '3', 'unit': None, 'name': 'bay leaves'}, {'quantity': '10', 'unit': 'sprigs', 'name': 'thyme'}","Take the turkey out of the freezer and thaw it in the refrigerator for 5 days.. Set turkey on a cutting board, pat dry, and remove giblets from the cavity. Spatchcock the turkey (see Note).. Mix salt, sugar, and orange zest in a small bowl until fully combined. Sprinkle instant cure evenly and lightly all over the skin on all sides, and season the cavity as well. Place turkey on a grate over a sheet tray and refrigerate, uncovered, for at least 1 hour and up to overnight.. When ready to begin smoking, remove turkey from refrigerator and bring to room temperature, about 1 hour.. Preheat a smoker to 300 to 325 degrees F (160 to 165 degrees C).. Combine smoked paprika, onion powder, garlic powder, sage, mustard, black pepper, salt, and cayenne pepper in a bowl for the dry rub; stir to mix thoroughly.. Place turkey on a cutting board and pat dry to remove as much moisture as possible from the meat. Lightly sprinkle rub all over the skin, flip over, and sprinkle onto the cavity. Don’t massage in. Cover the entire surface area, as well as under and around wings.. Place turkey in the center of the preheated smoker and close the lid. Watch temperature and adjust airflow if needed to maintain temperature. Set a timer for 45 minutes. The meat has to adjust to the heat and smoke of the grill. The most crucial part of this recipe is this time period.. Meanwhile, for the basting spray, combine vinegar, chicken stock, brown sugar, orange juice, butter, salt, and cayenne in a saucepan and set over medium heat. Cook and stir until sugar dissolves and ingredients are well combined, about 5 minutes. Pour into a bowl to cool and add to a spray bottle for later use.. Once the timer is up, open the lid, and check the internal temperature of the bird to make sure things are cooking properly. Temperature should not read more than 95 degrees F (35 degrees C) at this point.. With a mop or brush, baste with liquid for the first time. Close the lid. Adjust heat, add more coals if needed, and get smoker temperature back to 275 to 325 degrees F (135 to 165 degrees C), and set a timer for 45 minutes.. When time goes off, baste lightly again. Close the lid and adjust smoker again to maintain temperature. Set a timer for the next 45 minutes.. Check the internal temperature; it should read 155 to 160 degrees F (68 to 71 degrees C). If temperature is any higher, pull the turkey off immediately.. Baste again, and flip turkey over and baste. Return to the smoker, breast side down, to cook for 5 more minutes. Remove and let rest for 20 to 25 minutes. Once rested, baste again and serve.","calories: 1669, fat: 83g, carbs: 38g, protein: 183g, servings: 8",https://cdn.jwplayer.com/v2/media/KmRQBdqB/thumbnails/0UoTrzLz.jpg
Nashville Hot Turkey Legs,https://www.allrecipes.com/nashville-hot-turkey-legs-recipe-8740143,"{'quantity': '1', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'kosher salt'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'ground black pepper'}, {'quantity': '4', 'unit': None, 'name': 'turkey drumsticks (legs)'}, {'quantity': '2', 'unit': 'cups', 'name': 'oil for frying, or as needed'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'paprika'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'cayenne pepper'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar, plus more to taste'}, {'quantity': None, 'unit': None, 'name': 'ranch dressing,'}","Stir flour, 2 teaspoons salt, and 1 teaspoon pepper together in a bowl or resealable plastic bag. Coat turkey legs thoroughly in the flour mixture, pressing as necessary to adhere the coating.  Allow to stand at room temperature while oil heats.. Heat oil in a saucepan or deep skillet to 350 degrees F (175 degrees C). Stir remaining salt and pepper, paprika, garlic powder, cayenne, and brown sugar together in a medium bowl until well combined; set aside.. Fry turkey legs, 2 at a time, until an instant read thermometer inserted near the center reads 170 degrees F (77 degrees C), about 15 minutes. Drain on a wire rack set over paper towels.. Carefully pour 1 to 1 1/2 cups oil into the bowl with spice mixture (mixture will bubble rapidly), and whisk until well blended. Coat turkey legs in spice oil mixture and allow any excess to drip off.  Serve with ranch dressing.","calories: 645, fat: 31g, carbs: 47g, protein: 47g, servings: 4",https://cdn.jwplayer.com/v2/media/0qqtUBVD/thumbnails/tVEBGbwX.jpg
Million Dollar Holiday Party Sliders,https://www.allrecipes.com/million-dollar-holiday-party-sliders-recipe-8734072,"{'quantity': '12', 'unit': 'ounces', 'name': 'sweet potato fries'}, {'quantity': '12', 'unit': 'small', 'name': 'soft rolls'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'whole grain mustard'}, {'quantity': '1', 'unit': 'pound', 'name': 'turkey meat'}, {'quantity': '7', 'unit': 'ounces', 'name': 'Brie cheese, cut into 1/2-inch slices'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cranberry sauce'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}",,"calories: 392, fat: 25g, carbs: 23g, protein: 19g, servings: 12",https://www.allrecipes.com/thmb/ImDDnvWP_ZwXLC9ddNNb6qFeBno=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ar-8734072-million-dollar-holiday-party-sliders-01-4x3-6c1ace247f0b434d8cd84f6003d5c435.jpg
Turkey Roulade,https://www.allrecipes.com/turkey-roulade-recipe-8724002,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '8', 'unit': 'ounces', 'name': 'pork sausage'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh bread crumbs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'dried cranberrie'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh parsley'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'sage'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1', 'unit': None, 'name': 'large egg,'}, {'quantity': '1', 'unit': '(24 ounce) package', 'name': 'turkey breast tenderloins'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper to taste'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white wine'}, {'quantity': '1 1/4', 'unit': 'cups', 'name': 'chicken stock or broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Dijon mustard'}","Preheat the oven to 350 degrees F (180 degrees C).. For stuffing, melt butter in a skillet over medium heat. Add onions and garlic and sauté until softened, 3 to 4 minutes. Add sausage to the skillet, and stir until crumbled and lightly browned, 4 to 5 minutes. Drain sausage, stir in bread crumbs, cranberries, parsley, thyme, sage, egg, salt, and pepper; mix well.. Place turkey tenderloins on a cutting board. Butterfly each by cutting lengthwise almost all the way through, but not quite, so they can be opened up like a book to increase the surface area. Cover each tenderloin with 2 sheets of plastic wrap. Using a meat mallet or pounder, flatten to a thickness of about 1/3-inch, and season with salt and pepper.. Lay the 2 tenderloins side by side, slightly overlapping the edges, to form 1 large tenderloin, and give it a tap with the meat pounder to seal the tenderloins together. Spread evenly with stuffing, leaving about a 1/3-inch border around the edges. Carefully roll up tightly, jelly roll style, and tie the tenderloin with 4 to 5 pieces of kitchen string to secure and hold together. The roulade can be covered and moved to the fridge at this point to be cooked later if you prefer.. Heat butter and oil in an ovenproof roasting pan over medium heat, add tenderloin, and brown on all sides, 8 to 10 minutes. Pour wine and 1 cup chicken stock over the meat; cover the pan.. Bake in the preheated oven, basting occasionally, until a meat thermometer, inserted into the center, reads 160 degrees F (71 degrees C), 35 to 45 minutes. Remove turkey from pan, and loosely tent with a piece of aluminum foil for about 10 to 15 minutes.. Whisk remaining chicken stock with cornstarch and Dijon, and stir into the pan. Simmer over medium heat, stirring constantly, until thickened, 3 to 4 minutes.. Remove strings from turkey tenderloin, and slice into 1/2-inch thick slices. Arrange on a serving platter, drizzle with the gravy, and serve.","calories: 404, fat: 25g, carbs: 19g, protein: 22g, servings: 4",https://www.allrecipes.com/thmb/IhRv6-IEQjn1P1VpvwpQc7Hc9d0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8724002_Turkey-Roulade_Pat-Bernitt_4x3-5190461c2ac24f21a7cc7f90dbfc5028.jpg
Slow Cooker Turkey Wings with Yellow Rice,https://www.allrecipes.com/recipe/232421/turkey-wings-with-yellow-rice/,"{'quantity': '3', 'unit': '', 'name': 'turkey wings'}, {'quantity': '1', 'unit': '(10.5 ounce) can', 'name': 'cream of mushroom soup'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'seasoned salt'}, {'quantity': '', 'unit': '', 'name': 'water, or as needed to cover'}, {'quantity': '1', 'unit': '(10 ounce) package', 'name': 'saffron rice'}","Place turkey wings, cream of mushroom soup, salt, black pepper, garlic powder, and seasoned salt into a 6-quart slow cooker. Pour in enough water to cover; stir ingredients. Cook on High for 6 hours or on Low for 8 hours.. Stir rice into mixture; continue to cook until rice is tender, 15 to 20 more minutes.","calories: 272, fat: 5g, carbs: 40g, protein: 18g, servings: 6",https://www.allrecipes.com/thmb/fBB9lbuOXWjugUR_Usir1WqW2os=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/232421-turkey-wings-with-yellow-rice-4x3-33a89f341a0d4e07b7cc9139f21a0622.jpg
