name,link,ingredients,steps,nutrition,image_url
Stuffed Bell Peppers,https://www.allrecipes.com/recipe/13886/stuffed-bell-peppers/,"{'quantity': '¾', 'unit': 'cup', 'name': 'water'}, {'quantity': '½', 'unit': 'cup', 'name': 'uncooked white rice'}, {'quantity': '4', 'unit': '', 'name': 'green bell peppers'}, {'quantity': None, 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '8', 'unit': 'ounces', 'name': 'textured vegetable protein'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': '2', 'unit': 'cups', 'name': 'tomato sauce'}, {'quantity': None, 'unit': None, 'name': 'salt and ground black pepper to taste'}, {'quantity': '4', 'unit': 'ounces', 'name': 'shredded mozzarella cheese'}","Combine water and rice in a small saucepan; bring to a boil. Reduce heat to low and simmer until rice is tender and liquid has been absorbed, about 15 minutes.. Preheat the oven to 400 degrees F (205 degrees C).. Cut tops off peppers and remove seeds. Arrange peppers in a large baking dish. Chop up usable portion of the tops.. Heat olive oil in a large skillet over medium heat. Sauté chopped peppers and onion in hot oil until soft. Stir in textured vegetable protein and parsley. Reduce heat to low and continue cooking for 5 minutes. Mix in cooked rice and 1 1/4 cups tomato sauce. Season with salt and pepper. Spoon mixture into peppers; top each with remaining tomato sauce.. Cover and bake in the preheated oven for about 45 minutes. Uncover, top each pepper with mozzarella cheese, and continue baking until cheese is melted, about 5 minutes more.","calories: 532, fat: 21g, carbs: 38g, protein: 57g, servings: 4",https://cdn.jwplayer.com/v2/media/CyTiWIMo/poster.jpg?width=720
Vegan Breakfast Sausage,https://www.allrecipes.com/recipe/278384/vegan-breakfast-sausage/,"{'quantity': '1', 'unit': 'cup', 'name': 'texturized vegetable protein (TVP)'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm vegetable broth'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'flaxseed meal'}, {'quantity': '¾', 'unit': 'cup', 'name': 'quick-cooking oats'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'nutritional yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vital wheat gluten'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dried sage'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'fennel seeds'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground thyme'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'smoked paprika'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cooking oil'}","Mix TVP, vegetable broth, and flaxseed meal together in a large mixing bowl and let sit for 5 minutes. Add oats, yeast, flour, gluten, sage, black pepper, fennel seeds, garlic powder, thyme, smoked paprika, salt, and cayenne. Mix until well blended.. Combine water, soy sauce, and maple syrup in a separate container and mix well. Add to the TVP mixture and combine into a slightly crumbly dough. Mix well to activate gluten and let dough sit for 5 minutes; dough should stiffen slightly and become less crumbly.. Form into tablespoon-size balls and flatten slightly.. Heat oil in a cast iron or nonstick frying pan over medium heat. Cook sausage patties in the hot oil until golden brown, about 5 minutes on each side.","calories: 126, fat: 3g, carbs: 12g, protein: 15g, servings: 8",https://www.allrecipes.com/thmb/GtOOBQnj6kX8lrMNZC_zxeGJP_Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6207727-897a0326159047fab3208db66203e141.jpg
Vegetarian Meatloaf with Vegetables,https://www.allrecipes.com/recipe/23722/vegetarian-meatloaf-with-vegetables/,"{'quantity': '½', 'unit': '(14 ounce) package', 'name': 'vegetarian ground beef (e.g., Gimme Lean TM)'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'vegetarian burger crumbles'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '2', 'unit': '', 'name': 'eggs, beaten'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetarian Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'teaspoon', 'name': 'pepper'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground sage'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'prepared mustard'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil'}, {'quantity': '3 ½', 'unit': 'slices', 'name': 'bread, cubed'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': '(8 ounce) can', 'name': 'tomato sauce'}, {'quantity': '4', 'unit': '', 'name': 'carrots, cut into 1 inch pieces'}, {'quantity': '4', 'unit': '', 'name': 'potatoes, cubed'}, {'quantity': '1', 'unit': '', 'name': 'cooking spray'}","Preheat oven to 350 degrees F (175 degrees C).. In a large bowl combine vegetarian ground beef, vegetarian ground beef crumbles, onion, eggs, Worcestershire sauce, salt, pepper, sage, garlic powder, mustard, oil, bread cubes and milk. Transfer to a 9 x 13 inch baking dish and form into a loaf. Pour tomato sauce on top.. Place carrots and potatoes around loaf and spray vegetables with cooking spray.. Bake 30 to 45 minutes; turn vegetables. Bake another 30 to 45 minutes. Let stand 15 minutes before slicing.","calories: 225, fat: 5g, carbs: 31g, protein: 15g, servings: 9",https://www.allrecipes.com/thmb/1m3mnSGUUcsmqwVwmfHuIYse3vU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2121735-6f380594046c4484af7e7e5bd7f81033.jpg
Vegetarian Chili,https://www.allrecipes.com/recipe/15084/vegetarian-chili/,"{'quantity': '1', 'unit': '(12 ounce) package', 'name': 'frozen burger-style crumbles'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'black beans, rinsed and drained'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'dark red kidney beans'}, {'quantity': '1', 'unit': '(15 ounce) can', 'name': 'light red kidney beans'}, {'quantity': '1', 'unit': '(29 ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'tomato juice'}, {'quantity': '5', 'unit': '', 'name': 'onions, chopped'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'chili powder'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'ground cumin'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'garlic powder'}, {'quantity': '2', 'unit': '', 'name': 'bay leaves'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","In a large pot, combine meat substitute, black beans, kidney beans, diced tomatoes, tomato juice, onions, chili powder, cumin, garlic powder, bay leaves, salt and pepper. Bring to a simmer and cover. Let the chili simmer for at least 1 hour before serving.","calories: 582, fat: 5g, carbs: 74g, protein: 68g, servings: 6",https://www.allrecipes.com/thmb/QBnU-cacMhpr0Zm1UGIt0l6TmVo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9440438-e0208c6f9c63415389c67acad9940aea.jpg
Vegan Puerto Rican Empanadas,https://www.allrecipes.com/recipe/275323/vegan-puerto-rican-empanadas/,"{'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'textured vegetable protein (TVP) granules'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': '(1.41 ounce) package', 'name': 'sazon seasoning (such as Goya®)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'adobo sauce from canned chipotles, or to taste'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cumin'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'cayenne pepper, or to taste'}, {'quantity': '2', 'unit': 'dashes', 'name': 'liquid smoke, or to taste (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'warm water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded vegan white cheese, or to taste (Optional)'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}","Combine water, TVP, and soy sauce in a large pan over high heat. Cook and stir until water is mostly evaporated. Reduce heat to medium. Add garlic, sazon, adobo sauce, oregano, and cumin. Continue cooking until TVP starts to firm up, about 5 minutes, increasing heat if necessary. Add cayenne and liquid smoke and cook until the mixture starts sticking to the pan, about 5 minutes. Stir in tomato paste and mix vegan meat well.. Mix flour, salt, baking powder, and baking soda together in a large bowl. Make a well in the center and add water and 1/4 cup vegetable oil. Mix with your hands and knead until all flour is incorporated. Cut dough into 12 pieces and roll into balls. Place dough balls in the bowl and cover; let sit for 3 to 4 minutes. Roll a dough ball out into a 6-inch circle and fill with vegan meat and shredded cheese. Dip a finger in water and moisten the edges of the dough before folding over and crimping empanada edges using a fork. Repeat with remaining dough balls and fillings.. Heat 1 cup vegetable oil in a deep pan over medium-high heat. Add 2 or 3 empanadas as a time to the hot oil and fry until both sides are a light golden color, about 5 minutes total. Transfer fried empanadas to a plate lined with paper towels to absorb any excess oil.","calories: 437, fat: 28g, carbs: 32g, protein: 14g, servings: 12",https://www.allrecipes.com/thmb/3jMaQqglQOYQKPrM7tMj9DCAN-s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9150117-35ec103628a24154a25ba3b57f4ad23c.jpg
Vegetarian Burrito Casserole,https://www.allrecipes.com/recipe/76429/vegetarian-burrito-casserole/,"{'quantity': '¾', 'unit': 'cup', 'name': 'white rice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'frozen soy burger-style crumbles'}, {'quantity': '1', 'unit': '(28 ounce) can', 'name': 'whole tomatoes, drained, 1/4 cup juice reserved'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'chili powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'cumin'}, {'quantity': '1', 'unit': '(1.25 ounce) package', 'name': 'taco seasoning mix'}, {'quantity': '2', 'unit': '(10 inch)', 'name': 'burrito-size flour tortillas'}, {'quantity': '1', 'unit': '(14.25 ounce) can', 'name': 'vegetarian refried beans, divided'}, {'quantity': '2', 'unit': '', 'name': 'fresh jalapeno peppers - seeded, sliced, and divided'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'salsa, divided'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'shredded Cheddar cheese, divided'}","In a saucepan bring water to a boil. Add rice and stir. Reduce heat, cover, and simmer for 20 minutes.. Preheat oven to 375 degrees F (190 degrees C).. Place soy crumbles, tomatoes, reserved tomato juice, chili powder, cumin, and taco seasoning in a medium frying pan over medium high heat. Cook and stir, breaking up tomatoes, for 10 minutes.. Lay 1 flour tortilla in a lightly greased 8x8 inch baking dish. Layer with one half of the beans, jalapeno slices, rice, salsa, soy mixture, and 1 cup Cheddar cheese. Repeat layers with remaining ingredients, beginning with the flour tortilla, and top with remaining 1 1/2 cups Cheddar cheese.. Bake in the preheated oven for 15 minutes, or until heated through and cheese is melted. Serve immediately.","calories: 487, fat: 18g, carbs: 36g, protein: 51g, servings: 8",https://www.allrecipes.com/thmb/4m9lUBufg-b2-KvYfDrqW5eCG7Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/328187-c8bec36840aa4ee1baa85e7d8e743ae9.jpg
Unstuffed Cabbage,https://www.allrecipes.com/recipe/17480/unstuffed-cabbage/,"{'quantity': '5', 'unit': 'cups', 'name': 'shredded cabbage'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'vegetarian burger crumbles'}, {'quantity': '2', 'unit': '(14.5 ounce) cans', 'name': 'Italian-style stewed tomatoes'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'brown sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped fresh dill'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '', 'unit': '', 'name': 'freshly ground black pepper to taste'}","Heat a large skillet over a medium heat. Stir in cabbage and let it cook 4 minutes; or until wilted and lightly browned.. Stir vegetarian burger crumbles, tomatoes, lemon juice, brown sugar, dill, allspice, and pepper into the mixture. Bring the mixture to a boil, cover and reduce the heat to low. Let the mixture simmer 5 minutes before serving.","calories: 182, fat: 3g, carbs: 23g, protein: 16g, servings: 5",https://www.allrecipes.com/thmb/ln2421Wk4V1Z_2DrYJrlzx7G4Go=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1111573-7612a18d4fbf43ef9b6f611852500960.jpg
Eggplant Pasta Bake,https://www.allrecipes.com/recipe/112519/eggplant-pasta-bake/,"{'quantity': '1', 'unit': 'large', 'name': 'eggplant, peeled and thinly sliced'}, {'quantity': '½', 'unit': 'pound', 'name': 'dry penne pasta'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': '', 'name': 'red bell pepper, chopped'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1', 'unit': '', 'name': 'ancho chile pepper, chopped (Optional)'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'vegetarian burger crumbles'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Preheat oven to 375 degrees F (190 degrees C). Lightly oil a large, deep casserole dish. Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.. Arrange the sliced eggplant on a greased cookie sheet and bake in the preheated oven for 20 minutes.. In a food processor, puree the onion, bell pepper, garlic and optional ancho chile pepper. If the mixture is too thick add a tablespoon of water. In a large skillet, heat the oil over medium heat. Pour the onion mixture into the pan and cook, stirring occasionally, for 10 minutes or until the liquid has evaporated and the mixture has thickened. Remove from the heat and set aside.. In a medium saucepan, melt butter over low heat. Stir in flour until smooth. Add milk, stirring until smooth. Remove from heat.. Arrange half of the baked eggplant in the greased casserole dish. Spoon in half of the white sauce, covering the eggplant. Spread the veggie crumbles over the white sauce, followed by the pasta, and a layer of the bell pepper puree. Cover the the onion and pepper mixture with remaining eggplant and spoon the remaining white sauce over the eggplant. Sprinkle the mozzarella cheese over the casserole.. Bake uncovered in the preheated oven for 35 minutes. Let stand 10 minutes before serving.","calories: 420, fat: 20g, carbs: 41g, protein: 21g, servings: 8",https://www.allrecipes.com/thmb/g1wVzq5EnOVsA4agy5n3_AU40kI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/67441-8b51aba69b0f491eb7fbac28ff48dee0.jpg
Granny's Easy Chili,https://www.allrecipes.com/recipe/13987/easy-chili/,"{'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '5', 'unit': 'cloves', 'name': 'crushed garlic'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '8', 'unit': 'ounces', 'name': 'textured vegetable protein'}, {'quantity': '4', 'unit': '(16 ounce) cans', 'name': 'chili beans'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'stewed tomatoes'}, {'quantity': '4', 'unit': 'cups', 'name': 'water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'brown sugar'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'chili powder'}","In a large saucepan saute onion, garlic, celery and olive oil until onions are soft.. Add to saucepan textured vegetable protein, chili beans, tomatoes, water, sugar, salt and pepper, and chili powder. Stir occasionally, let simmer for 30 minutes. The textured vegetable protein will expand when added to liquid.","calories: 339, fat: 5g, carbs: 51g, protein: 36g, servings: 8",https://www.allrecipes.com/thmb/9kTpNlPASFVn1WYRa4TcEinU3DI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/972260-7960d62315244704a32364c17b8ba442.jpg
Vegan Air Fryer Potato Skins,https://www.allrecipes.com/recipe/281926/vegan-air-fryer-potato-skins/,"{'quantity': '2', 'unit': 'medium', 'name': 'russet potatoes'}, {'quantity': '', 'unit': '', 'name': 'olive oil cooking spray'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'vegan shredded Cheddar-style cheese (such as Daiya®)'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'diced tomatoes with green chile peppers (such as RO*TEL®)'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'prepared textured vegetable protein (TVP)'}","Wash potatoes and puncture holes in the skin with a fork.. Cook potatoes in the microwave for 5 minutes on each side. Remove from microwave and cut in half lengthwise. Using a small spoon, scoop out the flesh, leaving 1/4 inch of potato flesh in the shell.. Preheat the air fryer to 350 degrees F (175 degrees C). Spritz the inside of the potato shells with olive oil cooking spray. Set potatoes in the air fryer basket, hollowed-out side up.. Air fry until edges start to crisp, about 5 minutes. Remove and fill each potato skin with about 1 tablespoon vegan cheese. Return to the air fryer basket and cook until cheese is melted, 5 to 7 minutes.. Top cooked potato skins with 1 tablespoon diced tomatoes and 1 tablespoon textured vegetable protein.","calories: 273, fat: 3g, carbs: 46g, protein: 21g, servings: 2",https://www.allrecipes.com/thmb/qq_hrDPkmFbXRrl-MJltgi6X6cs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8629779-95a80721933049a49d513b63b68f9dac.jpg
