name,link,ingredients,steps,nutrition,image_url
Crushed Pineapple Upside Down Cake,https://www.allrecipes.com/crushed-pineapple-upside-down-cake-recipe-8711613,"{'quantity': None, 'unit': None, 'name': 'baking spray with flour'}, {'quantity': '1', 'unit': '(20-ounce) can', 'name': 'crushed pineapple in syrup'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'cup packed', 'name': 'light brown sugar'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '(15.25 ounce) box', 'name': 'yellow cake mix (such as Pillsbury'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/2', 'unit': 'cup vegetable', 'name': 'vegetable'}, {'quantity': None, 'unit': None, 'name': 'sweetened whipped cream, for serving'}, {'quantity': None, 'unit': None, 'name': 'maraschino cherries and chopped toasted pecans, for serving'}","Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Spray a 13- x 9-inch baking pan with baking spray. Line bottom with parchment paper; lightly spray parchment. Set aside.. Drain pineapple into a fine-mesh sieve set over a medium bowl; set aside. Reserve 3/4 cup pineapple juice in a 1-cup measuring cup with a spout; whisk in water. Set aside. (Discard or reserve any extra pineapple juice for another use.). Add brown sugar and butter to a small saucepan; cook over medium heat, stirring often, until butter melts and sugar mixture is well combined, about 3 minutes. Remove from heat; stir in cinnamon and vanilla.. Spread brown sugar mixture evenly in prepared pan using a small offset spatula. Spoon and spread drained pineapple in an even layer over brown sugar mixture.. Prepare cake mix as directed in a large bowl, substituting pineapple juice mixture for the water. Spread batter evenly over pineapple layer.. Bake in the preheated oven until a wooden pick inserted in center comes out clean, about 30 minutes. Run a butter knife or small offset spatula around the edge of pan. Carefully place a heatproof platter over pan; invert cake onto platter; remove and discard parchment paper.  If needed, use any pineapple or brown sugar mixture left in the pan to patch any bald spots on the cake. Let cool 30 minutes before slicing and serving.. Serve warm or at room temperature with whipped cream. Garnish with cherries and pecans (if using).","calories: 374, fat: 18g, carbs: 52g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/tk-DcWKeYyWkYPEogtz7uCgAbUs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8711613-Crushed-Pineapple-Upside-Down-Cake-ddmfs-0814-4x3-beauty-12a2f8eca5ea4652907755982781cc8d.jpg
Plum Almond Upside Down Cake,https://www.allrecipes.com/plum-almond-upside-down-cake-recipe-8708770,"{'quantity': '1/2', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '3 to 4', 'unit': None, 'name': 'plums'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'almond flour'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '3/4', 'unit': 'teaspoons', 'name': 'baking powder'}","Preheat the oven to 350 degrees F (175 degrees C). Generously butter a 9-inch round cake pan and line the bottom with parchment paper.. Place 1/2 cup butter in a light-colored saucepan over medium-low heat. Cook, stirring constantly, until butter is browned, 5 to 7 minutes. Pour browned butter into a large mixing bowl and allow to cool for at least 10 minutes.. For topping, place 5 tablespoons butter in the same saucepan you browned the butter in; allow residual heat to melt it (or melt over very low heat). Pour melted butter into the prepared cake pan; sprinkle with brown sugar, cinnamon, and nutmeg. Gently mix ingredients together in the pan, then spread into an even layer. Arrange sliced plums over the butter-sugar mixture in a circular pattern, gently but firmly pressing the plums into the mixture, until the bottom of the pan is evenly covered. Set aside.. For cake: to the bowl with browned butter, add brown sugar, white sugar, salt, cinnamon, and nutmeg. Mix until combined. Stir in almond flour until incorporated (mixture will be grainy). Add in eggs 1 at a time, beating well after each addition with an electric mixer. After last egg has been added, beat mixture for 3 minutes on medium-high speed until light and fluffy. Beat in lemon juice, vanilla, and almond extracts. Reduce speed, and stir in flour and baking powder until just combined. Pour batter over the plums; spread gently in an even layer.. Bake in the preheated oven until cake is evenly browned and the center of the cake springs back when lightly touched, 45 to 55 minutes.. Cool cake in the pan for 10 minutes. Invert onto a serving platter. Gently peel off parchment paper, and allow cake to cool completely before serving.","calories: 353, fat: 21g, carbs: 39g, protein: 6g, servings: 12",https://www.allrecipes.com/thmb/JHSTAE3kEhXruLnuRffBCkuj4Cg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8708770_Plum-Almond-Upside-Down-Cake_4x3-a5e3ef8f811c463b9f3fe94c0f561fa3.jpg
Pineapple Upside Down Cupcakes,https://www.allrecipes.com/recipe/220808/pineapple-upside-down-cupcakes/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '24', 'unit': '', 'name': 'maraschino cherries'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'crushed pineapple'}, {'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'pineapple cake mix (such as Duncan Hines Pineapple Supreme)'}, {'quantity': '1 ⅓', 'unit': 'cups', 'name': 'pineapple juice'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ""confectioners' sugar for dusting, or as needed""}","Preheat the oven to 350 degrees F (175 degrees C). Move an oven rack to the middle of the oven. Spray 24 muffin cups with cooking spray.. Spoon 1 teaspoon melted butter into the bottom of each sprayed muffin cup. Spoon 1 tablespoon brown sugar into each muffin cup. Press a maraschino cherry into the center of the brown sugar in each muffin cup. Spoon a heaping tablespoon of crushed pineapple on top and compact it with the back of a spoon into an even layer.. Mix pineapple cake mix, pineapple juice, vegetable oil, and eggs in a large bowl with an electric mixer on low speed until moistened, about 30 seconds. Increase speed to medium; mix for 2 minutes.. Pour batter into the muffin cups, filling them to the top; do not overfill.. Bake in the preheated oven until a toothpick inserted into the center of a cupcake comes out clean, about 20 minutes.. Line a work surface with waxed paper. Allow cupcakes to cool at least 5 minutes before inverting muffin cups onto the waxed paper; serve with pineapple and cherry sides up. Sprinkle cupcakes lightly with confectioners' sugar before serving.","calories: 207, fat: 8g, carbs: 33g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/c257tAt4/poster.jpg?width=720
Old Fashioned Pineapple Upside-Down Cake,https://www.allrecipes.com/recipe/7622/old-fashioned-pineapple-upside-down-cake/,"{'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'packed light brown sugar'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'sliced pineapple'}, {'quantity': '10', 'unit': '', 'name': 'maraschino cherries, halved'}, {'quantity': '1', 'unit': 'cup', 'name': 'sifted cake flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'almond extract'}","Preheat the oven to 325 degrees F (165 degrees C).. Melt 1/2 cup butter over very low heat in a 10-inch heavy skillet with a heat-resistant handle or a cast iron pan. Remove from heat; sprinkle brown sugar evenly into the skillet. Arrange pineapple slices to cover the bottom of the skillet. Distribute cherries around pineapples; set aside.. Sift together flour, baking powder, and salt in a bowl; set aside.. Separate eggs; place whites in a large mixing bowl and yolks in a smaller bowl.. Beat egg whites on medium speed until soft peaks form. Add white sugar gradually, beating well after each addition. Beat until medium-stiff peaks form.. Beat egg yolks at high speed until very thick and yellow. Using a wire whisk or rubber scraper, gently fold egg yolks and flour mixture into whites with an over-and-under motion until blended.. Fold 1 tablespoon melted butter and almond extract into batter, then spread batter evenly over pineapple in the skillet.. Bake in the preheated oven until a toothpick inserted in the center comes out clean, 30 to 35 minutes. Loosen cake edges with a table knife. Cool cake for 5 minutes before inverting it onto a serving plate.. Enjoy!","calories: 321, fat: 10g, carbs: 55g, protein: 3g, servings: 12",https://cdn.jwplayer.com/v2/media/8l71Ehzy/poster.jpg?width=720
Grandma's Skillet Pineapple Upside-Down Cake,https://www.allrecipes.com/recipe/273774/grandmas-skillet-pineapple-upside-down-cake/,"{'quantity': '1', 'unit': 'stick', 'name': 'butter'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': '(20 ounce) can', 'name': 'sliced pineapple'}, {'quantity': '1', 'unit': '(4 ounce) jar', 'name': 'cherries'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C).. Melt 1 stick butter in the bottom of a cast iron skillet over medium heat, about 3 minutes. Remove from heat and sprinkle brown sugar evenly over butter. Add pineapple slices to the skillet in a decorative layer with a cherry in the middle of each pineapple ring. Set aside.. Sift flour, baking powder, and salt together in a bowl.. Cream sugar and 1/2 cup butter together in a bowl. Add eggs and mix.. Add flour mixture and milk in an alternating fashion. Add vanilla extract and mix well.. Pour mixture evenly over pineapples in the skillet.. Bake in the preheated oven until cake is golden brown, about 40 minutes. Let cake cool in the skillet for 10 minutes before inverting onto a serving plate. Serve warm.","calories: 465, fat: 17g, carbs: 77g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/TyPsqAqv-m7pHbErHdthWPkwdnA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-273774-grandmas-skillet-pineapple-upside-down-cake-dmfs-4x3-95b098ac81a4473b8b44d1bbbb8f3447.jpg
Pecan Pie Upside Down Cake,https://www.allrecipes.com/pecan-pie-upside-down-cake-recipe-8734473,"{'quantity': None, 'unit': None, 'name': 'nonstick cooking spray'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'light corn syrup'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla paste'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'cinnamon'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'pecan halves'}, {'quantity': '1', 'unit': '(15.5 ounce) box', 'name': 'butter'}, {'quantity': '1', 'unit': '(3.5 ounce) package', 'name': 'vanilla pudding'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla paste'}","Preheat the oven to 350 degrees F (175 degrees C). Spray a 10-inch cake pan with nonstick cooking spray. Line with parchment paper and spray again. Set aside.. Place butter, brown sugar, corn syrup, vanilla paste, cinnamon, and salt in a saucepan. Bring to a boil, stirring constantly. Add pecans and stir until pecans are coated in mixture. Pour into prepared cake pan and set aside.. For cake batter, place cake mix, eggs, pudding mix, milk, oil, sour cream, and vanilla in a large bowl. Using an electric mixer, beat for 3 minutes. Pour over pecan mixture.. Bake in the preheated oven until a skewer inserted in center comes out clean, 40 to 50 minutes.. Run a butter knife around outside of cake to release from pan. Cool on a wire rack for 10 minutes. Carefully flip cake onto a serving platter and cool completely before slicing.","calories: 426, fat: 28g, carbs: 43g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/gBC2Ycc2rc8sHjHmIYQro4Isqlk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8734473kimshupe_pecanupsidedowncake_4x3-89db5ed1fb5f4dc9b2f74db0d6596605.jpg
Fresh Strawberry Upside Down Cake,https://www.allrecipes.com/recipe/188567/fresh-strawberry-upside-down-cake/,"{'quantity': '2', 'unit': 'cups', 'name': 'crushed fresh strawberries'}, {'quantity': '1', 'unit': '(6 ounce) package', 'name': 'strawberry-flavored gelatin (such as Jell-O)'}, {'quantity': '3', 'unit': 'cups', 'name': 'miniature marshmallows'}, {'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'yellow cake mix'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'vegetable oil'}","Preheat the oven to 350 degrees F (175 degrees C).. Spread crushed strawberries on the bottom of a 9x13-inch baking dish; sprinkle gelatin powder over strawberries, then top with mini marshmallows.. Combine cake mix, water, eggs, and oil in a large bowl; beat with an electric mixer on low speed until moistened. Increase speed to medium and beat for 2 minutes. Pour batter on top of marshmallows.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 40 to 50 minutes.. Cool cake in the pan for 15 minutes. Run a knife around edges, then turn out the cake onto a serving plate, strawberry side up. Store cake in the refrigerator.","calories: 290, fat: 5g, carbs: 58g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/Eufww65lb8P6QIwyLivf6hA4iTY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/188567-fresh-strawberry-upside-down-cake-Yoly-4x3-bf055d78d60445068d4060d4baadb95c.jpg
Plum Blueberry Upside-Down Cake,https://www.allrecipes.com/recipe/23730/plum-blueberry-upside-down-cake/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'milk'}, {'quantity': '4', 'unit': '', 'name': 'black plums, pitted and thinly sliced'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'blueberries'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch cake pan. Combine flour, baking powder, and salt; set aside.. Combine brown sugar and 3 tablespoons butter in the prepared pan. Place pan inside the preheated oven until butter melts and begins to bubble; set aside.. Beat 1 cup white sugar and 1/3 cup butter in a large bowl with an electric mixer until light and fluffy. Beat in egg, then stir in vanilla. Beat in flour mixture, alternately with milk, mixing just until incorporated.. Arrange plums around the edges of the prepared pan, overlapping slightly. Distribute blueberries in the center. Pour batter into prepared pan, covering fruit completely.. Bake in the preheated oven for 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool 15 minutes before serving.","calories: 229, fat: 9g, carbs: 36g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/CmBXhGTbOYpk5uaHmW9yOQwwN78=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23730-Plum-Blueberry-Upside-Down-Cake-COOKIN4MYFAMILY_444218_original-4x3-1-901e59540e834071bbec10400e66cba1.jpg
Cake Mixes From Scratch and Variations,https://www.allrecipes.com/recipe/8063/cake-mixes-from-scratch-and-variations/,"{'quantity': '2 ⅓', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking powder'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch baking dish.. For a Yellow Cake: Sift together flour, sugar, baking powder, and salt in a large bowl. Cut in shortening until mixture resembles fine crumbs. Add milk, eggs, and vanilla. Beat with an electric mixer on low speed for 1 minute, then on high for 2 minutes, scraping the bowl frequently. Pour batter into the prepared baking dish.. Bake in the preheated oven until a toothpick inserted into the center comes out clean, 25 to 30 minutes.","calories: 143, fat: 5g, carbs: 22g, protein: 2g, servings: 24",https://www.allrecipes.com/thmb/q4u4FiD83_kea6SqTNl8HaFYSdk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5571476-cake-mixes-from-scratch-and-variations-Christopher-Crouch-4x3-1-4f487b62473e4cd08709cf5b39cb4d1f.jpg
Pineapple Upside-Down Cake,https://www.allrecipes.com/recipe/17691/pineapple-upside-down-cake-vii/,"{'quantity': '1', 'unit': '(20 ounce) can', 'name': 'pineapple rings'}, {'quantity': '¼', 'unit': 'cup', 'name': 'water, or as needed'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': '(15.25 ounce) package', 'name': 'white cake mix (such as Betty Crocker Super Moist)'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '3', 'unit': 'large', 'name': 'egg whites'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'brown sugar'}, {'quantity': '7', 'unit': '', 'name': 'maraschino cherries'}",,"calories: 399, fat: 18g, carbs: 59g, protein: 3g, servings: 12",https://cdn.jwplayer.com/v2/media/zn2GusLc/thumbnails/fekZmZiH.jpg
