name,link,ingredients,steps,nutrition,image_url
11 Cute and Easy Valentine's Day Treats,https://www.allrecipes.com/gallery/cute-and-easy-valentines-day-treats/,,,,https://www.allrecipes.com/thmb/vsvf9iGneRTkianiMtgVjrEFjnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3253662-white-chocolate-fondue-Allrecipes-4x3-1-06b4d6ec551247f9b70123feccfe7926.jpg
How to Make the Best Chocolate-Covered Strawberries,https://www.allrecipes.com/article/how-to-make-chocolate-covered-strawberries/,,,,https://cdn.jwplayer.com/v2/media/ry7CDkHe/poster.jpg?width=720
14 Great Ways to Make Shrimp Scampi,https://www.allrecipes.com/gallery/great-ways-to-make-shrimp-scampi/,,,,https://www.allrecipes.com/thmb/RCpkncOuL9Hyxfhi0Eekd0Poi4o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2606852-b0c4ceabe4644dbe881d0f8a4a8e5216.jpg
18 Fancy Valentine's Day Dessert Recipes,https://www.allrecipes.com/gallery/fancy-valentines-day-dessert-recipes/,,,,https://www.allrecipes.com/thmb/TotOEu8_r56iJebwqALBJKmfZnE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/IMG_4369_Heart-Shaped-Chocolate-Eclairs-4x3-fae1512c015d4a5c948f8b37b5e6a191.jpg
Pomegranate Fizz,https://www.allrecipes.com/pomegranate-fizz-recipe-8724216,"{'quantity': '5', 'unit': None, 'name': 'basil leaves'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'agave syrup or honey'}, {'quantity': '1', 'unit': 'fluid ounce', 'name': 'lime juice'}, {'quantity': '3', 'unit': 'fluid ounces', 'name': 'pomegranate juice'}, {'quantity': '4', 'unit': 'fluid ounces', 'name': 'club soda'}, {'quantity': None, 'unit': None, 'name': 'ice cubes,'}, {'quantity': '1', 'unit': None, 'name': 'lime wedge'}","In a shaker, add basil leaves with lime juice and agave syrup and mash with a cocktail muddler. Add pomegranate juice to the shaker and shake well.. Fill a glass with ice cubes and strain shaker contents into the glass. Top with club soda and garnish with lime wedge.","calories: 133, fat: 1g, carbs: 35g, protein: 1g, servings: 1",https://www.allrecipes.com/thmb/WRr0aYtAM3AyBkENloJXpF1MJ18=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8724216_Pomegranate-Fizz_France-Cevallos_4x3-1dbf87bcfa9f4e76b69d9cc032080563.jpg
Copycat Philadelphia Strawberry Cheesecake Bites,https://www.allrecipes.com/copycat-philadelphia-strawberry-cheesecake-bites-8580174,"{'quantity': '1 1/4', 'unit': 'cups', 'name': 'graham cracker crumbs'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1 (8-', 'unit': 'ounce) package', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'strawberry jelly'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white chocolate candy melts'}",,"calories: 153, fat: 11g, carbs: 14g, protein: 1g, servings: 24",https://cdn.jwplayer.com/v2/media/xfWqliQj/thumbnails/pvr6z4ZT.jpg
Chocolate Mousse for Beginners,https://www.allrecipes.com/chocolate-mousse-for-beginners-recipe-8574786,"{'quantity': '3 1/2', 'unit': 'ounces', 'name': 'dark chocolate'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '2', 'unit': 'arge', 'name': 'egg yolks'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'heavy whipping cream'}",,"calories: 227, fat: 19g, carbs: 9g, protein: 5g, servings: 4",https://cdn.jwplayer.com/v2/media/ruwLVGH6/thumbnails/F3RZEqhx.jpg
Heart-Shaped Pizza,https://www.allrecipes.com/heart-shaped-pizza-recipe-8430817,"{'quantity': '1', 'unit': 'pound prepared', 'name': 'pizza dough'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'pizza sauce'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sausage'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'pepperoni slices, or as needed'}","Allow dough to come to room temperature, about 30 minutes.. Preheat the oven to 450 degrees F (230 degrees C).. Divide the dough into 2 unequal pieces. One piece of dough should be smaller. Take the larger piece and press out into a square shape. Take the smaller piece and roll into a circle. Cut the circle in half.. Take a teaspoon of oil and brush a pizza stone. Position the dough square on the pizza stone with one point of the square pointing down.. Position the straight side of a dough half circle along the upper left edge of the square. Place the other half circle along the upper right edge of the square. Press seams together to join.. Spread pizza sauce over dough to 1/2-inch from the edge. Top pizza with shredded cheese, sausage and pepperoni.. Bake in the preheated oven until cheese is melted and crust is golden, 17 to 19 minutes. Let rest 3 minutes before slicing.","calories: 460, fat: 18g, carbs: 56g, protein: 17g, servings: 4",https://www.allrecipes.com/thmb/zjmt9010EMLdHMRrwSNedJ52DMc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8430817_Heart-Shaped-Pizza_TheDailyGourmet_4x3-08f7428ca22c4fe1b929c04ba24c6fc9.jpg
Mini Heart-Shaped Naan Pizzas,https://www.allrecipes.com/mini-heart-shaped-naan-pizzas-recipe-8422932,"{'quantity': '8', 'unit': None, 'name': 'naan'}, {'quantity': '1', 'unit': 'cup', 'name': 'pizza sauce'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'shredded mozzarella cheese, or more to taste'}, {'quantity': '40', 'unit': 'slices', 'name': 'pepperoni, or more to taste'}","Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with foil for easy cleanup.. Use a 4 to 4 1/2-inch heart-shaped cookie cutter to cut each flatbread into a heart shape. Place flatbreads on the prepared baking sheet, evenly spread the pizza sauce on each, and sprinkle with mozzarella.. Cut each slice of pepperoni into a heart shape using a mini heart-shaped cookie cutter, if desired, and place on top of mozzarella.. Move the baking sheet to the oven, and cook until cheese is melted and crust is golden brown, 9 to 11 minutes. Serve hot.","calories: 247, fat: 11g, carbs: 27g, protein: 11g, servings: 8",https://www.allrecipes.com/thmb/6pS-5VL2gDNB6KT2-zyOxeSpzHk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8422932_Mini-Heart-Shaped-Naan-Pizzas_Pat-Bernitt_4x3-45af187ab7944e1ab8ca8521a1f104de.jpg
Creamy Wild Mushroom Risotto,https://www.allrecipes.com/recipe/150033/gorgonzola-and-wild-mushroom-risotto/,"{'quantity': '2', 'unit': 'ounces', 'name': 'dried chanterelle mushrooms'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'truffle oil (Optional)'}, {'quantity': '1', 'unit': '', 'name': 'chopped onion'}, {'quantity': '2', 'unit': '', 'name': 'shallots, minced'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '3', 'unit': 'ounces', 'name': 'sliced fresh button mushrooms'}, {'quantity': '1', 'unit': '(12 ounce) package', 'name': 'Arborio rice'}, {'quantity': '½', 'unit': 'cup', 'name': 'dry white wine'}, {'quantity': '1', 'unit': 'quart', 'name': 'hot chicken stock'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled Gorgonzola cheese, or to taste'}, {'quantity': '', 'unit': '', 'name': 'ground black pepper to taste'}","Cover chanterelle mushrooms with hot water, cover, and set aside to soften for 30 minutes. Once soft, remove mushrooms from water and chop; discard water.. Melt butter along with truffle oil in a large saucepan over medium-high heat. Add onion, shallot, and garlic; cook and stir two minutes until the onion begins to soften. Add fresh mushrooms; continue cooking until mushroom softens and begin to release their liquid. Stir in chopped chanterelle mushrooms, and cook 3 minutes more.. Add Arborio rice; cook and stir for a few minutes until rice looks glossy and is well coated with onion mixture. Stir in white wine and cook until nearly evaporated.. Reduce heat to medium; add 1/3 of the hot chicken stock. Cook and stir until chicken stock has been mostly absorbed, about 5 minutes. The risotto should be simmering gently while you stir in chicken stock. Add 1/2 of the remaining stock, and stir for 5 minutes more. Finally add remaining stock, and continue cooking until risotto is creamy and rice is tender, about 5 minutes more. The rice should not be completely soft, but still have a little firmness when you bite into it. You can add a little water if needed to cook the rice to this state.. Remove risotto from the heat, and stir in heavy cream and Gorgonzola cheese. Season to taste with salt and pepper, and serve.","calories: 321, fat: 9g, carbs: 44g, protein: 11g, servings: 4",https://www.allrecipes.com/thmb/E-6Cbsa6Uy90WRWMiHWXd-JLjxk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9416606-74723cfc8c8b4e378d804b292b598649.jpg
