name,link,ingredients,steps,nutrition,image_url
11 Simple One-Pot Meals Starring Brussels Sprouts,https://www.allrecipes.com/gallery/one-pot-meals-with-brussels-sprouts/,,,,https://www.allrecipes.com/thmb/2T61rK8POAcdCAe3gAVeoDF7GUk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9431670_ChickenAppleandBrusselsSproutSheetPanDinner4x3-9e71c10644994870a989113bef949909.jpg
22 Comforting Vegetable Casseroles for Fall,https://www.allrecipes.com/gallery/fall-vegetable-casserole-recipes/,,,,https://www.allrecipes.com/thmb/xRzVdoh5Cdi5CqYnAlbL7_nKhmM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/282605-spinach-madeline-yoly-e0ba108a713e45aeaf127a7ac5d04940.jpg
12 Inventive Ways to Enjoy Butternut Squash,https://www.allrecipes.com/gallery/inventive-ways-to-enjoy-butternut-squash/,,,,https://www.allrecipes.com/thmb/kZAvn4jL7IKDzNeFpAgzW8BU10E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Butternut-Squash-and-Mascarpone-Gnocchi-0b0b737607a84c8cbd19061b995f5a33.jpg
23 Ways to Eat Root Vegetables During Peak Season,https://www.allrecipes.com/gallery/root-vegetable-recipes/,,,,https://www.allrecipes.com/thmb/AL3LYY5h4oYJmP9X8GzsG1QaPVE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8650757-classic-hearty-beef-stew-photo-by-matthew-francis-38819bbcecdf4ad1a802da0caca369bf.jpg
Spinach Artichoke Chicken Bake,https://www.allrecipes.com/spinach-artichoke-chicken-bake-recipe-8745127,"{'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1 1/2', 'unit': 'pounds', 'name': 'boneless chicken breast'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red onion'}, {'quantity': '3', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'fresh basil,'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1 (', 'unit': '14.6 ounce) can', 'name': 'artichoke hearts in water'}, {'quantity': '1', 'unit': '(14.5 ounce) can', 'name': 'diced tomatoes,'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'fresh spinach'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'seasoned bread crumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}","Preheat the oven to 350 degrees F (175 degrees C). Heat olive oil and butter together in a large, ovenproof skillet over medium heat.. When butter is sizzling, add chicken pieces. Season with salt and pepper. Brown one side of the chicken pieces, 3 to 5 minutes; turn, and add diced red onion, minced garlic, and minced fresh basil. (See Note.). Cook, stirring often, until garlic is fragrant and onion is softened, about 3 minutes. Season with pepper flakes, and add artichokes and tomatoes. Stir in spinach; remove skillet from heat.. Combine Italian seasoned bread crumbs and shredded Parmesan cheese. Sprinkle bread crumb mixture over skillet contents.. Bake in the center of the preheated oven, uncovered, until bubbly and brown, about 25 minutes. Garnish with fresh basil and serve warm.","calories: 524, fat: 17g, carbs: 30g, protein: 63g, servings: 4",https://www.allrecipes.com/thmb/TE4PLlFvjsVZ6j_yVOR2r5QY4gQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745127_Spinach-Artichoke-Chicken-Bake_Brenda-Venable_4x3-f94f732fe5f447e0bc1828218a783922.jpg
Cacio e Pepe Potato Gratin,https://www.allrecipes.com/cacio-e-pepe-potato-gratin-recipe-8736811,"{'quantity': '4', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1', 'unit': 'small', 'name': 'yellow onion'}, {'quantity': '4', 'unit': None, 'name': 'garlic cloves'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1', 'unit': '(12 ounce) can', 'name': 'evaporated milk'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '4', 'unit': 'pounds', 'name': 'Yukon Gold potatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'Parmigiano-Reggiano cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'cups', 'name': 'pecorino Romano cheese'}, {'quantity': None, 'unit': None, 'name': 'fresh thyme leaves, for garnish'}",,"calories: 620, fat: 35g, carbs: 58g, protein: 21g, servings: 8",https://cdn.jwplayer.com/v2/media/UffQcbeS/thumbnails/G4B8WTc7.jpg
Sweet Potato and Bacon Pizza,https://www.allrecipes.com/sweet-potato-and-bacon-pizza-recipe-8747988,"{'quantity': '1 2/3', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dry yeast'}, {'quantity': '4 1/3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'sweet potato'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1', 'unit': 'pinch', 'name': 'cayenne pepper'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rosemary'}, {'quantity': '1', 'unit': None, 'name': 'lemon'}, {'quantity': '1', 'unit': 'cup', 'name': 'Parmigiano Reggiano cheese'}, {'quantity': '12', 'unit': 'ounces', 'name': 'bacon'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '6', 'unit': 'ounces', 'name': 'mozzarella cheese'}, {'quantity': '2', 'unit': 'ounces', 'name': 'fontina cheese'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'Parmigiano Reggiano cheese'}, {'quantity': '2', 'unit': None, 'name': 'jalapeno peppers,'}","For dough, mix yeast and water and let stand for 10 minutes. Add flour and salt, and stir with a wooden spoon for 2 minutes to form a soft, sticky dough. Scrape down sides of bowl, cover, and let rise in a cool spot until doubled in size, 8 to 12 hours.. Use a wet hand to deflate and de-gas the dough, and form into a ball. Cover and store in the refrigerator until needed.. Preheat the oven to 400 degrees F (200 degrees C). Pierce sweet potatoes with a knife and place on a baking sheet.. Roast in the preheated oven until soft, about 1 hour. Let cool until cool enough to handle, about 10 minutes.. Scoop sweet potato flesh into a bowl—you will need about 2 1/2 cups. Add salt, black pepper, cayenne, olive oil, rosemary, lemon zest, and lemon juice, and mash until smooth. Stir in Parmigiano Reggiano, and taste for seasoning. Set aside.. Preheat the oven to 450 degrees F (235 degrees C).. Add bacon to a cold, dry, nonstick skillet. Place over medium-high heat, and cook, separating bacon pieces with tongs, until almost crisp, 7 to 10 minutes. Transfer to a plate lined with paper towels; set aside.. To assemble pizza, pour olive oil on a sheet pan and spread over evenly; place on dough, and use oiled hands to press out to the edges. If dough is very elastic, let dough rest and relax for a few minutes, then continue to stretch. Repeat this process as needed to stretch dough to cover the pan.. Dollop sweet potato mixture onto dough; Spread a thin layer over crust with the back of a spoon. Top evenly with mozzarella, bacon, fontina, and jalapenos. Finish with another dusting of Parmigiano Reggiano.. Bake in the preheated oven until crust is golden, and cheese is browned, 30 to 35 minutes. Remove from oven; cool in the pan for 5 to 10 minutes. Transfer to a board and slice with a pizza cutter.","calories: 619, fat: 32g, carbs: 55g, protein: 27g, servings: 10",https://cdn.jwplayer.com/v2/media/d0zh79Qc/thumbnails/MfdTGQe8.jpg
Boursin Chicken Pot Pie,https://www.allrecipes.com/boursin-chicken-pot-pie-recipe-8732565,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': None, 'name': 'leek, white and pale green parts, thinly sliced'}, {'quantity': '8', 'unit': 'ounces', 'name': 'button mushrooms, thinly sliced'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'reduced-sodium chicken broth'}, {'quantity': '1', 'unit': '(5.3-ounce)', 'name': 'semi-soft cheese with garlic and fine herbs (siuch as Boursin®)'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sour cream'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'mustard'}, {'quantity': '1', 'unit': 'cup', 'name': 'frozen mixed vegetables'}, {'quantity': '3', 'unit': 'cups', 'name': 'shredded cooked chicken'}, {'quantity': '1/2', 'unit': '(14.1-ounce) package', 'name': 'rolled refrigerated unbaked pie crust'}","Gather all ingredients.. Preheat the oven to 425 degrees F (220 degrees C).. Melt butter in a large skillet over medium heat. Add leek and mushrooms. Cook and stir until tender and any liquid has evaporated, about 5 minutes.. Whisk together broth, Boursin®, sour cream, and mustard in a bowl. Add to the skillet. Cook and stir until thickened and bubbly, about 2 minutes.. Add frozen mixed vegetables and cook 3 minutes more. Stir in chicken and return to a simmer, about 1 minute.. Transfer hot filling to a 9-inch pie plate or 10-inch quiche dish.. Cut 3 slits in the center of the pie crust. Gently fold pie crust in quarters. Unfold pie crust atop the hot filling. Press edges of pastry to the inside edge of the pie plate, flute as desired.. Bake in the preheated oven until golden brown and bubbly, about 20 minutes. Let stand 15 minutes before serving.. Enjoy!","calories: 643, fat: 39g, carbs: 44g, protein: 28g, servings: 6",https://www.allrecipes.com/thmb/z4wVWFCeu6QdFMIfQJ1hEn819lE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8732565-Boursin-Chicken-Pot-Pie-ddmfs-5365-4x3-beauty-d8687cae2a81405084eb8865044105dd.jpg
Philly Cheesesteak Smothered Tater Tots,https://www.allrecipes.com/philly-cheesesteak-smothered-tater-tots-recipe-8747185,"{'quantity': '1', 'unit': '(2 pound)-package', 'name': 'tater tots'}, {'quantity': '1', 'unit': None, 'name': 'onion'}, {'quantity': '1/2', 'unit': None, 'name': 'green bell pepper'}, {'quantity': '1/2', 'unit': None, 'name': 'red bell pepper'}, {'quantity': '1', 'unit': '(12 ounce) box', 'name': 'frozen sandwich beef'}, {'quantity': '1 1/2', 'unit': 'tablespoons', 'name': 'Worcestershire sauce'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'Montreal steak seasoning'}, {'quantity': '2', 'unit': 'cups', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 425 degrees F (220 degrees C). Line a large baking sheet with foil; arrange tater tots on the sheet in a single layer.. Bake in the preheated oven until golden, about 20 minutes.. Meanwhile, cook and stir onion, green pepper, and red  pepper in a large skillet over medium-high heat for 5 minutes. Add beef, Worcestershire sauce, and steak seasoning. Cook until most of liquid has evaporated, about 6 minutes.. Divide beef mixture over baked tater tots with a slotted spoon. Sprinkle shredded cheese over the top.. Bake until cheese is melted and beginning to brown, about 5 minutes more.","calories: 542, fat: 29g, carbs: 48g, protein: 25g, servings: 6",https://www.allrecipes.com/thmb/5-pVPK0-SZYmG5bfo003ipHouHs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8747185_Philly-Cheesesteak-Smothred-Tater-Tots_Nicole-Russell_4x3-bb148a6f261244dfb41a2b5405a660eb.jpg
Olive Cheese Balls,https://www.allrecipes.com/olive-cheese-balls-recipe-8741888,"{'quantity': '1', 'unit': 'cup', 'name': 'sharp Cheddar cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'flour'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'paprika'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'cayenne pepper'}, {'quantity': '36', 'unit': 'small', 'name': 'pimiento-stuffed green olives'}, {'quantity': None, 'unit': None, 'name': 'ranch dressing for serving'}, {'quantity': None, 'unit': 'cracked black', 'name': 'cracked black'}","Combine cheese and butter in a food processor and process until mixed together. Add flour, paprika, and cayenne. Process just until dough comes together. Turn out dough and shape into a disc. Chill, covered, until slightly firm and easy to handle, about 30 minutes.. Meanwhile, drain liquid from olives and spread out on paper towels to dry.(The olives should be completely dry before wrapping with dough.). Line a 10x15-inch rimmed baking sheet with parchment paper. Pinch off a piece of dough about the size of a walnut half. Flatten and wrap around an olive, enclosing completely. Roll to make a smooth ball. Place on the prepared baking sheet. Repeat with remaining dough and olives, spacing olive balls about 1 1/2 inches apart. Freeze until firm, at least 1 hour (and up to 1 month).. Preheat the oven to 400 degrees F (200 degrees C).. Bake frozen cheese balls until lightly browned and dough is set, 15 to 18 minutes. Let cool 5 minutes. Serve with ranch and garnish with pepper.","calories: 37, fat: 3g, carbs: 2g, protein: 1g, servings: 36",https://www.allrecipes.com/thmb/Z4kZerrmTpF6bBnwq2xXAOVdH6s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8741888-Olive-Cheese-Balls-Allrecipes-Magazine-4x3-c12906d8004f4a24be5f1f37d809381e.jpg
