name,link,ingredients,steps,nutrition,image_url
8 Ways to Add Savory Flavor to Vegetarian Recipes,https://www.allrecipes.com/article/add-savory-flavor-to-meatless-dishes/,,,,https://cdn.jwplayer.com/v2/media/8i0wnVjC/poster.jpg?width=720
Our 12 Best Vegetarian Casseroles,https://www.allrecipes.com/gallery/best-vegetarian-casseroles/,,,,https://www.allrecipes.com/thmb/kdgcX5D2GiTpW_bov8HFQp2lpsQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7765387-30c447b0688b44c6b55a20776d9215be.jpg
15 Beginner Vegetarian Recipes,https://www.allrecipes.com/gallery/beginner-vegetarian-recipes/,,,,https://www.allrecipes.com/thmb/4Lzt_uAfO91MNL26SxbtXoAQILM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573958-2000-201ce16743d64c22a2965ae64407f8d6.jpg
Vegan Sheet Pan Dinners Made Easy,https://www.allrecipes.com/article/vegan-sheet-pan-dinners-made-easy/,,,,
Caramel-Apple Tofu and Noodle Stir-Fry,https://www.allrecipes.com/caramel-apple-tofu-and-noodle-stir-fry-recipe-8745592,"{'quantity': '8', 'unit': 'ounces', 'name': 'linguine'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'caramel ice cream topping'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'peanut butter'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'rice vinegar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Asian-style chili paste (sambal oelek)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'toasted sesame oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vegetable oil, or more as needed'}, {'quantity': '1', 'unit': '(14-to 16-ounce)', 'name': 'tofu, cubed and patted dry'}, {'quantity': '1', 'unit': 'small', 'name': 'onion, cut into thin wedges'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'cup', 'name': 'red cabbage'}, {'quantity': '1', 'unit': None, 'name': 'carrot, cut into matchsticks'}, {'quantity': '1', 'unit': None, 'name': 'apple, cut into matchsticks'}, {'quantity': 'chopped peanuts', 'unit': None, 'name': 'chopped peanuts'}, {'quantity': None, 'unit': None, 'name': 'fresh cilantro, for garnish'}, {'quantity': '4', 'unit': None, 'name': 'lime wedges, for serving'}","Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes. Drain.. Meanwhile, for sauce, whisk together caramel topping, soy sauce, peanut butter, vinegar, chili paste, and toasted sesame oil in a small bowl.. Heat 1 tablespoon vegetable oil in a very large skillet over medium-high heat. Cook tofu, stirring frequently, until browned on all sides, about 8 minutes. Remove from skillet.. If needed, add more vegetable oil to the skillet. Cook onion and garlic, stirring frequently, until softened, about 3 minutes. Add cabbage and carrot; cook, stirring frequently, until nearly tender, 3 to 4 minutes.. Add tofu, sauce, and apple to skillet; cook, stirring frequently, until apple starts to soften, 1 to 2 minutes. Add pasta; toss and cook until heated through, 1 to 2 minutes. Garnish with peanuts and cilantro. Serve with lime wedges.","calories: 399, fat: 16g, carbs: 54g, protein: 19g, servings: 4",https://www.allrecipes.com/thmb/eJu4N7ijxJgvnAlmEP9EG492QxQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8745592-Caramel-Apple-Tofu-and-Noodle-Stir-Fry-Allrecipes-Magazine-4x3-8ddc186ad91543799e52255450146143.jpg
Ramen Vegetable Stir Fry,https://www.allrecipes.com/ramen-vegetable-stir-fry-recipe-8735776,"{'quantity': '1/2', 'unit': 'cup', 'name': 'low-sodium soy sauce'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'lime juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chili sauce'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '1/8', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '6', 'unit': 'ounces', 'name': 'ramen noodles (2 packages), flavor packets disgarded'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'sesame oil'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'red pepper'}, {'quantity': '2 1/2', 'unit': 'cups', 'name': 'broccoli florets'}, {'quantity': '4', 'unit': 'ounces', 'name': 'sugar snap peas'}","Combine soy sauce, lime juice, Thai chili sauce, maple syrup, ginger, and red pepper flakes in a small bowl. Stir until smooth; set aside.. Bring 4 cups of water to a boil in a pot. Discard flavor packet. Add ramen noodles to boiling water; cook until noodles are tender, 4 to 5 minutes. Drain noodles and set aside.. Heat sesame oil in a skillet over medium-high heat. Add garlic, onions, red peppers, broccoli, and sugar snap peas, and cook and stir until softened, about 5 minutes. Reduce heat to low; stir in sauce, and cook until thickened, about 3 minutes. Add in ramen noodles and serve warm.","calories: 196, fat: 9g, carbs: 25g, protein: 8g, servings: 4",https://www.allrecipes.com/thmb/DiNmDM1s60cJBRF3KVATv2Mbpuw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8735776_Ramen-Vegetable-Stir-Fry_Maura-Rawlette_4x3-6cc1a68f1f2144bfb67c01eec3da3d36.jpg
Mushroom-Steak Diane,https://www.allrecipes.com/mushroom-steak-diane-recipe-8722391,"{'quantity': '1/2', 'unit': 'cup', 'name': 'low-sodium vegetable broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'soy sauce'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'Chinese mustard'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'miso paste'}, {'quantity': '1', 'unit': 'pinch', 'name': 'crushed red pepper'}, {'quantity': '3', 'unit': 'large', 'name': ''}, {'quantity': '2', 'unit': 'tablespoons vegetable oil', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': None, 'name': 'shallot, minced'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'sake'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'unsweetened coconut milk'}, {'quantity': None, 'unit': None, 'name': 'cooked black lentils, for serving'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'green onions'}","Stir together broth, soy sauce, mustard, miso paste, and red pepper in a small bowl.. Cut mushrooms in half lengthwise. Score the inside of each mushroom half with shallow diagonal cuts (do not cut all the way through).. Heat 2 tablespoons oil in a large cast-iron or nonstick skillet over high heat, swirling to coat bottom. Cook mushrooms, cut sides down, until bottoms are golden brown, 3 to 5 minutes (do not stir). Reduce heat to medium. Pour half of broth mixture (about 1/3 cup) into skillet. Cook, covered, until liquid is mostly absorbed and mushrooms are fork-tender, about 5 minutes. (Add water as needed, 2 tablespoons at a time, if liquid evaporates and mushrooms are not yet tender.) Transfer mushrooms to a bowl.. Add remaining 1 teaspoon oil and the shallot to skillet. Cook, stirring constantly, over medium heat 30 seconds. Add sake; bring to a boil over high heat. Cook, stirring frequently, until slightly reduced, about 1 minute. Add coconut milk, remaining broth mixture, and any accumulated juices from mushrooms. Cook over high heat just until sauce starts to thicken, about 2 minutes.. Return mushrooms to skillet. Reduce heat to low. Gently simmer until mushrooms are heated through, adding water as needed, 1 tablespoon at a time, until sauce reaches desired consistency, about 2 minutes.. Serve mushrooms over lentils and top with sauce and chives.","calories: 422, fat: 19g, carbs: 44g, protein: 17g, servings: 2",https://www.allrecipes.com/thmb/Z9BHRlf13j1zjg1Dq7j8SjoehZM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8722391-Mushroom-Steak-Diane-Allrecipes-Magazine-4x3-219c00c0edb04093a2a10c3670a10e40.jpg
Caramelized Onion and Roasted Garlic Pasta,https://www.allrecipes.com/caramelized-onion-and-roasted-garlic-pasta-recipe-8724725,"{'quantity': '2', 'unit': 'heads', 'name': 'garlic'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '2 to 3', 'unit': 'sprigs', 'name': 'fresh thyme'}, {'quantity': '1', 'unit': 'large', 'name': 'white onion'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'balsamic vinegar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '8', 'unit': 'ounces', 'name': 'heavy cream'}, {'quantity': '4 to 5', 'unit': 'cloves', 'name': 'garlic'}, {'quantity': '1/4', 'unit': 'cup chopped', 'name': 'chopped parsley'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'pasta'}","To roast garlic: Preheat the oven to 250 degrees F (120 degrees C). Place the garlic cloves in a shallow baking dish and cover with olive oil. Lay the sprigs of thyme on top of the oil.. Bake in the preheated oven until golden brown, about 1 hour. Garlic should easily mash with a fork. Remove garlic from oil and set aside. Reserve oil for another use.. To caramelize onions: Heat a roomy skillet over medium heat. Add butter and olive oil. Add onions to the pan and stir to coat. Stir frequently and move onions around, ensuring they cook evenly.. Once onions have started to color a bit (about 15 minutes or so), add in water, vinegar, sugar, salt, and pepper. Continue to stir regularly until onions are completely soft, a golden brown color, and reduced by at least half, about 15 minutes more. Turn down the heat to medium low.. Bring a large pot of lightly salted water to a boil. Add gemelli and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes.. Meanwhile, add cream, 4 to 5 cloves roasted garlic, 1 tablespoon parsley, and 1/2 cup Parmesan cheese  to onions; stir to combine. Reserve remaining roasted garlic for another use.. Drain pasta; divide among 4 plates. Spoon about a 1/4 cup of sauce on top; sprinkle with more Parmesan cheese, parsley, and black pepper.","calories: 765, fat: 65g, carbs: 34g, protein: 14g, servings: 4",https://www.allrecipes.com/thmb/-qVGaXbqSaOJhgSdPg0iV_SwnGU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8724725_Caramelized-Onion-and-Roasted-Garlic-Pasta_LaDonna-Langwell_4x3-085463de560c4c458e3080bd7187e439.jpg
Creamy Caramelized Onion Pasta,https://www.allrecipes.com/creamy-caramelized-onion-pasta-recipe-8710600,"{'quantity': '8', 'unit': 'ounces', 'name': 'pasta'}, {'quantity': '2', 'unit': None, 'name': 'onions,'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': None, 'unit': None, 'name': 'salt and freshly ground black pepper'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'sherry vinegar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': None, 'name': 'garlic clove,'}, {'quantity': '3', 'unit': 'sprigs', 'name': 'thyme, leaves only'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 10 minutes, or according to package directions.. Meanwhile, add butter and oil to a deep skillet over high heat. Add onions, and cook and stir until they take on a little color. Add sugar, salt, pepper, vinegar, and water, and continue to cook on high heat, stirring constantly, until onions are very tender and dark brown, about 15 minutes.. Turn heat down to low;  add milk, garlic, thyme, and grated Parmesan. Blend the sauce until smooth with an immersion blender.. Drain pasta, reserving a small amount of water to thin sauce if needed. Stir pasta into sauce.","calories: 299, fat: 19g, carbs: 26g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/Ni5jtPmC/thumbnails/FrIwAPlz.jpg
These Viral Butter Beans alla Vodka Are the Easiest Weeknight Dinner,https://www.allrecipes.com/butter-beans-alla-vodka-recipe-8660103,"{'quantity': '3', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': None, 'name': 'sweet onion'}, {'quantity': '3', 'unit': None, 'name': 'cloves garlic'}, {'quantity': '1', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'can', 'name': 'tomato paste'}, {'quantity': '1', 'unit': 'can', 'name': 'crushed tomatoes with basil'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy whipping cream'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'vodka'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': 'cans', 'name': 'butter beans'}, {'quantity': None, 'unit': None, 'name': 'balsamic vinegar'}, {'quantity': None, 'unit': None, 'name': 'chili flakes'}, {'quantity': None, 'unit': None, 'name': 'fresh parsley'}",,"calories: 830, fat: 44g, carbs: 79g, protein: 27g, servings: 4",https://cdn.jwplayer.com/v2/media/z9xF0H44/poster.jpg?width=720
