name,link,ingredients,steps,nutrition,image_url
TikTok Croiffles,https://www.allrecipes.com/tiktok-croiffles-recipe-8660283,"{'quantity': None, 'unit': None, 'name': 'croissants'}, {'quantity': None, 'unit': None, 'name': 'Crescent roll dough'}, {'quantity': None, 'unit': None, 'name': 'Puff pastry dough'}",,,https://cdn.jwplayer.com/v2/media/WiWvXjpk/poster.jpg?width=720
Waffle House-Style Waffles,https://www.allrecipes.com/recipe/8534837/waffle-house-style-waffles/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '¼', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '¼', 'unit': 'cup', 'name': 'salted butter, softened, plus more for serving'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '½', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '', 'unit': '', 'name': 'pure maple syrup, and/or chocolate chips, for serving'}","Whisk together flour, cornstarch, salt, baking powder, and baking soda in a bowl.. Whisk together egg, sugar, butter, and vanilla in a separate large bowl until mixture is smooth. Whisk in half-and-half and buttermilk. Add flour mixture; stir until just combined and a few lumps remain. (Do not overmix.) Chill, covered, at least 1 hour or up to overnight.. Preheat waffle iron to medium-high; lightly coat with cooking spray. Pour about 2/3 cup batter onto waffle iron. Cook until golden and crisp on edges, 4 to 6 minutes. Transfer to a plate; keep warm. Repeat with remaining batter.. Serve waffles with maple syrup, chocolate chips, and/or additional butter.","calories: 448, fat: 20g, carbs: 56g, protein: 9g, servings: 4",https://www.allrecipes.com/thmb/3QkYCkKZvnQD_YFqyg-w2TEUlr8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8534837-Waffle-House-Style-Waffles-4x3-1-a17b741844894e079cfcd388c21c3749.jpg
Waffles,https://www.allrecipes.com/recipe/22180/waffles-i/,"{'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '', 'unit': '', 'name': 'nonstick cooking spray'}",,"calories: 382, fat: 22g, carbs: 38g, protein: 9g, servings: 6",https://cdn.jwplayer.com/v2/media/IzehdBex/poster.jpg?width=720
Classic Waffles,https://www.allrecipes.com/recipe/20513/classic-waffles/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'warm milk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Mix flour, salt, baking powder, and sugar together in a large bowl; set aside. Preheat waffle iron to desired temperature.. Beat eggs in a separate bowl; stir in milk, butter, and vanilla.. Pour milk mixture into flour mixture; beat until blended.. Ladle batter into a preheated waffle iron.. Cook waffles until golden and crisp.. Serve immediately and enjoy!","calories: 379, fat: 16g, carbs: 48g, protein: 10g, servings: 5",https://cdn.jwplayer.com/v2/media/4SG2dcae/thumbnails/nryuBfwT.jpg
Pumpkin Waffles,https://www.allrecipes.com/recipe/65691/pumpkin-waffles-with-apple-cider-syrup/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'packed brown sugar'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground allspice'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'canned pumpkin'}, {'quantity': '4', 'unit': 'large', 'name': 'eggs, separated'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, melted'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cornstarch'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'apple cider'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}","Preheat a waffle iron according to manufacturer's instructions.. Combine flour, brown sugar, baking powder, cinnamon, allspice, ginger, and salt in a mixing bowl. Stir milk, pumpkin, and egg yolks together in a separate bowl. Whip egg whites in a clean dry bowl until soft peaks form.. Stir the flour mixture and 1/4 cup melted butter to the pumpkin mixture, stirring just to combine. Use a whisk or rubber spatula to fold 1/3 of the egg whites into the batter, stirring gently until incorporated. Fold in the remaining egg whites. Cook waffles according to manufacturer's instructions.. To make the syrup: Stir sugar, cornstarch, and cinnamon together in a saucepan. Stir in apple cider and lemon juice. Cook over medium heat until mixture begins to boil; boil until the syrup thickens. Remove from heat and stir in 2 tablespoons of butter until melted. Serve warm.","calories: 530, fat: 17g, carbs: 82g, protein: 13g, servings: 6",https://www.allrecipes.com/thmb/IBennwyqrqVrOQrgfU5fpk__tgI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/65691-Pumpkin-Waffles-With-Apple-Cider-Syrup-3x4-0468-f74d0640f1764522b88388e7138c7702.jpg
Tender and Easy Buttermilk Waffles,https://www.allrecipes.com/recipe/233920/tender-and-easy-buttermilk-waffles/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'low-fat buttermilk'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Gather all ingredients.. Whisk flour, sugar, baking powder, baking soda, and salt together in a bowl until evenly combined.. Whisk buttermilk and melted butter together in a separate bowl; whisk in eggs.. Stir buttermilk mixture into flour mixture until just combined and batter is slightly lumpy; stir in vanilla extract.. Preheat a waffle iron according to manufacturer's instructions.. To cook each waffle, pour enough batter into the preheated waffle iron to reach 1/2 inch from the edge. Cook according to manufacturer's instructions.","calories: 318, fat: 13g, carbs: 41g, protein: 9g, servings: 6",https://www.allrecipes.com/thmb/4c7QJ1O31LVKHh-E18yRUuu-QfU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/233920-Tender-Easy-Buttermilk-Waffles-DDMFS-3x4-0129-529693c02fb84b96a9903e982f6980bd.jpg
Chocolate Waffles,https://www.allrecipes.com/recipe/24141/chocolate-waffles-i/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter, melted'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter, softened'}, {'quantity': '¾', 'unit': 'cup', 'name': ""confectioners' sugar""}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'milk'}, {'quantity': '', 'unit': '', 'name': 'nonstick cooking spray'}","Preheat a waffle iron.. Make waffles: Stir together flour, sugar, cocoa, baking powder, and salt in a large mixing bowl. Stir in milk, eggs, and butter until the mixture is smooth.. Make hard sauce: stir together softened butter, confectioners' sugar, vanilla extract, and milk. Sauce should be fairly stiff. Set aside.. Spray preheated waffle iron with nonstick cooking spray. Pour waffle mix onto hot waffle iron. Cook until golden brown. Serve hot with hard sauce.","calories: 226, fat: 8g, carbs: 36g, protein: 4g, servings: 10",https://www.allrecipes.com/thmb/U0n3YwZoX0m2-D-WnHHMQBTck6A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2900185-bfc27b331af742e3b79bd5996fe2565e.jpg
Potato Waffles,https://www.allrecipes.com/recipe/220890/potato-waffles/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'minced garlic'}, {'quantity': '2', 'unit': 'cups', 'name': 'mashed potatoes'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground black pepper'}","Melt butter in a skillet over medium heat. Add onion and garlic; cook and stir until onion is tender, 5 to 7 minutes.. Preheat a waffle iron according to manufacturer's instructions.. Combine onion mixture, mashed potatoes, eggs, flour, salt, and black pepper in a large bowl until well blended.. Scoop 1/4 to 1/2 cup batter (depending on size of waffle iron) into the center of waffle iron and close lid. Cook until golden brown, 3 to 5 minutes.","calories: 217, fat: 9g, carbs: 28g, protein: 7g, servings: 4",https://cdn.jwplayer.com/v2/media/nr6VvD9f/poster.jpg?width=720
Sam's Sourdough Waffles,https://www.allrecipes.com/recipe/246917/sams-sourdough-waffles/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'cup', 'name': 'sourdough starter'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}","Mix flour, 1 1/2 cups water, and sourdough starter together in a large bowl to make batter; cover loosely with plastic wrap and let sit in a warm place until filled with large holes and bubbles, 4 hours to overnight.. Stir oil, eggs, sugar, and salt into the batter; mix well to combine.. Whisk 1 tablespoon water and baking soda together in a small bowl until dissolved. Fold into the batter with a rubber spatula.. Preheat a waffle iron according to the manufacturer's instructions.. Pour about 1/3 cup batter onto preheated iron and bake until crisp and golden, according to manufacturer's instructions, about 3 minutes. Continue making waffles until all remaining batter is used.","calories: 291, fat: 14g, carbs: 36g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/zGXEdLJLCUUfxQZJIM2RaBCsvE0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4481488-4c692d58db4d4def8bc8ae58dfbbc373.jpg
Easy French Toast Waffles,https://www.allrecipes.com/recipe/246198/easy-french-toast-waffles/,"{'quantity': '½', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'maple syrup'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '4', 'unit': '', 'name': '1/2-inch thick pieces brioche'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Preheat a waffle iron according to the manufacturer's instructions.. Whisk milk, eggs, maple syrup, vanilla extract, and salt together in a wide bowl until thoroughly combined. Dip one slice brioche into the bowl and press gently until both sides are coated. Lift bread from the bowl with a slotted spatula, letting any egg mixture drip back into the bowl, and transfer to a rimmed baking sheet. Repeat with remaining bread. Let sit until egg mixture soaks in, about 2 minutes.. Spray the preheated waffle iron with cooking spray. Place one slice brioche onto the waffle iron and gently close the lid without forcing it down. Cook until golden brown and the iron stops steaming, 3 to 5 minutes. Repeat to cook remaining waffles.","calories: 299, fat: 11g, carbs: 41g, protein: 9g, servings: 4",https://cdn.jwplayer.com/v2/media/PqiT4PFd/poster.jpg?width=720
Chaffles with Almond Flour,https://www.allrecipes.com/recipe/278328/chaffles-with-almond-flour/,"{'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'blanched almond flour'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Whisk egg, almond flour, and baking powder together in a bowl. Stir in mozzarella cheese; set batter aside.. Preheat a waffle iron according to the manufacturer's instructions.. Spray both sides of the preheated waffle iron with cooking spray. Pour 1/2 of the batter onto the waffle iron and spread it out from the center with a spoon. Close the waffle maker and cook until chaffle reaches your desired doneness, about 3 minutes. Carefully lift chaffle out of the waffle iron and repeat with remaining batter. Allow chaffles to cool and crisp up, about 2 to 3 minutes.","calories: 132, fat: 9g, carbs: 2g, protein: 11g, servings: 2",https://www.allrecipes.com/thmb/ySAP2zUfrIc74myQLlM551BxqNs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7618556-0d17f28400984b19b55f014891f43294.jpg
Liège Belgian Waffles with Pearl Sugar,https://www.allrecipes.com/recipe/213251/liege-belgian-waffles-with-pearl-sugar/,"{'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'active dry yeast'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'lukewarm milk'}, {'quantity': '3', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'cup', 'name': 'melted butter'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '3', 'unit': 'cups', 'name': 'flour'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': ""pearl sugar (such as Lars' Own®)""}","Sprinkle yeast and white sugar over warm milk in a small bowl. The milk should be no more than 100 degrees F (40 degrees C). Let stand for 15 minutes until yeast softens and begins to form a creamy foam.. Whisk eggs, melted butter, and vanilla into the yeast mixture until evenly blended; set aside.. Stir together flour and salt in a separate large bowl, and make a well in the center. Pour the egg mixture into the well, then stir in the flour mixture until a soft dough forms. Cover with a light cloth and let rise in a warm place, 80 to 95 degrees F (27 to 35 degrees C), until doubled in volume, about 30 minutes. Gently mix in the pearl sugar.. Preheat a waffle iron according to manufacturer's instructions.. Place a baseball-sized ball of dough on the preheated waffle iron. Cook waffles until golden and crisp, about 2 minutes. Repeat with remaining dough. Allow waffles to cool for 2 to 3 minutes before serving.","calories: 458, fat: 21g, carbs: 62g, protein: 7g, servings: 10",https://www.allrecipes.com/thmb/AC0p7dVtTrikr36D7uhZsdsDrP0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/470854-52fc4f60d55947c3911c1b16e6badd55.jpg
Almond Flour Waffles,https://www.allrecipes.com/recipe/110926/almond-flour-waffles/,"{'quantity': '1', 'unit': 'cup', 'name': 'almond flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '4', 'unit': '', 'name': 'eggs'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '', 'unit': '', 'name': 'cooking spray'}","Preheat a waffle iron according to the manufacturer's instructions.. Combine almond flour, baking soda, and salt in a large bowl. Whisk eggs, honey, and vanilla together in a separate bowl. Stir flour mixture into egg mixture until smooth.. Spray the preheated waffle iron with cooking spray. Spoon batter onto waffle iron; cook until golden brown and the iron stops steaming, about 5 minutes. Repeat with remaining batter. Serve hot.","calories: 214, fat: 14g, carbs: 16g, protein: 9g, servings: 6",https://www.allrecipes.com/thmb/olyZL7WjOG3XHNz3oE2bBmL35iw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4546539-d3a19b4b3723446794c725b5a3313583.jpg
Banana Waffles,https://www.allrecipes.com/recipe/21271/banana-waffles/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'baking powder'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}, {'quantity': '1', 'unit': 'cup', 'name': '1% milk'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '', 'unit': '', 'name': 'nonstick cooking spray'}, {'quantity': '2', 'unit': '', 'name': 'ripe bananas, sliced'}","Preheat the waffle iron.. Sift together flour, baking powder, salt, and nutmeg in a large mixing bowl. Stir in milk and egg until mixture is smooth.. Spray preheated waffle iron with nonstick cooking spray.. Pour 2 tablespoons waffle batter onto the hot waffle iron. Place 2 banana slices on top of the batter and then spoon another 2 tablespoons batter on top of the banana. Cook until golden brown. Serve hot.","calories: 241, fat: 3g, carbs: 47g, protein: 8g, servings: 4",https://cdn.jwplayer.com/v2/media/vdogeGsF/poster.jpg?width=720
Chaffles,https://www.allrecipes.com/recipe/278458/chaffles/,"{'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Preheat a waffle maker.. Whisk egg in a small bowl; stir in mozzarella cheese until batter is well combined.. Pour 1/2 of the batter onto the preheated waffle maker, spreading it out from the center with a spoon. Close the waffle maker and cook until steaming stops and chaffle is well browned, about 3 minutes. Don't overcook, as that will make it chewy. Repeat with remaining batter.","calories: 108, fat: 7g, carbs: 1g, protein: 10g, servings: 2",https://www.allrecipes.com/thmb/vku7YjLs392xM7TQAzv4bxaYkZ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7666385-4d7916073ff740d083ea5f4042f01d7b.jpg
