name,link,ingredients,steps,nutrition,image_url
Waldorf Salad,https://www.allrecipes.com/recipe/16800/waldorf-salad-ii/,"{'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '⅛', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '3', 'unit': None, 'name': 'apples — peeled, cored, and chopped'}, {'quantity': '1', 'unit': 'cup', 'name': 'thinly sliced celery'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins (Optional)'}",,"calories: 248, fat: 20g, carbs: 17g, protein: 2g, servings: 6",https://cdn.jwplayer.com/v2/media/oOUaSOFH/poster.jpg?width=720
Simply The Best Chicken Waldorf Salad,https://www.allrecipes.com/recipe/229652/simply-the-best-chicken-waldorf-salad/,"{'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '2', 'unit': '', 'name': 'cooked rotisserie chicken breasts, cubed'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless red grapes, halved'}, {'quantity': '½', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '½', 'unit': '', 'name': 'Granny Smith apple, cored and cubed'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped red onion'}, {'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '½', 'unit': 'cup', 'name': 'vanilla yogurt'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'lemon juice'}","Preheat oven to 325 degrees F (165 degrees C).. Spread chopped walnuts onto a baking sheet.. Roast walnuts in the preheated oven until they are fragrant and browned, 3 to 5 minutes. Remove and let cool.. Lightly toss chicken with grape halves, cranberries, apple, walnuts, and onion in a salad bowl. Whisk mayonnaise, vanilla yogurt, and lemon juice in a separate bowl. Pour dressing over salad and toss again to coat.","calories: 476, fat: 34g, carbs: 30g, protein: 18g, servings: 4",https://www.allrecipes.com/thmb/3UAX7Fr-ml3NmifYSa6TdLhBg28=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6311885-simply-the-best-chicken-waldorf-salad-weedak-4x3-1-f5bceef7847c472b8371117efa40c7a0.jpg
Simple Waldorf Salad,https://www.allrecipes.com/recipe/17429/simple-waldorf-salad/,"{'quantity': '½', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'distilled white vinegar'}, {'quantity': '1', 'unit': '', 'name': 'apple - peeled, cored, and chopped'}, {'quantity': '1', 'unit': 'large stalk', 'name': 'celery, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '½', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}","Whisk together mayonnaise and vinegar in a mixing bowl.. Add apples, celery, raisins, and walnuts to the bowl. Season with salt and pepper; mix well.. Place in the refrigerator until chilled, about 30 minutes.","calories: 736, fat: 63g, carbs: 45g, protein: 7g, servings: 2",https://www.allrecipes.com/thmb/HemW69kttqfHfTW1VGGENwTGiQ0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1422576-simple-waldorf-salad-LYNNINMA-4x3-1-dd6c28b89c904e76a4a83eb9e9a1d19f.jpg
Creamy Waldorf Salad,https://www.allrecipes.com/recipe/13847/waldorf-salad-i/,"{'quantity': '2', 'unit': 'cups', 'name': 'chopped apples'}, {'quantity': '1 ½', 'unit': '', 'name': 'lemons, juiced'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '¼', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '¼', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '¼', 'unit': 'cup', 'name': 'seedless grapes, halved'}, {'quantity': '½', 'unit': 'cup', 'name': 'heavy cream, whipped'}, {'quantity': '¼', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '1', 'unit': 'pinch', 'name': 'ground nutmeg'}","Toss apples and lemon juice together in a large bowl; stir in celery, nuts, raisins and grapes.. Fold whipped cream and mayonnaise together; add to salad and mix well.. Sprinkle with nutmeg and chill for at least 1 hour before serving.","calories: 261, fat: 22g, carbs: 20g, protein: 2g, servings: 6",https://www.allrecipes.com/thmb/k89Ee6sqma-YiGwqZC-Nnqapefc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4586513-9a7baaed3dc24985aa7ed65a8102532e.jpg
Waldorf Salad with Walnut Oil Vinaigrette,https://www.allrecipes.com/recipe/48361/waldorf-salad-with-walnut-oil-vinaigrette/,"{'quantity': '2', 'unit': '', 'name': 'Red Delicious apples, cored and diced'}, {'quantity': '2', 'unit': '', 'name': 'Granny Smith apples, cored and diced'}, {'quantity': '4', 'unit': 'stalks', 'name': 'celery, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'toasted walnuts'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'walnut oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cider vinegar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'pepper'}","Toss together apples, celery, walnuts, and raisins in a large bowl; set aside.. Whisk together walnut oil, cider vinegar, salt, and pepper in a small bowl.. Toss apples with dressing to serve.","calories: 392, fat: 27g, carbs: 40g, protein: 6g, servings: 4",https://www.allrecipes.com/thmb/lvTA0lak_88SlnNARr_1z1oetvU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/48361-Waldorf-Salad-with-Walnut-Oil-Vinaigrette-LynnInHK_18343_original-4x3-1-76ab78ddc65e44999062f052538cefbb.jpg
Waldorf Salad with Yogurt,https://www.allrecipes.com/recipe/14414/waldorf-salad-with-yogurt/,"{'quantity': '3', 'unit': '', 'name': 'tart apples - peeled, cored and chopped'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'lemon juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless grapes'}, {'quantity': '2', 'unit': 'stalks', 'name': 'celery, chopped'}, {'quantity': '2', 'unit': '', 'name': 'green onions, chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'mayonnaise'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'plain yogurt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'apple juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'celery seed'}, {'quantity': '1', 'unit': 'bunch', 'name': 'watercress, trimmed and chopped'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped walnuts'}","In a large bowl, combine the apples and lemon juice. Add the grapes, celery, and green onions; toss.. In a small bowl, whisk together the mayonnaise, yogurt, apple juice and celery seeds. Spoon over the apple mixture, and toss gently.. Wash the watercress, and dry thoroughly. Arrange greens on individual salad plates. Mound the apple mixture on top, and sprinkle with the walnuts.","calories: 180, fat: 9g, carbs: 26g, protein: 3g, servings: 4",https://www.allrecipes.com/thmb/Op0PINOFw9tuywkmgs_6JB9dPIo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1453770-aa66531ee7ab466192989524728c3efa.jpg
Jenny's Sweet Waldorf Salad,https://www.allrecipes.com/recipe/151249/jennys-sweet-waldorf-salad/,"{'quantity': '2', 'unit': '', 'name': 'Granny Smith apples, cored and diced'}, {'quantity': '1', 'unit': '', 'name': 'Red Delicious apple, cored and diced'}, {'quantity': '1', 'unit': '', 'name': 'Asian pear, cored and cubed'}, {'quantity': '1', 'unit': 'stalk', 'name': 'celery, diced'}, {'quantity': '½', 'unit': 'cup', 'name': 'sliced almonds'}, {'quantity': '1', 'unit': 'cup', 'name': 'golden raisins'}, {'quantity': '1', 'unit': 'cup', 'name': 'seedless green grapes, halved'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sweetened dried cranberries'}, {'quantity': '1 ¼', 'unit': 'cups', 'name': 'plain yogurt'}, {'quantity': '¼', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '¾', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'lemon juice'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground cinnamon'}","In a large bowl, combine apples, pear, celery, almonds, raisins, grapes, and cranberries. In a separate bowl, stir together yogurt, both sugars, mayonnaise, lemon juice, and cinnamon. Pour dressing over fruit mixture and gently stir until evenly coated.","calories: 451, fat: 20g, carbs: 68g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/0HWJkSMwig9jBhhne3cRzDMDsV4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/151249_Jennys-Sweet-Waldorf-Salad_DIZ9829_4557208_original-4x3-1-2577ae767658437ab2837881babdad56.jpg
Autumn Waldorf Salad,https://www.allrecipes.com/recipe/255841/autumn-waldorf-salad/,"{'quantity': '¼', 'unit': 'cup', 'name': 'plain yogurt'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'brown sugar'}, {'quantity': '1', 'unit': '', 'name': 'pear, diced'}, {'quantity': '1', 'unit': '', 'name': 'apple, diced'}, {'quantity': '1', 'unit': 'cup', 'name': 'sliced celery (Optional)'}, {'quantity': '½', 'unit': 'cup', 'name': 'raisins'}, {'quantity': '¼', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped walnuts'}, {'quantity': '1', 'unit': 'dash', 'name': 'ground cinnamon (Optional)'}, {'quantity': '1', 'unit': 'dash', 'name': 'ground nutmeg (Optional)'}","Mix yogurt and brown sugar together in a bowl to make dressing.. Combine pear, apple, celery, raisins, cranberries, and walnuts in a bowl. Add dressing and toss well to combine. Sprinkle cinnamon and nutmeg on top.. Chill salad before serving, at least 30 minutes.","calories: 312, fat: 6g, carbs: 70g, protein: 3g, servings: 2",https://www.allrecipes.com/thmb/xIkXhjLyWvCq2s-SJuQwyKaJesE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4073553-f83c55683bfb4a8bb68fdcc17617348f.jpg
Waldorf Goat Cheese Salad,https://www.allrecipes.com/recipe/53517/waldorf-goat-cheese-salad/,"{'quantity': '2', 'unit': 'cups', 'name': 'red leaf lettuce, rinsed, dried and torn'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'raspberry walnut vinaigrette'}, {'quantity': '½', 'unit': 'cup', 'name': 'seedless red grapes, halved'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'crumbled goat cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped pecans'}","Toss lettuce with dressing in a mixing bowl; transfer to a serving dish. Scatter grapes, goat cheese, and pecans on top, and enjoy!","calories: 266, fat: 15g, carbs: 30g, protein: 6g, servings: 1",https://www.allrecipes.com/thmb/RSGs3XCGu3dOSte_IpdhPuMP8Tk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/211413-f7f2de3592d348ce99335bffb75b1796.jpg
Elise's Favorite Waldorf Salad,https://www.allrecipes.com/recipe/221021/elises-favorite-waldorf-salad/,"{'quantity': '6', 'unit': 'cups', 'name': 'diced apples'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped celery'}, {'quantity': '1', 'unit': 'cup', 'name': 'chopped pecans'}, {'quantity': '1', 'unit': 'cup', 'name': 'mayonnaise'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'lemon juice'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '1', 'unit': 'cup', 'name': 'heavy whipping cream'}","Combine apples, celery, and pecans in a large serving bowl.. Whisk mayonnaise, sugar, lemon juice, and cinnamon together in a medium bowl until well combined.. Whip heavy cream with an electric mixer in a separate medium bowl until soft peaks form; fold into mayonnaise mixture to form a creamy dressing.. Fold dressing into apple mixture until well combined; chill salad in the refrigerator for about 1 hour before serving.","calories: 321, fat: 29g, carbs: 18g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/oR6FEnAI3mPwjEBv-R7OKAUcIMU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4560070-1a1b1fa54ac747a3ac2aa2444cf9e69c.jpg
