name,link,ingredients,steps,nutrition,image_url
Simple Whole Wheat Bread,https://www.allrecipes.com/recipe/6773/simple-whole-wheat-bread/,"{'quantity': '3', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': '(.25 ounce) packages', 'name': 'active dry yeast'}, {'quantity': '⅔', 'unit': 'cup', 'name': 'honey, divided'}, {'quantity': '5', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'butter, melted, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'salt'}, {'quantity': '4', 'unit': 'cups', 'name': 'whole wheat flour, or more as needed'}","Gather all ingredients.. Mix warm water, yeast, and 1/3 cup honey in a large bowl to dissolve.. Add 5 cups bread flour, and stir to combine.. Let sit for 30 minutes, or until big and bubbly.. Mix in 3 tablespoons melted butter, remaining 1/3 cup honey, and salt. Stir in 2 cups whole wheat flour.. Transfer dough to a floured work surface and gradually knead in remaining 2 cups whole wheat flour.. Knead until dough starts to pull away from the work surface, adding more whole wheat flour if necessary; dough should be a bit tacky to the touch, but not too sticky.. Place in a greased bowl, turning once to coat the surface of the dough.. Cover with a dish towel and let rise in a warm place until doubled, 45 minutes to 1 hour.. Grease three 9x5-inch loaf pans. Punch down the dough, and divide it into 3 loaves.. Place in the prepared loaf pans, and allow to rise until dough has topped the pans by one inch, another 45 minutes to 1 hour.. Meanwhile, preheat the oven to 350 degrees F (175 degrees C). Bake the risen loaves in the preheated oven until golden brown for 25 to 30 minutes, do not overbake.. Lightly brush the tops of the loaves with remaining 2 tablespoons melted butter when done to prevent crust from getting hard.. Cool completely. Enjoy!","calories: 134, fat: 2g, carbs: 26g, protein: 4g, servings: 36",https://cdn.jwplayer.com/v2/media/TAlor2T6/thumbnails/Ax22YgsU.jpg
Quick Whole Wheat Chapati,https://www.allrecipes.com/recipe/233531/quick-whole-wheat-chapati/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}","Mix flour and salt together in a bowl. Stir in water to form a soft dough.. Turn dough out onto a lightly floured work surface and knead several times. Divide into 8 pieces and roll each into a ball. Roll each ball into a very thin round using a rolling pin.. Heat a griddle over medium-high heat. Cook each dough round on griddle until dough bubbles and blisters appear, about 2 minutes. Flip and cook until lightly browned on the other side.","calories: 127, fat: 1g, carbs: 27g, protein: 5g, servings: 8",https://www.allrecipes.com/thmb/4-iInQk-_4eRpYXUY_5mVErJsyE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8553184-quick-whole-wheat-chapati-Lenka-4x3-1-4b53f342050f490891486f874d0d0e03.jpg
Amazing Whole Wheat Pizza Crust,https://www.allrecipes.com/recipe/46595/amazing-whole-wheat-pizza-crust/,"{'quantity': '1 ½', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'all-purpose flour'}","Pour warm water into a large bowl; stir in sugar to dissolve. Sprinkle yeast on top and let stand until foamy, about 10 minutes.. Stir olive oil and salt into yeast mixture; mix in whole wheat flour and 1 cup all-purpose flour until dough starts to come together.. Turn dough out onto a surface floured with remaining all-purpose flour; knead until all of the flour has been absorbed and dough becomes smooth, about 10 minutes.. Place dough in an oiled bowl and turn to coat the surface. Cover loosely with a towel; let stand in a warm place until doubled in size, about 1 hour.. Turn dough out onto a lightly floured surface; divide into 2 pieces for 2 thin crusts, or leave whole to make one thick crust.. Form dough into a tight ball; place dough back into an oiled bowl and turn to coat the surface. Cover loosely with a towel; let stand in a warm place until doubled in size, about 45 minutes.. Grease a large pizza pan. Roll a ball of dough with a rolling pin until it will not stretch any further. Then, drape it over both of your fists, and gently pull the edges outward, while rotating crust. When the circle has reached the desired size, place on the prepared pizza pan.. Bake with sauce, cheese and toppings.","calories: 167, fat: 2g, carbs: 33g, protein: 6g, servings: 10",https://cdn.jwplayer.com/v2/media/Pa2k0YgN/poster.jpg?width=720
Irish Brown Soda Bread,https://www.allrecipes.com/recipe/17873/irish-brown-soda-bread/,"{'quantity': '4', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'bread flour'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'rolled oats'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'buttermilk'}","Preheat the oven to 425 degrees F (220 degrees C). Lightly grease two baking sheets.. Mix whole wheat flour, bread flour, rolled oats, baking soda, and salt together in a large bowl. Gently mix in buttermilk until a soft dough is formed; knead very lightly. Divide dough into 4 pieces; form into rounded flat loaves. Mark each loaf with an ""X"" and place on the prepared baking sheets.. Bake in the preheated oven until golden brown and the loaves sound hollow when tapped on the bottom, about 30 to 45 minutes.","calories: 206, fat: 2g, carbs: 41g, protein: 9g, servings: 12",https://www.allrecipes.com/thmb/jt3QWIZ1XCZfBvqqnbm72Vj-C2k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/41738-f11733c2d8d5438d9243ca0f7b2732b4.jpg
Honey Whole Wheat Bread,https://www.allrecipes.com/recipe/6799/honey-whole-wheat-bread/,"{'quantity': '1 1/8', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1/3', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'active dry yeast'}","Place water, honey, oil, whole wheat flour, bread flour, salt, then yeast into a bread machine in the order listed, or follow the order recommended by the manufacturer if different.. Run Whole Wheat cycle, light color setting.. Remove loaf from the machine after the cycle is done, about 3 hours.","calories: 180, fat: 4g, carbs: 33g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/IfFQUjc9UksLkodtJTKThgQHlJI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6263825-a6f95ec486724b9bbcda6449d8ffc067.jpg
Perfectly Moist Irish Wheaten Bread,https://www.allrecipes.com/recipe/150426/perfectly-moist-irish-wheaten-bread/,"{'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '2 ¾', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'bread flour'}, {'quantity': '3', 'unit': 'teaspoons', 'name': 'white sugar, divided'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'cup', 'name': 'margarine'}, {'quantity': '2', 'unit': 'cups', 'name': 'buttermilk'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'buttermilk'}","Preheat the oven to 400 degrees F (200 degrees C). Spray a shallow baking pan with cooking spray.. Sift both flours, 2 teaspoons sugar, salt, and baking soda together into a bowl. Cut in margarine until mixture resembles coarse crumbs. Make a well in the center of the mixture and pour in 2 cups buttermilk and oil; stir with a spatula until dry mixture is completely moistened.. Transfer dough to a lightly floured surface and knead gently for no more than 1 minute. Place dough into the prepared pan; pat down and around to form a round loaf. Cut a cross in the top of the loaf with your finger. Brush the top with 1 tablespoon buttermilk, then sprinkle with 1 teaspoon sugar.. Bake in the preheated oven for 30 minutes. Reduce the heat to 375 degrees F (190 degrees C), then rotate the pan and bake for 30 more minutes. Remove from the oven and let cool on a wire rack before slicing.","calories: 225, fat: 11g, carbs: 28g, protein: 6g, servings: 10",https://www.allrecipes.com/thmb/B_8JWqv6-4KbyTvWSir8TGXQMnA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2034460-5dffec2a23a2403fa3fe30ae9384e5aa.jpg
Bread Machine Pumpernickel Bread,https://www.allrecipes.com/recipe/80663/bread-machine-pumpernickel-bread/,"{'quantity': '1 ⅛', 'unit': 'cups', 'name': 'warm water'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'vegetable oil'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'molasses'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'cocoa'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'caraway seed (Optional)'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'rye flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'whole wheat flour'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'vital wheat gluten (Optional)'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'bread machine yeast'}",Place ingredients in the pan of the bread machine in the order recommended by the manufacturer. Select Basic cycle; press Start.,"calories: 119, fat: 2g, carbs: 22g, protein: 3g, servings: 12",https://www.allrecipes.com/thmb/3RTXAsWxKMopRKm8fe2Iaco5H9A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8476938-bread-machine-pumpernickel-bread-dennyflorida-4x3-1-d633053959fe4e1f969655575d8fea9a.jpg
Bread Machine Almond Bread,https://www.allrecipes.com/recipe/239620/bread-machine-almond-bread/,"{'quantity': '1 ¼', 'unit': 'cups', 'name': 'water'}, {'quantity': '¼', 'unit': 'cup', 'name': 'honey'}, {'quantity': '4', 'unit': 'teaspoons', 'name': 'almond oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'almond flour'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vital wheat gluten'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'xanthan gum'}, {'quantity': '1', 'unit': '(.25 ounce) package', 'name': 'dry yeast'}","Combine water, honey, almond oil, salt, whole wheat flour, almond flour, vital wheat gluten, xanthan gum, and yeast in a bread machine. Follow manufacturer's instructions for a 2-pound loaf.","calories: 117, fat: 2g, carbs: 22g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/n_iHiUb8rthxn7fKOu_aIWauA0Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5898114-3dd5a12dd26d472ab14a7e63ff69d150.jpg
Easy 100% Whole Wheat Bread,https://www.allrecipes.com/recipe/272420/easy-100-whole-wheat-bread/,"{'quantity': '1 ¾', 'unit': 'cups', 'name': 'warm water'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'honey'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'active dry yeast'}, {'quantity': '3 ½', 'unit': 'cups', 'name': 'whole wheat flour, or more as needed, divided'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'sea salt'}","Mix the warm water, honey, and yeast in a stand-mixer bowl until mixture becomes foamy, about 5 minutes.. Add 1/2 of the whole wheat flour, along with the olive oil and salt. Mix with a spatula or wooden spoon until incorporated. Let sit for 1 to 2 minutes.. Mix with a dough hook attachment on low speed, slowly adding the remaining whole wheat flour, increasing the speed to high. Mix on high until the batter is combined and not sticking to the sides of the bowl, about 7 minutes. Cover the bowl with a towel and let rest for 15 minutes.. Meanwhile, prepare a 9x5-inch loaf pan with parchment paper. Flour a surface to work the dough.. Place the dough onto the floured work surface and shape into a loaf. Use more flour if necessary. Place into the prepared loaf pan.. Let shaped dough sit in a warm place until it has risen over the top of the pan, about 1 hour.. Meanwhile, preheat the oven to 350 degrees F (175 degrees C).. Bake in the preheated oven until top of the loaf sounds hollow when tapped, about 35 minutes. Remove from the oven and let cool for 15 to 20 minutes before removing from the pan and transferring to a wire rack. Let cool an additional hour before slicing; otherwise it will feel doughy.","calories: 140, fat: 2g, carbs: 28g, protein: 5g, servings: 12",https://www.allrecipes.com/thmb/a2R_3c2Kyt8oO3P7uvtCGnafElY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8712292-10d3397258c64a7084ccfb6f632cf017.jpg
Honey Wheat Bread II,https://www.allrecipes.com/recipe/6763/honey-wheat-bread-ii/,"{'quantity': '2', 'unit': 'cups', 'name': 'warm water (110 degrees F/45 degrees C)'}, {'quantity': '2', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'active dry yeast'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'honey'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '5', 'unit': 'cups', 'name': 'all-purpose flour'}","Dissolve yeast in warm water. Add honey, and stir well. Mix in whole wheat flour, salt, and vegetable oil. Work all-purpose flour in gradually. Turn dough out onto a lightly floured surface, and knead for at least 10 to 15 minutes. When dough is smooth and elastic, place it in a well oiled bowl. Turn it several times in the bowl to coat the surface of the dough, and cover with a damp cloth. Let rise in a warm place until doubled in bulk, about 45 minutes.. Punch down the dough. Shape into two loaves, and place into two well greased 9 x 5 inch loaf pans. Allow to rise until dough is 1 to 1 1/2 inches above pans.. Bake at 375 degrees F (190 degrees C) for 25 to 30 minutes.","calories: 172, fat: 4g, carbs: 31g, protein: 4g, servings: 24",https://www.allrecipes.com/thmb/g_61-9BWChOhYj8Gg0BJH-Te7H0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/673791-honey-wheat-bread-ii-Holiday-Baker-4x3-1-88c92e1b26254fe78e76842346b9013e.jpg
