name,link,ingredients,steps,nutrition,image_url
Whoopie Pies,https://www.allrecipes.com/recipe/10016/whoopie-pies-i/,"{'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '2', 'unit': '', 'name': 'eggs, separated, divided'}, {'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '¾', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat the oven to 350 degrees F (180 degrees C). Grease cookie sheets.. Make the cookies: Beat sugar, shortening, and egg yolks together in a large bowl with an electric mixer until light and fluffy.. Sift flour, cocoa, baking powder, baking soda, and salt together in a separate bowl; add to shortening mixture in batches, alternating with milk, beating briefly after each addition until smooth. Stir in vanilla. Drop spoonfuls of dough 2 inches apart onto the prepared baking sheets.. Bake in the preheated oven for 10 to 15 minutes; transfer to a wire rack and allow to cool completely.. Make the filling: Beat confectioners' sugar, shortening, reserved egg whites, and salt together in a large bowl with an electric mixer until light and fluffy. Stir in vanilla.. Choose 2 cookies of the same size; spread a thick layer of filling on the flat side of one cookie; top with remaining cookie. Repeat with remaining cookies and frosting.","calories: 873, fat: 46g, carbs: 110g, protein: 9g, servings: 6",https://www.allrecipes.com/thmb/zCLryfse8k1nq5k78wDWJ0Ae9-w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6465864-whoopie-pies-i-kbrace-4x3-1-d87b61a887984eaebcaa4773cf7fabac.jpg
Pumpkin Whoopie Pies,https://www.allrecipes.com/recipe/11331/pumpkin-whoopie-pies/,"{'quantity': '2', 'unit': 'cups', 'name': 'packed brown sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'solid pack pumpkin puree'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'tablespoons', 'name': 'ground cinnamon'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'ground ginger'}, {'quantity': '½', 'unit': 'tablespoon', 'name': 'ground cloves'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': '', 'name': 'egg white'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'milk'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': 'cups', 'name': ""confectioners' sugar, divided""}, {'quantity': '¾', 'unit': 'cup', 'name': 'shortening'}","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease baking sheets.. To make the cookie dough: Combine brown sugar and oil in a bowl. Mix in pumpkin and eggs, beating well. Add flour, cinnamon, ginger, cloves, salt, baking powder, baking soda, and vanilla together into a separate bowl. Fold dry ingredients into wet ingredients and mix to combine.. Drop dough by heaping teaspoons onto the prepared baking sheets.. Bake in the preheated oven for 10 to 12 minutes. Let cookies cool while you make the filling.. To make the whoopie pie filling: Beat egg white in a bowl and mix in milk, vanilla, then 1 cup confectioners' sugar. Mix well then beat in shortening and remaining 1 cup confectioners' sugar. Beat until light and fluffy.. Assemble once cookies are cool. Make sandwiches from two cookies filled with whoopie pie filling.","calories: 425, fat: 22g, carbs: 56g, protein: 3g, servings: 18",https://cdn.jwplayer.com/v2/media/7vn2ALbR/poster.jpg?width=720
Cake Mix Whoopie Pies,https://www.allrecipes.com/recipe/8251/whoopie-pies/,"{'quantity': '1', 'unit': '(18.25 ounce) package', 'name': ""devil's food cake mix""}, {'quantity': '5', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","To make the cakes: Prepare mix as directed on package except using only 3/4 cup of water. Drop batter onto greased cookie sheet (or use parchment paper to line pan) in 2 1/2 to 3 inch circles. Bake until toothpick inserted in center comes out clean. Let cool.. To make the filling: In a saucepan, combine milk and flour and cook, stirring constantly until it forms a thick paste. Let cool.. In a medium bowl, beat sugar and shortening until fluffy. Add vanilla. Add cooled flour mixture and beat until double in volume.. Turn the little cakes over on their backs. Spoon a dollop of filling onto half of the little cakes. Place the other half of the cakes on top of the filling to form sandwiches.","calories: 214, fat: 12g, carbs: 25g, protein: 2g, servings: 24",https://cdn.jwplayer.com/v2/media/W1dZClIY/poster.jpg?width=720
World's Best Maine Whoopie Pies - Ayuh,https://www.allrecipes.com/recipe/219630/worlds-best-maine-whoopie-pies-ayuh/,"{'quantity': '½', 'unit': 'cup', 'name': 'vegetable shortening'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': ""unsweetened cocoa powder (such as Hershey's®)""}, {'quantity': '2', 'unit': 'tablespoons', 'name': ""unsweetened cocoa powder (such as Hershey's®)""}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'baking soda'}, {'quantity': '1 ½', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter at room temperature'}, {'quantity': '1', 'unit': 'cup', 'name': 'vegetable shortening'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '2', 'unit': '(7 ounce) jars', 'name': 'marshmallow creme'}","Preheat the oven to 375 degrees F (190 degrees C). Cut and set aside 25 pieces of plastic wrap about 5 inches square.. For cookies, beat 1/2 cup vegetable shortening, 2 cups milk, 2 cups sugar, the eggs, and 2 teaspoons vanilla extract together in a large mixing bowl until smooth and creamy.. In a separate bowl, whisk 4 cups flour with 1/2 cup plus 2 tablespoons unsweetened cocoa, baking soda, and salt until thoroughly combined. Beat the flour mixture into the wet ingredients just until smooth.. Scoop up the batter by teaspoons, and drop onto ungreased baking sheets in small round dollops about 2 inches apart. Recipe should make about 50 cookies. Cookies will rise and expand a lot.. Bake in the preheated oven until cookies are set in the middle, 8 to 10 minutes. Allow to cool on baking sheets for several minutes before removing to finish cooling on racks.. To make the filling, place 1 cup milk in a microwave-safe measuring cup, and microwave until hot but not simmering, 1 to 2 minutes.. Pour heated milk into a large mixing bowl. Add 1 cup room temperature butter, 1 cup vegetable shortening, 2 cups sugar, 2 tablespoons flour, 2 teaspoons vanilla extract, and marshmallow creme. Beat the mixture on high speed until the frosting is fluffy, 5 to 10 minutes. At first the frosting will appear lumpy, but keep beating.. To fill cookies, choose 2 cookies that are about the same size, and spread about 1 1/2 tablespoons of frosting onto the flat bottom of a cookie. Top with the other cookie, flat-side down, and wrap the filled cookie in a sheet of plastic wrap. Place filled cookie in the freezer. Repeat with remaining cookies and frosting, wrapping each whoopie pie in plastic wrap and freezing.. To serve, remove whoopie pies from the freezer and allow to thaw until very cold but not frozen, 10 to 15 minutes.","calories: 451, fat: 21g, carbs: 63g, protein: 4g, servings: 25",https://www.allrecipes.com/thmb/HMvTRQooNINIKZsjhBDOfoMoWzA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2276119-worlds-best-maine-whoopie-pies-ayuh-Happyschmoopies-4x3-1-16519b8c67f84a9e9dad8962d45774e5.jpg
Stef's Whoopie Pies with Peanut Butter Frosting,https://www.allrecipes.com/recipe/10994/stefs-whoopie-pies-with-peanut-butter-frosting/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'hot water'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': '1 ¾', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '¼', 'unit': 'cup', 'name': 'peanut butter'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}","Preheat the oven to 375 degrees F (190 degrees C).. Cream together 1 cup butter and egg. Add 1 cup white sugar, vanilla, and hot water. Stir in flour, cocoa, and baking soda and mix well.. Drop from a teaspoon onto cookie sheets and bake in the preheated oven for 10 to 12 minutes; set aside to cool.. To make peanut butter frosting: Blend 1 tablespoon butter and peanut butter together until smooth. Stir in confectioners' sugar and add enough milk to make frosting soft enough to spread. Spread between the flat sides of two cookies and sandwich together. Repeat with remaining cookies.","calories: 811, fat: 41g, carbs: 107g, protein: 11g, servings: 6",https://www.allrecipes.com/thmb/iOB8HEJ9zBeILh6uiZD29h0qr8I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/666275-stefs-whoopie-pies-with-peanut-butter-frosting-Dina-Foglio-Crowell-4x3-1-349c2ac248d84e769f225eed9ae24330.jpg
Brownie Cookie Whoopie Pies,https://www.allrecipes.com/recipe/285374/brownie-cookie-whoopie-pies/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(18.4 ounce) package', 'name': 'brownie mix'}, {'quantity': '¼', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'chocolate chips'}, {'quantity': '¼', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'multicolored candy sprinkles, or to taste'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'powdered sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'unsalted butter, softened'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '½', 'unit': '(16 ounce) tub', 'name': 'marshmallow creme'}","Preheat the oven to 350 degrees F (175 degrees C). Line 2 baking sheets with parchment paper. Lightly coat a wire rack with cooking spray.. Stir brownie mix and flour together in a medium bowl until well combined. Add chocolate chips, oil, and eggs; stir until well blended.. Scoop 20 rounded tablespoons onto the prepared baking sheets. Decorate 1/2 of the cookies with candy sprinkles.. Bake in the preheated oven for 9 to 10 minutes. Remove from the oven and let stand for 2 to 3 minutes before removing to the sprayed rack to cool completely, about 30 minutes.. Meanwhile, combine powdered sugar, butter, and vanilla in the bowl of a stand mixer fitted with the paddle attachment; blend until light and fluffy, about 4 minutes. Fold in marshmallow creme.. Place marshmallow mixture in a large zip-top bag and cut a small hole in one corner. Pipe filling onto the center of one plain cookie and top with a sprinkled cookie. Repeat with remaining filling and cookies.","calories: 615, fat: 29g, carbs: 91g, protein: 5g, servings: 10",https://www.allrecipes.com/thmb/2NVZLqIa9NLzRZDhmQGoAmYnrrg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9378344-cde245f3333742dcaefe37a6f3ab4e53.jpg
Gingerbread Whoopie Pies,https://www.allrecipes.com/recipe/230499/gingerbread-whoopie-pies/,"{'quantity': '10', 'unit': 'ounces', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'cup', 'name': 'dark molasses'}, {'quantity': '2 ½', 'unit': 'teaspoons', 'name': 'ground ginger, or more to taste'}, {'quantity': '1 ¼', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'ground cinnamon'}, {'quantity': '¾', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': '', 'name': 'egg, beaten'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '', 'unit': '', 'name': 'Filling:'}, {'quantity': '2 ½', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'cream cheese, room temperature'}, {'quantity': '¼', 'unit': 'cup', 'name': 'butter, room temperature'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'heavy whipping cream, or as needed'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper or a silicone baking mat.. Combine flour, white sugar, molasses, ginger, baking soda, cinnamon, and salt together in a large bowl. Mix in vegetable oil and egg until combined. Pour in boiling water and whisk until smooth.. Drop dough in balls onto prepared baking sheet, about 1 inch apart, using a 1-ounce cookie scoop.. Bake in the preheated oven until puffed and golden, about 12 minutes. Allow to cool on the pan for about 5 minutes before transferring onto a rack to cool completely.. Beat confectioners' sugar, cream cheese, butter, cream, and vanilla extract in the bowl of a stand mixer on low until combined. Increase speed to high and beat until light and fluffy.. Spread about 2 teaspoons of filling onto the bottom of a cookie; top with another similarly sized cookie. Repeat with remaining cookies. Chill for 30 minutes.","calories: 423, fat: 18g, carbs: 63g, protein: 4g, servings: 12",https://cdn.jwplayer.com/v2/media/0p1vLnoo/poster.jpg?width=720
Whoopie Pies VII,https://www.allrecipes.com/recipe/19241/whoopie-pies-vii/,"{'quantity': '2', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '⅓', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': '', 'name': 'egg'}, {'quantity': '½', 'unit': 'cup', 'name': 'vegetable oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '¾', 'unit': 'cup', 'name': 'milk'}, {'quantity': '½', 'unit': 'cup', 'name': 'milk'}, {'quantity': '2 ½', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '½', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}","Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets. Sift together the 2 cups flour, baking soda,1/4 teaspoon salt, cocoa and 1 cup sugar. Set aside.. In a medium bowl stir together the egg, oil, 1 teaspoon vanilla and 3/4 cup of milk until well blended. Gradually stir in the sifted dry ingredients. Drop by tablespoonfuls onto the prepared cookie sheets.. Bake for 10 to 12 minutes in the preheated oven, until firm. Allow to cool on baking sheet for 5 minutes before removing to wire racks to cool completely.. To make the filling: In a medium saucepan, whisk together the 1/2 cup of milk and 2 1/2 tablespoons flour. Cook over medium-high heat, stirring frequently, until thick. Remove from heat set aside to cool. In a medium bowl, Beat together the shortening, 1/2 cup sugar, 1/2 teaspoon salt and 1 tablespoon vanilla. Stir in the cooked milk mixture and beat for an additional 20 minutes, until really fluffy. Sandwich filling between two cookies. ENJOY!!","calories: 367, fat: 20g, carbs: 45g, protein: 4g, servings: 12",https://www.allrecipes.com/thmb/TF7cKeXguXHosdD7TUjEWwJfinU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/633327-556693e2a29143b8ade6680e4be2cb04.jpg
Nana Bessie's Whoopie Pies,https://www.allrecipes.com/recipe/219631/nana-bessies-whoopie-pies/,"{'quantity': '⅔', 'unit': 'cup', 'name': 'vegetable shortening'}, {'quantity': '2', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'baking soda'}, {'quantity': '2', 'unit': 'cups', 'name': 'milk'}, {'quantity': '3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '9', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'vegetable shortening'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'butter'}, {'quantity': '2 ¼', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'vanilla extract'}","Preheat oven to 350 degrees F (175 degrees C). Line baking sheets with parchment paper.. To make cookies, beat 2/3 cup of vegetable shortening with 2 cups of sugar in a large mixing bowl with an electric mixer until the mixture is creamy. Beat in eggs and 2 teaspoons of vanilla extract until thoroughly combined. Whisk together 4 cups of flour, the cocoa powder, and baking soda until thoroughly mixed, then beat the flour mixture into the vegetable shortening mixture in several additions, alternating with the milk. Beat dough just until smooth.. Drop dough by tablespoon onto the prepared baking sheets, about 2 inches apart, making the cookies as round as possible. Recipe should yield about 48 cookies.. Bake in the preheated oven until the cookies are set in the middle, 15 to 20 minutes. Watch carefully to avoid burning the cookies. Allow cookies to cool for several minutes on baking sheets before removing to finish cooling on racks.. To make the filling, pour 3 cups of milk into a large saucepan over low heat, and whisk in 9 tablespoons of flour until smooth. Allow the mixture to come to a simmer, whisking constantly, until as thick and smooth as pudding, about 3 minutes. Place the thickened mixture into the refrigerator to cool, about 30 minutes.. In a large mixing bowl, beat 1 1/2 cup of vegetable shortening with the butter until thoroughly combined, then beat in 2 1/4 cup of sugar and 1 tablespoon vanilla extract until the mixture is thoroughly combined. Beat the cooled milk mixture into the butter mixture until smooth and fluffy, 1 to 2 minutes.. Choose 2 cookies of the same size, and spread a thick layer of filling on the flat side of a cookie; top with remaining cookie. Repeat with remaining cookies and frosting.","calories: 531, fat: 32g, carbs: 58g, protein: 6g, servings: 24",https://cdn.jwplayer.com/v2/media/TRFZn8wh/poster.jpg?width=720
Moon Pies,https://www.allrecipes.com/recipe/26178/moon-pies/,"{'quantity': '½', 'unit': 'cup', 'name': 'unsweetened cocoa powder'}, {'quantity': '½', 'unit': 'cup', 'name': 'boiling water'}, {'quantity': '½', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'white sugar'}, {'quantity': '2', 'unit': '', 'name': 'eggs'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'vanilla extract'}, {'quantity': '2 ⅔', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking powder'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'baking soda'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'cup', 'name': 'buttermilk'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'all-purpose flour'}, {'quantity': '1', 'unit': 'pinch', 'name': 'salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'milk'}, {'quantity': '¾', 'unit': 'cup', 'name': 'shortening'}, {'quantity': '1 ½', 'unit': 'cups', 'name': ""confectioners' sugar""}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'vanilla extract'}","Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets. In a small bowl, stir together the cocoa and boiling water. Let cool for 5 minutes.. In a medium bowl, cream together 1/2 cup shortening and white sugar. Beat in the eggs one at a time then stir in the vanilla extract and cocoa mixture. Combine 2 2/3 cups flour with baking powder, baking soda and salt; stir into the sugar mixture alternately with the buttermilk. Drop by rounded tablespoons 2 inches apart onto the prepared cookie sheets.. Bake for 10 to 12 minutes in the preheated oven, until firm. To make the filling: In a small saucepan, stir together remaining flour and pinch of salt. Gradually whisk in the milk. Cook over medium heat, stirring constantly until thick, about 5 to 7 minutes. Remove from heat, cover and refrigerate. In a medium bowl, cream together 3/4 cup of shortening and confectioners' sugar until light and fluffy. Gradually add the vanilla and the milk mixture and beat until fluffy. Sandwich filling between cookies.","calories: 325, fat: 16g, carbs: 44g, protein: 4g, servings: 18",https://www.allrecipes.com/thmb/564xgM6y_vjmTc9YGgyoalpa4Ls=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/684349-3c40ff86f0824f218b83c40768fffc41.jpg
