name,link,ingredients,steps,nutrition,image_url
Holiday Monkey Bread,https://www.allrecipes.com/holiday-monkey-bread-recipe-8745645,"{'quantity': '1 1/3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'large', 'name': 'egg,'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped walnuts'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dried cranberries'}, {'quantity': '1', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'cinnamon'}, {'quantity': '2', 'unit': 'sticks', 'name': 'unsalted butter'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'brown sugar'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'orange zest'}",,"calories: 404, fat: 19g, carbs: 54g, protein: 5g, servings: 16",https://cdn.jwplayer.com/v2/media/Mnj9wL1k/thumbnails/yMXLgmu4.jpg
Copycat Cheesecake Factory Brown Bread,https://www.allrecipes.com/copycat-cheesecake-factory-brown-bread-recipe-8721666,"{'quantity': '1 1/2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'package', 'name': 'dry yeast'}, {'quantity': '3 1/4', 'unit': 'cups', 'name': 'bread flour,'}, {'quantity': '1 2/3', 'unit': 'cups', 'name': 'whole wheat flour'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsweetened cocoa powder'}, {'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'salt'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'butter, softened'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'honey'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'molasses'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'cornmeal'}, {'quantity': '1/4', 'unit': 'cup regular', 'name': 'rolled oats'}","Gather all ingredients.. Whisk together warm water and 1 tablespoon honey in a bowl until combined. Sprinkle yeast over top and let stand until foamy, about 5 minutes.. Whisk together 2 ½ cups bread flour, whole wheat flour, cocoa powder, and salt in a large bowl.. Add the yeast mixture, butter, 1/4 cup honey, and molasses. Mix with a wooden spoon until combined.. Turn dough out onto a lightly floured surface. Knead 5 to 8 minutes until dough is smooth, and slightly tacky, adding 2 tablespoons of bread flour at a time to help work the dough.. Form dough into a large ball and place in a greased bowl. Cover bowl and let rise in a warm place until doubled in size, about 1 1/2 hours.. Punch dough down and turn out onto a lightly floured surface.. Divide the dough into 4 equal sized pieces, and shape into small loaves, roughly 6 inches long and 2 inches wide.. Line a large baking sheet with parchment paper. Pour cornmeal onto a plate and dip the bottoms of the loaves in the cornmeal to lightly coat.. Arrange loaves on prepared baking sheet, leaving ample space in between. Lightly moisten tops of loaves with a little water; sprinkle tops with oats.. Cover loaves loosely with greased plastic wrap and let rise in a warm place until nearly doubled in size, 45 to 60 minutes.. Meanwhile, preheat the oven to 350 degrees F (175 degrees C). Remove plastic wrap from loaves and bake until loaves are golden brown and a thermometer inserted in the center of the loaves reads 190 degrees F (88 degrees C), 25 to 35 minutes.. Transfer loaves to a wire rack to cool for at least 30 minutes before slicing and serving.","calories: 197, fat: 3g, carbs: 38g, protein: 5g, servings: 16",https://www.allrecipes.com/thmb/OniK53C6v09aKhrv6TogSevXv30=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8721666-Copycat-Cheesecake-Factory-Brown-Bread-ddmfs-4x3-ccabd963c6b44b679ce95ff84397703c.jpg
Cottage Cheese Bread,https://www.allrecipes.com/cottage-cheese-bread-recipe-8711903,"{'quantity': '1 1/4', 'unit': 'teaspoons', 'name': 'dry yeast'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'egg whites or'}, {'quantity': '3/4', 'unit': 'cup', 'name': 'whole milk cottage cheese'}, {'quantity': '3 1/2', 'unit': 'cups', 'name': 'bread flour'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'salt'}","Gather all ingredients.. Combine warm water and yeast in a large bowl. Let stand until foamy, about 5 minutes.. Meanwhile, combine the egg whites and cottage cheese in a blender or food processor. Cover and blend until smooth.. Add cottage cheese mixture to the yeast mixture and whisk to combine.. Using a wooden spoon, stir flour and salt into the wet mixture until combined (dough will be sticky).. Turn dough out onto a lightly floured surface and knead about 5 minutes or until smooth but still slightly tacky, adding additional flour as needed.. Shape dough into a ball and place in a lightly greased bowl. Cover and let rise in a warm place until doubled in size, about 1 hour.. Line a 9x5-inch loaf pan with parchment paper.. Punch dough down and turn out onto a lightly floured surface. Gently pat and pinch dough into a loaf shape, tucking edges underneath.. Place shaped dough, seam side down, in prepared loaf pan. Cover and let rise in a warm place until nearly double in size (about 30 minutes).. Preheat the oven to 400 degrees F (200 degrees C). Using a sharp knife, cut a shallow slit, lengthwise, down the middle of the loaf.. Bake until bread sounds hollow when lightly tapped, 40 to 45 minutes. Cover loosely with foil for the last 10 to 15 minutes to prevent overbrowning.. Immediately remove from pan and cool completely on a wire rack before slicing.. Enjoy!","calories: 167, fat: 1g, carbs: 30g, protein: 8g, servings: 12",https://www.allrecipes.com/thmb/2rhLK0GUz2IeiuxtJ69OVsVPZmA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8711903-Cottage-Cheese-Bread-ddmfs-4x3-11e0a7f13db044de9a9cbac27fcbaea2.jpg
Garlic Dinner Rolls,https://www.allrecipes.com/garlic-dinner-rolls-recipe-8698270,"{'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'grated garlic,'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'unsalted butter,'}, {'quantity': None, 'unit': '(1/4 ounce)', 'name': 'active dry yeast'}, {'quantity': '1 1/2', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk,'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, at room temperature, divided'}, {'quantity': '3', 'unit': '3/4 cups', 'name': 'all-purpose flour,'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'tap water'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'parsley'}","Gather all ingredients.. Combine milk and 1 teaspoon of the garlic in a small saucepan and cook over medium, stirring occasionally, until just bubbling around the edges, 4 to 5 minutes. Remove from heat and pour into the bowl of a stand mixer fitted with a dough hook attachment. Stir in sugar and 4 tablespoons of the butter; let cool, stirring occasionally, until mixture is between 110 degrees F and 120 degrees F (43 degrees C to 48 degrees C), 5 to 10 minutes. Stir in yeast; let stand until mixture is foamy, about 10 minutes.. Add salt, egg yolk, 1 egg, and 2 cups of the flour; beat on low speed until combined, about 1 minute. With mixer running on low speed, carefully add remaining 1 3/4 cups flour, 1/2 cup at a time, and beat until dough just comes together, about 1 minute. The dough will be very sticky. Increase speed to medium, and beat until dough pulls away from the sides of the bowl and is smooth and elastic, about 10 minutes.. Coat a large bowl with cooking spray and transfer dough to the prepared bowl; turn to coat. Cover with plastic wrap and let rise in a warm place until about doubled in size, about 1 hour.. Meanwhile, heat the remaining 3 tablespoons butter and 2 teaspoons garlic in a small saucepan over medium-low, stirring occasionally, untilbutter is melted and garlic is fragrant, about 3 minutes. Transfer 1 1/2 tablespoons of the butter-garlic mixture to a small bowl; set aside. Reserve remaining butter-garlic mixture in saucepan.. Lightly coat a 9- x 13-inch baking pan with cooking spray. With a clean hand, punch down dough and turn out onto a lightly floured worksurface. Using a sharp knife or bench scraper, divide dough into 20 (1.4 ounces) pieces. Gently form each dough piece into a ball, pinch to close, and dip into butter-garlic mixture in saucepan to coat all sides. Place in prepared baking dish, seam-side down, arranging dough balls in 4 rows of 5. Cover with plastic wrap and let rise at room temperature until about doubled in size and dough springs back slowly when poked, 30 to 45 minutes.. Preheat the oven to 350 degrees F (175 degrees C.). Whisk together remaining 1 egg and water in a small bowl until combined. Brush tops of rolls with egg mixture.. Bake in preheated oven until golden brown, 18 to 20 minutes.. Stir parsley into reserved butter-garlic mixture in bowl. Immediately brush rolls with butter-garlic mixture. Serve warm.","calories: 145, fat: 6g, carbs: 19g, protein: 4g, servings: 20",https://www.allrecipes.com/thmb/COrTwOa3BwN9nokHu3RddB_hSWM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8698270-GarlicDinnerRolls-ddmfs-0192-4x3-hero-4cda5943c1974d2881406bbd9bd5f524.jpg
Hot Honey Butter Cream Cheese Stuffed Bagel,https://www.allrecipes.com/hot-honey-butter-cream-cheese-stuffed-bagel-recipe-8664575,"{'quantity': '1', 'unit': None, 'name': 'bagel'}, {'quantity': '1', 'unit': 'ounce', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'honey'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'butter'}, {'quantity': None, 'unit': None, 'name': 'flaky salt'}","Preheat an air fryer to 390 degrees F (199 degrees C) according to manufacturer's instructions.. Make 8 small cuts in the bagel, taking care not to cut all the way through, to create small openings.  Add a piece of cream cheese in each crevice around the bagel. Combine honey and melted butter in a small dish and coat the stuffed bagel liberally. Sprinkle with salt.. Place bagel in the air fryer until golden brown, 5 to 7 minutes. Drizzle with more honey if desired.","calories: 820, fat: 24g, carbs: 129g, protein: 24g, servings: 1",https://cdn.jwplayer.com/v2/media/JSje10Sp/thumbnails/TqsVkBqL.jpg
Feta and Sardine Flatbread,https://www.allrecipes.com/feta-and-sardine-flatbread-recipe-8633618,"{'quantity': '1', 'unit': '12 inch)', 'name': 'pizza crust'}, {'quantity': '2 1/2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'seasoning'}, {'quantity': '1/4', 'unit': None, 'name': 'red onion'}, {'quantity': '12', 'unit': None, 'name': 'pitted Kalamata olives'}, {'quantity': '1', 'unit': '4.375 ounce) tin', 'name': 'sardines packed in olive oil'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'feta cheese'}, {'quantity': '1', 'unit': 'tomato', 'name': 'Roma tomato'}, {'quantity': '1', 'unit': 'small', 'name': 'lemon'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'spinach leaves'}","Preheat the oven to 450 degrees F (230 degrees C). Place pizza crust on a round pizza pan.. Whisk olive oil and Greek seasoning together in a small bowl. Brush mixture over the entire pizza crust, including the edges.. Divide onion, olives, and sardines over pizza crust. Sprinkle on feta, then scatter on chopped tomatoes.. Bake in the preheated oven for 15 minutes. Remove pizza from the oven; add lemon slices and spinach leaves. Cut into slices and serve immediately.","calories: 493, fat: 23g, carbs: 61g, protein: 18g, servings: 4",https://www.allrecipes.com/thmb/xqBjgj0ycmW4qhMW-AexKfhNJt8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8633618_Feta-and-Sardine-Flatbread_Nicole-Russell_4x3-584b4155c4c04799ac03c340299ddbea.jpg
Copycat Texas Roadhouse Rolls,https://www.allrecipes.com/copycat-texas-roadhouse-rolls-recipe-8620655,"{'quantity': '1', 'unit': 'cup', 'name': 'whole milk'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'granulated sugar'}, {'quantity': '6', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '1/4', 'unit': 'oz.', 'name': 'dry yeast'}, {'quantity': '1 1/2', 'unit': 'teaspoon', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs'}, {'quantity': '3 3/4', 'unit': 'cups', 'name': 'all-purpose flour'}, {'quantity': None, 'unit': None, 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'water'}, {'quantity': None, 'unit': None, 'name': 'cinnamon Honey Butter'}",,"calories: 186, fat: 7g, carbs: 26g, protein: 5g, servings: 16",https://cdn.jwplayer.com/v2/media/Uc7WjZLb/thumbnails/bxTlQZ5j.jpg
How to Make Sourdough Bread with Levain,https://www.allrecipes.com/how-to-make-sourdough-bread-with-levain-recipe-8628576,"{'quantity': '100', 'unit': 'grams', 'name': 'sourdough starter'}, {'quantity': '15', 'unit': 'grams', 'name': 'bread flour'}, {'quantity': '15', 'unit': 'grams', 'name': 'whole wheat flour'}, {'quantity': '5', 'unit': 'grams', 'name': 'rye flour'}, {'quantity': '35', 'unit': 'grams', 'name': 'water'}, {'quantity': '135', 'unit': 'grams', 'name': 'whole wheat flour'}, {'quantity': '365', 'unit': 'grams', 'name': 'bread flour'}, {'quantity': '425', 'unit': 'grams', 'name': 'water'}, {'quantity': '70', 'unit': 'grams', 'name': 'of the levain'}, {'quantity': '11', 'unit': 'grams', 'name': 'kosher salt'}, {'quantity': '2', 'unit': 'tablespoon', 'name': 'rice flour, or as needed for dusting banneton'}, {'quantity': '2', 'unit': None, 'name': 'ice cubes'}",,"calories: 301, fat: 1g, carbs: 62g, protein: 10g, servings: 8",https://cdn.jwplayer.com/v2/media/TNmzaxNI/thumbnails/IErdV2nL.jpg
Cinnamon Roll Focaccia,https://www.allrecipes.com/cinnamon-roll-focaccia-recipe-8610782,"{'quantity': '1/4', 'unit': 'cup', 'name': 'canola oil,'}, {'quantity': None, 'unit': None, 'name': 'all-purpose flour'}, {'quantity': '2', 'unit': '(1-pound)', 'name': 'pizza dough'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'light brown sugar'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'ground cinnamon'}, {'quantity': '7', 'unit': 'tablespoons', 'name': 'unsalted butter'}, {'quantity': '4', 'unit': 'ounces', 'name': 'cream cheese'}, {'quantity': '1', 'unit': 'cup', 'name': 'powdered sugar'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'whole milk'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'vanilla extract'}",,"calories: 397, fat: 19g, carbs: 51g, protein: 6g, servings: 12",https://cdn.jwplayer.com/v2/media/z5xJyrWq/thumbnails/ustCB5GR.jpg
Fruit Pizza Chopped Bagel,https://www.allrecipes.com/fruit-pizza-chopped-bagel-recipe-8605156,"{'quantity': '1', 'unit': None, 'name': 'plain bagel, sliced in half horizontally'}, {'quantity': '2', 'unit': 'ounces', 'name': 'cream cheese, softened'}, {'quantity': '1', 'unit': 'tablespoon', 'name': ""confectioner's sugar""}, {'quantity': '1/2', 'unit': 'cup', 'name': 'mixed fruit,'}",,"calories: 830, fat: 23g, carbs: 133g, protein: 26g, servings: 1",https://cdn.jwplayer.com/v2/media/pUHCoWFo/thumbnails/ZGC0ogK0.jpg
