name,link,ingredients,steps,nutrition,image_url
Boursin Chicken Baked Ziti,https://www.allrecipes.com/boursin-chicken-baked-ziti-recipe-8733330,"{'quantity': '1/2', 'unit': 'cup', 'name': 'pecorino Romano cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'breadcrumbs'}, {'quantity': '1/2', 'unit': 'pound', 'name': 'ziti pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'unsalted butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '1', 'unit': 'clove', 'name': 'garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried Italian herb seasoning'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'red pepper flakes'}, {'quantity': '1', 'unit': 'cup', 'name': 'cooked chicken'}, {'quantity': '1', 'unit': 'cup', 'name': 'fresh spinach'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'heavy cream'}, {'quantity': '1', 'unit': '(5.2 ounce) package', 'name': 'soft French cheese, such as Boursin® Garlic and Fine Herbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}","Preheat the oven to 375 degrees F (190 degrees C) and grease an 8x8-inch baking dish.. Combine grated pecorino and breadcrumbs in a small bowl; set aside.. Bring a large pot of salted water to a boil. Add ziti, and cook until tender with a bite, about 11 minutes. Drain; reserve about 2 tablespoons pasta water.. Meanwhile, melt butter in a large nonstick skillet over medium heat. Add chopped onion; cook and stir until onion begins to soften, 2 to 3 minutes. Stir in garlic, herb seasoning, and red pepper flakes, and cook about 30 seconds.. Turn off heat. Stir in chicken, spinach, cream, Boursin, and mozzarella, stirring until cheeses are melted and ingredients are well combined.. Stir drained ziti into chicken mixture. Loosen the sauce with reserved pasta water, if needed. Pour chicken and sauce mixture into the prepared baking dish. Sprinkle pecorino and bread crumb mixture over the top.. Bake in the center of the preheated oven until bubbly and lightly browned, 20 to 30 minutes. Serve warm.","calories: 655, fat: 49g, carbs: 30g, protein: 25g, servings: 4",https://www.allrecipes.com/thmb/EwLLGHeVA8GtnrKIkSURiV3yqAI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8733330_Boursin-Chicken-Baked-Ziti_Brenda-Venable_4x3-035f82315e134064b7e72e7c0fab1e4a.jpg
Slow Cooker Italian Sausage Soup,https://www.allrecipes.com/slow-cooker-italian-sausage-soup-8722129,"{'quantity': '1', 'unit': 'pound bulk I', 'name': 'talian sausage or turkey Italian sausage'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'onion'}, {'quantity': '6', 'unit': 'cups', 'name': 'reduced-sodium chicken broth'}, {'quantity': '2', 'unit': '(8-ounce) cans', 'name': 'tomato sauce'}, {'quantity': '1', 'unit': '(14.5-ounce) can', 'name': 'diced tomatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'green bell pepper'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'talian seasoning'}, {'quantity': '3', 'unit': 'clove', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'crushed red pepper'}, {'quantity': '8', 'unit': 'ounces', 'name': 'ziti or penne pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'shredded Parmesan cheese'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chopped fresh basil'}","Gather all ingredients.. Cook sausage and onion in a large skillet over medium, breaking up clumps with a wooden spoon until browned; drain fat.. Add sausage mixture to a 4- to 5-quarts slow cooker. Add broth, tomato sauce, diced tomatoes, green pepper, Italian seasoning, garlic, and crushed red pepper.. Cover and cook on Low for 6 to 8 hours or on High 3 to 4 hours. If using Low, turn to High. Add pasta; cover and cook for 30 minutes.. Stir together ricotta, Parmesan cheese, and basil in a small bowl.. Top servings with ricotta mixture. Serve hot and enjoy!","calories: 350, fat: 20g, carbs: 21g, protein: 22g, servings: 8",https://www.allrecipes.com/thmb/4bwEUz5bTVyryfIbFH4-yeoNwWg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8722129-Slow-Cooker-Italian-Sausage-Soup-ddmfs-4x3-a81e1bf619a94f54bf776a6cf1e73ef8.jpg
Five Cheese Ziti al Forno,https://www.allrecipes.com/five-cheese-ziti-al-forno-recipe-7972409,"{'quantity': '1', 'unit': 'pound', 'name': 'ziti pasta'}, {'quantity': '1 (8', 'unit': 'ounce) package shredded Italian blend', 'name': 'cheeses'}, {'quantity': '2 (24-', 'unit': 'ounce) jars', 'name': 'marinara sauce'}, {'quantity': '1 (15-', 'unit': 'ounce) jar', 'name': 'lfredo sauce'}, {'quantity': '1', 'unit': 'cup', 'name': 'ricotta cheese'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'panko bread crumbs'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'unsalted butter, melted'}, {'quantity': '2', 'unit': 'cloves', 'name': 'garlic, minced'}",,"calories: 642, fat: 46g, carbs: 33g, protein: 25g, servings: 8",https://www.allrecipes.com/thmb/WxeabYmJh9rVGAZI5_dWJcPUGCQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7972409-five-cheese-ziti-al-forno-ddmfs-4x3-05a3c6b7d4e34e93b8868e671fa2ec34.jpg
Sausage and Spinach Baked Ziti,https://www.allrecipes.com/sausage-and-spinach-baked-ziti-recipe-7375475,"{'quantity': '1', 'unit': 'pound', 'name': 'ziti pasta'}, {'quantity': '1', 'unit': 'tablespoon', 'name': 'olive oil'}, {'quantity': '10', 'unit': 'ounces', 'name': 'talian sausage'}, {'quantity': '1 (28', 'unit': 'ounce) can', 'name': 'crushed tomatoes, divided'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1/2', 'unit': 'teaspoon', 'name': 'talian seasoning'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'crushed red pepper flakes'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'spinach, chopped'}, {'quantity': '15', 'unit': 'ounces', 'name': 'ricotta cheese'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'heavy cream'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mozzarella cheese, cut into small cubes, divided'}, {'quantity': '6', 'unit': 'ounces', 'name': 'shredded Parmesan cheese, divided'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'garlic'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt, or to taste'}, {'quantity': '1', 'unit': None, 'name': 'chopped basil, or as needed for garnish (optional)'}","Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C).. Spray a 9x13-inch baking dish with cooking spray. Fill a large pot with lightly salted water and bring to a rolling boil. Stir in ziti and return to a boil. Cook pasta uncovered, stirring occasionally, until they just start to become tender, about 5 minutes. Drain pasta, reserving 1/2 cup pasta water.. Meanwhile, heat oil in a heavy skillet over medium heat and cook and stir Italian sausage, breaking up the meat as it cooks, until it is no longer pink, 5 to 7 minutes.. Reserve 1/3 cup crushed tomatoes and pour remaining tomatoes into sausage. Stir in garlic, Italian seasoning, red pepper flakes, and spinach. Cook for 10 minutes.. Combine ricotta, heavy cream, 4 ounces cubed mozzarella cheese, 4 ounces shredded Parmesan cheese, and garlic granules in a bowl. Season with salt.. Add the cooked sausage mixture and ricotta mixture to the pasta and toss well. If mixture seems too thick, stir in reserved pasta water 2 tablespoons at a time.. Spread the reserved 1/3 cup crushed tomatoes into the bottom of the casserole dish. Pour half of pasta in an even layer over tomatoes and top with 1/2 of the remaining mozzarella and Parmesan cheeses. Repeat with remaining pasta and cheese.. Bake ziti in the preheated oven until cheese is lightly golden brown and pasta is heated through, 25 to 30 minutes. Garnish with chopped fresh basil.","calories: 491, fat: 30g, carbs: 23g, protein: 32g, servings: 8",https://www.allrecipes.com/thmb/uEqHI06ZzNGxbZ6q5JZ34LX3SvQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-sausage-and-spinach-baked-ziti-recipe-7375475-hero-01-ddmfs-4x3-25d99b31b54941bb95b45d0a5188d292.jpg
Baked Ziti,https://www.allrecipes.com/recipe/11758/baked-ziti-i/,"{'quantity': '1', 'unit': 'pound', 'name': 'dry ziti pasta'}, {'quantity': '1', 'unit': '', 'name': 'onion, chopped'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '2', 'unit': '(26 ounce) jars', 'name': 'spaghetti sauce'}, {'quantity': '6', 'unit': 'ounces', 'name': 'provolone cheese, sliced'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'sour cream'}, {'quantity': '6', 'unit': 'ounces', 'name': 'mozzarella cheese, shredded'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'grated Parmesan cheese'}","Gather all ingredients.. Bring a large pot of lightly salted water to a boil. Add ziti pasta, and cook until al dente, about 8 minutes; drain.. Meanwhile, brown ground beef and onion in a large skillet over medium heat; stir in spaghetti sauce and simmer for 15 minutes. Preheat the oven to 350 degrees F (175 degrees C). Butter a 9x13-inch baking dish.. Spread 1/2 of the ziti in the bottom of the prepared dish.. Top with Provolone cheese.. Top with sour cream.. Add 1/2 of the meat sauce, remaining ziti, mozzarella cheese, and remaining meat sauce. Top with grated Parmesan cheese.. Bake in the preheated oven until heated through and cheeses have melted, about 30 minutes.","calories: 578, fat: 25g, carbs: 58g, protein: 28g, servings: 10",https://cdn.jwplayer.com/v2/media/jYHdiTnT/thumbnails/by3z0tuy.jpg
Easy Baked Ziti,https://www.allrecipes.com/recipe/18031/baked-ziti-ii/,"{'quantity': '1', 'unit': '(16 ounce) package', 'name': 'ziti pasta'}, {'quantity': '24', 'unit': 'ounces', 'name': 'ricotta cheese'}, {'quantity': '1', 'unit': 'pound', 'name': 'shredded mozzarella cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, beaten'}, {'quantity': '1', 'unit': '(32-ounce) jar', 'name': 'spaghetti sauce'}, {'quantity': '¼', 'unit': 'cup', 'name': 'grated Parmesan cheese'}","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish.. Meanwhile, bring a large pot of lightly salted water to a boil. Add ziti pasta and cook for 8 to 10 minutes or until al dente; drain and rinse.. Combine cooked ziti, ricotta cheese, mozzarella cheese, egg, and 1 ½ cups spaghetti sauce in a medium bowl.. Transfer into the prepared baking dish. Top with remaining spaghetti sauce, then sprinkle with Parmesan cheese.. Bake in the preheated oven for 30 minutes; let stand for 15 minutes before serving.","calories: 703, fat: 28g, carbs: 73g, protein: 38g, servings: 8",https://cdn.jwplayer.com/v2/media/oBCpOws5/poster.jpg?width=720
Baked Pasta,https://www.allrecipes.com/recipe/11906/baked-pasta/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': 'pound', 'name': 'lean ground beef'}, {'quantity': '2', 'unit': '(15 ounce) cans', 'name': 'tomato sauce'}, {'quantity': '12', 'unit': 'ounces', 'name': 'brown gravy'}, {'quantity': '½', 'unit': 'cup', 'name': 'half-and-half'}, {'quantity': '½', 'unit': 'cup', 'name': 'grated Parmesan cheese'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, minced'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'dry ziti pasta'}, {'quantity': '1', 'unit': 'cup', 'name': 'shredded mozzarella cheese'}",,"calories: 490, fat: 21g, carbs: 49g, protein: 26g, servings: 8",https://cdn.jwplayer.com/v2/media/fyk652Eg/thumbnails/nAvFYbLD.jpg
Baked Ziti with Sausage,https://www.allrecipes.com/recipe/165350/baked-ziti-with-sausage/,"{'quantity': '', 'unit': '', 'name': 'cooking spray'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'dry ziti pasta'}, {'quantity': '1', 'unit': 'pound', 'name': 'mild Italian sausage'}, {'quantity': '1', 'unit': '(15 ounce) container', 'name': 'ricotta cheese'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, minced'}, {'quantity': '1', 'unit': 'large', 'name': 'egg'}, {'quantity': '2', 'unit': 'teaspoons', 'name': 'minced garlic'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 ½', 'unit': '(26 ounce) jars', 'name': 'spaghetti sauce, divided'}, {'quantity': '1', 'unit': '(8 ounce) package', 'name': 'shredded Italian cheese blend'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'dried basil (Optional)'}","Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.. Bring a large pot of lightly salted water to a rolling boil over high heat. Stir in ziti and return to a boil. Cook pasta uncovered, stirring occasionally, until cooked through but still firm to the bite, about 8 minutes. Drain well.. While pasta is cooking, heat a large skillet over medium heat. Add sausage; cook and stir until brown, about 10 minutes. Drain sausage and set aside.. Stir together ricotta, onion, egg, garlic, and oregano in a large bowl until well combined. Stir in pasta, sausage, salt, pepper, and the half jar of spaghetti sauce; mix well.. Cover the bottom of the prepared baking dish with 1/3 of the full jar spaghetti sauce. Layer with 1/2 of the pasta mixture, 1/2 of the remaining spaghetti sauce, and 1/2 of the shredded cheese. Repeat layers once more using remaining pasta, sauce, and cheese. Sprinkle basil over top and cover the dish tightly with aluminum foil.. Bake in the preheated oven until heated through, about 20 minutes. Uncover; return to the oven and bake until cheese is melted, 5 to 10 more minutes.","calories: 649, fat: 27g, carbs: 69g, protein: 31g, servings: 8",https://cdn.jwplayer.com/v2/media/k7zMYavt/poster.jpg?width=720
Pastitsio,https://www.allrecipes.com/recipe/23159/pastitsio-ii/,"{'quantity': '2', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1', 'unit': 'large', 'name': 'onion, chopped'}, {'quantity': '3', 'unit': 'cloves', 'name': 'garlic, crushed'}, {'quantity': '1 ½', 'unit': 'pounds', 'name': 'lean ground beef'}, {'quantity': '1', 'unit': '(15 ounce)', 'name': 'can crushed tomatoes'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'dry red wine'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'beef broth'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'tomato paste'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'chopped fresh parsley'}, {'quantity': None, 'unit': None, 'name': '1/2 teaspoon ground cinnamon or 1 cinnamon stick'}, {'quantity': '1', 'unit': None, 'name': 'whole clove'}, {'quantity': '', 'unit': '', 'name': 'salt and pepper to taste'}, {'quantity': '12', 'unit': 'ounces', 'name': 'bucatini or pastitsio pasta'}, {'quantity': '4', 'unit': 'tablespoons', 'name': 'butter'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'grated Kefalotiri, Parmesan, or Pecorino cheese'}, {'quantity': '1', 'unit': 'dash', 'name': 'ground nutmeg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'freshly ground black pepper'}, {'quantity': '2', 'unit': 'large', 'name': 'eggs, lightly beaten'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'butter'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'all-purpose flour'}, {'quantity': '3', 'unit': 'cups', 'name': 'milk'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground nutmeg'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'salt'}, {'quantity': '1/4', 'unit': 'teaspoon', 'name': 'ground black pepper'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'grated Kefalotiri, Parmesan, or Pecorino cheese, divided'}, {'quantity': '1', 'unit': 'large', 'name': 'egg, lightly beaten'}, {'quantity': '1', 'unit': 'large', 'name': 'egg yolk, lightly beaten'}",,"calories: 556, fat: 36g, carbs: 22g, protein: 34g, servings: 10",https://cdn.jwplayer.com/v2/media/E2l1Y4yh/thumbnails/zzCWro7s.jpg
The Best Baked Ziti,https://www.allrecipes.com/recipe/281646/the-best-baked-ziti/,"{'quantity': '¾', 'unit': 'pound', 'name': 'hot Italian sausage'}, {'quantity': '¾', 'unit': 'pound', 'name': 'sweet Italian sausage'}, {'quantity': '2', 'unit': 'tablespoons', 'name': 'olive oil'}, {'quantity': '1', 'unit': 'large', 'name': 'yellow onion, diced'}, {'quantity': '½', 'unit': 'teaspoon', 'name': 'dried oregano'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried thyme'}, {'quantity': '¼', 'unit': 'teaspoon', 'name': 'dried rosemary'}, {'quantity': '2', 'unit': '(24 ounce) jars', 'name': 'prepared marinara sauce'}, {'quantity': '2', 'unit': 'cups', 'name': 'water'}, {'quantity': '1', 'unit': '(16 ounce) package', 'name': 'ziti pasta'}, {'quantity': '1', 'unit': 'drizzle', 'name': 'olive oil'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'whole-milk ricotta cheese'}, {'quantity': '8', 'unit': 'ounces', 'name': 'mozzarella cheese, cut into small cubes'}, {'quantity': '1', 'unit': 'cup', 'name': 'grated Pecorino Romano cheese'}, {'quantity': '1', 'unit': 'teaspoon', 'name': 'chopped flat-leaf (Italian) parsley, or to taste'}","Gather the ingredients. Cut down the length of each sausage with a sharp knife. Remove and discard casings.. Heat olive oil in a large saucepan set over high heat. Add sausages and onion. Cook, stirring occasionally and breaking up with a spatula, until sausage begins to brown, and onion turns translucent, 5 to 7 minutes. Add oregano, thyme, and rosemary and cook for 1 minute more.. Pour in marinara sauce. Pour 1 cup water into each jar to rinse out remaining sauce; add to the saucepan. Stir together and bring sauce to a simmer.. Reduce the heat to medium-low, and let simmer, stirring occasionally, for 1 hour. Taste for seasoning and adjust if needed. Turn off heat and reserve until needed. Before using, skim any excess fat that rises to the surface.. While sauce simmers, bring a large pot of generously salted water to a boil. Add ziti and cook, stirring occasionally, for 1 or 2 minutes less than the directions on the package call for, about 8 minutes. Drain well and transfer into a large mixing bowl.. Carefully add the meat sauce and stir until thoroughly combined. Let rest for 5 minutes. Meanwhile, preheat the oven to 375 degrees F (190 degrees C). Grease a large 9x15-inch or 9x13-inch casserole dish with a drizzle of olive oil.. Use a slotted spoon to transfer half of the pasta and sauce mixture to the prepared dish, then use a spatula to even out into a uniform layer. Top with 1/2 of the ricotta cheese, 1/2 of the mozzarella cheese, and then 1/2 of the grated Pecorino Romano cheese, being sure to distribute evenly. Top with the rest of the pasta and sauce mixture and give the pan a little shake to settle the sauce. Repeat the cheese application.. Bake in the center of the preheated oven until the cheese is melted and the casserole is piping hot, 30 to 35 minutes. Remove from the oven and let cool 10 to 15 minutes before serving. Top with parsley.","calories: 627, fat: 30g, carbs: 58g, protein: 31g, servings: 10",https://cdn.jwplayer.com/v2/media/aHFHNgsi/poster.jpg?width=720
